"";"banalfreq";"X.gr_01";"X.gr_02"
"medida";18;-0,402;0,402
"sigilo";19;-0,4363;0,4363
"fazer";63;-0,7856;0,7856
"seis";11;-0,5563;0,5563
"casal";13;0,37;-0,37
"decidir";12;0,8622;-0,8622
"abuso";11;-0,5563;0,5563
"acordo";57;0,5429;-0,5429
"sobre";86;-0,4125;0,4125
"zavascki";16;-0,8093;0,8093
"março";12;-0,6069;0,6069
"outro";73;-0,3554;0,3554
"gravar";11;0,4625;-0,4625
"ir";301;0,8042;-0,8042
"saber";11;0,4625;-0,4625
"política";12;0,4131;-0,4131
"político";45;-0,3564;0,3564
"abaixo";10;-0,1564;0,1564
"santana";16;1,6071;-1,6071
"empreiteiro";18;0,2191;-0,2191
"delator";35;-0,3431;0,3431
"passado";16;-0,8093;0,8093
"apreensão";10;-0,5057;0,5057
"para";266;0,5937;-0,5937
"valor";12;0,4131;-0,4131
"fim";17;0,5448;-0,5448
"9";11;-0,5563;0,5563
"até";23;0,3268;-0,3268
"nunca";13;-0,2415;0,2415
"três";21;-1,0624;1,0624
"realizar";10;1,7517;-1,7517
"ato";10;0,5194;-0,5194
"deixar";10;-0,5057;0,5057
"gravação";15;0,2987;-0,2987
"segundo";57;-0,9416;0,9416
"geral";13;-0,6575;0,6575
"investigação";98;-0,845;0,845
"após";23;-1,1636;1,1636
"lula";135;-0,3214;0,3214
"receber";33;0,3025;-0,3025
"dois";31;-1,5687;1,5687
"acusar";19;1,3018;-1,3018
"responder";12;-0,6069;0,6069
"aécio";67;0,7058;-0,7058
"pmdb";15;1,1311;-1,1311
"relator";96;-0,2921;0,2921
"12";10;-0,5057;0,5057
"acreditar";10;-0,5057;0,5057
"força_tarefa";36;0,7031;-0,7031
"paraná";18;-0,402;0,402
"sair";11;0,4625;-0,4625
"vídeo";10;1,0545;-1,0545
"falar";21;-0,5066;0,5066
"com";236;-1,2634;1,2634
"durante";32;1,7035;-1,7035
"contrato";17;-0,8599;0,8599
"documento";23;0,3268;-0,3268
"homologar";10;-0,1564;0,1564
"empresário";37;-1,8726;1,8726
"livro";10;-0,5057;0,5057
"aparecer";10;0,5194;-0,5194
"depois";17;-0,3684;0,3684
"algum";19;1,3018;-1,3018
"deputado";24;-0,3013;0,3013
"acusação";14;-0,272;0,272
"antes";19;0,4581;-0,4581
"ela";31;0,6018;-0,6018
"ele";116;-0,4344;0,4344
"passivo";20;-0,4712;0,4712
"assim";12;0,8622;-0,8622
"negar";18;-0,402;0,402
"neve";30;1,8725;-1,8725
"josé";23;0,6163;-0,6163
"lavagem";31;-0,8844;0,8844
"o";1047;0,9806;-0,9806
"sob";13;-0,2415;0,2415
"novo";56;-0,2364;0,2364
"foro";20;-0,2074;0,2074
"conversa";28;-0,7672;0,7672
"seguir";12;1,4568;-1,4568
"privilegiado";17;0,2427;-0,2427
"cumprir";14;-0,272;0,272
"penal";14;0,7134;-0,7134
"condenar";45;-0,3564;0,3564
"imóvel";17;-0,3684;0,3684
"esquema";17;0,9653;-0,9653
"abertura";10;-0,5057;0,5057
"entrevista";17;0,9653;-0,9653
"menos";11;0,4625;-0,4625
"ver";32;-1,6193;1,6193
"vez";26;0,4967;-0,4967
"curitiba";29;0,4013;-0,4013
"autoridade";15;-0,7587;0,7587
"dia";37;0,6654;-0,6654
"querer";19;-0,1859;0,1859
"joão";24;1,3829;-1,3829
"cargo";11;-0,1836;0,1836
"instituto";18;-0,402;0,402
"jornal";10;1,0545;-1,0545
"semana";17;0,5448;-0,5448
"ministério";32;0,3247;-0,3247
"tribunal";17;0,2427;-0,2427
"você";10;1,0545;-1,0545
"só";13;0,7833;-0,7833
"encontrar";10;1,0545;-1,0545
"conduzir";12;-0,212;0,212
"primeiro";58;-1,4116;1,4116
"justiça";48;0,5653;-0,5653
"turma";14;0,3322;-0,3322
"mais";59;0,3229;-0,3229
"passar";17;-0,8599;0,8599
"maior";14;0,3322;-0,3322
"desde";18;0,8936;-0,8936
"eu";26;0,2549;-0,2549
"precisar";13;0,37;-0,37
"brasil";32;1,2579;-1,2579
"ministro";103;0,3362;-0,3362
"sistema";11;0,4625;-0,4625
"voto";10;-0,1564;0,1564
"2";30;-0,4626;0,4626
"qual";28;-1,4168;1,4168
"10";11;1,5942;-1,5942
"19";11;-0,5563;0,5563
"18";13;-0,6575;0,6575
"fase";41;-0,4865;0,4865
"ano";64;-0,8127;0,8127
"apresentado";11;-0,5563;0,5563
"nota";22;-0,2528;0,2528
"renan";14;-0,272;0,272
"prestar";15;-0,3033;0,3033
"continuar";11;-0,1836;0,1836
"quinta_feira";17;-0,3684;0,3684
"qualquer";20;-0,4712;0,4712
"teori";21;-1,0624;1,0624
"crime";28;0,4308;-0,4308
"ex_ministro";22;-0,5425;0,5425
"já";52;0,2885;-0,2885
"e_mail";10;-0,5057;0,5057
"razão";12;-0,6069;0,6069
"contar";24;-0,6157;0,6157
"um";178;1,2827;-1,2827
"federal";102;0,4831;-0,4831
"mônica";17;0,2427;-0,2427
"proposta";11;0,9518;-0,9518
"como";90;-0,4789;0,4789
"câmara";27;0,2348;-0,2348
"por";442;-0,4902;0,4902
"ricardo";10;1,0545;-1,0545
"entregar";20;0,4206;-0,4206
"cunha";30;0,3739;-0,3739
"pessoa";44;-0,5645;0,5645
"caso";55;0,3968;-0,3968
"alvo";29;-0,4343;0,4343
"prisão";49;-1,6315;1,6315
"então";21;-1,0624;1,0624
"processo";80;-0,6776;0,6776
"4";20;-0,4712;0,4712
"polícia";37;0,6654;-0,6654
"tanto";11;0,9518;-0,9518
"vário";11;-0,1836;0,1836
"hoje";10;0,5194;-0,5194
"pagamento";17;-0,3684;0,3684
"empresa";31;-0,8844;0,8844
"janot";38;0,6297;-0,6297
"último";17;1,496;-1,496
"ex_presidente";91;-0,9385;0,9385
"advogado";39;0,5959;-0,5959
"batista";31;-1,5687;1,5687
"investigado";33;-0,9639;0,9639
"sexta_feira";11;-0,5563;0,5563
"11";11;-0,1836;0,1836
"juiz";98;0,4073;-0,4073
"defesa";43;-0,538;0,538
"partido";16;0,2691;-0,2691
"5";11;-0,1836;0,1836
"pedir";47;0,3824;-0,3824
"grupo";16;0,2691;-0,2691
"apartamento";14;-0,7081;0,7081
"dilma";32;1,2579;-1,2579
"sociedade";10;-0,1564;0,1564
"mpf";23;1,4668;-1,4668
"decisão";40;0,8424;-0,8424
"ter";153;-0,3181;0,3181
"sua";36;0,4414;-0,4414
"propina";40;-0,2616;0,2616
"muito";19;0,4581;-0,4581
"vir";20;1,2166;-1,2166
"corte";15;-0,7587;0,7587
"começar";11;-0,5563;0,5563
"6";18;-0,9105;0,9105
"incluir";10;-0,1564;0,1564
"avanço";18;-0,9105;0,9105
"levar";20;-0,2074;0,2074
"procurador";44;0,6903;-0,6903
"projeto";11;-0,1836;0,1836
"não";156;1,0549;-1,0549
"a";1258;0,7126;-0,7126
"grande";10;-0,1564;0,1564
"mouro";20;0,4206;-0,4206
"delação";93;0,66;-0,66
"pena";13;-0,6575;0,6575
"ficar";15;-0,7587;0,7587
"pedido";29;-0,8059;0,8059
"envolver";28;0,7258;-0,7258
"todo";50;1,3664;-1,3664
"ao";151;-0,5222;0,5222
"senado";17;0,2427;-0,2427
"divulgar";14;0,7134;-0,7134
"dono";29;-0,8059;0,8059
"nome";15;0,651;-0,651
"contra";47;0,3824;-0,3824
"brasília";11;0,4625;-0,4625
"país";41;1,505;-1,505
"parlamentar";15;-0,3033;0,3033
"stf";139;-0,3669;0,3669
"autorizar";17;0,2427;-0,2427
"revelar";18;0,2191;-0,2191
"tentar";13;0,7833;-0,7833
"esse";22;1,0653;-1,0653
"executivo";23;-1,1636;1,1636
"réu";21;-0,5066;0,5066
"defender";16;0,2691;-0,2691
"quem";16;1,6071;-1,6071
"porque";20;0,7684;-0,7684
"início";12;-0,212;0,212
"seu";35;0,4696;-0,4696
"ser";384;1,0542;-1,0542
"âmbito";25;0,8775;-0,8775
"sem";28;0,4308;-0,4308
"lava_jato";765;0,6526;-0,6526
"pagar";27;-1,3661;1,3661
"senador";53;0,9123;-0,9123
"dizer";130;0,4503;-0,4503
"nacional";11;0,4625;-0,4625
"pt";28;-0,2012;0,2012
"chegar";19;1,3018;-1,3018
"denúncia";29;-0,8059;0,8059
"pf";43;0,7256;-0,7256
"recibo";10;-0,5057;0,5057
"impedir";15;-0,7587;0,7587
"colaboração";11;-0,5563;0,5563
"premiar";30;-0,845;0,845
"rio";12;-0,6069;0,6069
"busca";10;-0,1564;0,1564
"próprio";15;-0,3033;0,3033
"jbs";38;-1,9233;1,9233
"entre";27;0,4625;-0,4625
"apresentar";31;0,3484;-0,3484
"mandar";13;-0,2415;0,2415
"tomar";11;1,5942;-1,5942
"impunidade";13;-0,6575;0,6575
"apoio";10;-0,5057;0,5057
"organização";10;-0,5057;0,5057
"condenação";16;-0,8093;0,8093
"essa";18;-0,9105;0,9105
"envolvido";10;1,0545;-1,0545
"pmdb_rj";14;0,3322;-0,3322
"governo";28;-0,4065;0,4065
"responsável";45;-0,5913;0,5913
"dinheiro";52;-0,5086;0,5086
"corrupção";78;0,4525;-0,4525
"sérgio_moro";99;1,1325;-1,1325
"diverso";13;1,3356;-1,3356
"tentativa";12;-0,212;0,212
"desdobramento";12;-0,6069;0,6069
"relação";19;-0,9611;0,9611
"manter";11;-0,1836;0,1836
"psdb";12;0,4131;-0,4131
"depoimento";43;0,2856;-0,2856
"g1";14;-0,7081;0,7081
"operação";279;-0,7968;0,7968
"informação";20;0,4206;-0,4206
"fachin";70;0,6264;-0,6264
"público";52;0,9512;-0,9512
"lei";24;-0,6157;0,6157
"luiz";17;-0,8599;0,8599
"ler";11;-0,1836;0,1836
"presidente";69;-0,9528;0,9528
"f";13;-0,6575;0,6575
"julgamento";15;-0,7587;0,7587
"meio";17;-0,8599;0,8599
"gilmar";14;1,2278;-1,2278
"2015";13;-0,6575;0,6575
"2014";11;-0,1836;0,1836
"nada";13;0,37;-0,37
"dever";19;-0,9611;0,9611
"dar";26;0,2549;-0,2549
"mandato";14;0,3322;-0,3322
"edson";51;0,4861;-0,4861
"além";21;0,3865;-0,3865
"tempo";10;-0,5057;0,5057
"que";714;1,3365;-1,3365
"marcelo";30;-0,2386;0,2386
"pgr";22;0,3553;-0,3553
"marqueteiro";12;0,4131;-0,4131
"próximo";11;-0,1836;0,1836
"final";10;-0,5057;0,5057
"haver";59;-0,6801;0,6801
"quando";23;-0,5789;0,5789
"petrobras";37;0,4149;-0,4149
"criminoso";14;0,3322;-0,3322
"procurador_geral";19;-0,9611;0,9611
"mês";27;-0,3792;0,3792
"isso";25;-0,3266;0,3266
"milhão";43;-1,3758;1,3758
"ainda";32;-0,2786;0,2786
"explicar";10;-0,5057;0,5057
"ninguém";10;-0,5057;0,5057
"principal";14;-0,272;0,272
"atuar";21;-0,5066;0,5066
"tudo";11;0,9518;-0,9518
"trf4";10;-0,5057;0,5057
"palocci";22;-0,2528;0,2528
"agora";13;1,3356;-1,3356
"frigorífico";10;-0,5057;0,5057
"sérgio";10;0,5194;-0,5194
"supremo";20;0,7684;-0,7684
"eduardo";38;-0,2272;0,2272
"república";52;-1,1894;1,1894
"procuradoria";12;-0,6069;0,6069
"rodrigo";23;1,4668;-1,4668
"mesmo";24;0,3008;-0,3008
"possível";15;-0,3033;0,3033
"parte";21;0,7134;-0,7134
"paulo";15;-0,3033;0,3033
"estado";13;0,37;-0,37
"michel_temer";58;-0,9728;0,9728
"momento";17;0,2427;-0,2427
"deltan";18;1,3946;-1,3946
"fechar";11;-0,5563;0,5563
"preso";44;-0,9065;0,9065
"fato";21;-0,2297;0,2297
"determinar";11;-0,5563;0,5563
"odebrecht";80;-0,9426;0,9426
"sentença";11;-0,5563;0,5563
"ação";33;-0,5508;0,5508
"também";80;0,2814;-0,2814
"citar";17;0,9653;-0,9653
"questionar";17;0,9653;-0,9653
