"";"X.gr_01";"X.gr_02"
"medida";0,46;0,96
"sigilo";0,46;1,02
"fazer";1,83;3,34
"seis";0;0,62
"afirmar";0;2,89
"casal";0,92;0,62
"decidir";1,38;0,51
"abuso";0;0,62
"acordo";3,67;2,78
"sobre";3,67;4,42
"zavascki";0;0,91
"março";0;0,68
"outro";3,21;3,74
"gravar";0,92;0,51
"ir";17,89;14,84
"saber";0,92;0,51
"política";0,92;0,57
"político";1,83;2,32
"abaixo";0,46;0,51
"santana";2,29;0,62
"empreiteiro";0,92;0,91
"delator";1,38;1,81
"passado";0;0,91
"apreensão";0;0,57
"para";15,14;13,2
"valor";0,92;0,57
"fim";1,38;0,79
"9";0;0,62
"brasileiro";4,13;0,96
"até";1,38;1,13
"nunca";0,46;0,68
"três";0;1,19
"realizar";1,83;0,34
"ato";0,92;0,45
"deixar";0;0,57
"gravação";0,92;0,74
"segundo";1,38;3,06
"geral";0;0,74
"investigação";3,21;5,15
"após";0;1,3
"lula";6,42;6,85
"receber";1,83;1,64
"dois";0;1,76
"acusar";2,29;0,79
"responder";0;0,68
"aécio";4,59;3,23
"pmdb";1,83;0,62
"relator";4,59;4,87
"de";122,48;141,71
"12";0;0,57
"acreditar";0;0,57
"força_tarefa";2,75;1,7
"paraná";0,46;0,96
"sair";0,92;0,51
"vídeo";1,38;0,4
"falar";0,46;1,13
"com";8,26;12,35
"durante";3,67;1,36
"contrato";0;0,96
"documento";1,38;1,13
"homologar";0,46;0,51
"empresário";0;2,1
"livro";0;0,57
"aparecer";0,92;0,45
"depois";0,46;0,91
"algum";2,29;0,79
"deputado";0,92;1,25
"acusação";0,46;0,74
"antes";1,38;0,91
"ela";2,29;1,47
"ele";5,05;5,95
"passivo";0,46;1,08
"assim";1,38;0,51
"negar";0,46;0,96
"neve";3,67;1,25
"josé";1,83;1,08
"lavagem";0,46;1,7
"o";58,72;52,05
"sob";0,46;0,68
"novo";2,75;2,83
"foro";0,92;1,02
"conversa";0,46;1,53
"seguir";1,83;0,45
"privilegiado";0,92;0,85
