"";"*gr_01";"*gr_02"
"medida";1;17
"sigilo";1;18
"fazer";4;59
"seis";0;11
"afirmar";0;51
"casal";2;11
"decidir";3;9
"abuso";0;11
"acordo";8;49
"sobre";8;78
"zavascki";0;16
"março";0;12
"outro";7;66
"gravar";2;9
"ir";39;262
"saber";2;9
"política";2;10
"político";4;41
"abaixo";1;9
"santana";5;11
"empreiteiro";2;16
"delator";3;32
"passado";0;16
"apreensão";0;10
"para";33;233
"valor";2;10
"fim";3;14
"9";0;11
"brasileiro";9;17
"até";3;20
"nunca";1;12
"três";0;21
"realizar";4;6
"ato";2;8
"deixar";0;10
"gravação";2;13
"segundo";3;54
"geral";0;13
"investigação";7;91
"após";0;23
"lula";14;121
"receber";4;29
"dois";0;31
"acusar";5;14
"responder";0;12
"aécio";10;57
"pmdb";4;11
"relator";10;86
"de";267;2502
"12";0;10
"acreditar";0;10
"força_tarefa";6;30
"paraná";1;17
"sair";2;9
"vídeo";3;7
"falar";1;20
"com";18;218
"durante";8;24
"contrato";0;17
"documento";3;20
"homologar";1;9
"empresário";0;37
"livro";0;10
"aparecer";2;8
"depois";1;16
"algum";5;14
"deputado";2;22
"acusação";1;13
"antes";3;16
"ela";5;26
"ele";11;105
"passivo";1;19
"assim";3;9
"negar";1;17
"neve";8;22
"josé";4;19
"lavagem";1;30
"o";128;919
"sob";1;12
"novo";6;50
"foro";2;18
"conversa";1;27
"seguir";4;8
"privilegiado";2;15
"cumprir";1;13
"penal";3;11
"condenar";4;41
"imóvel";1;16
"esquema";4;13
"abertura";0;10
"entrevista";4;13
"menos";2;9
"ver";0;32
"vez";4;22
"curitiba";4;25
"autoridade";0;15
"dia";6;31
"querer";2;17
"joão";6;18
"cargo";1;10
"instituto";1;17
"jornal";3;7
"semana";3;14
"ministério";4;28
"tribunal";2;15
"você";3;7
"só";3;10
"encontrar";3;7
"conduzir";1;11
"primeiro";2;56
"justiça";7;41
"se";24;83
"turma";2;12
"mais";7;52
"passar";0;17
"maior";2;12
"desde";4;14
"em";102;1106
"eu";3;23
"precisar";2;11
"brasil";7;25
"ministro";12;91
"sistema";2;9
"voto";1;9
"2";2;28
"qual";0;28
