"";"X.gr_01";"X.gr_02"
"medida";-0,402;0,402
"sigilo";-0,4363;0,4363
"fazer";-0,7856;0,7856
"seis";-0,5563;0,5563
"afirmar";-2,5821;2,5821
"casal";0,37;-0,37
"decidir";0,8622;-0,8622
"abuso";-0,5563;0,5563
"acordo";0,5429;-0,5429
"sobre";-0,4125;0,4125
"zavascki";-0,8093;0,8093
"março";-0,6069;0,6069
"outro";-0,3554;0,3554
"gravar";0,4625;-0,4625
"ir";0,8042;-0,8042
"saber";0,4625;-0,4625
"política";0,4131;-0,4131
"político";-0,3564;0,3564
"abaixo";-0,1564;0,1564
"santana";1,6071;-1,6071
"empreiteiro";0,2191;-0,2191
"delator";-0,3431;0,3431
"passado";-0,8093;0,8093
"apreensão";-0,5057;0,5057
"para";0,5937;-0,5937
"valor";0,4131;-0,4131
"fim";0,5448;-0,5448
"9";-0,5563;0,5563
"brasileiro";2,9011;-2,9011
"até";0,3268;-0,3268
"nunca";-0,2415;0,2415
"três";-1,0624;1,0624
"realizar";1,7517;-1,7517
"ato";0,5194;-0,5194
"deixar";-0,5057;0,5057
"gravação";0,2987;-0,2987
"segundo";-0,9416;0,9416
"geral";-0,6575;0,6575
"investigação";-0,845;0,845
"após";-1,1636;1,1636
"lula";-0,3214;0,3214
"receber";0,3025;-0,3025
"dois";-1,5687;1,5687
"acusar";1,3018;-1,3018
"responder";-0,6069;0,6069
"aécio";0,7058;-0,7058
"pmdb";1,1311;-1,1311
"relator";-0,2921;0,2921
"de";-2,1378;2,1378
"12";-0,5057;0,5057
"acreditar";-0,5057;0,5057
"força_tarefa";0,7031;-0,7031
"paraná";-0,402;0,402
"sair";0,4625;-0,4625
"vídeo";1,0545;-1,0545
"falar";-0,5066;0,5066
"com";-1,2634;1,2634
"durante";1,7035;-1,7035
"contrato";-0,8599;0,8599
"documento";0,3268;-0,3268
"homologar";-0,1564;0,1564
"empresário";-1,8726;1,8726
"livro";-0,5057;0,5057
"aparecer";0,5194;-0,5194
"depois";-0,3684;0,3684
"algum";1,3018;-1,3018
"deputado";-0,3013;0,3013
"acusação";-0,272;0,272
"antes";0,4581;-0,4581
"ela";0,6018;-0,6018
"ele";-0,4344;0,4344
"passivo";-0,4712;0,4712
"assim";0,8622;-0,8622
"negar";-0,402;0,402
"neve";1,8725;-1,8725
"josé";0,6163;-0,6163
"lavagem";-0,8844;0,8844
"o";0,9806;-0,9806
"sob";-0,2415;0,2415
"novo";-0,2364;0,2364
"foro";-0,2074;0,2074
"conversa";-0,7672;0,7672
"seguir";1,4568;-1,4568
"privilegiado";0,2427;-0,2427
"cumprir";-0,272;0,272
"penal";0,7134;-0,7134
"condenar";-0,3564;0,3564
"imóvel";-0,3684;0,3684
"esquema";0,9653;-0,9653
"abertura";-0,5057;0,5057
"entrevista";0,9653;-0,9653
"menos";0,4625;-0,4625
"ver";-1,6193;1,6193
"vez";0,4967;-0,4967
"curitiba";0,4013;-0,4013
"autoridade";-0,7587;0,7587
"dia";0,6654;-0,6654
"querer";-0,1859;0,1859
"joão";1,3829;-1,3829
"cargo";-0,1836;0,1836
"instituto";-0,402;0,402
"jornal";1,0545;-1,0545
"semana";0,5448;-0,5448
"ministério";0,3247;-0,3247
"tribunal";0,2427;-0,2427
"você";1,0545;-1,0545
"só";0,7833;-0,7833
"encontrar";1,0545;-1,0545
"conduzir";-0,212;0,212
"primeiro";-1,4116;1,4116
"justiça";0,5653;-0,5653
"se";3,3091;-3,3091
"turma";0,3322;-0,3322
"mais";0,3229;-0,3229
"passar";-0,8599;0,8599
"maior";0,3322;-0,3322
"desde";0,8936;-0,8936
"em";-2,8142;2,8142
"eu";0,2549;-0,2549
"precisar";0,37;-0,37
"brasil";1,2579;-1,2579
"ministro";0,3362;-0,3362
"sistema";0,4625;-0,4625
"voto";-0,1564;0,1564
"2";-0,4626;0,4626
"qual";-1,4168;1,4168
"10";1,5942;-1,5942
"19";-0,5563;0,5563
"18";-0,6575;0,6575
"fase";-0,4865;0,4865
"ano";-0,8127;0,8127
"apresentado";-0,5563;0,5563
"nota";-0,2528;0,2528
"renan";-0,272;0,272
"prestar";-0,3033;0,3033
"continuar";-0,1836;0,1836
"quinta_feira";-0,3684;0,3684
"qualquer";-0,4712;0,4712
"teori";-1,0624;1,0624
"crime";0,4308;-0,4308
"ex_ministro";-0,5425;0,5425
"estar";3,49;-3,49
"já";0,2885;-0,2885
"e_mail";-0,5057;0,5057
"razão";-0,6069;0,6069
"contar";-0,6157;0,6157
"um";1,2827;-1,2827
"federal";0,4831;-0,4831
"mônica";0,2427;-0,2427
"proposta";0,9518;-0,9518
"como";-0,4789;0,4789
"câmara";0,2348;-0,2348
"por";-0,4902;0,4902
"ricardo";1,0545;-1,0545
"entregar";0,4206;-0,4206
"cunha";0,3739;-0,3739
"pessoa";-0,5645;0,5645
"uma";2,4131;-2,4131
"dallagnol";2,4394;-2,4394
"caso";0,3968;-0,3968
"alvo";-0,4343;0,4343
"prisão";-1,6315;1,6315
"então";-1,0624;1,0624
"processo";-0,6776;0,6776
"imprensa";2,38;-2,38
"4";-0,4712;0,4712
"polícia";0,6654;-0,6654
"tanto";0,9518;-0,9518
"vário";-0,1836;0,1836
"hoje";0,5194;-0,5194
"pagamento";-0,3684;0,3684
"_";-2,3286;2,3286
"empresa";-0,8844;0,8844
"janot";0,6297;-0,6297
"último";1,496;-1,496
"ex_presidente";-0,9385;0,9385
"advogado";0,5959;-0,5959
"batista";-1,5687;1,5687
"investigado";-0,9639;0,9639
"sexta_feira";-0,5563;0,5563
"11";-0,1836;0,1836
"juiz";0,4073;-0,4073
"defesa";-0,538;0,538
"partido";0,2691;-0,2691
"5";-0,1836;0,1836
"pedir";0,3824;-0,3824
"joesley";-2,6328;2,6328
"grupo";0,2691;-0,2691
"apartamento";-0,7081;0,7081
"dilma";1,2579;-1,2579
"sociedade";-0,1564;0,1564
"mpf";1,4668;-1,4668
"decisão";0,8424;-0,8424
"ter";-0,3181;0,3181
"sua";0,4414;-0,4414
"propina";-0,2616;0,2616
"muito";0,4581;-0,4581
"vir";1,2166;-1,2166
"corte";-0,7587;0,7587
"começar";-0,5563;0,5563
"6";-0,9105;0,9105
"incluir";-0,1564;0,1564
"avanço";-0,9105;0,9105
"levar";-0,2074;0,2074
"procurador";0,6903;-0,6903
"projeto";-0,1836;0,1836
