"";"X.gr_01";"X.gr_02"
"adv";0,7824;-0,7824
"nom";-0,9537;0,9537
"pre";-4,1712;4,1712
"ver";2,8242;-2,8242
"pro_pos";0,678;-0,678
"pro_per";2,0013;-2,0013
"ver_sup";1,7838;-1,7838
"nom_sup";0,4615;-0,4615
"art_def";1,8789;-1,8789
"adj_num";-5,8821;5,8821
"pro_dem";0,4933;-0,4933
"pro_int";-0,893;0,893
"num";-0,8173;0,8173
"ono";0,3432;-0,3432
"pro_rel";1,0329;-1,0329
"adj_sup";-0,105;0,105
"nr";-1,5461;1,5461
"pro_ind";0,7722;-0,7722
"adj";2,0011;-2,0011
"conj";-0,378;0,378
"adv_sup";0,9435;-0,9435
