"";"banalfreq";"X.gr_01";"X.gr_02"
"tratar";22;0,3803;-0,3803
"pedro";14;-0,1842;0,1842
"presente";13;1,4844;-1,4844
"prazo";10;0,3468;-0,3468
"fazer";184;1,1484;-1,1484
"reforma";32;-1,4156;1,4156
"magistrado";13;-0,3932;0,3932
"decidir";24;0,8719;-0,8719
"fhc";10;0,7551;-0,7551
"segurança";26;0,2575;-0,2575
"hora";11;1,1725;-1,1725
"vizinho";11;-0,7677;0,7677
"entanto";12;-0,8376;0,8376
"sobre";107;0,4938;-0,4938
"8a";12;0,2593;-0,2593
"guido";12;-0,3472;0,3472
"declarar";19;0,2588;-0,2588
"continuar";15;0,7631;-0,7631
"pouco";20;0,4625;-0,4625
"pertencer";24;-0,9605;0,9605
"destruir";13;1,4844;-1,4844
"existir";13;0,9411;-0,9411
"política";34;0,6334;-0,6334
"político";54;0,772;-0,772
"adquirir";13;0,5198;-0,5198
"abaixo";14;1,3477;-1,3477
"referência";11;-0,7677;0,7677
"tríplex";10;-0,6979;0,6979
"santana";15;-1,047;1,047
"alegre";20;-0,3846;0,3846
"sede";35;-0,6657;0,6657
"bolsonaro";21;-0,4225;0,4225
"mês";44;-0,2883;0,2883
"ordem";12;-0,3472;0,3472
"fichar";14;-0,9772;0,9772
"passado";24;0,3129;-0,3129
"liberdade";14;-0,4404;0,4404
"gente";28;-0,2246;0,2246
"valor";49;-1,2654;1,2654
"fim";27;-0,381;0,381
"9";37;0,3219;-0,3219
"dirigente";11;-0,7677;0,7677
"brasileiro";41;-0,2279;0,2279
"perguntar";10;-0,6979;0,6979
"até";80;1,1115;-1,1115
"carlos";10;-0,2596;0,2596
"propina";70;-1,3851;1,3851
"procurar";17;-0,5884;0,5884
"nunca";43;-0,2674;0,2674
"presidencial";15;0,4101;-0,4101
"três";31;-0,2977;0,2977
"entrar";18;1,9526;-1,9526
"realizar";37;-0,4688;0,4688
"ato";35;-0,4084;0,4084
"deixar";32;-0,5528;0,5528
"movimento";11;0,2994;-0,2994
"segundo";134;-0,8498;0,8498
"investigação";35;0,5912;-0,5912
"recurso";67;-1,6596;1,6596
"após";53;-1,0494;1,0494
"protocolar";13;1,4844;-1,4844
"este";18;-1,2564;1,2564
"esta";15;-0,2139;0,2139
"longo";12;0,2593;-0,2593
"receber";88;0,6435;-0,6435
"dois";56;-1,5988;1,5988
"acusar";38;0,4801;-0,4801
"responder";27;-0,2023;0,2023
"aécio";10;1,316;-1,316
"ativo";11;0,2994;-0,2994
"aliado";11;-0,3027;0,3027
"sul";15;-1,047;1,047
"melhor";11;1,8182;-1,8182
"desembargador";37;-1,1403;1,1403
"relator";25;-1,016;1,016
"pacto";11;-0,3027;0,3027
"de";4851;-1,4405;1,4405
"propriedade";13;-0,9074;0,9074
