"";"X.gr_01";"X.gr_02"
"tratar";0,65;0,51
"pedro";0,32;0,34
"presente";0,81;0,23
"prazo";0,32;0,23
"fazer";5,66;4,2
"reforma";0,16;0,87
"afirmar";1,29;3,81
"magistrado";0,16;0,34
"decidir";0,97;0,51
"fhc";0,49;0,2
"segurança";0,65;0,62
"hora";0,65;0,2
"vizinho";0;0,31
"acordo";3,07;1,18
"entanto";0;0,34
"sobre";2,91;2,51
"8a";0,32;0,28
"guido";0,16;0,31
"declarar";0,49;0,45
"continuar";0,65;0,31
"pouco";0,65;0,45
"pertencer";0,16;0,65
"destruir";0,81;0,23
"existir";0,65;0,25
"política";1,13;0,76
"político";1,78;1,21
"adquirir";0,49;0,28
"abaixo";0,81;0,25
"referência";0;0,31
"tríplex";0;0,28
"santana";0;0,42
"empreiteiro";2,1;0,59
"alegre";0,32;0,51
"sede";0,49;0,9
"bolsonaro";0,32;0,54
"mês";0,97;1,07
"ordem";0,16;0,31
"fichar";0;0,39
"passado";0,65;0,56
"liberdade";0,16;0,37
"gente";0,65;0,68
"valor";0,49;1,3
"fim";0,49;0,68
"9";0,97;0,87
"dirigente";0;0,31
"brasileiro";0,97;0,99
"perguntar";0;0,28
"até";2,75;1,78
"carlos";0,16;0,25
"propina";0,81;1,83
"procurar";0,16;0,45
"nunca";0,97;1,04
"presidencial";0,49;0,34
"três";0,65;0,76
"entrar";1,13;0,31
"realizar";0,65;0,93
"ato";0,65;0,87
"deixar";0,49;0,82
"movimento";0,32;0,25
"segundo";2,43;3,36
"abrir";0,81;0,14
"investigação";1,13;0,79
"recurso";0,65;1,78
"após";0,65;1,38
"protocolar";0,81;0,23
"este";0;0,51
"esta";0,32;0,37
"longo";0,32;0,28
"lula";45,79;38,81
"receber";2,59;2,03
"dois";0,49;1,49
"acusar";1,13;0,87
"responder";0,65;0,65
"aécio";0,65;0,17
"ativo";0,32;0,25
"aliado";0,16;0,28
"sul";0;0,42
"melhor";0,81;0,17
"desembargador";0,32;0,99
"relator";0,16;0,68
"pacto";0,16;0,28
"de";109,69;117,69
"propriedade";0;0,37
"12";0;0,87
"comprar";0,97;0,54
"manifestação";0;0,31
"acreditar";0,49;0,51
"bloqueio";0,16;0,37
"paraná";0,49;0,37
"marcar";0,49;0,54
"sair";0,49;0,42
"vídeo";1,62;0,28
"meu";0,97;0,25
"terreno";0,65;0,71
"com";11,33;10,83
"contrato";1,13;1,02
"judiciário";0,16;0,25
"março";0,32;0,37
"documento";0,81;0,99
"usado";0,97;0,45
"medida";0,16;0,42
"passivo";0,81;0,87
"encontrar";0,49;0,45
"cidade";0,16;0,31
"ir";13,1;12,16
"exterior";0;0,39
"discurso";0,97;0,37
"evitar";0,16;0,25
"empresário";0,97;1,07
"livre";0;0,28
"sangue";0;0,28
"aparecer";0,49;0,25
"depois";0,49;1,1
"campo";0;0,59
"algum";0,65;0,25
"deputado";1,62;0,73
"destacar";0,49;0,48
"acusação";0,65;1,18
"okamotto";0;0,39
"antes";1,13;0,79
"ela";0,49;0,87
"candidato";0,32;0,76
"ele";10,03;6,77
"declaração";0;0,76
"povo";0,32;0,37
"assim";0,81;0,45
"negar";0,97;1,3
"beneficiar";0,32;0,39
"esquema";1,29;0,65
"apontar";0,81;0,39
"muito";1,29;0,9
"uma";10,19;7,16
"carta";0;0,34
"ciro";0,65;0,39
"ainda";1,29;2,34
"o";54,36;51,61
"emilio";0;0,65
"sob";0,49;0,2
"civil";0,49;0,56
"novo";0,49;1,18
"começar";0,81;0,51
"esposo";0,16;0,42
"conversa";0,65;0,34
"devido";0;0,28
"cumprir";0,16;0,34
"penal";0,32;0,79
"ganhar";0,81;0,23
"inclusive";0;0,37
"condenar";2,1;1,72
"jamais";0,32;0,45
"saber";1,29;1,55
"eventual";0;0,37
"imóvel";0;2,23
"publicar";0,49;0,23
"rejeitar";0,16;0,34
"incluir";0,32;0,39
"teixeira";0,65;0,51
"aí";0,32;0,28
"5";0,65;0,54
"interrogatório";0,32;0,28
"entrevista";0,16;0,37
"menos";1,13;0,39
"ver";1,78;1,13
"vez";3,72;0,87
"curitiba";1,62;0,59
"quase";0,81;0,14
"me";1,13;0,76
"dia";1,62;2,48
"querer";2,43;1,35
"inocência";0;0,42
"planilha";0;0,31
"seis";0,32;0,37
"joão";0,32;0,99
"situação";0,49;0,23
"cargo";0,49;0,45
"michel_temer";0,49;0,71
"pena";0,81;0,9
"santo";0,32;0,25
"diálogo";0,32;0,23
"audiência";0,81;0,37
"você";2,27;0,56
"só";1,62;0,68
"tirar";0,65;0,25
"construir";0,32;0,28
"início";0,32;0,31
"colocar";0,97;0,37
"1";0,49;0,48
"justiça";3,07;1,92
"data";0,32;0,25
"sp";0,49;0,71
"se";9,71;6,4
"turma";0,65;0,45
"citado";0,97;0,23
"forma";0,65;0,85
"mais";8,25;2,48
"passar";0,97;0,73
"jornalista";0,81;0,17
"questão";0,32;0,28
"maior";0,49;0,42
"determinar";0,16;0,45
"adversário";0;0,28
"desde";0,81;0,73
"citar";0,32;0,68
"eu";1,78;2,88
"glauco";0;0,48
"precisar";0,97;0,45
"limpo";0;0,39
"porcento";0,97;0,23
"brasil";3,72;1,3
"ministro";0,81;1,38
"líder";0,49;0,56
"voto";0,32;0,87
"2";0,65;0,59
"aceitar";0;0,37
"qual";0,65;0,79
"doação";0;0,48
"10";0,97;0,62
