"";"*gr_01";"*gr_02"
"tratar";4;18
"pedro";2;12
"presente";5;8
"prazo";2;8
"fazer";35;149
"reforma";1;31
"afirmar";8;135
"magistrado";1;12
"decidir";6;18
"fhc";3;7
"segurança";4;22
"hora";4;7
"vizinho";0;11
"acordo";19;42
"entanto";0;12
"sobre";18;89
"8a";2;10
"guido";1;11
"declarar";3;16
"continuar";4;11
"pouco";4;16
"pertencer";1;23
"destruir";5;8
"existir";4;9
"política";7;27
"político";11;43
"adquirir";3;10
"abaixo";5;9
"referência";0;11
"tríplex";0;10
"santana";0;15
"empreiteiro";13;21
"alegre";2;18
"sede";3;32
"bolsonaro";2;19
"mês";6;38
"ordem";1;11
"fichar";0;14
"passado";4;20
"liberdade";1;13
"gente";4;24
"valor";3;46
"fim";3;24
"9";6;31
"dirigente";0;11
"brasileiro";6;35
"perguntar";0;10
"até";17;63
"carlos";1;9
"propina";5;65
"procurar";1;16
"nunca";6;37
"presidencial";3;12
"três";4;27
"entrar";7;11
"realizar";4;33
"ato";4;31
"deixar";3;29
"movimento";2;9
"segundo";15;119
"abrir";5;5
"investigação";7;28
"recurso";4;63
"após";4;49
"protocolar";5;8
"este";0;18
"esta";2;13
"longo";2;10
"lula";283;1376
"receber";16;72
"dois";3;53
"acusar";7;31
"responder";4;23
"aécio";4;6
"ativo";2;9
"aliado";1;10
"sul";0;15
"melhor";5;6
"desembargador";2;35
"relator";1;24
"pacto";1;10
"de";678;4173
"propriedade";0;13
"12";0;31
"comprar";6;19
"manifestação";0;11
"acreditar";3;18
"bloqueio";1;13
"paraná";3;13
"marcar";3;19
"sair";3;15
"vídeo";10;10
"meu";6;9
"terreno";4;25
"com";70;384
"contrato";7;36
"judiciário";1;9
"março";2;13
"documento";5;35
"usado";6;16
"medida";1;15
"passivo";5;31
"encontrar";3;16
"cidade";1;11
"ir";81;431
"exterior";0;14
"discurso";6;13
"evitar";1;9
"empresário";6;38
"livre";0;10
"sangue";0;10
"aparecer";3;9
"depois";3;39
"campo";0;21
"algum";4;9
"deputado";10;26
"destacar";3;17
"acusação";4;42
"okamotto";0;14
"antes";7;28
"ela";3;31
"candidato";2;27
"ele";62;240
"declaração";0;27
"povo";2;13
"assim";5;16
"negar";6;46
"beneficiar";2;14
"esquema";8;23
"apontar";5;14
"muito";8;32
"uma";63;254
"carta";0;12
"ciro";4;14
"ainda";8;83
"o";336;1830
"emilio";0;23
"sob";3;7
"civil";3;20
"novo";3;42
"começar";5;18
"esposo";1;15
"conversa";4;12
"devido";0;10
"cumprir";1;12
"penal";2;28
"ganhar";5;8
"inclusive";0;13
"condenar";13;61
"jamais";2;16
"saber";8;55
"eventual";0;13
"imóvel";0;79
"publicar";3;8
"rejeitar";1;12
"incluir";2;14
"teixeira";4;18
"aí";2;10
"5";4;19
"interrogatório";2;10
"entrevista";1;13
"menos";7;14
"ver";11;40
"vez";23;31
"curitiba";10;21
"quase";5;5
"me";7;27
"dia";10;88
"querer";15;48
"inocência";0;15
"planilha";0;11
"seis";2;13
"joão";2;35
"situação";3;8
"cargo";3;16
"michel_temer";3;25
"pena";5;32
"santo";2;9
"diálogo";2;8
"audiência";5;13
"você";14;20
"só";10;24
"tirar";4;9
"construir";2;10
"início";2;11
"colocar";6;13
"1";3;17
"justiça";19;68
"data";2;9
"sp";3;25
"se";60;227
"turma";4;16
"citado";6;8
"forma";4;30
"mais";51;88
"passar";6;26
"jornalista";5;6
"questão";2;10
"maior";3;15
"determinar";1;16
"adversário";0;10
"desde";5;26
"citar";2;24
"eu";11;102
"glauco";0;17
"precisar";6;16
"limpo";0;14
"porcento";6;8
"brasil";23;46
"ministro";5;49
"líder";3;20
"voto";2;31
"2";4;21
"aceitar";0;13
"qual";4;28
"doação";0;17
"10";6;22
"15";1;9
"número";1;9
"16";0;12
"pegar";4;6
"ocasião";1;10
"fase";2;12
"pro";7;24
"ano";14;107
"apresentado";0;21
"preventivo";2;9
"unidade";0;12
"objectivo";2;9
"nota";3;32
"disputar";1;11
"conhecimento";0;14
"atibaia";2;17
"prestar";2;28
"neto";1;22
"qualquer";5;69
"realmente";4;8
"ouvir";0;14
"crime";9;41
"ex_ministro";6;48
"disputa";4;12
"já";16;72
"referir";5;13
"época";5;13
"contar";5;36
"dinheiro";19;66
"federal";16;98
"3";5;20
"estar";38;159
"achar";9;18
"manifestar";0;12
"como";21;164
"solicitar";0;15
"acabar";3;14
"ontem";4;6
"entregar";2;15
"cunha";0;14
"pessoa";7;37
"família";2;38
"ilegal";0;13
"partido";6;42
"casa";6;29
"caso";9;88
"alvo";1;17
"prisão";13;68
"evento";5;5
"argumento";2;11
"pai";0;10
"regime";2;8
"junto";2;13
"costa";4;7
"força_tarefa";1;14
"então";4;32
"processo";7;121
"guarujá";5;27
"rousseff";3;32
"4";3;35
"bernardo";2;23
"por";79;583
"lado";2;11
"viver";0;13
"dito";2;8
"sítio";6;24
"definir";0;12
"hoje";9;26
"criticar";0;14
"ocorrer";0;12
"chefe";2;13
"_";0;98
"empresa";9;48
"público";13;63
"vantagem";1;12
"último";10;27
"ex_presidente";56;435
"agora";7;21
"terça_feira";0;15
"marisa";3;46
"advogado";20;96
"batista";1;11
"ao";45;303
"honesto";11;0
"juiz";25;112
"defesa";20;151
"denunciar";0;18
"2006";0;14
"pedir";18;54
"registro";1;9
"pesquisa";3;17
"grupo";5;14
"apartamento";6;93
"dilma";25;104
"claro";1;15
"inquérito";0;14
"mpf";6;56
"decisão";3;85
"empreendimento";2;10
"provar";6;8
"ter";66;337
"sua";20;100
"intenção";0;11
"comprovar";2;9
"conta";4;14
"social";3;15
"acontecer";5;16
"trecho";1;10
"vir";14;28
"reunião";0;19
"corte";3;14
"trf_4";2;51
"silva";2;48
"6";1;25
"mercadante";0;13
"levar";7;26
"procurador";3;33
"relatar";2;13
"voltar";5;12
"juízo";0;10
"não";82;399
"plano";2;11
"bumlai";0;13
"esperar";5;16
"mantega";2;10
"a";305;1893
"dentro";2;9
"grande";3;22
"doutor";0;11
"delação";10;31
"24";1;22
"20";3;9
"ficar";8;39
"polícia";5;23
"porto";2;18
"pedido";12;67
"cercar";5;17
"ilícito";3;13
"fossar";3;13
"fotógrafo";13;1
"envolver";1;23
"operação";8;53
"trf";3;29
"todo";20;85
"nosso";3;7
"item";0;10
"7";2;8
"caravana";0;19
"analisar";2;15
"verdade";4;18
"obra";1;16
"divulgar";3;14
"dono";6;38
"nome";4;33
"contra";7;90
"corrêa";4;10
"para";85;454
"país";21;36
"corpus";4;18
"stf";7;75
"fevereiro";0;11
"conhecer";4;8
"causa";3;7
"stj";2;18
"assistir";3;8
"antonio";1;15
"brasília";3;14
"palácio";0;11
"duque";0;22
"tentar";11;20
"essa";6;42
"esse";15;47
"minha";8;15
"setor";1;10
"atuação";0;12
"réu";5;46
"história";5;14
"defender";6;29
"sustentar";2;8
"quem";9;17
"porque";15;45
"meio";1;26
"assumir";0;12
"cota";0;10
"seu";25;74
"ser";171;718
"demonstrar";3;14
"sem";5;48
"esclarecer";2;8
"lava_jato";13;102
"ninguém";6;9
"pagar";6;27
"eleitoral";0;27
"parecer";2;11
"eleição";4;43
"considerar";0;20
"filho";10;29
"agente";1;9
"senador";6;19
"dizer";46;284
"nacional";2;21
"léo";5;18
"criar";4;9
"chegar";3;30
"denúncia";3;56
"pf";15;19
"uscifrão";2;12
"instituto";15;93
"opinião";2;9
"impedir";0;13
"vário";1;11
"premiar";6;11
"real";2;8
"rio";2;12
"preso";8;35
"nós";1;23
"campanha";2;29
"próprio";4;27
"bom";4;14
"fato";7;34
"apenas";0;29
"segunda_feira";0;10
"esquerdo";1;10
"entre";9;56
"recorrer";2;22
"conversar";1;10
"apresentar";2;40
"mandar";4;15
"ajudar";2;10
"informar";6;19
"tomar";2;10
"habeas";4;18
"italiano";0;12
"semana";4;14
"permitir";1;12
"aquele";6;10
"mostrar";5;17
"apoio";6;12
"suposto";0;21
"autoridade";1;13
"presidente";14;143
"rua";3;7
"prova";4;60
"condenação";3;78
"jornal";3;10
"acompanhar";0;15
"sindicato";0;12
"gebran";0;14
"planalto";1;14
"dúvida";1;10
"poder";33;96
"votar";2;15
"quinta_feira";1;12
"governo";15;95
"responsável";2;18
"região";2;28
"cio";0;18
"nomeação";0;15
"um";103;343
"corrupção";15;69
"fechado";2;10
"odebrecht";12;103
"sérgio_moro";44;153
"diverso";5;11
"imposto";0;11
"tentativa";1;15
"lembrar";1;11
"imprensa";5;14
"pagamento";0;37
"inocente";3;11
"visita";0;19
"vaccari";1;13
"e";196;1068
"participar";3;24
"relação";5;37
"dirceu";3;12
"mentira";4;7
"manter";2;30
"ataque";3;7
"nenhum";5;25
"palavra";2;19
"jurídico";1;9
"depoimento";24;101
"tribunal";4;46
"oas";6;70
"entender";3;11
"informação";9;16
"fachin";1;11
"lei";2;37
"ler";4;11
"destinar";0;17
"partir";3;13
"comentar";3;9
"uso";0;10
"chamado";1;11
"8";3;9
"período";1;17
"josé";7;31
"julgamento";2;72
"tal";4;10
"haddad";0;14
"pergunta";1;10
"assessoria";1;9
"martins";0;25
"isso";13;59
"contato";1;11
"repasse";0;10
"joesley";1;20
"volta";4;8
"superior";2;23
"econômico";1;13
"2018";6;11
"2014";3;26
"2010";0;16
"2013";1;17
"nada";5;12
"dever";5;42
"dar";19;41
"mandato";0;14
"importante";1;9
"senhor";0;20
"letícia";3;22
"triplex";10;75
"mensalão";0;12
"cada";5;5
"lá";6;7
"primeiro";7;46
"praticar";3;13
"tempo";7;19
"que";238;1309
"compra";1;34
"direito";4;27
"marcelo";3;51
"além";9;24
"único";0;12
"próximo";7;16
"final";1;25
"discutir";0;12
"haver";16;128
"quando";6;63
"quanto";2;8
"petrobras";8;46
"criminoso";4;13
"bem";2;29
"roberto";6;19
"sofrer";6;6
"falso";2;11
"mil";10;14
"milhão";6;78
"ministério";7;41
"costamarques";0;16
"outro";19;87
"tornar";3;9
"julgar";2;16
"petista";30;70
"principal";1;22
"trabalho";3;7
"atuar";0;14
"tiro";0;10
"tudo";11;17
"pensar";1;9
"local";2;8
"alegar";4;11
"impeachment";5;13
"trf4";1;17
"palocci";6;79
"luiz";2;20
"favor";6;16
"confirmar";9;32
"cristiano";2;25
"frente";3;9
"trabalhar";1;9
"petrobrás";0;10
"aqui";0;20
"conseguir";3;14
"manhã";0;12
"ex_primeira_dama";0;10
"amigo";4;14
"eduardo";1;20
"pinheiro";3;30
"mundo";3;9
"versão";1;9
"2016";2;14
"república";6;51
"chamar";12;8
"homem";6;6
"possibilidade";3;15
"falar";12;48
"mesmo";12;55
"possível";1;20
"parte";6;37
"referente";0;10
"janeiro";1;18
"quarta_feira";1;23
"presidência";3;37
"paulo";9;80
"íntegro";0;14
"estado";1;17
"setembro";0;10
"executivo";4;11
"momento";3;29
"rcifrão";15;82
"testemunha";0;16
"vida";4;8
"janot";8;5
"alguma";4;7
"durante";18;44
"fernando";3;23
"crise";2;8
"análise";1;9
"demais";2;8
"zanin";4;28
"assinar";1;11
"morrer";5;7
"sentença";6;37
"candidatura";0;18
"pt";11;133
"ação";3;44
"também";18;126
"henrique";1;9
"em";195;1691
"indevido";2;13
"banco";1;9
"questionar";4;13
"encontro";4;17
"troca";1;10
"instância";5;51
"embargo";0;12
"lavagem";7;41
"democracia";3;15
"construtor";1;14
"ina";0;14
"coisa";5;17
"investigar";0;11
"prático";2;9
"assunto";3;18
"recibo";0;26
"câmara";0;14
"benefício";0;14
"sempre";3;20
"4a";2;23
