"";"X.gr_01";"X.gr_02"
"tratar";0,3803;-0,3803
"pedro";-0,1842;0,1842
"presente";1,4844;-1,4844
"prazo";0,3468;-0,3468
"fazer";1,1484;-1,1484
"reforma";-1,4156;1,4156
"afirmar";-3,339;3,339
"magistrado";-0,3932;0,3932
"decidir";0,8719;-0,8719
"fhc";0,7551;-0,7551
"segurança";0,2575;-0,2575
"hora";1,1725;-1,1725
"vizinho";-0,7677;0,7677
"acordo";3,0134;-3,0134
"entanto";-0,8376;0,8376
"sobre";0,4938;-0,4938
"8a";0,2593;-0,2593
"guido";-0,3472;0,3472
"declarar";0,2588;-0,2588
"continuar";0,7631;-0,7631
"pouco";0,4625;-0,4625
"pertencer";-0,9605;0,9605
"destruir";1,4844;-1,4844
"existir";0,9411;-0,9411
"política";0,6334;-0,6334
"político";0,772;-0,772
"adquirir";0,5198;-0,5198
"abaixo";1,3477;-1,3477
"referência";-0,7677;0,7677
"tríplex";-0,6979;0,6979
"santana";-1,047;1,047
"empreiteiro";3,1438;-3,1438
"alegre";-0,3846;0,3846
"sede";-0,6657;0,6657
"bolsonaro";-0,4225;0,4225
"mês";-0,2883;0,2883
"ordem";-0,3472;0,3472
"fichar";-0,9772;0,9772
"passado";0,3129;-0,3129
"liberdade";-0,4404;0,4404
"gente";-0,2246;0,2246
"valor";-1,2654;1,2654
"fim";-0,381;0,381
"9";0,3219;-0,3219
"dirigente";-0,7677;0,7677
"brasileiro";-0,2279;0,2279
"perguntar";-0,6979;0,6979
"até";1,1115;-1,1115
"carlos";-0,2596;0,2596
"propina";-1,3851;1,3851
"procurar";-0,5884;0,5884
"nunca";-0,2674;0,2674
"presidencial";0,4101;-0,4101
"três";-0,2977;0,2977
"entrar";1,9526;-1,9526
"realizar";-0,4688;0,4688
"ato";-0,4084;0,4084
"deixar";-0,5528;0,5528
"movimento";0,2994;-0,2994
"segundo";-0,8498;0,8498
"abrir";2,0254;-2,0254
"investigação";0,5912;-0,5912
"recurso";-1,6596;1,6596
"após";-1,0494;1,0494
"protocolar";1,4844;-1,4844
"este";-1,2564;1,2564
"esta";-0,2139;0,2139
"longo";0,2593;-0,2593
"lula";2,2245;-2,2245
"receber";0,6435;-0,6435
"dois";-1,5988;1,5988
"acusar";0,4801;-0,4801
"responder";-0,2023;0,2023
"aécio";1,316;-1,316
"ativo";0,2994;-0,2994
"aliado";-0,3027;0,3027
"sul";-1,047;1,047
"melhor";1,8182;-1,8182
"desembargador";-1,1403;1,1403
"relator";-1,016;1,016
"pacto";-0,3027;0,3027
"de";-1,4405;1,4405
"propriedade";-0,9074;0,9074
"12";-2,1642;2,1642
"comprar";0,8075;-0,8075
"manifestação";-0,7677;0,7677
"acreditar";-0,2081;0,2081
"bloqueio";-0,4404;0,4404
"paraná";0,365;-0,365
"marcar";-0,234;0,234
"sair";0,29;-0,29
"vídeo";3,645;-3,645
"meu";1,7963;-1,7963
"terreno";-0,248;0,248
"com";0,4151;-0,4151
"contrato";0,3375;-0,3375
"judiciário";-0,2596;0,2596
"março";-0,2139;0,2139
"documento";-0,3533;0,3533
"usado";1,0177;-1,0177
"medida";-0,5381;0,5381
"passivo";-0,2587;0,2587
"encontrar";0,2588;-0,2588
"cidade";-0,3472;0,3472
"ir";0,5473;-0,5473
"exterior";-0,9772;0,9772
"discurso";1,2894;-1,2894
"evitar";-0,2596;0,2596
"empresário";-0,2883;0,2883
"livre";-0,6979;0,6979
"sangue";-0,6979;0,6979
"aparecer";0,587;-0,587
"depois";-0,9524;0,9524
"campo";-1,4659;1,4659
"algum";0,9411;-0,9411
"deputado";1,4828;-1,4828
"destacar";0,231;-0,231
"acusação";-0,7767;0,7767
"okamotto";-0,9772;0,9772
"antes";0,5912;-0,5912
"ela";-0,6273;0,6273
"candidato";-0,7594;0,7594
"ele";2,3402;-2,3402
"declaração";-1,8849;1,8849
"povo";-0,2139;0,2139
"assim";0,7178;-0,7178
"negar";-0,4808;0,4808
"beneficiar";-0,2453;0,2453
"esquema";1,1068;-1,1068
"apontar";0,8547;-0,8547
"muito";0,6289;-0,6289
"uma";2,051;-2,051
"carta";-0,8376;0,8376
"ciro";0,5636;-0,5636
"ainda";-1,2012;1,2012
"o";0,7157;-0,7157
"emilio";-1,6055;1,6055
"sob";0,7551;-0,7551
"civil";-0,2611;0,2611
"novo";-1,0837;1,0837
"começar";0,6041;-0,6041
"esposo";-0,5381;0,5381
"conversa";0,689;-0,689
"devido";-0,6979;0,6979
"cumprir";-0,3932;0,3932
"penal";-0,805;0,805
"ganhar";1,4844;-1,4844
"inclusive";-0,9074;0,9074
"condenar";0,5229;-0,5229
"jamais";-0,3123;0,3123
"saber";-0,402;0,402
"eventual";-0,9074;0,9074
"imóvel";-5,5187;5,5187
"publicar";0,6646;-0,6646
"rejeitar";-0,3932;0,3932
"incluir";-0,2453;0,2453
"teixeira";0,3803;-0,3803
"aí";0,2593;-0,2593
"5";0,345;-0,345
"interrogatório";0,2593;-0,2593
"entrevista";-0,4404;0,4404
"menos";1,5646;-1,5646
"ver";0,899;-0,899
"vez";6,0823;-6,0823
"curitiba";1,9395;-1,9395
"quase";2,0254;-2,0254
"me";0,6334;-0,6334
"dia";-0,914;0,914
"querer";1,3984;-1,3984
"inocência";-1,047;1,047
"planilha";-0,7677;0,7677
"seis";-0,2139;0,2139
"joão";-1,1403;1,1403
"situação";0,6646;-0,6646
"cargo";0,2588;-0,2588
"michel_temer";-0,4135;0,4135
"pena";-0,2811;0,2811
"santo";0,2994;-0,2994
"diálogo";0,3468;-0,3468
"audiência";0,9338;-0,9338
"você";3,7424;-3,7424
"só";1,6501;-1,6501
"tirar";0,9411;-0,9411
"construir";0,2593;-0,2593
"início";0,225;-0,225
"colocar";1,2894;-1,2894
"1";0,231;-0,231
"justiça";1,2913;-1,2913
"data";0,2994;-0,2994
"sp";-0,4135;0,4135
"se";2,4634;-2,4634
"turma";0,4625;-0,4625
"citado";1,9608;-1,9608
"forma";-0,3794;0,3794
"mais";9,7557;-9,7557
"passar";0,4734;-0,4734
"jornalista";1,8182;-1,8182
"questão";0,2593;-0,2593
"maior";0,29;-0,29
"determinar";-0,5884;0,5884
"adversário";-0,6979;0,6979
"desde";0,3044;-0,3044
"citar";-0,6268;0,6268
"eu";-1,1204;1,1204
"glauco";-1,1866;1,1866
"precisar";1,0177;-1,0177
"limpo";-0,9772;0,9772
"porcento";1,9608;-1,9608
"brasil";4,0199;-4,0199
"ministro";-0,7749;0,7749
"líder";-0,2611;0,2611
"voto";-0,9454;0,9454
"2";0,2839;-0,2839
"aceitar";-0,9074;0,9074
"qual";-0,324;0,324
"doação";-1,1866;1,1866
"10";0,6422;-0,6422
"15";-0,2596;0,2596
"número";-0,2596;0,2596
"16";-0,8376;0,8376
"pegar";1,316;-1,316
"ocasião";-0,3027;0,3027
"fase";-0,1842;0,1842
"pro";0,7786;-0,7786
"ano";-0,7228;0,7228
"apresentado";-1,4659;1,4659
"preventivo";0,2994;-0,2994
"unidade";-0,8376;0,8376
"objectivo";0,2994;-0,2994
"nota";-0,6657;0,6657
"disputar";-0,3472;0,3472
"conhecimento";-0,9772;0,9772
"atibaia";-0,3479;0,3479
"prestar";-0,805;0,805
"neto";-0,9055;0,9055
"qualquer";-1,5535;1,5535
"realmente";1,0488;-1,0488
"ouvir";-0,9772;0,9772
"crime";0,4943;-0,4943
"ex_ministro";-0,5354;0,5354
"disputa";0,689;-0,689
"já";0,6435;-0,6435
"referir";0,9338;-0,9338
"época";0,9338;-0,9338
"contar";-0,3789;0,3789
"dinheiro";1,3816;-1,3816
"federal";-0,3299;0,3299
"3";0,509;-0,509
"estar";1,2819;-1,2819
"achar";1,889;-1,889
"manifestar";-0,8376;0,8376
"como";-0,9767;0,9767
"solicitar";-1,047;1,047
"acabar";0,3252;-0,3252
"ontem";1,316;-1,316
"entregar";-0,2781;0,2781
"cunha";-0,9772;0,9772
"pessoa";0,3142;-0,3142
"família";-1,2914;1,2914
"ilegal";-0,9074;0,9074
"partido";-0,3791;0,3791
"casa";0,3759;-0,3759
"caso";-1,1265;1,1265
"alvo";-0,6395;0,6395
"prisão";0,3698;-0,3698
"evento";2,0254;-2,0254
"argumento";0,225;-0,225
"pai";-0,6979;0,6979
"regime";0,3468;-0,3468
"junto";-0,2139;0,2139
"costa";1,1725;-1,1725
"força_tarefa";-0,4888;0,4888
"então";-0,4382;0,4382
"processo";-3,1133;3,1133
"guarujá";0,2792;-0,2792
"rousseff";-0,6657;0,6657
"4";-0,7849;0,7849
"bernardo";-0,5842;0,5842
"por";-1,7627;1,7627
"lado";0,225;-0,225
"viver";-0,9074;0,9074
"dito";0,3468;-0,3468
"sítio";0,5515;-0,5515
"definir";-0,8376;0,8376
"hoje";1,1862;-1,1862
"criticar";-0,9772;0,9772
"ocorrer";-0,8376;0,8376
"chefe";-0,2139;0,2139
"_";-6,8477;6,8477
"empresa";0,3218;-0,3218
"público";0,4744;-0,4744
"vantagem";-0,3932;0,3932
"último";1,4059;-1,4059
"ex_presidente";-1,7998;1,7998
"agora";0,9571;-0,9571
"terça_feira";-1,047;1,047
"marisa";-1,2654;1,2654
"advogado";0,5703;-0,5703
"batista";-0,3472;0,3472
"ao";-0,7543;0,7543
"honesto";9,1161;-9,1161
"juiz";0,8016;-0,8016
"defesa";-0,8375;0,8375
"denunciar";-1,2564;1,2564
"2006";-0,9772;0,9772
"pedir";1,7897;-1,7897
"registro";-0,2596;0,2596
"pesquisa";0,231;-0,231
"grupo";0,8547;-0,8547
"apartamento";-2,236;2,236
"dilma";1,0211;-1,0211
"claro";-0,5381;0,5381
"inquérito";-0,9772;0,9772
"mpf";-0,7769;0,7769
"decisão";-3,2917;3,2917
"empreendimento";0,2593;-0,2593
"provar";1,9608;-1,9608
"ter";0,6771;-0,6771
"sua";0,4901;-0,4901
"intenção";-0,7677;0,7677
"comprovar";0,2994;-0,2994
"conta";0,5636;-0,5636
"social";0,29;-0,29
"acontecer";0,7178;-0,7178
"trecho";-0,3027;0,3027
"vir";2,6687;-2,6687
"reunião";-1,3262;1,3262
"corte";0,3252;-0,3252
"trf_4";-1,9832;1,9832
"silva";-1,819;1,819
"6";-1,0719;1,0719
"mercadante";-0,9074;0,9074
"levar";0,6786;-0,6786
"procurador";-0,7048;0,7048
"relatar";-0,2139;0,2139
"voltar";1,0212;-1,0212
"juízo";-0,6979;0,6979
"não";1,0091;-1,0091
"plano";0,225;-0,225
"bumlai";-0,9074;0,9074
"esperar";0,7178;-0,7178
"mantega";0,2593;-0,2593
"a";-1,0027;1,0027
"dentro";0,2994;-0,2994
"grande";-0,3189;0,3189
"doutor";-0,7677;0,7677
"delação";1,1362;-1,1362
"24";-0,9055;0,9055
"20";0,587;-0,587
"ficar";0,401;-0,401
"polícia";0,3938;-0,3938
"porto";-0,3846;0,3846
"pedido";0,2892;-0,2892
"cercar";0,6584;-0,6584
"ilícito";0,365;-0,365
"fossar";0,365;-0,365
"fotógrafo";9,6926;-9,6926
"envolver";-0,9605;0,9605
"operação";-0,3594;0,3594
"trf";-0,5528;0,5528
"todo";0,8486;-0,8486
"nosso";0,7551;-0,7551
"item";-0,6979;0,6979
"7";0,3468;-0,3468
"caravana";-1,3262;1,3262
"analisar";-0,2781;0,2781
"verdade";0,3803;-0,3803
"obra";-0,5884;0,5884
"divulgar";0,3252;-0,3252
"dono";-0,2883;0,2883
"nome";-0,4688;0,4688
"contra";-1,7502;1,7502
"corrêa";0,8466;-0,8466
"para";0,5395;-0,5395
"país";4,4455;-4,4455
"corpus";0,3803;-0,3803
"stf";-1,1795;1,1795
"fevereiro";-0,7677;0,7677
"conhecer";1,0488;-1,0488
"causa";0,7551;-0,7551
"stj";-0,3846;0,3846
"assistir";0,6646;-0,6646
"antonio";-0,5381;0,5381
"brasília";0,3252;-0,3252
"palácio";-0,7677;0,7677
"duque";-1,5357;1,5357
"tentar";2,4409;-2,4409
"essa";-0,3791;0,3791
"esse";1,4547;-1,4547
"minha";1,845;-1,845
"setor";-0,3027;0,3027
"atuação";-0,8376;0,8376
"réu";-0,6742;0,6742
"história";0,8547;-0,8547
"defender";0,3759;-0,3759
"sustentar";0,3468;-0,3468
"quem";2,005;-2,005
"porque";1,5736;-1,5736
"meio";-1,1282;1,1282
"assumir";-0,8376;0,8376
"cota";-0,6979;0,6979
"seu";2,339;-2,339
"ser";3,7261;-3,7261
"demonstrar";0,3252;-0,3252
"sem";-0,7407;0,7407
"esclarecer";0,3468;-0,3468
"lava_jato";-0,7572;0,7572
"ninguém";1,7963;-1,7963
"pagar";0,4385;-0,4385
"eleitoral";-1,8849;1,8849
"parecer";0,225;-0,225
"eleição";-0,814;0,814
"considerar";-1,3961;1,3961
"filho";1,2639;-1,2639
"agente";-0,2596;0,2596
"senador";0,8075;-0,8075
"dizer";-0,4494;0,4494
"nacional";-0,5015;0,5015
"léo";0,6041;-0,6041
"criar";0,9411;-0,9411
"chegar";-0,5896;0,5896
"denúncia";-1,7468;1,7468
"pf";4,39;-4,39
"uscifrão";-0,1842;0,1842
"instituto";-0,3418;0,3418
"opinião";0,2994;-0,2994
"impedir";-0,9074;0,9074
"vário";-0,3472;0,3472
"premiar";1,5172;-1,5172
"real";0,3468;-0,3468
"rio";-0,1842;0,1842
"preso";0,5195;-0,5195
"nós";-0,9605;0,9605
"campanha";-0,8512;0,8512
"próprio";-0,2977;0,2977
"bom";0,5636;-0,5636
"fato";0,389;-0,389
"apenas";-2,0245;2,0245
"segunda_feira";-0,6979;0,6979
"esquerdo";-0,3027;0,3027
"entre";-0,3047;0,3047
"recorrer";-0,5424;0,5424
"conversar";-0,3027;0,3027
"apresentar";-1,3941;1,3941
"mandar";0,5104;-0,5104
"ajudar";0,2593;-0,2593
"informar";0,8075;-0,8075
"tomar";0,2593;-0,2593
"habeas";0,3803;-0,3803
"italiano";-0,8376;0,8376
"semana";0,5636;-0,5636
"permitir";-0,3932;0,3932
"aquele";1,6493;-1,6493
"mostrar";0,6584;-0,6584
"apoio";1,3978;-1,3978
"suposto";-1,4659;1,4659
"autoridade";-0,4404;0,4404
"presidente";-1,7223;1,7223
"rua";0,7551;-0,7551
"prova";-1,5227;1,5227
"condenação";-2,9036;2,9036
"jornal";0,5198;-0,5198
"acompanhar";-1,047;1,047
"sindicato";-0,8376;0,8376
"gebran";-0,9772;0,9772
"planalto";-0,4888;0,4888
"dúvida";-0,3027;0,3027
"poder";3,0032;-3,0032
"votar";-0,2781;0,2781
"quinta_feira";-0,3932;0,3932
"governo";-0,3728;0,3728
"responsável";-0,3846;0,3846
"região";-0,805;0,805
"cio";-1,2564;1,2564
"nomeação";-1,047;1,047
"um";5,6342;-5,6342
"corrupção";0,5863;-0,5863
"fechado";0,2593;-0,2593
"odebrecht";-0,952;0,952
"sérgio_moro";2,4953;-2,4953
"diverso";1,1183;-1,1183
"imposto";-0,7677;0,7677
"tentativa";-0,5381;0,5381
"lembrar";-0,3472;0,3472
"imprensa";0,8547;-0,8547
"pagamento";-2,5833;2,5833
"inocente";0,4613;-0,4613
"visita";-1,3262;1,3262
"vaccari";-0,4404;0,4404
"e";0,5818;-0,5818
"participar";-0,381;0,381
"relação";-0,4053;0,4053
"dirceu";0,4101;-0,4101
"mentira";1,1725;-1,1725
"manter";-0,898;0,898
"ataque";0,7551;-0,7551
"nenhum";0,3317;-0,3317
"palavra";-0,4225;0,4225
"jurídico";-0,2596;0,2596
"depoimento";0,9633;-0,9633
"tribunal";-0,9294;0,9294
"oas";-1,2729;1,2729
"entender";0,4613;-0,4613
"informação";2,1293;-2,1293
"fachin";-0,3472;0,3472
"lei";-1,2406;1,2406
"ler";0,7631;-0,7631
"destinar";-1,1866;1,1866
"partir";0,365;-0,365
"comentar";0,587;-0,587
"uso";-0,6979;0,6979
"chamado";-0,3472;0,3472
"8";0,587;-0,587
"período";-0,6395;0,6395
"josé";0,4801;-0,4801
"julgamento";-3,1853;3,1853
"tal";0,8466;-0,8466
"haddad";-0,9772;0,9772
"pergunta";-0,3027;0,3027
"assessoria";-0,2596;0,2596
"martins";-1,7452;1,7452
"isso";0,5756;-0,5756
"contato";-0,3472;0,3472
"repasse";-0,6979;0,6979
"joesley";-0,7972;0,7972
"volta";1,0488;-1,0488
"superior";-0,5842;0,5842
"econômico";-0,4404;0,4404
"2018";1,5172;-1,5172
"2014";-0,447;0,447
"2010";-1,1168;1,1168
"2013";-0,6395;0,6395
"nada";1,0212;-1,0212
"dever";-0,5481;0,5481
"dar";3,1112;-3,1112
"mandato";-0,9772;0,9772
"importante";-0,2596;0,2596
"senhor";-1,3961;1,3961
"letícia";-0,3189;0,3189
"triplex";-0,5752;0,5752
"mensalão";-0,8376;0,8376
"cada";2,0254;-2,0254
"lá";2,1462;-2,1462
"primeiro";-0,3358;0,3358
"praticar";0,365;-0,365
"tempo";1,0991;-1,0991
"que";0,5503;-0,5503
"compra";-1,5919;1,5919
"direito";-0,2977;0,2977
"marcelo";-1,5017;1,5017
"além";1,331;-1,331
"único";-0,8376;0,8376
"próximo";1,3562;-1,3562
"final";-1,0719;1,0719
"discutir";-0,8376;0,8376
"haver";-0,9068;0,9068
"quando";-1,0145;1,0145
"quanto";0,3468;-0,3468
"petrobras";-0,2288;0,2288
"criminoso";0,6228;-0,6228
"bem";-0,8512;0,8512
"roberto";0,8075;-0,8075
"sofrer";2,3572;-2,3572
"falso";0,225;-0,225
"mil";2,8661;-2,8661
"milhão";-1,5901;1,5901
"ministério";-0,2375;0,2375
"costamarques";-1,1168;1,1168
"outro";0,6564;-0,6564
"tornar";0,587;-0,587
"julgar";-0,3123;0,3123
"petista";4,0697;-4,0697
"principal";-0,9055;0,9055
"trabalho";0,7551;-0,7551
"atuar";-0,9772;0,9772
"tiro";-0,6979;0,6979
"tudo";2,8512;-2,8512
"pensar";-0,2596;0,2596
"local";0,3468;-0,3468
"alegar";0,7631;-0,7631
"impeachment";0,9338;-0,9338
"trf4";-0,6395;0,6395
"palocci";-1,6312;1,6312
"luiz";-0,4615;0,4615
"favor";1,0177;-1,0177
"confirmar";0,8394;-0,8394
"cristiano";-0,6703;0,6703
"frente";0,587;-0,587
"trabalhar";-0,2596;0,2596
"petrobrás";-0,6979;0,6979
"aqui";-1,3961;1,3961
"conseguir";0,3252;-0,3252
"manhã";-0,8376;0,8376
"ex_primeira_dama";-0,6979;0,6979
"amigo";0,5636;-0,5636
"eduardo";-0,7972;0,7972
"pinheiro";-0,5896;0,5896
"mundo";0,587;-0,587
"versão";-0,2596;0,2596
"2016";-0,2453;0,2453
"república";-0,6218;0,6218
"chamar";5,3542;-5,3542
"homem";2,3572;-2,3572
"possibilidade";0,29;-0,29
"falar";0,7663;-0,7663
"mesmo";0,5425;-0,5425
"possível";-0,7972;0,7972
"parte";-0,2674;0,2674
"referente";-0,6979;0,6979
"janeiro";-0,6914;0,6914
"quarta_feira";-0,9605;0,9605
"presidência";-0,8675;0,8675
"paulo";-0,8807;0,8807
"íntegro";-0,9772;0,9772
"estado";-0,6395;0,6395
"setembro";-0,6979;0,6979
"executivo";0,7631;-0,7631
"momento";-0,5528;0,5528
"rcifrão";0,3232;-0,3232
"testemunha";-1,1168;1,1168
"vida";1,0488;-1,0488
"janot";3,8253;-3,8253
"alguma";1,1725;-1,1725
"durante";2,5059;-2,5059
"fernando";-0,3494;0,3494
"crise";0,3468;-0,3468
"análise";-0,2596;0,2596
"demais";0,3468;-0,3468
"zanin";-0,324;0,324
"assinar";-0,3472;0,3472
"morrer";1,6398;-1,6398
"sentença";-0,2674;0,2674
"candidatura";-1,2564;1,2564
