"";"X.gr_01";"X.gr_02"
"adv";3,1314;-3,1314
"ver_sup";4,4133;-4,4133
"pre";-9,7221;9,7221
"ver";5,0004;-5,0004
"pro_pos";3,3597;-3,3597
"pro_per";2,5503;-2,5503
"nom";-1,173;1,173
"nom_sup";-0,2829;0,2829
"art_def";0,5327;-0,5327
"sw";-0,292;0,292
"adj_num";-0,882;0,882
"pro_dem";0,3421;-0,3421
"pro_int";0,3556;-0,3556
"adv_sup";0,7606;-0,7606
"num";-2,6933;2,6933
"pro_rel";-0,3195;0,3195
"nr";-3,9986;3,9986
"pro_ind";2,0947;-2,0947
"adj";1,8441;-1,8441
"conj";-0,8756;0,8756
"ono";-0,438;0,438
