"";"banalfreq";"X.gr_01";"X.gr_02"
"tratar";24;-0,9246;0,9246
"precisar";22;0,6906;-0,6906
"atingir";15;-0,2022;0,2022
"decidir";15;1,8503;-1,8503
"manifestante";14;-0,1739;0,1739
"segurança";25;-0,2995;0,2995
"acordo";43;1,0811;-1,0811
"encontrar";20;0,8179;-0,8179
"sobre";105;-0,4824;0,4824
"jaburu";17;-1,1536;1,1536
"supremo";18;-1,2215;1,2215
"padilha";30;-1,2525;1,2525
"gravar";24;-0,5161;0,5161
"lourar";67;-0,4526;0,4526
"continuar";23;-0,2448;0,2448
"me";13;1,529;-1,529
"acrescentar";15;-1,0179;1,0179
"rio";31;-0,4877;0,4877
"política";44;-0,6623;0,6623
"político";56;-0,2381;0,2381
"abaixo";27;0,4552;-0,4552
"crítica";16;-0,232;0,232
"mês";22;1,5118;-1,5118
"delator";19;-0,6646;0,6646
"passado";26;-1,0322;1,0322
"lúcia";18;1,4472;-1,4472
"valor";13;-0,3771;0,3771
"sob";12;-0,3328;0,3328
"fim";28;-0,3895;0,3895
"perguntar";18;0,9713;-0,9713
"procurar";13;-0,3771;0,3771
"nunca";10;-0,6785;0,6785
"ato";21;-1,4251;1,4251
"7";12;0,2714;-0,2714
"deixar";28;-0,3895;0,3895
"movimento";15;-1,0179;1,0179
"gravação";33;1,0277;-1,0277
"nobre";11;-0,7464;0,7464
"geral";17;-0,2633;0,2633
"investigação";34;-0,5933;0,5933
"renúncia";18;0,3061;-0,3061
"esta";10;0,3607;-0,3607
"reportagem";14;-0,95;0,95
"longo";11;-0,7464;0,7464
"lula";30;-0,4541;0,4541
"cúpula";15;0,4292;-0,4292
"dois";52;0,4749;-0,4749
"acusar";17;1,0601;-1,0601
"responder";23;-0,4769;0,4769
"aécio";49;-0,2328;0,2328
"aliado";20;-0,3651;0,3651
"pmdb";74;-0,446;0,446
"relator";20;0,8179;-0,8179
"criminoso";38;0,3216;-0,3216
"ótimo";10;-0,2486;0,2486
"comprar";17;0,3423;-0,3423
"saud";19;-0,6646;0,6646
"gestão";10;-0,2486;0,2486
"procurador_geral";26;-1,0322;1,0322
"sair";13;0,2363;-0,2363
"falar";47;0,6342;-0,6342
"ex_assessor";12;-0,8142;0,8142
"com";425;-0,3438;0,3438
"setembro";14;-0,4226;0,4226
"jantar";18;0,3061;-0,3061
"durante";41;1,9566;-1,9566
"saída";24;-1,6288;1,6288
"março";18;-0,6145;0,6145
"declaração";18;-0,296;0,296
"medida";23;-0,4769;0,4769
"discurso";21;-0,1947;0,1947
"empresário";63;-0,7556;0,7556
"depois";30;-1,2525;1,2525
"recurso";10;-0,6785;0,6785
"algum";18;0,9713;-0,9713
"deputado";89;-0,3283;0,3283
"destacar";10;-0,2486;0,2486
"acusação";27;-0,3585;0,3585
"antes";20;-0,7154;0,7154
"ela";22;-0,8189;0,8189
"candidato";20;-1,3573;1,3573
"ele";207;0,2797;-0,2797
"passivo";21;-0,1947;0,1947
"assim";20;1,2372;-1,2372
"negar";25;-0,9782;0,9782
"neve";19;1,8717;-1,8717
"tucano";14;-0,1739;0,1739
"beneficiar";10;-0,6785;0,6785
"apontar";12;-0,8142;0,8142
"corte";12;0,6094;-0,6094
"josé";12;1,6859;-1,6859
"muito";36;0,8562;-0,8562
"uma";266;1,3685;-1,3685
"obstrução";22;-0,8189;0,8189
"o";1857;1,5915;-1,5915
"civil";18;-1,2215;1,2215
"questão";11;0,3124;-0,3124
"novo";35;-0,3818;0,3818
"começar";24;0,3326;-0,3326
"conversa";45;-1,4869;1,4869
"seguir";10;-0,2486;0,2486
"trabalhista";17;-0,2633;0,2633
"condenar";13;0,5411;-0,5411
"condição";11;0,3124;-0,3124
"tarde";16;1,7018;-1,7018
"saber";40;1,2628;-1,2628
"eventual";16;-1,0857;1,0857
"peemedebista";25;-0,5562;0,5562
"rejeitar";10;0,3607;-0,3607
"domingo";11;-0,7464;0,7464
"intervenção";34;-0,9494;0,9494
"abertura";17;-1,1536;1,1536
"joesley";183;0,9831;-0,9831
"apoio";20;-0,7154;0,7154
"entrevista";40;-0,5306;0,5306
"oposição";14;-0,4226;0,4226
"pouco";14;0,4815;-0,4815
"ver";45;-1,0304;1,0304
"vez";23;0,6351;-0,6351
"dia";52;-0,9536;0,9536
"querer";50;1,0067;-1,0067
"mão";12;1,6859;-1,6859
"revista";22;-0,4386;0,4386
"participar";32;-0,5221;0,5221
"cargo";23;0,6351;-0,6351
"g20";12;0,6094;-0,6094
"eliseu";16;-1,0857;1,0857
"mudança";11;-0,7464;0,7464
"mudar";10;0,3607;-0,3607
"melhor";13;0,2363;-0,2363
"viagem";17;0,3423;-0,3423
"militar";10;0,7799;-0,7799
"bom";18;0,9713;-0,9713
"aprovação";13;-0,3771;0,3771
"ministério";63;-1,4027;1,4027
"diálogo";21;-0,1947;0,1947
"garantir";12;0,2714;-0,2714
"seguinte";10;0,3607;-0,3607
"tribunal";19;-0,33;0,33
"você";18;0,5899;-0,5899
"só";21;-0,4013;0,4013
"institucional";12;-0,3328;0,3328
"tirar";10;1,3527;-1,3527
"perder";13;0,9737;-0,9737
"noite";19;1,8717;-1,8717
"conduzir";10;-0,2486;0,2486
"colocar";15;-0,2022;0,2022
"1";18;1,4472;-1,4472
"primeiro";32;-0,5221;0,5221
"justiça";55;-1,4785;1,4785
"j";23;-1,5609;1,5609
"cármen";23;1,9115;-1,9115
"se";229;1,2195;-1,2195
"citado";11;1,8658;-1,8658
"ressaltar";10;0,3607;-0,3607
"forma";13;-0,8821;0,8821
"mais";109;1,4215;-1,4215
"maio";10;-0,2486;0,2486
"passar";39;0,9964;-0,9964
"janeiro";19;-0,33;0,33
"maior";28;1,3958;-1,3958
"desde";22;-0,8189;0,8189
"citar";18;-0,296;0,296
"mulher";11;-0,7464;0,7464
"afastado";11;-0,7464;0,7464
"eu";69;0,5361;-0,5361
"agir";12;1,6859;-1,6859
"fazer";131;1,6901;-1,6901
"convocar";13;1,529;-1,529
"porcento";15;-0,4692;0,4692
"pmdb_rj";13;-0,8821;0,8821
"brasil";97;1,7073;-1,7073
"voto";23;-0,2448;0,2448
"bbc";13;-0,8821;0,8821
"2";14;0,4815;-0,4815
"avaliar";10;-0,6785;0,6785
"10";11;-0,7464;0,7464
"15";10;0,3607;-0,3607
"19";11;-0,2899;0,2899
"ocasião";10;-0,6785;0,6785
"nota";38;-1,139;1,139
"pro";12;0,6094;-0,6094
"ano";62;-0,7247;0,7247
"colunista";15;-0,4692;0,4692
"objectivo";15;1,8503;-1,8503
"renan";33;-0,3278;0,3278
"enviar";14;-0,4226;0,4226
"qualquer";11;-0,7464;0,7464
"3";13;0,9737;-0,9737
"ouvir";18;-0,6145;0,6145
"crime";45;-0,4553;0,4553
"ex_ministro";15;-0,4692;0,4692
"delação";95;-0,7628;0,7628
"já";67;0,4263;-0,4263
"época";22;1,0614;-1,0614
"contar";35;-0,3818;0,3818
"dinheiro";38;0,3216;-0,3216
"federal";69;0,7197;-0,7197
"proposta";10;-0,2486;0,2486
"achar";18;0,3061;-0,3061
"renunciar";12;1,6859;-1,6859
"como";117;-0,7322;0,7322
"cassação";15;0,7931;-0,7931
"por";429;-0,3751;0,3751
"inaudível";14;0,8779;-0,8779
"ricardo";17;1,0601;-1,0601
"entregar";24;0,9128;-0,9128
"cunha";93;-0,2841;0,2841
"pessoa";36;-0,6673;0,6673
"família";15;0,4292;-0,4292
"500";10;-0,2486;0,2486
"partido";30;-1,2525;1,2525
"casa";31;-0,2772;0,2772
"caso";39;-0,4994;0,4994
"alvo";11;-0,7464;0,7464
"prisão";17;1,5681;-1,5681
"junto";21;-0,7668;0,7668
"existir";14;0,4815;-0,4815
"então";24;-0,9246;0,9246
"processo";41;0,419;-0,419
"rousseff";26;-0,5971;0,5971
"lado";14;-0,4226;0,4226
"dito";11;-0,2899;0,2899
"líder";28;-0,2084;0,2084
"conselho";10;-0,6785;0,6785
"até";33;0,2758;-0,2758
"vário";11;1,8658;-1,8658
"publicar";16;1,7018;-1,7018
"chefe";31;0,3262;-0,3262
"central";12;-0,3328;0,3328
"ocupar";17;1,0601;-1,0601
"diretor";14;-0,1739;0,1739
"protesto";17;-0,2633;0,2633
"rossi";14;-0,95;0,95
"discutir";14;-0,95;0,95
"público";64;-0,7869;0,7869
"janot";62;0,2596;-0,2596
"último";22;0,6906;-0,6906
"ex_presidente";35;-0,2185;0,2185
"agora";23;-0,2448;0,2448
"advogado";24;0,3326;-0,3326
"batista";91;-0,2563;0,2563
"pronunciamento";26;0,4946;-0,4946
"interesse";11;-0,7464;0,7464
"mundo";14;-0,1739;0,1739
"sexta_feira";19;-1,2894;1,2894
"previdência";39;-0,7832;0,7832
"juiz";15;-0,4692;0,4692
"defesa";49;-0,5698;0,5698
"denunciar";22;0,6906;-0,6906
"pedir";82;-0,63;0,63
"dilma";79;1,5058;-1,5058
"abin";15;0,7931;-0,7931
"decisão";28;-0,6813;0,6813
"mundial";12;-0,3328;0,3328
"ter";249;-0,6793;0,6793
"protestar";10;0,3607;-0,3607
"sua";61;1,6047;-1,6047
"golpe";11;1,8658;-1,8658
"propina";43;0,5572;-0,5572
"evitar";16;-1,0857;1,0857
"social";23;0,3656;-0,3656
"três";15;-0,4692;0,4692
"trecho";14;-0,95;0,95
"vir";20;0,2452;-0,2452
"entrar";11;0,6882;-0,6882
"reunião";28;-0,2084;0,2084
"embaixador";11;0,6882;-0,6882
"levar";20;0,4865;-0,4865
"procurador";25;-0,2995;0,2995
"projeto";20;-0,7154;0,7154
"ponto";18;-1,2215;1,2215
"rádio";11;-0,2899;0,2899
"relatar";23;-0,2448;0,2448
"dúvida";10;-0,2486;0,2486
"rodrigo";79;0,7916;-0,7916
"voltar";27;1,0738;-1,0738
"comando";14;-0,4226;0,4226
"não";373;1,9008;-1,9008
"grande";14;1,3908;-1,3908
"centrão";12;-0,8142;0,8142
"papel";10;0,3607;-0,3607
"20";16;0,3831;-0,3831
"ficar";30;-0,2533;0,2533
"polícia";31;0,5427;-0,5427
"pedido";30;-0,4541;0,4541
"cercar";14;-0,95;0,95
"fossar";10;0,3607;-0,3607
"todo";58;-0,2721;0,2721
"nosso";13;0,9737;-0,9737
"analisar";13;0,5411;-0,5411
"senado";25;-0,2995;0,2995
"secretaria";13;-0,3771;0,3771
"aprovar";23;-0,8715;0,8715
"divulgar";29;0,3854;-0,3854
"dono";42;-0,5952;0,5952
"nome";20;0,4865;-0,4865
"quinto";12;-0,8142;0,8142
"contra";115;-0,3022;0,3022
"para";486;1,4591;-1,4591
"parlamentar";21;-0,4013;0,4013
"silêncio";29;-1,1969;1,1969
"stf";92;-0,27;0,27
"brasília";30;-0,4541;0,4541
"autorizar";13;-0,8821;0,8821
"tentar";22;-0,4386;0,4386
"essa";35;0,403;-0,403
"esse";32;0,3;-0,3
"minha";15;-0,4692;0,4692
"situação";13;0,5411;-0,5411
"carne";15;-0,4692;0,4692
"abrir";10;-0,2486;0,2486
"quem";33;-0,3278;0,3278
"assumir";31;-1,3085;1,3085
"após";61;-0,4848;0,4848
"seu";71;0,344;-0,344
"ser";553;1,3925;-1,3925
"sem";20;-1,3573;1,3573
"lava_jato";55;-1,4785;1,4785
"pagar";27;-0,3585;0,3585
"direito";14;1,3908;-1,3908
"eleitoral";40;0,4486;-0,4486
"parecer";13;-0,8821;0,8821
"considerar";15;-1,0179;1,0179
"senador";50;1,0067;-1,0067
"dizer";302;0,4254;-0,4254
"pt";26;0,2752;-0,2752
"criar";10;-0,6785;0,6785
"geddel";23;-0,2448;0,2448
"chegar";30;0,878;-0,878
"pf";28;1,8515;-1,8515
"impedir";15;-1,0179;1,0179
"premiar";24;0,3326;-0,3326
"declarar";18;0,3061;-0,3061
"cassar";17;-0,5652;0,5652
"nós";15;-0,4692;0,4692
"campanha";19;0,2739;-0,2739
"próprio";15;-1,0179;1,0179
"fato";18;0,3061;-0,3061
"ex_deputado";31;1,161;-1,161
"apenas";10;1,3527;-1,3527
"segunda_feira";19;-1,2894;1,2894
"articulação";10;-0,2486;0,2486
"jbs";85;-0,5243;0,5243
"entre";60;-0,3084;0,3084
"claro";10;0,3607;-0,3607
"apresentar";30;-0,4541;0,4541
"mandar";19;0,8909;-0,8909
"informar";22;-0,4386;0,4386
"estratégia";10;0,7799;-0,7799
"tomar";14;0,8779;-0,8779
"marco";16;-0,5167;0,5167
"direto";21;-0,4013;0,4013
"popular";11;-0,7464;0,7464
"trabalho";13;0,2363;-0,2363
"semana";34;0,2535;-0,2535
"economia";16;0,7177;-0,7177
"mostrar";11;0,6882;-0,6882
"prova";21;0,7514;-0,7514
"jornal";14;0,4815;-0,4815
"franco";16;-0,5167;0,5167
"poder";104;0,479;-0,479
"votar";20;0,8179;-0,8179
"governo";209;0,4946;-0,4946
"responsável";12;0,2714;-0,2714
"corrupção";53;-0,3071;0,3071
"indicar";21;0,4422;-0,4422
"odebrecht";16;-0,232;0,232
"sérgio_moro";10;-0,2486;0,2486
"tentativa";12;-0,3328;0,3328
"gabinete";12;0,2714;-0,2714
"imprensa";14;-0,4226;0,4226
"problema";13;0,2363;-0,2363
"e";909;0,5061;-0,5061
"relação";37;0,3468;-0,3468
"manter";20;0,8179;-0,8179
"nenhum";25;-0,9782;0,9782
"chapa";22;1,5118;-1,5118
"psdb";30;-0,4541;0,4541
"depoimento";28;-0,6813;0,6813
"g1";24;-1,6288;1,6288
"palácio";53;-1,9041;1,9041
"votação";26;0,7862;-0,7862
"operação";31;0,3262;-0,3262
"organização";37;-0,7053;0,7053
"entender";10;1,3527;-1,3527
"constituição";12;-0,3328;0,3328
"informação";27;1,485;-1,485
