"";"X.gr_01";"X.gr_02"
"tratar";0,22;0,86
"precisar";1,1;0,63
"reforma";0,88;2,84
"afirmar";0,44;4,37
"atingir";0,44;0,49
"decidir";1,33;0,34
"manifestante";0,44;0,45
"segurança";0,66;0,82
"acordo";2,21;1,23
"encontrar";1,1;0,56
"sobre";2,87;3,44
"jaburu";0;0,63
"supremo";0;0,67
"padilha";0,22;1,08
"gravar";0,44;0,82
"lourar";1,77;2,2
"continuar";0,66;0,75
"me";1,1;0,3
"acrescentar";0;0,56
"rio";0,66;1,05
"política";0,88;1,49
"político";1,77;1,79
"abaixo";1,1;0,82
"crítica";0,44;0,52
"mês";1,55;0,56
"delator";0,22;0,67
"passado";0,22;0,93
"lúcia";1,33;0,45
"valor";0,22;0,45
"sob";0,22;0,41
"fim";0,66;0,93
"brasileiro";2,65;0,9
"perguntar";1,1;0,49
"procurar";0,22;0,45
"nunca";0;0,37
"ato";0;0,78
"7";0,44;0,37
"deixar";0,66;0,93
"movimento";0;0,56
"gravação";1,77;0,93
"nobre";0;0,41
"segundo";0,22;4,15
"geral";0,44;0,56
"investigação";0,66;1,16
"renúncia";0,66;0,56
"esta";0,44;0,3
"reportagem";0;0,52
"longo";0;0,41
"lula";0,66;1,01
"receber";2,65;0,97
"cúpula";0,66;0,45
"dois";1,99;1,61
"acusar";1,1;0,45
"responder";0,44;0,78
"aécio";1,55;1,57
"aliado";0,44;0,67
"pmdb";1,99;2,43
"relator";1,1;0,56
"criminoso";1,33;1,2
"de";98,52;118,84
"ótimo";0,22;0,34
"bem";3,09;0,63
"comprar";0,66;0,52
"saud";0,22;0,67
"gestão";0,22;0,34
"procurador_geral";0,22;0,93
"sair";0,44;0,41
"vídeo";1,99;0,49
"falar";1,99;1,42
"ex_assessor";0;0,45
"com";13,25;13,63
"setembro";0,22;0,49
"ocorrer";1,55;0,3
"jantar";0,66;0,56
"durante";2,65;1,08
"saída";0;0,9
"março";0,22;0,63
"declaração";0,44;0,6
"medida";0,44;0,78
"ir";15,68;10,57
"discurso";0,66;0,67
"empresário";1,33;2,13
"depois";0,22;1,08
"recurso";0;0,37
"algum";1,1;0,49
"deputado";2,65;2,88
"destacar";0,22;0,34
"acusação";0,66;0,9
"antes";0,22;0,71
"ela";0,22;0,78
"candidato";0;0,75
"ele";6,63;6,61
"passivo";0,66;0,67
"assim";1,33;0,52
"negar";0,22;0,9
"neve";1,55;0,45
"tucano";0,44;0,45
"beneficiar";0;0,37
"apontar";0;0,45
"corte";0,66;0,34
"josé";1,1;0,26
"muito";1,77;1,05
"uma";10,82;8,1
"obstrução";0,22;0,78
"o";65,83;58,22
"civil";0;0,67
"questão";0,44;0,34
"novo";0,88;1,16
"começar";0,88;0,75
"conversa";0,44;1,61
"seguir";0,22;0,34
