"";"*gr_01";"*gr_02"
"tratar";1;23
"precisar";5;17
"reforma";4;76
"afirmar";2;117
"atingir";2;13
"decidir";6;9
"manifestante";2;12
"segurança";3;22
"acordo";10;33
"encontrar";5;15
"sobre";13;92
"jaburu";0;17
"supremo";0;18
"padilha";1;29
"gravar";2;22
"lourar";8;59
"continuar";3;20
"me";5;8
"acrescentar";0;15
"rio";3;28
"política";4;40
"político";8;48
"abaixo";5;22
"crítica";2;14
"mês";7;15
"delator";1;18
"passado";1;25
"lúcia";6;12
"valor";1;12
"sob";1;11
"fim";3;25
"brasileiro";12;24
"perguntar";5;13
"procurar";1;12
"nunca";0;10
"ato";0;21
"7";2;10
"deixar";3;25
"movimento";0;15
"gravação";8;25
"nobre";0;11
"segundo";1;111
"geral";2;15
"investigação";3;31
"renúncia";3;15
"esta";2;8
"reportagem";0;14
"longo";0;11
"lula";3;27
"receber";12;26
"cúpula";3;12
"dois";9;43
"acusar";5;12
"responder";2;21
"aécio";7;42
"aliado";2;18
"pmdb";9;65
"relator";5;15
"criminoso";6;32
"de";446;3182
"ótimo";1;9
"bem";14;17
"comprar";3;14
"saud";1;18
"gestão";1;9
"procurador_geral";1;25
"sair";2;11
"vídeo";9;13
"falar";9;38
"ex_assessor";0;12
"com";60;365
"setembro";1;13
"ocorrer";7;8
"jantar";3;15
"durante";12;29
"saída";0;24
"março";1;17
"declaração";2;16
"medida";2;21
"ir";71;283
"discurso";3;18
"empresário";6;57
"depois";1;29
"recurso";0;10
"algum";5;13
"deputado";12;77
"destacar";1;9
"acusação";3;24
"antes";1;19
"ela";1;21
"candidato";0;20
"ele";30;177
"passivo";3;18
"assim";6;14
"negar";1;24
"neve";7;12
"tucano";2;12
"beneficiar";0;10
"apontar";0;12
"corte";3;9
"josé";5;7
"muito";8;28
"uma";49;217
"obstrução";1;21
"o";298;1559
"civil";0;18
"questão";2;9
"novo";4;31
"começar";4;20
"conversa";2;43
"seguir";1;9
"trabalhista";2;15
"condenar";3;10
"condição";2;9
"tarde";6;10
"saber";10;30
"eventual";0;16
"peemedebista";2;23
"rejeitar";2;8
"domingo";0;11
"intervenção";2;32
"abertura";0;17
"joesley";33;150
"apoio";1;19
"entrevista";4;36
"oposição";1;13
"pouco";3;11
"ver";3;42
"vez";5;18
"dia";4;48
"querer";11;39
"mão";5;7
"revista";2;20
"participar";3;29
"cargo";5;18
"g20";3;9
"eliseu";0;16
"mudança";0;11
"mudar";2;8
"melhor";2;11
"viagem";3;14
"militar";3;7
"bom";5;13
"aprovação";1;12
"ministério";4;59
"diálogo";3;18
"garantir";2;10
"seguinte";2;8
"tribunal";2;17
"você";4;14
"só";2;19
"institucional";1;11
"tirar";4;6
"perder";4;9
"noite";7;12
"conduzir";1;9
"colocar";2;13
"1";6;12
"primeiro";3;29
"justiça";3;52
"j";0;23
"cármen";8;15
"se";42;187
"citado";5;6
"ressaltar";2;8
"forma";0;13
"mais";23;86
"maio";1;9
"passar";9;30
"janeiro";2;17
"maior";8;20
"desde";1;21
"citar";2;16
"mulher";0;11
"afastado";0;11
"eu";12;57
"agir";5;7
"fazer";28;103
"convocar";5;8
"porcento";1;14
"pmdb_rj";0;13
"brasil";22;75
"ministro";28;93
"voto";3;20
"bbc";0;13
"2";3;11
"avaliar";0;10
"qual";1;48
"10";0;11
"15";2;8
"19";1;10
"ocasião";0;10
"nota";2;36
"pro";3;9
"ano";6;56
"colunista";1;14
"objectivo";6;9
"renan";4;29
"enviar";1;13
"qualquer";0;11
"3";4;9
"ouvir";1;17
"crime";5;40
"ex_ministro";1;14
"estar";43;132
"planalto";2;58
"delação";10;85
"já";11;56
"referir";6;8
"época";6;16
"contar";4;31
"dinheiro";6;32
"federal";13;56
"proposta";1;9
"achar";3;15
"renunciar";5;7
"como";13;104
"cassação";4;11
"por";60;369
"inaudível";4;10
"ricardo";5;12
"entregar";6;18
"cunha";13;80
"pessoa";3;33
"família";3;12
"500";1;9
"partido";1;29
"casa";4;27
"caso";4;35
"alvo";0;11
"prisão";6;11
"junto";1;20
"existir";3;11
"então";1;23
"processo";7;34
"rousseff";2;24
"lado";1;13
"dito";1;10
"líder";4;24
"conselho";0;10
"até";5;28
"vário";5;6
"hoje";18;15
"publicar";6;10
"chefe";5;26
"central";1;11
"ocupar";5;12
"aí";7;10
"diretor";2;12
"protesto";2;15
"rossi";0;14
"discutir";0;14
"público";6;58
"janot";9;53
"último";5;17
"ex_presidente";5;30
"agora";3;20
"advogado";4;20
"batista";13;78
"pronunciamento";5;21
"interesse";0;11
"mundo";2;12
"sexta_feira";0;19
"previdência";3;36
"juiz";1;14
"defesa";5;44
"denunciar";5;17
"pedir";9;73
"grupo";2;55
"dilma";18;61
"abin";4;11
"tv";5;5
"decisão";2;26
"mundial";1;11
"ter";31;218
"protestar";2;8
"sua";15;46
"golpe";5;6
"propina";8;35
"evitar";0;16
"social";4;19
"três";1;14
"trecho";0;14
"vir";3;17
"entrar";3;8
"reunião";4;24
"embaixador";3;8
"levar";4;16
"procurador";3;22
"projeto";1;19
"mala";7;9
"ponto";0;18
"rádio";1;10
"relatar";3;20
"dúvida";1;9
"rodrigo";15;64
"voltar";7;20
"comando";1;13
"mendes";10;3
"não";70;303
"a";206;1461
"grande";5;9
"centrão";0;12
"papel";2;8
"20";3;13
"ficar";4;26
"polícia";6;25
"pedido";3;27
"cercar";0;14
"fossar";2;8
"todo";8;50
"nosso";4;9
"analisar";3;10
"senado";3;22
"base";0;31
"secretaria";1;12
"aprovar";1;22
"divulgar";5;24
"dono";4;38
"nome";4;16
"quinto";0;12
"contra";16;99
"para";85;401
"parlamentar";2;19
"silêncio";1;28
"stf";13;79
"brasília";3;27
"autorizar";0;13
"tentar";2;20
"país";24;59
"essa";6;29
"esse";5;27
"minha";1;14
"situação";3;10
"carne";1;14
"abrir";1;9
"michel_temer";203;1000
"quem";4;29
"assumir";1;30
"após";7;54
"seu";11;60
"ser";95;458
"sem";0;20
"lava_jato";3;52
"ninguém";6;8
"pagar";3;24
"direito";5;9
"eleitoral";7;33
"parecer";0;13
"eleição";0;36
"considerar";0;15
"senador";11;39
"dizer";46;256
"pt";4;22
"criar";0;10
"geddel";3;20
"chegar";7;23
"pf";9;19
"impedir";0;15
"premiar";4;20
"declarar";3;15
"cassar";1;16
"nós";1;14
"campanha";3;16
"próprio";0;15
"fato";3;15
"ex_deputado";8;23
"apenas";4;6
"segunda_feira";0;19
"articulação";1;9
"jbs";10;75
"entre";8;52
"claro";2;8
"apresentar";3;27
"mandar";5;14
"informar";2;20
"estratégia";3;7
"tomar";4;10
"marco";1;15
"direto";2;19
"popular";0;11
"trabalho";2;11
"semana";5;29
"economia";4;12
"mostrar";3;8
"prova";5;16
"jornal";3;11
"franco";1;15
"poder";17;87
"votar";5;15
"governo";33;176
"responsável";2;10
"um";60;217
"corrupção";7;46
"indicar";4;17
"odebrecht";2;14
"sérgio_moro";1;9
"tentativa";1;11
"gabinete";2;10
"imprensa";1;13
"pagamento";0;31
"problema";2;11
"e";137;772
"relação";6;31
"manter";5;15
"nenhum";1;24
"chapa";7;15
"psdb";3;27
"depoimento";2;26
"g1";0;24
"palácio";2;51
"votação";6;20
"operação";5;26
"organização";3;34
"entender";4;6
"constituição";1;11
"informação";8;19
"defender";1;26
"fachin";5;24
"lei";3;15
"luiz";1;11
"ler";2;19
"oficial";4;16
"rede";4;7
"lima";1;13
"presidente";66;442
"comentar";2;8
"anunciar";3;14
"_";0;59
"força";5;11
"f";0;23
"julgamento";6;11
"gilmar";9;4
"especial";1;14
"isso";5;47
"agenda";0;18
"ainda";10;71
"interlocutor";0;13
"empresa";1;17
"superior";2;16
"tse";9;18
"eua";2;8
"econômico";3;42
"2018";1;21
"2014";2;13
"2017";1;10
"nada";4;10
"dever";7;31
"dar";5;56
"mandato";5;38
"globo";6;6
