"";"X.gr_01";"X.gr_02"
"tratar";-0,9246;0,9246
"precisar";0,6906;-0,6906
"reforma";-2,1767;2,1767
"afirmar";-5,74;5,74
"atingir";-0,2022;0,2022
"decidir";1,8503;-1,8503
"manifestante";-0,1739;0,1739
"segurança";-0,2995;0,2995
"acordo";1,0811;-1,0811
"encontrar";0,8179;-0,8179
"sobre";-0,4824;0,4824
"jaburu";-1,1536;1,1536
"supremo";-1,2215;1,2215
"padilha";-1,2525;1,2525
"gravar";-0,5161;0,5161
"lourar";-0,4526;0,4526
"continuar";-0,2448;0,2448
"me";1,529;-1,529
"acrescentar";-1,0179;1,0179
"rio";-0,4877;0,4877
"política";-0,6623;0,6623
"político";-0,2381;0,2381
"abaixo";0,4552;-0,4552
"crítica";-0,232;0,232
"mês";1,5118;-1,5118
"delator";-0,6646;0,6646
"passado";-1,0322;1,0322
"lúcia";1,4472;-1,4472
"valor";-0,3771;0,3771
"sob";-0,3328;0,3328
"fim";-0,3895;0,3895
"brasileiro";2,4562;-2,4562
"perguntar";0,9713;-0,9713
"procurar";-0,3771;0,3771
"nunca";-0,6785;0,6785
"ato";-1,4251;1,4251
"7";0,2714;-0,2714
"deixar";-0,3895;0,3895
"movimento";-1,0179;1,0179
"gravação";1,0277;-1,0277
"nobre";-0,7464;0,7464
"segundo";-6,3114;6,3114
"geral";-0,2633;0,2633
"investigação";-0,5933;0,5933
"renúncia";0,3061;-0,3061
"esta";0,3607;-0,3607
"reportagem";-0,95;0,95
"longo";-0,7464;0,7464
"lula";-0,4541;0,4541
"receber";2,2416;-2,2416
"cúpula";0,4292;-0,4292
"dois";0,4749;-0,4749
"acusar";1,0601;-1,0601
"responder";-0,4769;0,4769
"aécio";-0,2328;0,2328
"aliado";-0,3651;0,3651
"pmdb";-0,446;0,446
"relator";0,8179;-0,8179
"criminoso";0,3216;-0,3216
"de";-4,4912;4,4912
"ótimo";-0,2486;0,2486
"bem";4,4016;-4,4016
"comprar";0,3423;-0,3423
"saud";-0,6646;0,6646
"gestão";-0,2486;0,2486
"procurador_geral";-1,0322;1,0322
"sair";0,2363;-0,2363
"vídeo";2,6419;-2,6419
"falar";0,6342;-0,6342
"ex_assessor";-0,8142;0,8142
"com";-0,3438;0,3438
"setembro";-0,4226;0,4226
"ocorrer";2,5368;-2,5368
"jantar";0,3061;-0,3061
"durante";1,9566;-1,9566
"saída";-1,6288;1,6288
"março";-0,6145;0,6145
"declaração";-0,296;0,296
"medida";-0,4769;0,4769
"ir";2,6195;-2,6195
"discurso";-0,1947;0,1947
"empresário";-0,7556;0,7556
"depois";-1,2525;1,2525
"recurso";-0,6785;0,6785
"algum";0,9713;-0,9713
"deputado";-0,3283;0,3283
"destacar";-0,2486;0,2486
"acusação";-0,3585;0,3585
"antes";-0,7154;0,7154
"ela";-0,8189;0,8189
"candidato";-1,3573;1,3573
"ele";0,2797;-0,2797
"passivo";-0,1947;0,1947
"assim";1,2372;-1,2372
"negar";-0,9782;0,9782
"neve";1,8717;-1,8717
"tucano";-0,1739;0,1739
"beneficiar";-0,6785;0,6785
"apontar";-0,8142;0,8142
"corte";0,6094;-0,6094
"josé";1,6859;-1,6859
"muito";0,8562;-0,8562
"uma";1,3685;-1,3685
"obstrução";-0,8189;0,8189
"o";1,5915;-1,5915
"civil";-1,2215;1,2215
"questão";0,3124;-0,3124
"novo";-0,3818;0,3818
"começar";0,3326;-0,3326
"conversa";-1,4869;1,4869
"seguir";-0,2486;0,2486
"trabalhista";-0,2633;0,2633
"condenar";0,5411;-0,5411
"condição";0,3124;-0,3124
"tarde";1,7018;-1,7018
"saber";1,2628;-1,2628
"eventual";-1,0857;1,0857
"peemedebista";-0,5562;0,5562
"rejeitar";0,3607;-0,3607
"domingo";-0,7464;0,7464
"intervenção";-0,9494;0,9494
"abertura";-1,1536;1,1536
