"";"X.gr_01";"X.gr_02"
"adv";3,4672;-3,4672
"nom";-1,9502;1,9502
"pre";-8,475;8,475
"ver";5,252;-5,252
"pro_pos";1,2814;-1,2814
"pro_per";0,807;-0,807
"ver_sup";2,3998;-2,3998
"nom_sup";-0,3768;0,3768
"art_def";0,3528;-0,3528
"adj_num";-2,6908;2,6908
"pro_dem";0,6247;-0,6247
"pro_int";0,6513;-0,6513
"adv_sup";0,7837;-0,7837
"num";1,5339;-1,5339
"pro_rel";-0,8922;0,8922
"nr";0,6941;-0,6941
"pro_ind";-1,0013;1,0013
"adj";0,9707;-0,9707
"conj";0,3746;-0,3746
"ono";-0,4231;0,4231
