"";"banalfreq";"X.gr_01";"X.gr_02"
"sigilo";15;-0,5796;0,5796
"fazer";95;-0,4227;0,4227
"reforma";19;-1,4939;1,4939
"luís";17;-0,3483;0,3483
"decidir";20;0,3686;-0,3686
"segurança";36;0,4134;-0,4134
"acordo";33;1,0811;-1,0811
"encontrar";10;1,1661;-1,1661
"sobre";103;-1,7721;1,7721
"zavascki";34;0,2988;-0,2988
"supremo";58;-0,442;0,442
"padilha";18;-1,4152;1,4152
"continuar";13;-0,199;0,199
"rio";18;-0,3898;0,3898
"política";11;0,5693;-0,5693
"político";34;0,484;-0,484
"abaixo";16;-0,6371;0,6371
"santana";10;0,2911;-0,2911
"ordem";17;-0,3483;0,3483
"passado";21;-0,9377;0,9377
"enviar";19;-0,4327;0,4327
"liberdade";12;-0,9433;0,9433
"fim";17;-0,3483;0,3483
"brasileiro";20;-0,2426;0,2426
"até";34;1,3569;-1,3569
"pgr";30;0,9581;-0,9581
"acontecer";12;0,2113;-0,2113
"três";15;-0,5796;0,5796
"deixar";18;0,2274;-0,2274
"quinto";13;-1,022;1,022
"corpus";11;-0,8647;0,8647
"abrir";11;0,5693;-0,5693
"geral";10;-0,7861;0,7861
"investigação";38;-0,9784;0,9784
"após";42;-1,6669;1,6669
"lula";58;-1,1827;1,1827
"receber";23;0,4823;-0,4823
"2";22;-0,3062;0,3062
"responder";13;-0,199;0,199
"aécio";54;0,764;-0,764
"caber";14;-1,1006;1,1006
"pmdb";23;0,2651;-0,2651
"governador";10;0,2911;-0,2911
"relator";102;-0,4369;0,4369
"sair";12;0,2113;-0,2113
"vídeo";11;0,5693;-0,5693
"mandar";12;1,4516;-1,4516
"falar";35;0,2735;-0,2735
"com";256;1,4831;-1,4831
"durante";27;0,3278;-0,3278
"judiciário";11;-0,3618;0,3618
"medida";27;-0,8177;0,8177
"ir";294;1,942;-1,942
"exterior";23;-0,617;0,617
"empresário";10;-0,3112;0,3112
"depois";21;-0,2737;0,2737
"recurso";14;-1,1006;1,1006
"algum";17;0,8647;-0,8647
"deputado";57;0,6476;-0,6476
"destacar";10;1,1661;-1,1661
"antes";21;-0,2737;0,2737
"ela";26;-1,2547;1,2547
"ele";95;-0,3121;0,3121
"assim";15;-1,1793;1,1793
"liminar";17;-1,3366;1,3366
"osmar";10;0,2911;-0,2911
"negar";15;-0,5796;0,5796
"neve";26;1,2716;-1,2716
"privilegiado";21;1,8263;-1,8263
"muito";29;0,7146;-0,7146
"uma";162;0,9369;-0,9369
"mão";11;1,0287;-1,0287
"o";1479;0,6593;-0,6593
"civil";23;-1,8085;1,8085
"questão";18;-0,3898;0,3898
"novo";45;-0,946;0,946
"nunes";12;1,4516;-1,4516
"provisório";12;-0,9433;0,9433
"lourar";19;1,5675;-1,5675
"foro";36;1,2035;-1,2035
"conversa";21;-0,5225;0,5225
"cumprir";11;-0,3618;0,3618
"liberar";13;-1,022;1,022
"tarde";12;0,2113;-0,2113
"vista";11;0,5693;-0,5693
"publicar";12;1,4516;-1,4516
"seis";11;-0,8647;0,8647
"intervenção";11;0,2477;-0,2477
"abertura";16;-0,6371;0,6371
"joesley";32;-0,4313;0,4313
"entrevista";14;-0,2335;0,2335
"menos";12;-0,9433;0,9433
"ver";31;-1,0314;1,0314
"vez";23;-0,3402;0,3402
"mouro";11;0,2477;-0,2477
"irmão";10;0,2911;-0,2911
"dia";43;0,3766;-0,3766
"querer";28;-0,5287;0,5287
"revista";13;-0,468;0,468
"situação";13;0,4347;-0,4347
"cargo";30;0,9581;-0,9581
"eliseu";15;-1,1793;1,1793
"mudança";12;0,2113;-0,2113
"alto";10;-0,3112;0,3112
"jornal";11;1,6233;-1,6233
"semana";41;0,6409;-0,6409
"franco";21;-0,9377;0,9377
"ministério";36;-0,3586;0,3586
"ontem";13;-0,199;0,199
"atual";18;0,4595;-0,4595
"tribunal";46;-0,9908;0,9908
"você";14;0,381;-0,381
"só";19;-0,2131;0,2131
"1";10;-0,3112;0,3112
"primeiro";39;-0,6915;0,6915
"justiça";71;-0,3169;0,3169
"cármen";42;0,8379;-0,8379
"se";166;1,1324;-1,1324
"turma";21;-0,2737;0,2737
"forma";16;-1,2579;1,2579
"mais";84;-0,8015;0,8015
"maia";21;-0,2737;0,2737
"passar";17;0,2584;-0,2584
"janeiro";22;0,2959;-0,2959
"maior";10;0,2911;-0,2911
"determinar";24;0,438;-0,438
"citar";20;-0,2426;0,2426
"mulher";11;-0,3618;0,3618
"afastado";10;-0,7861;0,7861
"eu";38;-0,6517;0,6517
"celso";13;-1,022;1,022
"precisar";10;0,6545;-0,6545
"brasil";30;1,7265;-1,7265
"ministro";914;0,7528;-0,7528
"época";12;0,2113;-0,2113
"mello";31;-0,6547;0,6547
"suspender";10;-0,3112;0,3112
"voto";40;-1,5471;1,5471
"qual";39;-0,4488;0,4488
"11";14;-0,5232;0,5232
"plenário";28;-0,3046;0,3046
"pro";10;0,6545;-0,6545
"ano";39;0,5048;-0,5048
"nota";36;0,2502;-0,2502
"renan";12;-0,9433;0,9433
"nomeação";11;-0,8647;0,8647
"2016";15;0,3344;-0,3344
"qualquer";18;0,4595;-0,4595
"teori";49;-0,2396;0,2396
"3";12;0,4968;-0,4968
"crime";26;-0,4498;0,4498
"proposta";17;-0,3483;0,3483
"planalto";16;-0,6371;0,6371
"já";65;0,565;-0,565
"razão";11;0,2477;-0,2477
"federal";67;-0,2458;0,2458
"corrupção";30;0,6613;-0,6613
"estar";111;1,896;-1,896
"contar";12;0,2113;-0,2113
"como";112;-0,8213;0,8213
"câmara";36;-0,5746;0,5746
"por";377;-0,4596;0,4596
"ricardo";14;0,7206;-0,7206
"alves";12;0,4968;-0,4968
"pessoa";19;-0,8151;0,8151
"família";17;0,2584;-0,2584
"quatro";10;0,6545;-0,6545
"casa";27;-0,4887;0,4887
"caso";71;-1,8005;1,8005
"prisão";41;1,185;-1,185
"toffoli";14;-0,5232;0,5232
"processo";53;-0,6914;0,6914
"imprensa";13;0,8093;-0,8093
"4";13;-0,468;0,468
"pedido";57;-1,1385;1,1385
"vário";13;0,4347;-0,4347
"hoje";20;1,9678;-1,9678
"chefe";13;0,8093;-0,8093
"fossar";14;1,1724;-1,1724
"empresa";19;-0,4327;0,4327
"aí";17;0,8647;-0,8647
"discutir";19;-0,8151;0,8151
"posição";10;-0,3112;0,3112
"julgar";14;1,7342;-1,7342
"último";26;1,2716;-1,2716
"ex_presidente";41;-1,1277;1,1277
"advogado";29;0,2699;-0,2699
"batista";16;0,5742;-0,5742
"investigado";16;-0,3083;0,3083
"ao";190;-0,2904;0,2904
"juiz";36;0,2502;-0,2502
"defesa";45;0,9459;-0,9459
"partido";15;-1,1793;1,1793
"5";10;-0,7861;0,7861
"pedir";65;1,4841;-1,4841
"grupo";18;1,198;-1,198
"dilma";47;0,616;-0,616
"abin";16;1,4363;-1,4363
"barroso";30;-0,3657;0,3657
"presidente";151;-1,3478;1,3478
"decisão";103;-1,19;1,19
"ter";171;0,6009;-0,6009
"sua";61;0,3666;-0,3666
"propina";15;1,5766;-1,5766
"conta";13;0,8093;-0,8093
"homologar";13;-1,022;1,022
"social";10;0,2911;-0,2911
"vir";29;-0,3346;0,3346
"reunião";16;-0,3083;0,3083
"procurador_geral";14;-1,1006;1,1006
"começar";13;-0,468;0,468
"cassação";14;-0,5232;0,5232
"levar";23;0,7737;-0,7737
"procurador";12;0,2113;-0,2113
"projeto";11;-0,3618;0,3618
"ponto";14;-1,1006;1,1006
"relatar";11;1,0287;-1,0287
"morte";17;-0,3483;0,3483
"voltar";13;-0,468;0,468
"sistema";10;0,2911;-0,2911
"a";1272;-0,7573;0,7573
"grande";13;0,8093;-0,8093
"delação";54;-0,3447;0,3447
"presidência";24;-1,1263;1,1263
"pena";13;-0,468;0,468
"ficar";22;0,2959;-0,2959
"cada";13;-0,199;0,199
"envolver";12;0,2113;-0,2113
"todo";62;1,3755;-1,3755
"somente";10;0,6545;-0,6545
"7";10;0,2911;-0,2911
"benjamin";25;1,3657;-1,3657
"analisar";17;-0,6956;0,6956
"senado";31;-0,6547;0,6547
"base";11;-0,8647;0,8647
"secretaria";15;-1,1793;1,1793
"aprovar";15;-0,27;0,27
"divulgar";20;1,4455;-1,4455
"responsável";13;-1,022;1,022
"dono";13;0,8093;-0,8093
"nome";28;0,5035;-0,5035
"contra";53;0,2809;-0,2809
"brasília";12;0,4968;-0,4968
"parlamentar";22;-0,3062;0,3062
"stf";308;-0,5235;0,5235
"saber";21;0,9199;-0,9199
"stj";23;0,4823;-0,4823
"direito";19;-0,2131;0,2131
"autorizar";22;-0,5692;0,5692
"para";389;-0,2909;0,2909
"participar";10;0,2911;-0,2911
"tentar";11;0,2477;-0,2477
"essa";32;-0,6985;0,6985
"então";30;-1,5167;1,5167
"esse";39;-0,4488;0,4488
"história";13;0,4347;-0,4347
"quem";24;0,2375;-0,2375
"porque";32;0,3561;-0,3561
"assumir";14;-0,5232;0,5232
"início";10;0,2911;-0,2911
"seu";63;0,8276;-0,8276
"ser";459;0,3784;-0,3784
"demonstrar";10;0,6545;-0,6545
"sem";24;-0,6658;0,6658
"lava_jato";106;-1,052;1,052
"rousseff";13;-0,199;0,199
"eleitoral";26;-0,2482;0,2482
"eleição";16;-0,3083;0,3083
"considerar";16;-0,3083;0,3083
"filho";21;1,3343;-1,3343
"senador";56;1,1601;-1,1601
"dizer";166;-0,2916;0,2916
"pt";13;-0,199;0,199
"chegar";18;0,2274;-0,2274
"denúncia";16;-0,3083;0,3083
"cinco";10;-0,3112;0,3112
"coreia";15;-0,5796;0,5796
"judicial";11;0,2477;-0,2477
"fux";16;-0,3083;0,3083
"impedir";11;-0,8647;0,8647
"premiar";10;-0,3112;0,3112
"declarar";12;-0,4142;0,4142
"campanha";16;-0,3083;0,3083
"próprio";23;0,4823;-0,4823
