"";"X.gr_01";"X.gr_02"
"magistrado";1,58;0,26
"sigilo";0,26;0,73
"fazer";3,69;4,23
"reforma";0;0,99
"afirmar";0,26;3,87
"luís";0,53;0,78
"decidir";1,05;0,84
"segurança";1,84;1,52
"acordo";2,37;1,25
"encontrar";1,05;0,31
"sobre";2,37;4,91
"zavascki";1,58;1,46
"supremo";2,11;2,61
"padilha";0;0,94
"outro";0,79;2,87
"continuar";0,53;0,57
"pouco";1,58;0,21
"rio";0,53;0,84
"política";0,79;0,42
"político";1,84;1,41
"abaixo";0,26;0,78
"santana";0,53;0,42
"delator";2,11;0,42
"ordem";0,53;0,78
"passado";0,26;1,05
"enviar";0,53;0,89
"liberdade";0;0,63
"fim";0,53;0,78
"brasileiro";0,79;0,89
"até";2,63;1,25
"pgr";2,11;1,15
"próximo";2,11;0,57
"acontecer";0,53;0,52
"três";0,26;0,73
"deixar";0,79;0,78
"quinto";0;0,68
"corpus";0;0,57
"segundo";0,53;3,81
"abrir";0,79;0,42
"geral";0;0,52
"investigação";0,79;1,83
"após";0,53;2,09
"lula";1,32;2,77
"receber";1,32;0,94
"acusar";1,84;0,26
"2";0,79;0,99
"responder";0,53;0,57
"aécio";3,16;2,19
"caber";0;0,73
"pmdb";1,05;0,99
"governador";0,53;0,42
"relator";3,95;4,55
"sair";0,53;0,52
"mês";1,84;0,31
"vídeo";0,79;0,42
"mandar";1,32;0,37
"falar";1,58;1,52
"com";14,23;10,56
"durante";1,32;1,15
"judiciário";0,26;0,52
"medida";0,53;1,31
"ir";16,86;12,02
"exterior";0,53;1,1
"empresário";0,26;0,47
"depois";0,79;0,94
"recurso";0;0,73
"algum";1,32;0,63
"deputado";3,16;2,35
"destacar";1,05;0,31
"antes";0,79;0,94
"ela";0,26;1,31
"ele";3,95;4,18
"assim";0;0,78
"liminar";0;0,89
"osmar";0,53;0,42
"negar";0,26;0,73
"neve";2,11;0,94
"privilegiado";2,11;0,68
"corte";0,26;1,99
"muito";1,84;1,15
"uma";8,69;6,74
"mão";1,05;0,37
"o";67,44;63,91
"civil";0;1,2
"questão";0,53;0,84
"novo";1,05;2,14
"nunes";1,32;0,37
"provisório";0;0,63
"lourar";1,84;0,63
"foro";2,63;1,36
"conversa";0,53;0,99
"cumprir";0,26;0,52
"condenar";1,84;0,42
"liberar";0;0,68
"tarde";0,53;0,52
"vista";0,79;0,42
"publicar";1,32;0,37
"seis";0;0,57
"intervenção";0,53;0,47
"abertura";0,26;0,78
"joesley";1,05;1,46
"entrevista";0,53;0,63
"menos";0;0,63
"ver";0,53;1,52
"vez";0,79;1,05
"mouro";0,53;0,47
"irmão";0,53;0,42
"dia";2,11;1,83
"querer";0,79;1,31
"revista";0,26;0,63
"situação";0,79;0,52
"cargo";2,11;1,15
"eliseu";0;0,78
"mudança";0,53;0,52
"alto";0,26;0,47
"jornal";1,32;0,31
"semana";2,37;1,67
"franco";0,26;1,05
"ministério";1,32;1,62
"ontem";0,53;0,57
"atual";1,05;0,73
"tribunal";1,05;2,19
"você";0,79;0,57
"só";0,79;0,84
"1";0,26;0,47
"primeiro";1,05;1,83
"justiça";2,9;3,14
"cármen";2,63;1,67
"se";9,22;6,85
"turma";0,79;0,94
"forma";0;0,84
"mais";2,63;3,87
"maia";0,79;0,94
"passar";0,79;0,73
"janeiro";1,05;0,94
"maior";0,53;0,42
"determinar";1,32;0,99
"citar";0,79;0,89
"mulher";0,26;0,52
"afastado";0;0,52
"eu";1,05;1,78
"celso";0;0,68
"precisar";0,79;0,37
"brasil";2,63;1,05
"ministro";42,68;39,3
"época";0,53;0,52
"mello";0,79;1,46
"suspender";0,26;0,47
"não";14,23;9,2
"voto";0,53;1,99
"qual";1,32;1,78
"11";0,26;0,68
"plenário";1,05;1,25
"pro";0,79;0,37
"ano";2,11;1,62
"nota";1,58;1,57
"renan";0;0,63
"nomeação";0;0,57
"2016";0,79;0,63
"qualquer";1,05;0,73
"teori";2,11;2,14
"3";0,79;0,47
"crime";0,79;1,2
"proposta";0,53;0,78
"soltar";1,84;0,31
"planalto";0,26;0,78
"já";3,42;2,72
"razão";0,53;0,47
"um";15,54;9,82
"federal";2,9;2,93
"corrupção";1,84;1,2
"estar";7,38;4,34
"contar";0,53;0,52
"como";3,69;5,12
"câmara";1,05;1,67
"por";15,54;16,62
"ricardo";1,05;0,52
"alves";0,79;0,47
"cunha";3,16;0,73
"pessoa";0,26;0,94
"família";0,79;0,73
"quatro";0,79;0,37
"casa";0,79;1,25
"caso";1,32;3,45
"prisão";2,9;1,57
"toffoli";0,26;0,68
"processo";1,58;2,46
"imprensa";1,05;0,47
"4";0,26;0,63
"pedido";1,32;2,72
"vário";0,79;0,52
"hoje";2,11;0,63
"chefe";1,05;0,47
"_";0;2,82
"fossar";1,32;0,47
"empresa";0,53;0,89
"aí";1,32;0,63
"discutir";0,26;0,94
"posição";0,26;0,47
"julgar";1,58;0,42
"último";2,11;0,94
"ex_presidente";0,79;1,99
"advogado";1,32;1,25
"batista";1,05;0,63
"investigado";0,53;0,73
"ao";8,17;8,31
"juiz";1,58;1,57
"defesa";2,9;1,78
"partido";0;0,78
"5";0;0,52
"pedir";4,48;2,51
"grupo";1,58;0,63
"dilma";2,63;1,93
"abin";1,58;0,52
"barroso";1,05;1,36
"presidente";4,48;7
"decisão";2,9;4,81
"ter";8,43;7,26
"sua";2,9;2,61
"propina";1,58;0,47
"conta";1,05;0,47
"homologar";0;0,68
"social";0,53;0,42
"vir";1,05;1,31
"reunião";0,53;0,73
"procurador_geral";0;0,73
"começar";0,26;0,63
"cassação";0,26;0,68
"levar";1,58;0,89
"procurador";0,53;0,52
"projeto";0,26;0,52
"ponto";0;0,73
"relatar";1,05;0,37
"morte";0,53;0,78
"voltar";0,26;0,63
"mendes";4,74;2,14
"sistema";0,53;0,42
"a";52,16;56,12
"grande";1,05;0,47
"delação";2,11;2,4
"presidência";0,26;1,2
"pena";0,26;0,63
"ficar";1,05;0,94
"cada";0,53;0,57
"envolver";0,53;0,52
"todo";4,21;2,4
"somente";0,79;0,37
"7";0,53;0,42
"benjamin";2,11;0,89
"analisar";0,26;0,84
"senado";0,79;1,46
"base";0;0,57
"secretaria";0;0,78
"aprovar";0,53;0,68
"divulgar";1,84;0,68
"responsável";0;0,68
"dono";1,05;0,47
"nome";1,58;1,15
"contra";2,37;2,3
"brasília";0,79;0,47
"país";3,95;1,72
"parlamentar";0,79;0,99
"stf";12,38;13,64
"saber";1,58;0,78
"stj";1,32;0,94
"direito";0,79;0,84
"autorizar";0,53;1,05
"para";16,86;16,98
"participar";0,53;0,42
"tentar";0,53;0,47
"essa";0,79;1,52
"então";0,26;1,52
"esse";1,32;1,78
"história";0,79;0,52
"quem";1,05;1,05
"porque";1,58;1,36
"assumir";0,26;0,68
"início";0,53;0,42
"seu";3,69;2,56
"ser";20,55;19,91
"demonstrar";0,79;0,37
"sem";0,53;1,15
"lava_jato";3,16;4,91
"rousseff";0,53;0,57
"eleitoral";1,05;1,15
"eleição";0,53;0,73
"considerar";0,53;0,73
"filho";1,84;0,73
"senador";3,69;2,19
"dizer";7,11;7,26
"pt";0,53;0,57
"chegar";0,79;0,78
"denúncia";0,53;0,73
"pf";2,9;0,78
"cinco";0,26;0,47
"coreia";0,26;0,73
"judicial";0,53;0,47
"fux";0,53;0,73
"impedir";0;0,57
"premiar";0,26;0,47
"declarar";0,26;0,57
"campanha";0,53;0,73
"próprio";1,32;0,94
