"";"*gr_01";"*gr_02"
"magistrado";6;5
"sigilo";1;14
"fazer";14;81
"reforma";0;19
"afirmar";1;74
"luís";2;15
"decidir";4;16
"segurança";7;29
"acordo";9;24
"encontrar";4;6
"sobre";9;94
"zavascki";6;28
"supremo";8;50
"padilha";0;18
"outro";3;55
"continuar";2;11
"pouco";6;4
"rio";2;16
"política";3;8
"político";7;27
"abaixo";1;15
"santana";2;8
"delator";8;8
"ordem";2;15
"passado";1;20
"enviar";2;17
"liberdade";0;12
"fim";2;15
"brasileiro";3;17
"até";10;24
"pgr";8;22
"próximo";8;11
"acontecer";2;10
"três";1;14
"deixar";3;15
"quinto";0;13
"corpus";0;11
"segundo";2;73
"abrir";3;8
"geral";0;10
"investigação";3;35
"após";2;40
"lula";5;53
"receber";5;18
"acusar";7;5
"2";3;19
"responder";2;11
"aécio";12;42
"caber";0;14
"pmdb";4;19
"governador";2;8
"relator";15;87
"sair";2;10
"mês";7;6
"vídeo";3;8
"mandar";5;7
"falar";6;29
"com";54;202
"durante";5;22
"judiciário";1;10
"medida";2;25
"ir";64;230
"exterior";2;21
"empresário";1;9
"depois";3;18
"recurso";0;14
"algum";5;12
"deputado";12;45
"destacar";4;6
"antes";3;18
"ela";1;25
"ele";15;80
"assim";0;15
"liminar";0;17
"osmar";2;8
"negar";1;14
"neve";8;18
"privilegiado";8;13
"corte";1;38
"muito";7;22
"uma";33;129
"mão";4;7
"o";256;1223
"civil";0;23
"questão";2;16
"novo";4;41
"nunes";5;7
"provisório";0;12
"lourar";7;12
"foro";10;26
"conversa";2;19
"cumprir";1;10
"condenar";7;8
"liberar";0;13
"tarde";2;10
"vista";3;8
"publicar";5;7
"seis";0;11
"intervenção";2;9
"abertura";1;15
"joesley";4;28
"entrevista";2;12
"menos";0;12
"ver";2;29
"vez";3;20
"mouro";2;9
"irmão";2;8
"dia";8;35
"querer";3;25
"revista";1;12
"situação";3;10
"cargo";8;22
"eliseu";0;15
"mudança";2;10
"alto";1;9
"jornal";5;6
"semana";9;32
"franco";1;20
"ministério";5;31
"ontem";2;11
"atual";4;14
"tribunal";4;42
"você";3;11
"só";3;16
"1";1;9
"primeiro";4;35
"justiça";11;60
"cármen";10;32
"se";35;131
"turma";3;18
"forma";0;16
"mais";10;74
"maia";3;18
"passar";3;14
"janeiro";4;18
"maior";2;8
"determinar";5;19
"citar";3;17
"mulher";1;10
"afastado";0;10
"eu";4;34
"celso";0;13
"precisar";3;7
"brasil";10;20
"ministro";162;752
"época";2;10
"mello";3;28
"suspender";1;9
"não";54;176
"voto";2;38
"qual";5;34
"11";1;13
"plenário";4;24
"pro";3;7
"ano";8;31
"nota";6;30
"renan";0;12
"nomeação";0;11
"2016";3;12
"qualquer";4;14
"teori";8;41
"3";3;9
"crime";3;23
"proposta";2;15
"soltar";7;6
"planalto";1;15
"já";13;52
"razão";2;9
"um";59;188
"federal";11;56
"corrupção";7;23
"estar";28;83
"contar";2;10
"como";14;98
"câmara";4;32
"por";59;318
"ricardo";4;10
"alves";3;9
"cunha";12;14
"pessoa";1;18
"família";3;14
"quatro";3;7
"casa";3;24
"caso";5;66
"prisão";11;30
"toffoli";1;13
"processo";6;47
"imprensa";4;9
"4";1;12
"pedido";5;52
"vário";3;10
"hoje";8;12
"chefe";4;9
"_";0;54
"fossar";5;9
"empresa";2;17
"aí";5;12
"discutir";1;18
"posição";1;9
"julgar";6;8
"último";8;18
"ex_presidente";3;38
"advogado";5;24
"batista";4;12
"investigado";2;14
"ao";31;159
"juiz";6;30
"defesa";11;34
"partido";0;15
"5";0;10
"pedir";17;48
"grupo";6;12
"dilma";10;37
"abin";6;10
"barroso";4;26
"presidente";17;134
"decisão";11;92
"ter";32;139
"sua";11;50
"propina";6;9
"conta";4;9
"homologar";0;13
"social";2;8
"vir";4;25
"reunião";2;14
"procurador_geral";0;14
"começar";1;12
"cassação";1;13
"levar";6;17
"procurador";2;10
"projeto";1;10
"ponto";0;14
"relatar";4;7
"morte";2;15
"voltar";1;12
"mendes";18;41
"sistema";2;8
"a";198;1074
"grande";4;9
"delação";8;46
"presidência";1;23
"pena";1;12
"ficar";4;18
"cada";2;11
"envolver";2;10
"todo";16;46
"somente";3;7
"7";2;8
"benjamin";8;17
"analisar";1;16
"senado";3;28
"base";0;11
"secretaria";0;15
"aprovar";2;13
"divulgar";7;13
"responsável";0;13
"dono";4;9
"nome";6;22
"contra";9;44
"brasília";3;9
"país";15;33
"parlamentar";3;19
"stf";47;261
"saber";6;15
"stj";5;18
"direito";3;16
"autorizar";2;20
"para";64;325
"participar";2;8
"tentar";2;9
"essa";3;29
"então";1;29
"esse";5;34
"história";3;10
"quem";4;20
"porque";6;26
"assumir";1;13
"início";2;8
"seu";14;49
"ser";78;381
"demonstrar";3;7
"sem";2;22
"lava_jato";12;94
"rousseff";2;11
"eleitoral";4;22
"eleição";2;14
"considerar";2;14
"filho";7;14
"senador";14;42
"dizer";27;139
"pt";2;11
"chegar";3;15
"denúncia";2;14
"pf";11;15
"cinco";1;9
"coreia";1;14
"judicial";2;9
"fux";2;14
"impedir";0;11
"premiar";1;9
"declarar";1;11
"campanha";2;14
"próprio";5;18
"apenas";2;15
"segunda_feira";2;8
"jbs";11;15
"entre";3;28
"conversar";0;12
"secretaria_geral";0;10
"claro";1;9
"apresentar";3;28
"informar";6;18
"tomar";5;26
"marco";4;27
"habeas";0;11
"trabalho";2;16
"aquele";1;9
"mostrar";3;7
"suposto";0;12
"autoridade";1;20
"organização";0;11
"condenação";0;14
"acompanhar";6;13
"dois";7;30
"poder";20;66
"votar";5;28
"quinta_feira";1;20
"governo";12;69
"dinheiro";2;18
"indicar";4;11
"sérgio_moro";10;11
"gabinete";2;16
"lembrar";4;6
"pagamento";0;11
"relação";3;32
"manter";4;9
"nenhum";3;8
"chapa";7;16
"psdb";2;12
"depoimento";6;15
"palácio";3;14
"operação";3;47
"entender";1;11
"informação";4;14
"polícia";3;23
"defender";4;16
"fachin";33;102
"público";9;37
"lei";2;23
"luiz";2;31
"ler";1;15
"tv";2;8
"oficial";2;11
"raul";2;9
"anunciar";1;11
"jungmann";2;15
"força";3;7
"moraes";1;9
"julgamento";5;42
"odebrecht";5;25
"desde";1;16
"especial";0;10
"de";514;2728
"henrique";4;30
"unido";0;12
