"";"X.gr_01";"X.gr_02"
"magistrado";2,3528;-2,3528
"sigilo";-0,5796;0,5796
"fazer";-0,4227;0,4227
"reforma";-1,4939;1,4939
"afirmar";-4,7024;4,7024
"luís";-0,3483;0,3483
"decidir";0,3686;-0,3686
"segurança";0,4134;-0,4134
"acordo";1,0811;-1,0811
"encontrar";1,1661;-1,1661
"sobre";-1,7721;1,7721
"zavascki";0,2988;-0,2988
"supremo";-0,442;0,442
"padilha";-1,4152;1,4152
"outro";-2,0583;2,0583
"continuar";-0,199;0,199
"pouco";2,6299;-2,6299
"rio";-0,3898;0,3898
"política";0,5693;-0,5693
"político";0,484;-0,484
"abaixo";-0,6371;0,6371
"santana";0,2911;-0,2911
"delator";2,6893;-2,6893
"ordem";-0,3483;0,3483
"passado";-0,9377;0,9377
"enviar";-0,4327;0,4327
"liberdade";-0,9433;0,9433
"fim";-0,3483;0,3483
"brasileiro";-0,2426;0,2426
"até";1,3569;-1,3569
"pgr";0,9581;-0,9581
"próximo";2,1226;-2,1226
"acontecer";0,2113;-0,2113
"três";-0,5796;0,5796
"deixar";0,2274;-0,2274
"quinto";-1,022;1,022
"corpus";-0,8647;0,8647
"segundo";-3,8046;3,8046
"abrir";0,5693;-0,5693
"geral";-0,7861;0,7861
"investigação";-0,9784;0,9784
"após";-1,6669;1,6669
"lula";-1,1827;1,1827
"receber";0,4823;-0,4823
"acusar";2,9083;-2,9083
"2";-0,3062;0,3062
"responder";-0,199;0,199
"aécio";0,764;-0,764
"caber";-1,1006;1,1006
"pmdb";0,2651;-0,2651
"governador";0,2911;-0,2911
"relator";-0,4369;0,4369
"sair";0,2113;-0,2113
"mês";2,6393;-2,6393
"vídeo";0,5693;-0,5693
"mandar";1,4516;-1,4516
"falar";0,2735;-0,2735
"com";1,4831;-1,4831
"durante";0,3278;-0,3278
"judiciário";-0,3618;0,3618
"medida";-0,8177;0,8177
"ir";1,942;-1,942
"exterior";-0,617;0,617
"empresário";-0,3112;0,3112
"depois";-0,2737;0,2737
"recurso";-1,1006;1,1006
"algum";0,8647;-0,8647
"deputado";0,6476;-0,6476
"destacar";1,1661;-1,1661
"antes";-0,2737;0,2737
"ela";-1,2547;1,2547
"ele";-0,3121;0,3121
"assim";-1,1793;1,1793
"liminar";-1,3366;1,3366
"osmar";0,2911;-0,2911
"negar";-0,5796;0,5796
"neve";1,2716;-1,2716
"privilegiado";1,8263;-1,8263
"corte";-2,1257;2,1257
"muito";0,7146;-0,7146
"uma";0,9369;-0,9369
"mão";1,0287;-1,0287
"o";0,6593;-0,6593
"civil";-1,8085;1,8085
"questão";-0,3898;0,3898
"novo";-0,946;0,946
"nunes";1,4516;-1,4516
"provisório";-0,9433;0,9433
"lourar";1,5675;-1,5675
"foro";1,2035;-1,2035
"conversa";-0,5225;0,5225
"cumprir";-0,3618;0,3618
"condenar";2,1982;-2,1982
"liberar";-1,022;1,022
"tarde";0,2113;-0,2113
"vista";0,5693;-0,5693
"publicar";1,4516;-1,4516
"seis";-0,8647;0,8647
"intervenção";0,2477;-0,2477
"abertura";-0,6371;0,6371
"joesley";-0,4313;0,4313
"entrevista";-0,2335;0,2335
"menos";-0,9433;0,9433
"ver";-1,0314;1,0314
"vez";-0,3402;0,3402
"mouro";0,2477;-0,2477
"irmão";0,2911;-0,2911
"dia";0,3766;-0,3766
"querer";-0,5287;0,5287
"revista";-0,468;0,468
"situação";0,4347;-0,4347
"cargo";0,9581;-0,9581
"eliseu";-1,1793;1,1793
"mudança";0,2113;-0,2113
"alto";-0,3112;0,3112
"jornal";1,6233;-1,6233
"semana";0,6409;-0,6409
"franco";-0,9377;0,9377
"ministério";-0,3586;0,3586
"ontem";-0,199;0,199
"atual";0,4595;-0,4595
"tribunal";-0,9908;0,9908
"você";0,381;-0,381
"só";-0,2131;0,2131
"1";-0,3112;0,3112
"primeiro";-0,6915;0,6915
"justiça";-0,3169;0,3169
"cármen";0,8379;-0,8379
"se";1,1324;-1,1324
"turma";-0,2737;0,2737
"forma";-1,2579;1,2579
"mais";-0,8015;0,8015
"maia";-0,2737;0,2737
"passar";0,2584;-0,2584
"janeiro";0,2959;-0,2959
"maior";0,2911;-0,2911
"determinar";0,438;-0,438
"citar";-0,2426;0,2426
"mulher";-0,3618;0,3618
"afastado";-0,7861;0,7861
"eu";-0,6517;0,6517
"celso";-1,022;1,022
"precisar";0,6545;-0,6545
"brasil";1,7265;-1,7265
"ministro";0,7528;-0,7528
"época";0,2113;-0,2113
"mello";-0,6547;0,6547
"suspender";-0,3112;0,3112
"não";2,3872;-2,3872
"voto";-1,5471;1,5471
"qual";-0,4488;0,4488
"11";-0,5232;0,5232
"plenário";-0,3046;0,3046
"pro";0,6545;-0,6545
"ano";0,5048;-0,5048
"nota";0,2502;-0,2502
"renan";-0,9433;0,9433
"nomeação";-0,8647;0,8647
"2016";0,3344;-0,3344
"qualquer";0,4595;-0,4595
"teori";-0,2396;0,2396
"3";0,4968;-0,4968
"crime";-0,4498;0,4498
"proposta";-0,3483;0,3483
"soltar";2,6393;-2,6393
"planalto";-0,6371;0,6371
"já";0,565;-0,565
"razão";0,2477;-0,2477
"um";2,7346;-2,7346
"federal";-0,2458;0,2458
"corrupção";0,6613;-0,6613
"estar";1,896;-1,896
"contar";0,2113;-0,2113
"como";-0,8213;0,8213
"câmara";-0,5746;0,5746
"por";-0,4596;0,4596
"ricardo";0,7206;-0,7206
"alves";0,4968;-0,4968
"cunha";3,3921;-3,3921
"pessoa";-0,8151;0,8151
"família";0,2584;-0,2584
"quatro";0,6545;-0,6545
"casa";-0,4887;0,4887
"caso";-1,8005;1,8005
"prisão";1,185;-1,185
"toffoli";-0,5232;0,5232
"processo";-0,6914;0,6914
"imprensa";0,8093;-0,8093
"4";-0,468;0,468
"pedido";-1,1385;1,1385
"vário";0,4347;-0,4347
"hoje";1,9678;-1,9678
"chefe";0,8093;-0,8093
"_";-4,2493;4,2493
"fossar";1,1724;-1,1724
"empresa";-0,4327;0,4327
"aí";0,8647;-0,8647
"discutir";-0,8151;0,8151
"posição";-0,3112;0,3112
"julgar";1,7342;-1,7342
"último";1,2716;-1,2716
"ex_presidente";-1,1277;1,1277
"advogado";0,2699;-0,2699
"batista";0,5742;-0,5742
"investigado";-0,3083;0,3083
"ao";-0,2904;0,2904
"juiz";0,2502;-0,2502
"defesa";0,9459;-0,9459
"partido";-1,1793;1,1793
"5";-0,7861;0,7861
"pedir";1,4841;-1,4841
"grupo";1,198;-1,198
"dilma";0,616;-0,616
"abin";1,4363;-1,4363
"barroso";-0,3657;0,3657
"presidente";-1,3478;1,3478
"decisão";-1,19;1,19
"ter";0,6009;-0,6009
"sua";0,3666;-0,3666
"propina";1,5766;-1,5766
"conta";0,8093;-0,8093
"homologar";-1,022;1,022
"social";0,2911;-0,2911
"vir";-0,3346;0,3346
"reunião";-0,3083;0,3083
"procurador_geral";-1,1006;1,1006
"começar";-0,468;0,468
"cassação";-0,5232;0,5232
"levar";0,7737;-0,7737
"procurador";0,2113;-0,2113
"projeto";-0,3618;0,3618
"ponto";-1,1006;1,1006
"relatar";1,0287;-1,0287
"morte";-0,3483;0,3483
"voltar";-0,468;0,468
"mendes";2,2473;-2,2473
"sistema";0,2911;-0,2911
"a";-0,7573;0,7573
"grande";0,8093;-0,8093
"delação";-0,3447;0,3447
"presidência";-1,1263;1,1263
"pena";-0,468;0,468
"ficar";0,2959;-0,2959
"cada";-0,199;0,199
"envolver";0,2113;-0,2113
"todo";1,3755;-1,3755
"somente";0,6545;-0,6545
"7";0,2911;-0,2911
"benjamin";1,3657;-1,3657
"analisar";-0,6956;0,6956
"senado";-0,6547;0,6547
"base";-0,8647;0,8647
"secretaria";-1,1793;1,1793
"aprovar";-0,27;0,27
"divulgar";1,4455;-1,4455
"responsável";-1,022;1,022
"dono";0,8093;-0,8093
"nome";0,5035;-0,5035
"contra";0,2809;-0,2809
"brasília";0,4968;-0,4968
"país";2,0608;-2,0608
"parlamentar";-0,3062;0,3062
"stf";-0,5235;0,5235
"saber";0,9199;-0,9199
"stj";0,4823;-0,4823
"direito";-0,2131;0,2131
"autorizar";-0,5692;0,5692
"para";-0,2909;0,2909
"participar";0,2911;-0,2911
"tentar";0,2477;-0,2477
"essa";-0,6985;0,6985
"então";-1,5167;1,5167
"esse";-0,4488;0,4488
"história";0,4347;-0,4347
"quem";0,2375;-0,2375
"porque";0,3561;-0,3561
"assumir";-0,5232;0,5232
"início";0,2911;-0,2911
"seu";0,8276;-0,8276
"ser";0,3784;-0,3784
"demonstrar";0,6545;-0,6545
"sem";-0,6658;0,6658
"lava_jato";-1,052;1,052
"rousseff";-0,199;0,199
"eleitoral";-0,2482;0,2482
"eleição";-0,3083;0,3083
"considerar";-0,3083;0,3083
"filho";1,3343;-1,3343
"senador";1,1601;-1,1601
"dizer";-0,2916;0,2916
"pt";-0,199;0,199
"chegar";0,2274;-0,2274
"denúncia";-0,3083;0,3083
"pf";2,7679;-2,7679
"cinco";-0,3112;0,3112
"coreia";-0,5796;0,5796
"judicial";0,2477;-0,2477
"fux";-0,3083;0,3083
"impedir";-0,8647;0,8647
"premiar";-0,3112;0,3112
"declarar";-0,4142;0,4142
"campanha";-0,3083;0,3083
"próprio";0,4823;-0,4823
"apenas";-0,3483;0,3483
"segunda_feira";0,2911;-0,2911
"jbs";2,7679;-2,7679
"entre";-0,6547;0,6547
"conversar";-0,9433;0,9433
"secretaria_geral";-0,7861;0,7861
"claro";-0,3112;0,3112
"apresentar";-0,6547;0,6547
"informar";0,7099;-0,7099
"tomar";-0,2283;0,2283
"marco";-0,398;0,398
"habeas";-0,8647;0,8647
"trabalho";-0,3898;0,3898
"aquele";-0,3112;0,3112
"mostrar";0,6545;-0,6545
"suposto";-0,9433;0,9433
"autoridade";-0,9377;0,9377
"organização";-0,8647;0,8647
"condenação";-1,1006;1,1006
"acompanhar";1,0961;-1,0961
"dois";0,3818;-0,3818
"poder";1,1711;-1,1711
"votar";-0,2772;0,2772
"quinta_feira";-0,9377;0,9377
"governo";-0,3925;0,3925
"dinheiro";-0,477;0,477
"indicar";0,6428;-0,6428
"sérgio_moro";3,0388;-3,0388
"gabinete";-0,3898;0,3898
"lembrar";1,1661;-1,1661
"pagamento";-0,8647;0,8647
"relação";-0,8351;0,8351
"manter";0,8093;-0,8093
"nenhum";0,5693;-0,5693
"chapa";1,1392;-1,1392
"psdb";-0,2335;0,2335
"depoimento";0,9199;-0,9199
"palácio";0,2584;-0,2584
"operação";-1,6049;1,6049
"entender";-0,4142;0,4142
"informação";0,4595;-0,4595
"polícia";-0,4498;0,4498
"defender";0,3686;-0,3686
"fachin";1,9272;-1,9272
"público";0,4581;-0,4581
"lei";-0,7156;0,7156
"luiz";-1,1422;1,1422
"ler";-0,6371;0,6371
"tv";0,2911;-0,2911
"oficial";-0,199;0,199
"raul";0,2477;-0,2477
"anunciar";-0,4142;0,4142
"jungmann";-0,3483;0,3483
"força";0,6545;-0,6545
"moraes";-0,3112;0,3112
"julgamento";-0,7274;0,7274
"odebrecht";0,2447;-0,2447
"desde";-0,6956;0,6956
"especial";-0,7861;0,7861
"de";-0,8894;0,8894
"henrique";-0,5011;0,5011
"unido";-0,9433;0,9433
"ainda";-1,0276;1,0276
"sessão";-0,8647;0,8647
"superior";-1,5167;1,5167
"tse";4,4769;-4,4769
"dever";-1,4955;1,4955
"dar";0,4619;-0,4619
"mandato";-0,6117;0,6117
"afastamento";-0,7861;0,7861
"globo";0,9111;-0,9111
"agricultura";-0,6371;0,6371
"edson";1,0257;-1,0257
"além";0,2584;-0,2584
"meirelles";-1,7171;1,7171
"tempo";0,381;-0,381
"que";0,4068;-0,4068
"meio";-0,6371;0,6371
"marcelo";-0,27;0,27
"aurélio";-0,412;0,412
"rocha";0,7834;-0,7834
"final";-0,6956;0,6956
"haver";-0,4637;0,4637
"quando";-0,6547;0,6547
"serraglio";0,4347;-0,4347
"petrobras";0,6545;-0,6545
"criminoso";-0,2335;0,2335
"bem";0,7206;-0,7206
"prova";0,381;-0,381
"roberto";-0,3062;0,3062
"mil";0,5693;-0,5693
