"";"X.gr_01";"X.gr_02"
"adv";0,6011;-0,6011
"nom";-0,4508;0,4508
"pre";-5,7825;5,7825
"ver";4,0794;-4,0794
"pro_pos";0,4046;-0,4046
"pro_per";0,349;-0,349
"ver_sup";1,0203;-1,0203
"nom_sup";-0,6411;0,6411
"art_def";1,1351;-1,1351
"sw";-0,0819;0,0819
"adj_num";-3,5592;3,5592
"pro_dem";-1,1536;1,1536
"pro_int";0,5381;-0,5381
"adv_sup";0,6213;-0,6213
"num";0,6856;-0,6856
"pro_rel";-0,3422;0,3422
"nr";0,3182;-0,3182
"pro_ind";1,7299;-1,7299
"adj";0,3205;-0,3205
"conj";1,1938;-1,1938
"ono";-0,5731;0,5731
