"";"banalfreq";"X.gr_01";"X.gr_02"
"afirmar";59;-0,8836;0,8836
"decidir";18;-0,2496;0,2496
"planejamento";14;-0,5164;0,5164
"segurança";25;-0,1759;0,1759
"acordo";54;0,5614;-0,5614
"sobre";47;-0,3364;0,3364
"outro";36;-0,3669;0,3669
"saber";23;-0,8487;0,8487
"além";11;0,2167;-0,2167
"rio";17;-0,6272;0,6272
"político";13;-0,1465;0,1465
"abaixo";10;-0,3688;0,3688
"delator";20;-0,2947;0,2947
"passado";10;0,7144;-0,7144
"valor";15;0,9304;-0,9304
"brasileiro";33;0,8985;-0,8985
"não";151;-0,5135;0,5135
"até";17;0,8072;-0,8072
"ato";11;0,2167;-0,2167
"deixar";13;-0,1465;0,1465
"gravação";14;-0,5164;0,5164
"segundo";42;-0,8758;0,8758
"investigação";36;-0,706;0,706
"recurso";11;-0,4057;0,4057
"após";16;-0,5903;0,5903
"esta";10;-0,3688;0,3688
"lula";57;1,8036;-1,8036
"dois";18;-0,6641;0,6641
"acusar";18;1,2738;-1,2738
"aécio";11;-0,4057;0,4057
"prédio";14;0,4983;-0,4983
"paraná";18;-0,6641;0,6641
"falar";15;-0,1859;0,1859
"china";14;1,6467;-1,6467
"com";198;0,4594;-0,4594
"judiciário";16;0,4219;-0,4219
"secretário";10;0,2424;-0,2424
"medida";16;-0,2066;0,2066
"ir";194;0,2871;-0,2871
"exterior";27;1,7155;-1,7155
"empresário";14;-0,1659;0,1659
"estadual";10;-0,3688;0,3688
"depois";14;-0,1659;0,1659
"deputado";27;-0,2068;0,2068
"acusação";18;-0,2496;0,2496
"antes";13;-0,4795;0,4795
"ela";11;-0,4057;0,4057
"ele";86;0,3967;-0,3967
"documento";16;-0,5903;0,5903
"negar";11;-0,4057;0,4057
"esquema";15;-0,1859;0,1859
"apontar";10;-0,3688;0,3688
"muito";12;0,1944;-0,1944
"uma";98;1,2673;-1,2673
"o";1010;0,719;-0,719
"novo";18;-0,6641;0,6641
"penal";10;-0,3688;0,3688
"continuar";13;-0,4795;0,4795
"ver";20;0,3074;-0,3074
"vez";11;-0,4057;0,4057
