"";"X.gr_01";"X.gr_02"
"afirmar";1,74;4,39
"decidir";0,87;1,31
"planejamento";0;1,08
"segurança";1,74;1,77
"acordo";5,21;3,7
"sobre";2,61;3,39
"outro";1,74;2,62
"saber";0;1,77
"além";0,87;0,77
"rio";0;1,31
"político";0,87;0,92
"abaixo";0;0,77
"delator";0,87;1,46
"passado";1,74;0,62
"valor";2,61;0,92
"brasileiro";4,34;2,16
"não";8,69;10,85
"até";2,61;1,08
"ato";0,87;0,77
"deixar";0,87;0,92
"gravação";0;1,08
"segundo";0,87;3,16
"investigação";0,87;2,69
"recurso";0;0,85
"após";0;1,23
"esta";0;0,77
"lula";8,69;3,62
"dois";0;1,39
"acusar";3,48;1,08
"aécio";0;0,85
"prédio";1,74;0,92
"paraná";0;1,39
"falar";0,87;1,08
"china";3,48;0,77
"com";15,64;13,86
"judiciário";1,74;1,08
"secretário";0,87;0,69
"medida";0,87;1,15
"ir";13,9;13,7
"exterior";5,21;1,62
"empresário";0,87;1
"estadual";0;0,77
"depois";0,87;1
"deputado";1,74;1,92
"acusação";0,87;1,31
"antes";0;1
"ela";0;0,85
"ele";6,95;6
"documento";0;1,23
"negar";0;0,85
"esquema";0,87;1,08
"apontar";0;0,77
"muito";0,87;0,85
"uma";11,29;6,54
"o";78,19;70,82
"novo";0;1,39
"penal";0;0,77
"condenar";5,21;0,46
"continuar";0;1
"ver";1,74;1,39
"vez";0;0,85
"curitiba";0;1
"irmão";0;0,85
"dia";2,61;1,54
"querer";2,61;1,31
"situação";1,74;0,77
"cargo";0,87;0,85
"militar";0,87;0,77
"semana";0;0,92
"prova";0;1,31
"tribunal";0,87;1,08
"só";0;1,31
"primeiro";0,87;1,39
"justiça";3,48;3,7
"se";6,95;5,23
"mais";5,21;2,93
"desde";0;1,54
"envolver";0;0,77
"afastado";0;0,77
"eu";0,87;2,31
"fazer";3,48;4,08
"brasil";0,87;2,08
"ministro";4,34;2
"2";0,87;1,15
"qual";0;1
"10";0,87;0,85
"ano";3,48;2,23
"apresentado";0;0,77
"nota";0;1,46
"conversa";0;1,15
"qualquer";0;1,08
"crime";0;1,92
"já";1,74;2,69
"contar";0;1
"dinheiro";0,87;1,31
"federal";12,16;15,01
"estar";16,51;5,54
"como";0,87;5,31
"ambiente";0;0,92
"câmara";0,87;1,39
"por";16,51;21,02
"entregar";0,87;1,46
"cunha";0,87;0,85
"denunciar";0;0,92
"casa";0;0,77
"caso";0,87;1,46
"prisão";1,74;1
"área";0;0,77
"regime";0,87;0,69
"processo";2,61;1,69
"polícia";2,61;3,7
"esplanada";2,61;1,31
"hoje";3,48;0,62
"chefe";1,74;0,92
"_";0;2,69
"empresa";0,87;1,85
"janot";0;1,39
"último";0,87;0,69
"ex_presidente";1,74;2,46
"agora";0,87;0,69
"batista";0,87;1,31
"ao";5,21;10,01
"juiz";2,61;3,46
"defesa";4,34;3,16
"pedir";3,48;1,85
"joesley";1,74;2,31
"grupo";0;1
"fiscal";0,87;1
"apartamento";1,74;0,69
"dilma";0,87;0,85
"mpf";4,34;3,7
"decisão";0;2,39
"ter";9,56;11,32
"sua";3,48;1,85
"sul";1,74;1,15
"propina";6,08;2,31
"conta";0,87;0,85
"começar";0,87;0,77
"levar";0,87;0,69
"procurador";1,74;1,54
"projeto";0,87;0,85
"rodrigo";0;0,85
"sistema";2,61;0,54
"a";62,55;60,05
"delação";2,61;3,16
"pena";0;0,77
"ficar";0;1,15
"pedido";0;2,08
"todo";5,21;2,62
"nosso";1,74;0,69
"divulgar";3,48;0,77
"comando";0;0,85
"cada";0;0,77
"dono";0;0,77
"contra";1,74;2,08
"brasília";0,87;1,39
"para";22,59;16,09
"país";4,34;2
"parlamentar";0,87;0,69
"stf";0,87;1,92
"autorizar";0;0,77
"tentar";0,87;0,69
"essa";0,87;1,54
"então";0;0,85
"esse";0;1,23
"carne";4,34;1,77
"órgão";0;1,15
"quem";2,61;0,77
"porque";0;0,92
"assumir";0,87;1,46
"seu";0,87;1,85
"ser";19,98;19,09
"cultura";2,61;0,85
"sem";0;1,15
"lava_jato";2,61;2,23
"público";24,33;25,48
"rcifrão";1,74;1,92
"eleitoral";0;1,54
"filho";1,74;1,15
"senador";2,61;1,15
"dizer";10,43;7,16
"pessoa";1,74;1,69
"pt";0,87;0,85
"chegar";0;0,77
"denúncia";1,74;2
"pf";3,48;1,54
"benefício";0;1,08
"coreia";1,74;1,39
"premiar";0,87;1,46
"saúde";0;0,92
"próprio";0;0,77
"jbs";0,87;1,23
"entre";3,48;2,69
"apresentar";0,87;0,69
"informar";1,74;1,46
"trabalho";0;1,62
"autoridade";0,87;1,08
"presidente";0;3,77
"ministério";46,92;41,96
"poder";3,48;4,93
"governo";0,87;3,62
"responsável";0;1,08
"um";16,51;10,78
"corrupção";6,08;1,85
"sérgio_moro";4,34;1,62
"conselho";0;0,92
"pagamento";0;1,54
"setor";0;0,85
"relação";6,08;1,46
"manter";1,74;1,15
"depoimento";0,87;1,62
"g1";0;1,15
"operação";2,61;3,7
"constituição";0,87;0,92
"informação";0;1,08
"defender";0;0,77
"fachin";0;0,85
"pmdb";2,61;1,15
"lei";0,87;2,08
"comunicado";0,87;0,69
"anunciar";0,87;0,69
"força";0,87;1,08
"de";167,68;163,2
"unido";0,87;0,69
"ainda";4,34;1,92
"volta";0,87;0,77
"dever";1,74;1,69
"dar";2,61;0,92
"mandato";0;0,77
"fábio";0;0,77
"agricultura";10,43;4,39
"questionar";0;0,85
"que";40,83;39,88
"meio";0,87;1,39
"pgr";0;1,08
"haver";1,74;4,08
"quando";0;1,54
"serraglio";0;0,85
"petrobras";2,61;0,69
"criminoso";0,87;0,69
"bem";1,74;1,23
"isso";1,74;1
"mil";1,74;1,15
"milhão";2,61;1,31
"servidor";2,61;1,31
"serviço";0,87;0,69
"fazenda";1,74;0,92
"atuar";0;1
"confirmar";2,61;0,62
"trabalhar";0;1,15
"apurar";0,87;0,85
"fraco";0,87;1,08
"2016";0;0,77
"república";0,87;2,23
"passar";0,87;0,69
"mesmo";1,74;1,54
"parte";1,74;1,54
"paulo";0;1,46
"estado";0,87;1,85
"michel_temer";4,34;5
"momento";0;0,77
"nacional";1,74;1,92
"preso";2,61;1,08
"fato";1,74;0,92
"durante";2,61;0,92
"odebrecht";0;1,62
"pasta";0;1,46
"receber";1,74;2,62
"ação";0;2
"também";4,34;4,7
"desenvolvimento";0;0,77
"em";44,31;55,43
"troca";0;0,77
"norte";2,61;0,77
"oas";2,61;1
"investigar";0;0,92
"membro";0,87;1,54
