"";"*gr_01";"*gr_02"
"afirmar";2;57
"decidir";1;17
"planejamento";0;14
"segurança";2;23
"acordo";6;48
"sobre";3;44
"outro";2;34
"saber";0;23
"além";1;10
"rio";0;17
"político";1;12
"abaixo";0;10
"delator";1;19
"passado";2;8
"valor";3;12
"brasileiro";5;28
"não";10;141
"até";3;14
"ato";1;10
"deixar";1;12
"gravação";0;14
"segundo";1;41
"investigação";1;35
"recurso";0;11
"após";0;16
"esta";0;10
"lula";10;47
"dois";0;18
"acusar";4;14
"aécio";0;11
"prédio";2;12
"paraná";0;18
"falar";1;14
"china";4;10
"com";18;180
"judiciário";2;14
"secretário";1;9
"medida";1;15
"ir";16;178
"exterior";6;21
"empresário";1;13
"estadual";0;10
"depois";1;13
"deputado";2;25
"acusação";1;17
"antes";0;13
"ela";0;11
"ele";8;78
"documento";0;16
"negar";0;11
"esquema";1;14
"apontar";0;10
"muito";1;11
"uma";13;85
"o";90;920
"novo";0;18
"penal";0;10
"condenar";6;6
"continuar";0;13
"ver";2;18
"vez";0;11
"curitiba";0;13
"irmão";0;11
"dia";3;20
"querer";3;17
"situação";2;10
"cargo";1;11
"militar";1;10
"semana";0;12
"prova";0;17
"tribunal";1;14
"só";0;17
"primeiro";1;18
"justiça";4;48
"se";8;68
"mais";6;38
"desde";0;20
"envolver";0;10
"afastado";0;10
"eu";1;30
"fazer";4;53
"brasil";1;27
"ministro";5;26
"2";1;15
"qual";0;13
"10";1;11
"ano";4;29
"apresentado";0;10
"nota";0;19
"conversa";0;15
"qualquer";0;14
"crime";0;25
"já";2;35
"contar";0;13
"dinheiro";1;17
"federal";14;195
"estar";19;72
"como";1;69
"ambiente";0;12
"câmara";1;18
"por";19;273
"entregar";1;19
"cunha";1;11
"denunciar";0;12
"casa";0;10
"caso";1;19
"prisão";2;13
"área";0;10
"regime";1;9
"processo";3;22
"polícia";3;48
"esplanada";3;17
"hoje";4;8
"chefe";2;12
"_";0;35
"empresa";1;24
"janot";0;18
"último";1;9
"ex_presidente";2;32
"agora";1;9
"batista";1;17
"ao";6;130
"juiz";3;45
"defesa";5;41
"pedir";4;24
"joesley";2;30
"grupo";0;13
"fiscal";1;13
"apartamento";2;9
"dilma";1;11
"mpf";5;48
"decisão";0;31
"ter";11;147
"sua";4;24
"sul";2;15
"propina";7;30
"conta";1;11
"começar";1;10
"levar";1;9
"procurador";2;20
"projeto";1;11
"rodrigo";0;11
"sistema";3;7
"a";72;780
"delação";3;41
"pena";0;10
"ficar";0;15
"pedido";0;27
"todo";6;34
"nosso";2;9
"divulgar";4;10
"comando";0;11
"cada";0;10
"dono";0;10
"contra";2;27
"brasília";1;18
"para";26;209
"país";5;26
"parlamentar";1;9
"stf";1;25
"autorizar";0;10
"tentar";1;9
"essa";1;20
"então";0;11
"esse";0;16
"carne";5;23
"órgão";0;15
"quem";3;10
"porque";0;12
"assumir";1;19
"seu";1;24
"ser";23;248
"cultura";3;11
"sem";0;15
"lava_jato";3;29
"público";28;331
"rcifrão";2;25
"eleitoral";0;20
"filho";2;15
"senador";3;15
"dizer";12;93
"pessoa";2;22
"pt";1;11
"chegar";0;10
"denúncia";2;26
"pf";4;20
"benefício";0;14
"coreia";2;18
"premiar";1;19
"saúde";0;12
"próprio";0;10
"jbs";1;16
"entre";4;35
"apresentar";1;9
"informar";2;19
"trabalho";0;21
"autoridade";1;14
"presidente";0;49
"ministério";54;545
"poder";4;64
"governo";1;47
"responsável";0;14
"um";19;140
"corrupção";7;24
"sérgio_moro";5;21
"conselho";0;12
"pagamento";0;20
"setor";0;11
"relação";7;19
"manter";2;15
"depoimento";1;21
"g1";0;15
"operação";3;48
"constituição";1;12
"informação";0;14
"defender";0;10
"fachin";0;11
"pmdb";3;15
"lei";1;27
"comunicado";1;9
"anunciar";1;9
"força";1;14
"de";193;2120
"unido";1;9
"ainda";5;25
"volta";1;10
"dever";2;22
"dar";3;12
"mandato";0;10
"fábio";0;10
"agricultura";12;57
"questionar";0;11
"que";47;518
"meio";1;18
"pgr";0;14
"haver";2;53
"quando";0;20
"serraglio";0;11
"petrobras";3;9
"criminoso";1;9
"bem";2;16
"isso";2;13
"mil";2;15
"milhão";3;17
"servidor";3;17
"serviço";1;9
"fazenda";2;12
"atuar";0;13
"confirmar";3;8
"trabalhar";0;15
"apurar";1;11
"fraco";1;14
"2016";0;10
"república";1;29
"passar";1;9
"mesmo";2;20
"parte";2;20
"paulo";0;19
"estado";1;24
"michel_temer";5;65
"momento";0;10
"nacional";2;25
"preso";3;14
"fato";2;12
"durante";3;12
"odebrecht";0;21
"pasta";0;19
"receber";2;34
"ação";0;26
"também";5;61
"desenvolvimento";0;10
"em";51;720
"troca";0;10
"norte";3;10
"oas";3;13
"investigar";0;12
"membro";1;20
