"";"X.gr_01";"X.gr_02"
"afirmar";-0,8836;0,8836
"decidir";-0,2496;0,2496
"planejamento";-0,5164;0,5164
"segurança";-0,1759;0,1759
"acordo";0,5614;-0,5614
"sobre";-0,3364;0,3364
"outro";-0,3669;0,3669
"saber";-0,8487;0,8487
"além";0,2167;-0,2167
"rio";-0,6272;0,6272
"político";-0,1465;0,1465
"abaixo";-0,3688;0,3688
"delator";-0,2947;0,2947
"passado";0,7144;-0,7144
"valor";0,9304;-0,9304
"brasileiro";0,8985;-0,8985
"não";-0,5135;0,5135
"até";0,8072;-0,8072
"ato";0,2167;-0,2167
"deixar";-0,1465;0,1465
"gravação";-0,5164;0,5164
"segundo";-0,8758;0,8758
"investigação";-0,706;0,706
"recurso";-0,4057;0,4057
"após";-0,5903;0,5903
"esta";-0,3688;0,3688
"lula";1,8036;-1,8036
"dois";-0,6641;0,6641
"acusar";1,2738;-1,2738
"aécio";-0,4057;0,4057
"prédio";0,4983;-0,4983
"paraná";-0,6641;0,6641
"falar";-0,1859;0,1859
"china";1,6467;-1,6467
"com";0,4594;-0,4594
"judiciário";0,4219;-0,4219
"secretário";0,2424;-0,2424
"medida";-0,2066;0,2066
"ir";0,2871;-0,2871
"exterior";1,7155;-1,7155
"empresário";-0,1659;0,1659
"estadual";-0,3688;0,3688
"depois";-0,1659;0,1659
"deputado";-0,2068;0,2068
"acusação";-0,2496;0,2496
"antes";-0,4795;0,4795
"ela";-0,4057;0,4057
"ele";0,3967;-0,3967
"documento";-0,5903;0,5903
"negar";-0,4057;0,4057
"esquema";-0,1859;0,1859
"apontar";-0,3688;0,3688
"muito";0,1944;-0,1944
"uma";1,2673;-1,2673
"o";0,719;-0,719
"novo";-0,6641;0,6641
"penal";-0,3688;0,3688
"condenar";3,7627;-3,7627
"continuar";-0,4795;0,4795
"ver";0,3074;-0,3074
"vez";-0,4057;0,4057
"curitiba";-0,4795;0,4795
"irmão";-0,4057;0,4057
"dia";0,5421;-0,5421
"querer";0,6588;-0,6588
"situação";0,5933;-0,5933
"cargo";0,1944;-0,1944
"militar";0,2167;-0,2167
"semana";-0,4426;0,4426
"prova";-0,6272;0,6272
"tribunal";-0,1859;0,1859
"só";-0,6272;0,6272
"primeiro";-0,2719;0,2719
"justiça";-0,2354;0,2354
"se";0,5582;-0,5582
"mais";0,8399;-0,8399
"desde";-0,7379;0,7379
"envolver";-0,3688;0,3688
"afastado";-0,3688;0,3688
"eu";-0,5699;0,5699
"fazer";-0,3005;0,3005
"brasil";-0,4911;0,4911
"ministro";0,987;-0,987
"2";-0,2066;0,2066
"qual";-0,4795;0,4795
"10";0,1944;-0,1944
"ano";0,5535;-0,5535
"apresentado";-0,3688;0,3688
"nota";-0,701;0,701
"conversa";-0,5534;0,5534
"qualquer";-0,5164;0,5164
"crime";-0,9226;0,9226
"já";-0,3865;0,3865
"contar";-0,4795;0,4795
"dinheiro";-0,2496;0,2496
"federal";-0,5721;0,5721
"estar";3,9595;-3,9595
"como";-1,7281;1,7281
"ambiente";-0,4426;0,4426
"câmara";-0,2719;0,2719
"por";-0,7472;0,7472
"entregar";-0,2947;0,2947
"cunha";0,1944;-0,1944
"denunciar";-0,4426;0,4426
"casa";-0,3688;0,3688
"caso";-0,2947;0,2947
"prisão";0,4582;-0,4582
"área";-0,3688;0,3688
"regime";0,2424;-0,2424
"processo";0,4776;-0,4776
"polícia";-0,4035;0,4035
"esplanada";0,6588;-0,6588
"hoje";1,8958;-1,8958
"chefe";0,4983;-0,4983
"_";-1,2921;1,2921
"empresa";-0,4148;0,4148
"janot";-0,6641;0,6641
"último";0,2424;-0,2424
"ex_presidente";-0,3286;0,3286
"agora";0,2424;-0,2424
"batista";-0,2496;0,2496
"ao";-1,1766;1,1766
"juiz";-0,3528;0,3528
"defesa";0,4963;-0,4963
"pedir";0,7217;-0,7217
"joesley";-0,2918;0,2918
"grupo";-0,4795;0,4795
"fiscal";-0,1659;0,1659
"apartamento";0,65;-0,65
"dilma";0,1944;-0,1944
"mpf";0,3617;-0,3617
"decisão";-1,1443;1,1443
"ter";-0,4459;0,4459
"sua";0,7217;-0,7217
"sul";0,3891;-0,3891
"propina";1,5587;-1,5587
"conta";0,1944;-0,1944
"começar";0,2167;-0,2167
"levar";0,2424;-0,2424
"procurador";0,2639;-0,2639
"projeto";0,1944;-0,1944
"rodrigo";-0,4057;0,4057
"sistema";1,3785;-1,3785
"a";0,4147;-0,4147
"delação";-0,2892;0,2892
"pena";-0,3688;0,3688
"ficar";-0,5534;0,5534
"pedido";-0,9965;0,9965
"todo";0,9883;-0,9883
"nosso";0,65;-0,65
"divulgar";1,6467;-1,6467
"comando";-0,4057;0,4057
"cada";-0,3688;0,3688
"dono";-0,3688;0,3688
"contra";-0,2396;0,2396
"brasília";-0,2719;0,2719
"para";1,1723;-1,1723
"país";0,987;-0,987
"parlamentar";0,2424;-0,2424
"stf";-0,4399;0,4399
"autorizar";-0,3688;0,3688
"tentar";0,2424;-0,2424
"essa";-0,3179;0,3179
"então";-0,4057;0,4057
"esse";-0,5903;0,5903
"carne";1,139;-1,139
"órgão";-0,5534;0,5534
"quem";1,0802;-1,0802
"porque";-0,4426;0,4426
"assumir";-0,2947;0,2947
"seu";-0,4148;0,4148
"ser";0,3481;-0,3481
"cultura";1,0014;-1,0014
"sem";-0,5534;0,5534
"lava_jato";0,3104;-0,3104
"público";-0,3428;0,3428
"rcifrão";-0,2068;0,2068
"eleitoral";-0,7379;0,7379
"filho";0,3891;-0,3891
"senador";0,7535;-0,7535
"dizer";0,8375;-0,8375
"pessoa";0,2272;-0,2272
"pt";0,1944;-0,1944
"chegar";-0,3688;0,3688
"denúncia";-0,223;0,223
"pf";0,8985;-0,8985
"benefício";-0,5164;0,5164
"coreia";0,3074;-0,3074
"premiar";-0,2947;0,2947
"saúde";-0,4426;0,4426
"próprio";-0,3688;0,3688
"jbs";-0,2278;0,2278
"entre";0,4052;-0,4052
"apresentar";0,2424;-0,2424
"informar";0,2847;-0,2847
"trabalho";-0,7749;0,7749
"autoridade";-0,1859;0,1859
"presidente";-1,8099;1,8099
"ministério";0,6354;-0,6354
"poder";-0,4667;0,4667
"governo";-1,0512;1,0512
"responsável";-0,5164;0,5164
"um";1,2344;-1,2344
"corrupção";1,9672;-1,9672
"sérgio_moro";1,2558;-1,2558
"conselho";-0,4426;0,4426
"pagamento";-0,7379;0,7379
"setor";-0,4057;0,4057
"relação";2,4141;-2,4141
"manter";0,3891;-0,3891
"depoimento";-0,3416;0,3416
"g1";-0,5534;0,5534
"operação";-0,4035;0,4035
"constituição";-0,1465;0,1465
"informação";-0,5164;0,5164
"defender";-0,3688;0,3688
"fachin";-0,4057;0,4057
"pmdb";0,7535;-0,7535
"lei";-0,4911;0,4911
"comunicado";0,2424;-0,2424
"anunciar";0,2424;-0,2424
"força";-0,1859;0,1859
"de";0,4439;-0,4439
"unido";0,2424;-0,2424
"ainda";1,0349;-1,0349
"volta";0,2167;-0,2167
"dever";0,2272;-0,2272
"dar";0,9304;-0,9304
"mandato";-0,3688;0,3688
"fábio";-0,3688;0,3688
"agricultura";2,0359;-2,0359
"questionar";-0,4057;0,4057
"que";0,3372;-0,3372
"meio";-0,2719;0,2719
"pgr";-0,5164;0,5164
"haver";-0,7855;0,7855
"quando";-0,7379;0,7379
"serraglio";-0,4057;0,4057
"petrobras";1,168;-1,168
"criminoso";0,2424;-0,2424
"bem";0,3594;-0,3594
"isso";0,4582;-0,4582
"mil";0,3891;-0,3891
"milhão";0,6588;-0,6588
"servidor";0,6588;-0,6588
"serviço";0,2424;-0,2424
"fazenda";0,4983;-0,4983
"atuar";-0,4795;0,4795
"confirmar";1,2666;-1,2666
"trabalhar";-0,5534;0,5534
"apurar";0,1944;-0,1944
"fraco";-0,1859;0,1859
"2016";-0,3688;0,3688
"república";-0,5433;0,5433
"passar";0,2424;-0,2424
"mesmo";0,2639;-0,2639
"parte";0,2639;-0,2639
"paulo";-0,701;0,701
"estado";-0,4148;0,4148
"michel_temer";-0,3097;0,3097
"momento";-0,3688;0,3688
"nacional";-0,2068;0,2068
"preso";0,8072;-0,8072
"fato";0,4983;-0,4983
"durante";0,9304;-0,9304
"odebrecht";-0,7749;0,7749
"pasta";-0,701;0,701
"receber";-0,3669;0,3669
"ação";-0,9595;0,9595
"também";-0,2611;0,2611
"desenvolvimento";-0,3688;0,3688
"em";-1,2173;1,2173
"troca";-0,3688;0,3688
"norte";1,0802;-1,0802
"oas";0,866;-0,866
"investigar";-0,4426;0,4426
"membro";-0,3179;0,3179
