"";"X.gr_01";"X.gr_02"
"pre";-0,7494;0,7494
"ver_sup";0,5597;-0,5597
"ono";-0,1521;0,1521
"pro_per";-0,3982;0,3982
"num";-0,4405;0,4405
"conj";-1,683;1,683
"adv";-0,7927;0,7927
"ver";0,9231;-0,9231
"pro_int";-0,1345;0,1345
"nr";-0,6704;0,6704
"pro_ind";1,5415;-1,5415
"adj";1,2541;-1,2541
"pro_dem";-0,8512;0,8512
"nom";-0,4388;0,4388
"adj ";0,4503;-0,4503
"adv_sup";0,5295;-0,5295
"nom_sup";-0,369;0,369
"pro_pos";0,667;-0,667
"adj_sup";1,0766;-1,0766
"art_def";1,2438;-1,2438
"adj_num";-0,6833;0,6833
"pro_rel";-0,287;0,287
