"";"banalfreq";"X.gr_01";"X.gr_02"
"tratar";12;-0,9962;0,9962
"fazer";130;-1,1321;1,1321
"exigir";12;-0,4486;0,4486
"reforma";23;-1,1427;1,1427
"atingir";15;0,9832;-0,9832
"segurança";37;-1,4884;1,4884
"hora";11;0,965;-0,965
"sírio";44;-1,0063;1,0063
"enfrentar";16;-0,3416;0,3416
"tipo";19;0,6479;-0,6479
"risco";21;-0,3091;0,3091
"sobre";90;0,2965;-0,2965
"china";56;0,4191;-0,4191
"cidade";16;-0,3416;0,3416
"declarar";18;0,4152;-0,4152
"pyongyang";18;-0,4305;0,4305
"pib";15;-0,6261;0,6261
"químico";16;0,5247;-0,5247
"saber";24;1,8121;-1,8121
"pouco";24;-0,7299;0,7299
"destruir";10;1,0993;-1,0993
"política";55;-0,4379;0,4379
"político";73;0,5512;-0,5512
"ambos";12;0,4577;-0,4577
"abaixo";10;-0,3378;0,3378
"referência";11;-0,9131;0,9131
"mês";12;-0,1861;0,1861
"ordem";11;0,965;-0,965
"passado";23;-1,9097;1,9097
"alcance";11;-0,9131;0,9131
"fim";22;-1,0756;1,0756
"necessário";16;0,8844;-0,8844
"brasileiro";81;-0,2516;0,2516
"pobre";14;0,6656;-0,6656
"até";45;-0,5056;0,5056
"moçambique";12;-0,9962;0,9962
"assim";22;-0,3451;0,3451
"nunca";20;1,341;-1,341
"sociedade";14;-0,2597;0,2597
"acontecer";18;-0,2107;0,2107
"três";18;-0,8138;0,8138
"entrar";24;1,353;-1,353
"realizar";33;-0,3221;0,3221
"deixar";33;-0,5274;0,5274
"adotar";11;-0,9131;0,9131
"combate";14;0,6656;-0,6656
"segundo";68;-1,8331;1,8331
"começar";21;-0,3091;0,3091
"lançar";12;0,4577;-0,4577
"geral";13;0,398;-0,398
"início";14;0,3467;-0,3467
"investigação";23;0,4309;-0,4309
"arma";41;0,5587;-0,5587
"este";13;-0,5064;0,5064
"uscifrão";16;-1,3283;1,3283
"longo";15;-0,6261;0,6261
"receber";19;-1,5775;1,5775
"acordo";56;-0,6599;0,6599
"dois";69;-0,8853;0,8853
"avançado";13;-1,0792;1,0792
"maria";10;-0,8301;0,8301
"professor";13;0,398;-0,398
"responder";18;-0,4305;0,4305
"aliado";18;-0,4305;0,4305
"rico";13;-0,2218;0,2218
"15";14;-0,5657;0,5657
"sair";21;0,5282;-0,5282
"meu";12;0,8504;-0,8504
"interno";11;0,2256;-0,2256
"com";365;-0,346;0,346
"ocorrer";15;0,3023;-0,3023
"candidato";10;0,2671;-0,2671
"durante";30;0,8636;-0,8636
"judiciário";11;-0,3923;0,3923
"usado";10;-0,3378;0,3378
"medida";23;-0,6771;0,6771
"encontrar";15;0,3023;-0,3023
"exterior";20;0,5849;-0,5849
"discurso";19;-0,4772;0,4772
"aéreo";11;-0,3923;0,3923
"empresário";16;0,8844;-0,8844
"livre";12;0,4577;-0,4577
"depois";26;0,8167;-0,8167
"algum";23;1,0447;-1,0447
"deputado";13;0,398;-0,398
"programa";19;-1,5775;1,5775
"antes";22;0,261;-0,261
"conflito";21;1,2332;-1,2332
"recurso";10;-0,8301;0,8301
"ele";142;0,9941;-0,9941
"declaração";14;1,095;-1,095
"negar";10;0,2671;-0,2671
"ministro";49;1,7813;-1,7813
"total";16;-0,6877;0,6877
"corte";12;-0,1861;0,1861
"uma";344;-0,738;0,738
"ainda";73;0,4088;-0,4088
"explicar";11;-0,3923;0,3923
"o";1920;-0,3097;0,3097
"esperar";16;0,5247;-0,5247
"sob";13;-0,2218;0,2218
"questão";13;0,398;-0,398
"rápido";10;0,6102;-0,6102
"novo";45;0,6063;-0,6063
"ajuda";14;1,6331;-1,6331
"asiático";22;-0,3451;0,3451
"seguir";19;-0,2418;0,2418
"mercado";22;0,4771;-0,4771
"economia";24;0,6407;-0,6407
"ganhar";12;0,4577;-0,4577
"inclusive";12;0,8504;-0,8504
"condenar";13;1,222;-1,222
"condição";10;-0,8301;0,8301
"sanção";19;-1,5775;1,5775
"regime";17;-0,7503;0,7503
"continuar";27;-0,3162;0,3162
"produto";20;-0,5253;0,5253
"publicar";12;1,3677;-1,3677
"russo";20;-0,2746;0,2746
"domingo";12;-0,9962;0,9962
"intervenção";10;-0,3378;0,3378
"5";19;0,3696;-0,3696
"entrevista";15;0,3023;-0,3023
"menos";21;-0,5747;0,5747
"ver";38;-1,0792;1,0792
"muito";73;-1,3294;1,3294
"partir";10;-0,8301;0,8301
"autoridade";24;-0,2278;0,2278
"dia";38;0,3011;-0,3011
"balístico";15;0,3023;-0,3023
"querer";50;-0,6782;0,6782
"companhia";10;-0,8301;0,8301
"participar";12;0,4577;-0,4577
