"";"X.gr_01";"X.gr_02"
"tratar";0;0,51
"fazer";3,2;4,8
"exigir";0,2;0,46
"reforma";0,2;0,93
"afirmar";1,2;3,33
"atingir";1;0,42
"segurança";0,4;1,47
"hora";0,8;0,29
"sírio";0,8;1,68
"enfrentar";0,4;0,59
"tipo";1;0,59
"risco";0,6;0,76
"sobre";3,2;3,12
"china";2,2;1,89
"cidade";0,4;0,59
"declarar";0,8;0,59
"pyongyang";0,4;0,67
"pib";0,2;0,59
"químico";0,8;0,51
"saber";1,8;0,63
"pouco";0,4;0,93
"destruir";0,8;0,25
"política";1,6;1,98
"político";3;2,44
"ambos";0,6;0,38
"abaixo";0,2;0,38
"referência";0;0,46
"mês";0,4;0,42
"ordem";0,8;0,29
"passado";0;0,97
"alcance";0;0,46
"fim";0,2;0,88
"necessário";1;0,46
"brasileiro";2,8;2,82
"pobre";0,8;0,42
"até";1,2;1,64
"moçambique";0;0,51
"assim";0,6;0,8
"nunca";1,4;0,55
"sociedade";0,4;0,51
"acontecer";0,6;0,63
"três";0,2;0,72
"entrar";1,6;0,67
"realizar";1;1,18
"deixar";0,8;1,22
"adotar";0;0,46
"combate";0,8;0,42
"segundo";1;2,65
"começar";0,6;0,76
"lançar";0,6;0,38
"geral";0,6;0,42
"início";0,6;0,46
"investigação";1;0,76
"arma";1,8;1,35
"este";0,2;0,51
"uscifrão";0;0,67
"longo";0,2;0,59
"lula";4,8;1,77
"receber";0;0,8
"acordo";1,4;2,06
"dois";1,6;2,57
"avançado";0;0,55
"maria";0;0,42
"professor";0,6;0,42
"responder";0,4;0,67
"aliado";0,4;0,67
"rico";0,4;0,46
"15";0,2;0,55
"sair";1;0,67
"meu";0,8;0,34
"interno";0,4;0,38
"com";12,4;12,76
"ocorrer";0,6;0,51
"candidato";0,4;0,34
"durante";1,6;0,93
"judiciário";0,2;0,42
"usado";0,2;0,38
"medida";0,4;0,88
"encontrar";0,6;0,51
"ir";14,6;9,81
"exterior";1;0,63
"discurso";0,4;0,72
"aéreo";0,2;0,42
"empresário";1;0,46
"livre";0,6;0,38
"kim";4,2;1,05
"depois";1,4;0,8
"algum";1,4;0,67
"deputado";0,6;0,42
"programa";0;0,8
"destacar";1,8;0,17
"antes";0,8;0,76
"conflito";1,4;0,59
"recurso";0;0,42
"ela";0,2;1,64
"ele";6,2;4,67
"declaração";1;0,38
"negar";0,4;0,34
"ministro";3;1,43
"total";0,2;0,63
"corte";0,4;0,42
"coréia";2,2;0
"uma";10,6;12,25
"ainda";2,8;2,48
"explicar";0,2;0,42
"o";66,59;66,83
"esperar";0,8;0,51
"sob";0,4;0,46
"questão";0,6;0,42
"rápido";0,6;0,29
"novo";2;1,47
"ajuda";1,2;0,34
"asiático";0,6;0,8
"seguir";0,6;0,67
"mercado";1;0,72
"economia";1,2;0,76
"ganhar";0,6;0,38
"inclusive";0,8;0,34
"condenar";1;0,34
"condição";0;0,42
"sanção";0;0,8
"regime";0,2;0,67
"continuar";0,8;0,97
"produto";0,4;0,76
"publicar";1;0,29
"russo";0,6;0,72
"domingo";0;0,51
"intervenção";0,2;0,38
"5";0,8;0,63
"entrevista";0,6;0,51
"menos";0,4;0,8
"ver";0,6;1,47
"muito";1,4;2,78
"vez";2,2;0,55
"partir";0;0,42
"autoridade";0,8;0,84
"dia";1,4;1,31
"balístico";0,6;0,51
"querer";1,2;1,85
"companhia";0;0,42
"participar";0,6;0,38
"cargo";0,6;0,34
"mudança";0,6;0,59
"lançamento";0,4;0,55
"controlo";0;0,46
"mudar";0,8;0,55
"melhor";0,4;1,26
"militar";1,8;1,81
"alto";0,8;0,59
"bom";0,8;0,88
"internacional";0,4;1,31
"negócio";0;0,46
"diálogo";0,4;0,46
"união";0;0,93
"instituição";0,8;0,51
"você";1,6;0,76
"só";0,8;0,76
"administração";0,4;0,38
"míssil";1,8;1,68
"perder";0,4;0,8
"noite";0,8;0,34
"colocar";1;0,63
"1";1;0,42
"algo";0,6;0,29
"primeiro";1,2;1,26
"justiça";1,2;1,01
"se";11,2;8,55
"voltar";0,8;0,72
"forma";0,2;0,93
"mais";7,8;7,58
"crise";0,8;2,4
"maior";2,4;1,43
"desde";0,6;1,81
"resposta";0,2;0,38
"citar";0,4;0,59
"eu";2,2;1,73
"precisar";1;1,52
"porcento";2,6;2,11
"brasil";3,4;5,22
"xi";1;0,21
"americano";1;2,02
"não";14,2;12,67
"japão";1,2;0,51
"voto";0;0,42
"onu";0,4;1,01
"mandato";0,4;0,42
"ameaça";0,8;0,8
"2";0,2;0,67
"avaliar";0,2;0,38
"investimento";0;0,46
"aceitar";0;0,51
"qual";0,6;1,43
"10";0,4;0,51
"número";0;0,59
"aumentar";0,4;0,51
"futuro";0,6;0,67
"ano";1,6;3,16
"apoiar";1;0,51
"objectivo";0,8;0,34
"nota";0,4;0,8
"enviar";0,6;0,29
"chinês";1;0,67
"crime";1,6;0,25
"delação";0,8;0,88
"ressaltar";0,8;0,29
"já";4,6;2,15
"região";0;0,88
"contar";0,2;0,72
"dinheiro";1;0,59
"federal";1,2;0,67
"população";0,6;0,63
"estar";14,4;7,96
"vender";0,4;0,34
"achar";0,8;0,63
"25";0,6;0,29
"câmara";0,2;0,42
"como";3,2;5,52
"democrático";0;0,46
"gente";0;0,63
"por";11,8;13,47
"acabar";0,8;0,59
"pessoa";1,8;1,39
"partido";0,4;0,93
"áfrica";0,8;0,29
"quatro";0,2;0,38
"aqui";0,4;0,42
"casa";0;0,55
"caso";1,6;1,01
"alvo";0,2;0,38
"golpe";1;0,25
"imposto";0,8;0,63
"putin";0,6;0,29
"atividade";0;0,42
"respeito";0,4;0,34
"estatal";1;0,55
"processo";0,4;1,01
"lado";0,4;0,55
"solução";0,4;0,76
"viver";0,6;0,76
"líder";0,6;0,97
"corrupção";3,4;0,84
"hoje";1,4;1,01
"chefe";0,4;0,59
"_";0;2,91
"empresa";2;1,43
"trump";2,2;2,57
"público";2,6;1,68
"ex_presidente";1;0,76
"rússia";2,2;1,47
"responsabilidade";0;0,51
"agora";0;1,09
"interesse";0,4;0,46
"juiz";1,6;0,72
"defesa";1,6;0,97
"todo";4,8;3,16
"pedir";2,2;1,18
"cidadão";1,4;0,34
"grupo";1,8;1,26
"dilma";1,4;0,63
"claro";0,6;0,59
"sim";1;0,46
"entanto";0,2;0,38
"global";0,4;0,34
"comercial";0;0,46
"7";0,2;0,46
"me";0;0,46
"decisão";0,4;0,63
"mundial";0,2;0,55
"ter";10,4;9,94
"chamar";0,4;0,34
"zona";0,4;0,76
"propina";0,6;0,38
"conta";0,2;0,38
"evitar";0,2;0,38
"notícia";0,8;0,46
"social";1;0,38
"vir";1;1,18
"reunião";0,4;1,05
"embaixador";0,6;0,38
"dificuldade";0;0,55
"diferente";0;0,76
"incluir";0,2;0,38
"levar";0,4;0,76
"procurador";0,4;0,34
"projeto";0,2;0,42
"ponto";0;0,46
"morto";0;0,42
"concordar";0;0,51
"morte";0;0,55
"sistema";1,2;1,01
"plano";0,8;0,29
"a";60,39;60,68
"grande";2;1,47
