"";"*gr_01";"*gr_02"
"tratar";0;12
"fazer";16;114
"exigir";1;11
"reforma";1;22
"afirmar";6;79
"atingir";5;10
"segurança";2;35
"hora";4;7
"sírio";4;40
"enfrentar";2;14
"tipo";5;14
"risco";3;18
"sobre";16;74
"china";11;45
"cidade";2;14
"declarar";4;14
"pyongyang";2;16
"pib";1;14
"químico";4;12
"saber";9;15
"pouco";2;22
"destruir";4;6
"política";8;47
"político";15;58
"ambos";3;9
"abaixo";1;9
"referência";0;11
"mês";2;10
"ordem";4;7
"passado";0;23
"alcance";0;11
"fim";1;21
"necessário";5;11
"brasileiro";14;67
"pobre";4;10
"até";6;39
"moçambique";0;12
"assim";3;19
"nunca";7;13
"sociedade";2;12
"acontecer";3;15
"três";1;17
"entrar";8;16
"realizar";5;28
"deixar";4;29
"adotar";0;11
"combate";4;10
"segundo";5;63
"começar";3;18
"lançar";3;9
"geral";3;10
"início";3;11
"investigação";5;18
"arma";9;32
"este";1;12
"uscifrão";0;16
"longo";1;14
"lula";24;42
"receber";0;19
"acordo";7;49
"dois";8;61
"avançado";0;13
"maria";0;10
"professor";3;10
"responder";2;16
"aliado";2;16
"rico";2;11
"15";1;13
"sair";5;16
"meu";4;8
"interno";2;9
"com";62;303
"ocorrer";3;12
"candidato";2;8
"durante";8;22
"judiciário";1;10
"usado";1;9
"medida";2;21
"encontrar";3;12
"ir";73;233
"exterior";5;15
"discurso";2;17
"aéreo";1;10
"empresário";5;11
"livre";3;9
"kim";21;25
"depois";7;19
"algum";7;16
"deputado";3;10
"programa";0;19
"destacar";9;4
"antes";4;18
"conflito";7;14
"recurso";0;10
"ela";1;39
"ele";31;111
"declaração";5;9
"negar";2;8
"ministro";15;34
"total";1;15
"corte";2;10
"coréia";11;0
"uma";53;291
"ainda";14;59
"explicar";1;10
"o";333;1587
"esperar";4;12
"sob";2;11
"questão";3;10
"rápido";3;7
"novo";10;35
"ajuda";6;8
"asiático";3;19
"seguir";3;16
"mercado";5;17
"economia";6;18
"ganhar";3;9
"inclusive";4;8
"condenar";5;8
"condição";0;10
"sanção";0;19
"regime";1;16
"continuar";4;23
"produto";2;18
"publicar";5;7
"russo";3;17
"domingo";0;12
"intervenção";1;9
"5";4;15
"entrevista";3;12
"menos";2;19
"ver";3;35
"muito";7;66
"vez";11;13
"partir";0;10
"autoridade";4;20
"dia";7;31
"balístico";3;12
"querer";6;44
"companhia";0;10
"participar";3;9
"cargo";3;8
"mudança";3;14
"lançamento";2;13
"controlo";0;11
"mudar";4;13
"melhor";2;30
"militar";9;43
"alto";4;14
"bom";4;21
"internacional";2;31
"negócio";0;11
"diálogo";2;11
"união";0;22
"instituição";4;12
"você";8;18
"só";4;18
"administração";2;9
"míssil";9;40
"perder";2;19
"noite";4;8
"colocar";5;15
"1";5;10
"algo";3;7
"primeiro";6;30
"justiça";6;24
"se";56;203
"voltar";4;17
"forma";1;22
"mais";39;180
"crise";4;57
"maior";12;34
"desde";3;43
"resposta";1;9
"citar";2;14
"eu";11;41
"precisar";5;36
"porcento";13;50
"brasil";17;124
"xi";5;5
"americano";5;48
"não";71;301
"japão";6;12
"voto";0;10
"onu";2;24
"mandato";2;10
"ameaça";4;19
"2";1;16
"avaliar";1;9
"investimento";0;11
"aceitar";0;12
"qual";3;34
"10";2;12
"número";0;14
"aumentar";2;12
"futuro";3;16
"ano";8;75
"apoiar";5;12
"objectivo";4;8
"nota";2;19
"enviar";3;7
"chinês";5;16
"crime";8;6
"delação";4;21
"ressaltar";4;7
"já";23;51
"região";0;21
"contar";1;17
"dinheiro";5;14
"federal";6;16
"população";3;15
"estar";72;189
"vender";2;8
"achar";4;15
"25";3;7
"câmara";1;10
"como";16;131
"democrático";0;11
"gente";0;15
"por";59;320
"acabar";4;14
"pessoa";9;33
"partido";2;22
"áfrica";4;7
"quatro";1;9
"aqui";2;10
"casa";0;13
"caso";8;24
"alvo";1;9
"golpe";5;6
"imposto";4;15
"putin";3;7
"atividade";0;10
"respeito";2;8
"estatal";5;13
"processo";2;24
"lado";2;13
"solução";2;18
"viver";3;18
"líder";3;23
"corrupção";17;20
"hoje";7;24
"chefe";2;14
"_";0;69
"empresa";10;34
"trump";11;61
"público";13;40
"ex_presidente";5;18
"rússia";11;35
"responsabilidade";0;12
"agora";0;26
"interesse";2;11
"juiz";8;17
"defesa";8;23
"todo";24;75
"pedir";11;28
"cidadão";7;8
"grupo";9;30
"dilma";7;15
"claro";3;14
"sim";5;11
"entanto";1;9
"global";2;8
"comercial";0;11
"7";1;11
"me";0;11
"decisão";2;15
"mundial";1;13
"ter";52;236
"chamar";2;8
"zona";2;18
"propina";3;9
"conta";1;9
"evitar";1;9
"notícia";4;11
"social";5;9
"vir";5;28
"reunião";2;25
"embaixador";3;9
"dificuldade";0;13
"diferente";0;18
"incluir";1;9
"levar";2;18
"procurador";2;8
"projeto";1;10
"ponto";0;11
"morto";0;10
"concordar";0;12
"morte";0;13
"sistema";6;24
"plano";4;7
"a";302;1441
"grande";10;35
"bilhão";5;13
"ficar";6;20
"cada";2;25
"cercar";6;10
"nossa";2;11
"nosso";10;27
"base";1;12
"aprovar";0;10
"divulgar";6;11
"américa";0;14
"dono";2;9
"nome";5;13
"contra";13;40
"para";99;408
"país";196;948
"stf";8;10
"conhecer";3;10
"situação";12;24
"tentar";3;16
"esse";12;34
"certo";3;12
"carne";3;29
"órgão";1;12
"nação";4;18
"michel_temer";29;61
"quem";2;21
"8";1;10
"porque";3;27
"meio";3;21
"ocde";0;14
"após";3;32
"seu";21;107
"ser";137;559
"sem";3;36
"lava_jato";10;29
"ninguém";7;3
"diverso";4;6
"comércio";1;17
"pagar";2;20
"eleitoral";3;13
"parecer";2;11
"eleição";2;28
"considerar";3;12
"senador";3;12
"dizer";50;165
"nacional";2;21
"criar";4;17
"chegar";3;22
"conjunto";4;9
"denúncia";1;14
"pf";7;4
"4";5;6
"coreia";16;90
"direito";1;29
"vário";4;21
"premiar";1;9
"nós";2;30
"demais";0;12
"campanha";0;15
"próprio";4;17
"fato";2;18
"apenas";5;26
"euro";0;15
"jbs";3;11
"entre";11;79
"tanto";4;9
"ajudar";5;5
"informar";8;17
"estratégia";1;9
"tomar";5;18
"direto";1;10
"semana";6;20
"permitir";2;17
"aquele";3;21
"mostrar";4;15
"apoio";1;15
"suposto";2;10
"jornal";3;7
"essa";8;39
"sua";14;88
"terrorista";1;9
"vizinho";2;9
"ministério";5;26
"poder";38;112
"votar";0;10
"governo";15;77
"negociação";0;12
"um";93;384
"indicar";2;8
"odebrecht";3;24
"sérgio_moro";12;5
"sul";8;30
"conselho";1;15
"representar";4;10
"pretender";0;11
"problema";2;17
"relação";5;36
"manter";3;15
"ataque";15;36
"nenhum";2;18
"desenvolver";1;10
"moon";0;10
"g1";0;10
"operação";4;28
"organização";2;13
"entender";1;9
"constituição";3;9
"informação";8;8
"atacar";6;9
"defender";5;25
"emergente";0;14
"difícil";0;12
"década";0;11
"lei";4;23
"ler";4;8
"oficial";5;14
"agência";1;14
"rede";6;9
"usar";4;12
"presidente";26;134
"anunciar";6;18
"força";8;23
"violência";1;9
"especialista";2;10
"acrescentar";0;14
"qualquer";5;29
"tal";6;11
"ideia";3;12
"capacidade";3;15
"de";568;3003
"3";3;15
"jong_un";6;13
"isso";10;67
"unido";5;60
"joesley";7;8
"história";5;18
"donald";1;10
"eua";21;61
"econômico";2;45
"2015";2;10
"2017";1;13
"2016";3;12
"dever";10;36
"dar";6;36
"através";8;2
"existir";3;18
"democracia";3;15
"causa";4;12
"tempo";3;18
"que";237;999
"acreditar";1;9
"ameaçar";5;7
"além";3;28
"único";4;11
"próximo";2;14
"guerra";7;21
"capaz";3;13
"haver";12;100
"quando";7;25
"bem";5;16
"sr";3;7
"europeu";1;31
"mil";2;13
"milhão";5;26
"exército";4;7
"latino";0;11
"lugar";4;9
"centro";1;14
"serviço";3;13
"alguma";2;13
"outro";18;81
"ao";28;161
"tornar";3;11
"último";6;32
"petista";8;9
"principal";4;27
"trabalho";2;9
"atuar";0;22
"tudo";5;7
"pensar";3;7
"atual";2;16
"nuclear";16;66
"confirmar";5;15
"frente";2;10
"trabalhar";6;18
"vídeo";3;8
"conseguir";1;20
"bbc";0;10
"eduardo";7;5
"norte_coreano";2;14
"mundo";11;46
"república";7;28
"passar";6;30
"homem";5;12
"possibilidade";4;10
"então";0;22
"falar";4;21
"mesmo";9;43
"possível";4;14
"parte";10;28
"paulo";2;15
"estado";9;90
"alguém";2;12
"executivo";1;11
"governar";1;10
"momento";4;34
"território";4;7
"rcifrão";4;12
"vida";5;9
"reunir";1;13
"posição";3;16
"importante";4;28
"teste";2;41
"twitter";1;9
"congresso";0;11
"frança";1;9
"pt";5;14
"ação";2;23
"também";17;77
"desenvolvimento";1;20
"em";203;1261
"banco";2;17
"questionar";2;9
"encontro";4;11
"exportação";0;13
"norte";17;74
"mulher";0;10
"povo";4;12
"tão";1;10
"sentido";2;8
"índio";2;9
"assunto";4;8
"membro";0;17
"cinco";0;10
"sempre";6;12
"homicídio";0;12
