"";"X.gr_01";"X.gr_02"
"tratar";-0,9962;0,9962
"fazer";-1,1321;1,1321
"exigir";-0,4486;0,4486
"reforma";-1,1427;1,1427
"afirmar";-2,3044;2,3044
"atingir";0,9832;-0,9832
"segurança";-1,4884;1,4884
"hora";0,965;-0,965
"sírio";-1,0063;1,0063
"enfrentar";-0,3416;0,3416
"tipo";0,6479;-0,6479
"risco";-0,3091;0,3091
"sobre";0,2965;-0,2965
"china";0,4191;-0,4191
"cidade";-0,3416;0,3416
"declarar";0,4152;-0,4152
"pyongyang";-0,4305;0,4305
"pib";-0,6261;0,6261
"químico";0,5247;-0,5247
"saber";1,8121;-1,8121
"pouco";-0,7299;0,7299
"destruir";1,0993;-1,0993
"política";-0,4379;0,4379
"político";0,5512;-0,5512
"ambos";0,4577;-0,4577
"abaixo";-0,3378;0,3378
"referência";-0,9131;0,9131
"mês";-0,1861;0,1861
"ordem";0,965;-0,965
"passado";-1,9097;1,9097
"alcance";-0,9131;0,9131
"fim";-1,0756;1,0756
"necessário";0,8844;-0,8844
"brasileiro";-0,2516;0,2516
"pobre";0,6656;-0,6656
"até";-0,5056;0,5056
"moçambique";-0,9962;0,9962
"assim";-0,3451;0,3451
"nunca";1,341;-1,341
"sociedade";-0,2597;0,2597
"acontecer";-0,2107;0,2107
"três";-0,8138;0,8138
"entrar";1,353;-1,353
"realizar";-0,3221;0,3221
"deixar";-0,5274;0,5274
"adotar";-0,9131;0,9131
"combate";0,6656;-0,6656
"segundo";-1,8331;1,8331
"começar";-0,3091;0,3091
"lançar";0,4577;-0,4577
"geral";0,398;-0,398
"início";0,3467;-0,3467
"investigação";0,4309;-0,4309
"arma";0,5587;-0,5587
"este";-0,5064;0,5064
"uscifrão";-1,3283;1,3283
"longo";-0,6261;0,6261
"lula";3,7453;-3,7453
"receber";-1,5775;1,5775
"acordo";-0,6599;0,6599
"dois";-0,8853;0,8853
"avançado";-1,0792;1,0792
"maria";-0,8301;0,8301
"professor";0,398;-0,398
"responder";-0,4305;0,4305
"aliado";-0,4305;0,4305
"rico";-0,2218;0,2218
"15";-0,5657;0,5657
"sair";0,5282;-0,5282
"meu";0,8504;-0,8504
"interno";0,2256;-0,2256
"com";-0,346;0,346
"ocorrer";0,3023;-0,3023
"candidato";0,2671;-0,2671
"durante";0,8636;-0,8636
"judiciário";-0,3923;0,3923
"usado";-0,3378;0,3378
"medida";-0,6771;0,6771
"encontrar";0,3023;-0,3023
"ir";2,617;-2,617
"exterior";0,5849;-0,5849
"discurso";-0,4772;0,4772
"aéreo";-0,3923;0,3923
"empresário";0,8844;-0,8844
"livre";0,4577;-0,4577
"kim";5,0772;-5,0772
"depois";0,8167;-0,8167
"algum";1,0447;-1,0447
"deputado";0,398;-0,398
"programa";-1,5775;1,5775
"destacar";4,2788;-4,2788
"antes";0,261;-0,261
"conflito";1,2332;-1,2332
"recurso";-0,8301;0,8301
"ela";-2,3475;2,3475
"ele";0,9941;-0,9941
"declaração";1,095;-1,095
"negar";0,2671;-0,2671
"ministro";1,7813;-1,7813
"total";-0,6877;0,6877
"corte";-0,1861;0,1861
"coréia";8,3592;-8,3592
"uma";-0,738;0,738
"ainda";0,4088;-0,4088
"explicar";-0,3923;0,3923
"o";-0,3097;0,3097
"esperar";0,5247;-0,5247
"sob";-0,2218;0,2218
"questão";0,398;-0,398
"rápido";0,6102;-0,6102
"novo";0,6063;-0,6063
"ajuda";1,6331;-1,6331
"asiático";-0,3451;0,3451
"seguir";-0,2418;0,2418
"mercado";0,4771;-0,4771
"economia";0,6407;-0,6407
"ganhar";0,4577;-0,4577
"inclusive";0,8504;-0,8504
"condenar";1,222;-1,222
"condição";-0,8301;0,8301
"sanção";-1,5775;1,5775
"regime";-0,7503;0,7503
"continuar";-0,3162;0,3162
"produto";-0,5253;0,5253
"publicar";1,3677;-1,3677
"russo";-0,2746;0,2746
"domingo";-0,9962;0,9962
"intervenção";-0,3378;0,3378
"5";0,3696;-0,3696
"entrevista";0,3023;-0,3023
"menos";-0,5747;0,5747
"ver";-1,0792;1,0792
"muito";-1,3294;1,3294
"vez";2,9316;-2,9316
"partir";-0,8301;0,8301
"autoridade";-0,2278;0,2278
"dia";0,3011;-0,3011
"balístico";0,3023;-0,3023
"querer";-0,6782;0,6782
"companhia";-0,8301;0,8301
"participar";0,4577;-0,4577
"cargo";0,5277;-0,5277
"mudança";0,2305;-0,2305
"lançamento";-0,2997;0,2997
"controlo";-0,9131;0,9131
"mudar";0,4666;-0,4666
"melhor";-1,1833;1,1833
"militar";-0,2357;0,2357
"alto";0,4152;-0,4152
"bom";-0,2559;0,2559
"internacional";-1,2432;1,2432
"negócio";-0,9131;0,9131
"diálogo";-0,2218;0,2218
"união";-1,8266;1,8266
"instituição";0,5247;-0,5247
"você";1,1641;-1,1641
"só";0,261;-0,261
"administração";0,2256;-0,2256
"míssil";0,3125;-0,3125
