"";"X.gr_01";"X.gr_02"
"adv";0,5808;-0,5808
"ver_sup";3,157;-3,157
"pre";-4,9853;4,9853
"ver";7,056;-7,056
"pro_pos";-0,3068;0,3068
"pro_per";0,8897;-0,8897
"nom";-0,6305;0,6305
"nom_sup";-0,6017;0,6017
"art_def";-0,4024;0,4024
"adj_num";-2,5765;2,5765
"pro_dem";0,388;-0,388
"pro_int";-0,2934;0,2934
"adv_sup";1,6728;-1,6728
"num";-2,2596;2,2596
"pro_rel";1,1402;-1,1402
"adj ";0,4573;-0,4573
"nr";1,4792;-1,4792
"pro_ind";0,3026;-0,3026
"adj";-1,3448;1,3448
"conj";-1,363;1,363
"ono";0,7051;-0,7051
