"";"banalfreq";"X.gr_01";"X.gr_02"
"china";41;0,6649;-0,6649
"destruir";11;0,8636;-0,8636
"área";17;-0,9448;0,9448
"crítica";16;-0,8892;0,8892
"fim";33;-0,3682;0,3682
"necessário";17;0,475;-0,475
"brasileiro";55;0,6784;-0,6784
"exercício";18;-0,2004;0,2004
"até";45;-0,4461;0,4461
"gleisi";11;-0,6113;0,6113
"ato";26;-0,787;0,787
"deixar";53;-0,4253;0,4253
"investigação";52;-0,9406;0,9406
"este";20;0,3591;-0,3591
"esta";13;0,7015;-0,7015
"reportagem";10;-0,5557;0,5557
"longo";14;-0,7781;0,7781
"receber";42;1,2337;-1,2337
"cúpula";18;0,4323;-0,4323
"dois";77;-0,384;0,384
"aliado";22;-0,3031;0,3031
"opção";21;0,3276;-0,3276
"irã";10;1,6199;-1,6199
"comprar";23;1,3031;-1,3031
"bashar";16;0,2299;-0,2299
"vídeo";25;0,7599;-0,7599
"preço";11;-0,6113;0,6113
"medida";34;-1,1384;1,1384
"discurso";30;-0,5466;0,5466
"algum";35;1,2843;-1,2843
"deputado";113;1,561;-1,561
"destacar";20;1,0813;-1,0813
"beneficiar";10;-0,1819;0,1819
"esquema";12;-0,2456;0,2456
"oposição";11;-0,2131;0,2131
"muito";68;-0,3772;0,3772
"maneira";11;-0,2131;0,2131
"uma";485;1,5958;-1,5958
"o";3182;0,8988;-0,8988
"emilio";10;-0,5557;0,5557
"sob";13;0,324;-0,324
"lourar";32;0,2625;-0,2625
"seguir";16;0,5224;-0,5224
"cumprir";14;-0,3139;0,3139
"condenar";18;-0,4616;0,4616
"sanção";10;-0,5557;0,5557
"eventual";15;-0,8336;0,8336
"domingo";18;-1,0004;1,0004
"intervenção";23;-0,6613;0,6613
"apoio";29;-0,5139;0,5139
"entrevista";46;0,3178;-0,3178
"ver";70;-0,8543;0,8543
"vez";46;0,3178;-0,3178
"irmão";11;-0,2131;0,2131
"querer";63;0,3095;-0,3095
"g20";14;1,1105;-1,1105
"mudança";17;-0,9448;0,9448
"militar";49;1,1985;-1,1985
"aprovação";15;-0,8336;0,8336
"santo";16;-0,8892;0,8892
"só";37;-0,2697;0,2697
"eleito";14;-0,7781;0,7781
"trazer";16;-0,8892;0,8892
"colocar";21;0,3276;-0,3276
"aproveitar";10;-0,1819;0,1819
"justiça";61;-0,8903;0,8903
"cármen";55;0,6784;-0,6784
"se";380;1,4781;-1,4781
"temer";16;0,5224;-0,5224
"determinar";12;-0,6669;0,6669
"convocar";15;1,5757;-1,5757
"porcento";32;0,2625;-0,2625
"brasil";112;0,9156;-0,9156
"voto";23;0,8735;-0,8735
"2";27;-0,8298;0,8298
"futuro";14;0,2885;-0,2885
"nota";43;-1,5532;1,5532
"mônica";10;-0,1819;0,1819
"disputa";14;-0,7781;0,7781
"época";24;0,4889;-0,4889
"entregar";22;0,9373;-0,9373
"putin";32;0,2625;-0,2625
"costa";11;0,8636;-0,8636
"estatal";10;-0,1819;0,1819
"processo";46;-1,1324;1,1324
"rousseff";43;1,1785;-1,1785
"solução";21;-0,5797;0,5797
"interino";12;-0,2456;0,2456
"aí";22;1,9244;-1,9244
"diretor";23;-1,2784;1,2784
"rússia";45;0,5337;-0,5337
"reeleição";13;-0,7225;0,7225
"ao";373;-0,517;0,517
"pedir";100;-0,4784;0,4784
"inventar";10;-0,1819;0,1819
"tv";16;1,4571;-1,4571
"social";22;-0,3031;0,3031
"vir";41;-0,5884;0,5884
"reunião";44;-0,2494;0,2494
"corte";33;-0,648;0,648
"enfatizar";10;-0,5557;0,5557
"6";14;0,6347;-0,6347
"procurador";20;-0,5397;0,5397
"ponto";18;-1,0004;1,0004
"não";573;0,715;-0,715
"plano";15;-0,3496;0,3496
"papel";11;0,4115;-0,4115
"buscar";12;-0,6669;0,6669
"bilhão";10;1,6199;-1,6199
"fossar";10;0,9631;-0,9631
"nossa";13;0,7015;-0,7015
"nosso";25;-0,1891;0,1891
"entender";12;1,3324;-1,3324
"aprovar";37;-0,7901;0,7901
"divulgar";36;-1,229;1,229
"nome";34;0,4109;-0,4109
"contra";144;-0,365;0,365
"parlamentar";28;0,6183;-0,6183
"obama";18;-1,0004;1,0004
"tentar";37;-0,7901;0,7901
"nação";11;-0,2131;0,2131
"assumir";25;-0,3892;0,3892
"seu";167;-0,3382;0,3382
"ser";978;0,8638;-0,8638
"sem";46;-1,1324;1,1324
"ninguém";19;-0,2246;0,2246
"comércio";12;-0,6669;0,6669
"f";23;-0,331;0,331
"dizer";414;1,3984;-1,3984
"conjunto";12;0,3646;-0,3646
"impedir";16;-0,8892;0,8892
"prerrogativa";11;-0,2131;0,2131
"campanha";40;0,2725;-0,2725
"próprio";36;0,874;-0,874
"segunda_feira";23;-1,2784;1,2784
"conversar";17;-0,9448;0,9448
"ajudar";19;-0,2246;0,2246
"tomar";27;0,6621;-0,6621
"aquele";10;0,9631;-0,9631
"escolher";11;0,8636;-0,8636
"votar";19;0,7281;-0,7281
"região";14;-0,3139;0,3139
"corrupção";50;0,4041;-0,4041
"indicar";24;-0,3597;0,3597
"imprensa";27;0,6621;-0,6621
"pagamento";28;-0,8729;0,8729
"ataque";72;0,6148;-0,6148
"constituição";23;-0,6613;0,6613
"fachin";30;-0,5466;0,5466
"lei";36;0,3585;-0,3585
"ler";21;-0,5797;0,5797
"agência";21;-0,276;0,276
"período";13;-0,7225;0,7225
"associação";13;0,324;-0,324
"especial";19;0,3938;-0,3938
"jong_un";18;0,4323;-0,4323
"isso";86;-0,7577;0,7577
"interlocutor";14;-0,7781;0,7781
"econômico";56;-1,0797;1,0797
"2018";15;-0,8336;0,8336
"2015";13;-0,2792;0,2792
"2014";23;-0,331;0,331
"2017";21;-0,5797;0,5797
"2010";12;-0,6669;0,6669
"nada";22;1,9244;-1,9244
"contrário";10;-0,5557;0,5557
"além";28;-0,8729;0,8729
"tempo";25;0,4521;-0,4521
"calheiros";15;0,2573;-0,2573
"legislativo";13;-0,2792;0,2792
"guerra";15;1,5757;-1,5757
"haver";175;-0,6799;0,6799
"criminoso";36;0,5858;-0,5858
"roberto";17;0,475;-0,475
"exército";10;0,4658;-0,4658
"documento";10;-0,1819;0,1819
"principal";21;-0,276;0,276
"impeachment";49;-0,342;0,342
"posse";15;-0,3496;0,3496
"tse";30;0,3066;-0,3066
"equipa";16;0,2299;-0,2299
"moreira";10;-0,1819;0,1819
"eduardo";43;0,5958;-0,5958
"procuradoria";13;-0,7225;0,7225
"paulo";50;-1,2927;1,2927
"setembro";15;-0,3496;0,3496
"momento";35;-1,1836;1,1836
"rcifrão";34;-0,2134;0,2134
"nacional";61;-0,6132;0,6132
"importante";29;0,3313;-0,3313
"crise";60;-0,3892;0,3892
"análise";10;-0,5557;0,5557
"henrique";22;0,299;-0,299
"banco";18;-0,4616;0,4616
"obter";11;-0,6113;0,6113
"dezembro";10;-0,5557;0,5557
"decreto";10;-0,1819;0,1819
"três";23;-1,2784;1,2784
"tão";15;0,2573;-0,2573
"coisa";23;0,5289;-0,5289
"seul";10;1,6199;-1,6199
"quarto";11;-0,6113;0,6113
"prometer";15;0,2573;-0,2573
"retirar";15;0,2573;-0,2573
"hora";21;0,3276;-0,3276
"interno";11;-0,2131;0,2131
"continuar";31;0,2837;-0,2837
"expressar";15;0,2573;-0,2573
"bolsonaro";11;0,4115;-0,4115
"delator";16;-0,3862;0,3862
"ordem";26;-0,4194;0,4194
"passado";35;-1,9456;1,9456
"neto";13;-0,2792;0,2792
"valor";13;-0,2792;0,2792
"perguntar";15;1,0174;-1,0174
"carlos";16;0,2299;-0,2299
"procurar";18;0,4323;-0,4323
"logo";12;-0,6669;0,6669
"próximo";39;1,0515;-1,0515
"realizar";28;-0,4817;0,4817
"órgão";11;-0,2131;0,2131
"acusar";21;1,0064;-1,0064
"grave";14;1,1105;-1,1105
"responder";33;0,7027;-0,7027
"sentido";11;-0,6113;0,6113
"emenda";11;0,8636;-0,8636
"termo";10;-0,5557;0,5557
"com";685;0,5164;-0,5164
"inteligência";10;-0,1819;0,1819
"demais";14;-0,3139;0,3139
"saída";21;-1,1672;1,1672
"aberto";12;-0,2456;0,2456
"assegurar";12;0,3646;-0,3646
"declaração";32;0,2625;-0,2625
"função";10;-0,5557;0,5557
"depois";53;-1,4156;1,4156
"recurso";19;-1,056;1,056
"desembargador";11;-0,6113;0,6113
"antes";36;-0,4465;0,4465
"passivo";18;0,4323;-0,4323
"neve";23;-0,331;0,331
"tucano";14;-0,3139;0,3139
"josé";22;0,299;-0,299
"al_assad";15;0,2573;-0,2573
"questão";38;-0,5017;0,5017
"reforçar";10;0,9631;-0,9631
"conversa";61;-0,8903;0,8903
"ganhar";14;0,6347;-0,6347
"abertura";18;-1,0004;1,0004
"global";13;0,324;-0,324
"levar";34;-1,1384;1,1384
"joão";20;0,6715;-0,6715
"revista";18;0,4323;-0,4323
"participar";29;-0,9164;0,9164
"cargo";46;0,7417;-0,7417
"mudar";18;0,7901;-0,7901
"prova";21;1,0064;-1,0064
"diálogo";20;0,3591;-0,3591
"instituição";11;-0,2131;0,2131
"você";32;0,2625;-0,2625
"noite";19;0,3938;-0,3938
"forma";42;-0,9768;0,9768
"desde";43;-1,0152;1,0152
"citar";22;0,299;-0,299
"mulher";16;-0,8892;0,8892
"afastado";23;0,5289;-0,5289
"eu";108;-0,6244;0,6244
"precisar";38;0,3127;-0,3127
"comissão";15;-0,8336;0,8336
"coletivo";10;-0,1819;0,1819
"qual";70;-1,6015;1,6015
"ocasião";14;-0,7781;0,7781
"objectivo";18;0,7901;-0,7901
"renan";36;-0,4465;0,4465
"teori";12;-0,2456;0,2456
"internacional";20;-1,1116;1,1116
"telefone";10;0,4658;-0,4658
"confirmar";23;-1,2784;1,2784
"ressaltar";10;-0,1819;0,1819
"contar";41;0,2543;-0,2543
"3";11;0,8636;-0,8636
"manifestar";14;-0,3139;0,3139
"denunciar";18;0,4323;-0,4323
"conseguir";30;-0,5466;0,5466
"jornal";12;1,3324;-1,3324
"lado";19;-0,5004;0,5004
"dito";25;-0,3892;0,3892
"chefe";39;0,4883;-0,4883
"central";16;0,2299;-0,2299
"protesto";15;0,2573;-0,2573
"elogiar";12;0,7773;-0,7773
"batista";71;0,4606;-0,4606
"sexta_feira";28;-1,5563;1,5563
"previdência";40;-0,901;0,901
"juiz";25;-0,3892;0,3892
"cidadão";14;1,7075;-1,7075
"fiscal";10;-0,5557;0,5557
"correr";10;1,6199;-1,6199
"inquérito";29;-0,9164;0,9164
"mundial";17;0,475;-0,475
"governador";16;-0,8892;0,8892
"assessor";10;-0,5557;0,5557
"a";2693;-1,2537;1,2537
"mouro";11;0,8636;-0,8636
"polícia";45;0,5337;-0,5337
"todo";113;0,8891;-0,8891
"7";21;-0,276;0,276
"base";50;-1,2927;1,2927
"tensão";14;1,7075;-1,7075
"brasília";33;0,2429;-0,2429
"país";155;0,7764;-0,7764
"stf";127;-0,4871;0,4871
"autorizar";25;-0,1891;0,1891
"minha";23;0,5289;-0,5289
"certo";15;0,2573;-0,2573
"quem";45;-0,7107;0,7107
"lava_jato";69;-0,8261;0,8261
"sul_coreano";11;-0,6113;0,6113
"eleitoral";42;-0,9768;0,9768
"parecer";20;-0,2498;0,2498
"senador";87;-0,7819;0,7819
"geddel";12;-0,2456;0,2456
"chegar";43;0,3824;-0,3824
"denúncia";67;-0,7708;0,7708
"regra";13;-0,7225;0,7225
"premiar";21;-0,5797;0,5797
"nós";37;-0,7901;0,7901
"apresentar";37;0,3348;-0,3348
"ocorrer";26;-0,2088;0,2088
"informar";39;0,4883;-0,4883
"marco";16;-0,3862;0,3862
"popular";11;-0,2131;0,2131
"economia";14;-0,3139;0,3139
"permitir";14;0,2885;-0,2885
"jamais";10;-0,5557;0,5557
"autoridade";26;-0,787;0,787
"franco";10;-0,5557;0,5557
"preocupação";14;0,2885;-0,2885
"governo";201;-1,1579;1,1579
"proteger";11;1,4661;-1,4661
"emílio";10;0,4658;-0,4658
"lembrar";15;-0,8336;0,8336
"pretender";12;0,3646;-0,3646
"visita";10;-0,5557;0,5557
"g1";16;-0,8892;0,8892
"atacar";17;0,8584;-0,8584
"valer";13;0,7015;-0,7015
"claro";20;0,6715;-0,6715
"trocar";11;-0,2131;0,2131
"porque";43;-1,0152;1,0152
"agenda";25;-1,3895;1,3895
"sessão";12;-0,2456;0,2456
"senhor";20;-1,1116;1,1116
"democracia";12;-0,2456;0,2456
"nomear";11;-0,6113;0,6113
"junho";11;0,4115;-0,4115
"único";19;0,3938;-0,3938
"final";23;-0,331;0,331
"quando";63;-1,3344;1,3344
"procurador_geral";21;-0,5797;0,5797
"mês";22;0,9373;-0,9373
"necessidade";13;-0,2792;0,2792
"explicar";13;-0,2792;0,2792
"tornar";15;0,2573;-0,2573
"atuar";20;-0,5397;0,5397
"atual";38;-0,2897;0,2897
"palocci";15;-0,8336;0,8336
"frente";10;-0,5557;0,5557
"aqui";13;0,7015;-0,7015
"povo";18;-0,2004;0,2004
"pinheiro";10;-0,5557;0,5557
"chamar";19;1,693;-1,693
"possibilidade";18;-0,4616;0,4616
"mesmo";67;0,5512;-0,5512
"possível";27;-0,2293;0,2293
"parte";37;0,3348;-0,3348
"presidência";37;-0,4738;0,4738
"estado";136;-0,8097;0,8097
"sexto";10;-0,5557;0,5557
"vida";17;0,475;-0,475
"fechar";12;-0,6669;0,6669
"fato";30;-0,2955;0,2955
"investigar";33;0,2429;-0,2429
"integrante";10;-0,5557;0,5557
"fernando";18;-1,0004;1,0004
"twitter";22;0,299;-0,299
"congresso";54;-0,6831;0,6831
"motivo";10;0,4658;-0,4658
"usar";25;0,4521;-0,4521
"ação";64;0,6293;-0,6293
"washington";14;-0,3139;0,3139
"questionar";25;-0,1891;0,1891
"norte";88;0,4367;-0,4367
"frigorífico";12;-0,2456;0,2456
"apesar";19;-0,2246;0,2246
"tasso";10;-0,5557;0,5557
"presente";10;0,4658;-0,4658
"exigir";15;1,0174;-1,0174
"reforma";76;-1,8387;1,8387
"tratar";34;-1,89;1,89
"manifestante";12;0,3646;-0,3646
"segurança";48;0,9374;-0,9374
"sírio";68;0,3644;-0,3644
"tipo";13;-0,2792;0,2792
"sobre";167;-1,2761;1,2761
"cidade";10;-0,1819;0,1819
"padilha";18;-0,4616;0,4616
"pyongyang";19;0,7281;-0,7281
"obstrução";20;-0,2498;0,2498
"químico";24;0,4889;-0,4889
"arma";28;0,9533;-0,9533
"cassar";15;-0,8336;0,8336
