"";"X.gr_01";"X.gr_02"
"china";1,17;0,77
"destruir";0,5;0,18
"área";0;0,39
"crítica";0;0,36
"fim";0,5;0,68
"necessário";0,5;0,32
"brasileiro";1,5;1,05
"exercício";0,33;0,36
"até";0,67;0,93
"gleisi";0;0,25
"ato";0,17;0,57
"deixar";0,83;1,09
"investigação";0,5;1,12
"este";0,5;0,39
"esta";0,5;0,23
"reportagem";0;0,23
"longo";0;0,32
"receber";1,5;0,75
"cúpula";0,5;0,34
"dois";1,34;1,57
"aliado";0,33;0,46
"opção";0,5;0,41
"irã";0,67;0,14
"comprar";1;0,39
"bashar";0,33;0,32
"vídeo";0,83;0,46
"preço";0;0,25
"medida";0,17;0,75
"discurso";0,33;0,64
"algum";1,34;0,62
"deputado";3,51;2,1
"destacar";0,83;0,34
"beneficiar";0,17;0,21
"esquema";0,17;0,25
"oposição";0,17;0,23
"muito";1,17;1,39
"maneira";0,17;0,23
"uma";12,19;9,39
"o";67,29;63,34
"emilio";0;0,23
"sob";0,33;0,25
"novo";0,5;1,8
"lourar";0,67;0,64
"seguir";0,5;0,3
"cumprir";0,17;0,3
"condenar";0,17;0,39
"sanção";0;0,23
"eventual";0;0,34
"domingo";0;0,41
"intervenção";0,17;0,5
"apoio";0,33;0,62
"entrevista";1;0,91
"ver";0,83;1,48
"vez";1;0,91
"irmão";0,17;0,23
"querer";1,34;1,25
"g20";0,67;0,23
"mudança";0;0,39
"militar";1,67;0,89
"aprovação";0;0,34
"santo";0;0,36
"só";0,67;0,75
"eleito";0;0,32
"trazer";0;0,36
"colocar";0,5;0,41
"aproveitar";0,17;0,21
"justiça";0,67;1,3
"sr";1;0,16
"cármen";1,5;1,05
"se";9,68;7,34
"temer";0,5;0,3
"determinar";0;0,27
"convocar";0,83;0,23
"porcento";0,67;0,64
"brasil";3,01;2,14
"voto";0,83;0,41
"2";0,17;0,59
"futuro";0,33;0,27
"nota";0,17;0,96
"mônica";0,17;0,21
"disputa";0;0,32
"época";0,67;0,46
"entregar";0,83;0,39
"putin";0,67;0,64
"costa";0,5;0,18
"estatal";0,17;0,21
"processo";0,33;1
"rousseff";1,5;0,77
"solução";0,17;0,46
"interino";0,17;0,25
"hoje";2,5;0,73
"aí";1,17;0,34
"diretor";0;0,52
"rússia";1,17;0,87
"reeleição";0;0,3
"ao";6,85;7,57
"pedir";1,67;2,05
"inventar";0,17;0,21
"tv";0,83;0,25
"social";0,33;0,46
"vir";0,5;0,87
"reunião";0,83;0,89
"corte";0,33;0,71
"enfatizar";0;0,23
"6";0,5;0,25
"procurador";0,17;0,43
"ponto";0;0,41
"mendes";1,17;0,27
"não";12,69;11,33
"plano";0,17;0,32
"papel";0,33;0,21
"buscar";0;0,27
"bilhão";0,67;0,14
"fossar";0,5;0,16
"nossa";0,5;0,23
"nosso";0,5;0,5
"entender";0,67;0,18
"aprovar";0,33;0,8
"divulgar";0,17;0,8
"nome";0,83;0,66
"contra";2,67;2,92
"parlamentar";0,83;0,52
"obama";0;0,41
"tentar";0,33;0,8
"nação";0,17;0,23
"assumir";0,33;0,52
"seu";3,17;3,37
"ser";21,54;19,35
"sem";0,33;1
"ninguém";0,33;0,39
"comércio";0;0,27
"f";0,33;0,48
"dizer";10,35;8,02
"conjunto";0,33;0,23
"impedir";0;0,36
"prerrogativa";0,17;0,23
"campanha";0,83;0,8
"próprio";1,17;0,66
"segunda_feira";0;0,52
"conversar";0;0,39
"mandar";1,5;0,34
"ajudar";0,33;0,39
"tomar";0,83;0,5
"aquele";0,5;0,16
"escolher";0,5;0,18
"votar";0,67;0,34
"região";0,17;0,3
"um";14,53;10,35
"corrupção";1,17;0,98
"indicar";0,33;0,5
"imprensa";0,83;0,5
"pagamento";0,17;0,62
"ataque";1,84;1,39
"constituição";0,17;0,5
"fachin";0,33;0,64
"lei";0,83;0,71
"ler";0,17;0,46
"oficial";1,67;0,52
"agência";0,33;0,43
"período";0;0,3
"associação";0,33;0,25
"especial";0,5;0,36
"jong_un";0,5;0,34
"isso";1,17;1,8
"interlocutor";0;0,32
"econômico";0,5;1,21
"2018";0;0,34
"2015";0,17;0,27
"2014";0,33;0,48
"2017";0,17;0,46
"2010";0;0,27
"nada";1,17;0,34
"contrário";0;0,23
"além";0,17;0,62
"tempo";0,67;0,48
"calheiros";0,33;0,3
"legislativo";0,17;0,27
"guerra";0,83;0,23
"haver";2,84;3,6
"criminoso";1;0,68
"roberto";0,5;0,32
"exército";0,33;0,18
"documento";0,17;0,21
"principal";0,33;0,43
"impeachment";0,83;1
"nuclear";3,34;0,77
"posse";0,17;0,32
"tse";0,67;0,59
"equipa";0,33;0,32
"moreira";0,17;0,21
"eduardo";1,17;0,82
"procuradoria";0;0,3
"paulo";0,33;1,09
"setembro";0,17;0,32
"momento";0,17;0,77
"rcifrão";0,67;0,68
"nacional";0,83;1,28
"importante";0,67;0,57
"crise";1;1,23
"análise";0;0,23
"henrique";0,5;0,43
"banco";0,17;0,39
"obter";0;0,25
"dezembro";0;0,23
"decreto";0,17;0,21
"três";0;0,52
"tão";0,33;0,3
"coisa";0,67;0,43
"seul";0,67;0,14
"quarto";0;0,25
"prometer";0,33;0,3
"retirar";0,33;0,3
"afirmar";1,67;4,49
"hora";0,5;0,41
"interno";0,17;0,23
"jinping";1,67;0,39
"continuar";0,67;0,62
"míssil";2;0,55
"expressar";0,33;0,3
"bolsonaro";0,33;0,21
"delator";0,17;0,34
"ordem";0,33;0,55
"passado";0;0,8
"neto";0,17;0,27
"valor";0,17;0,27
"perguntar";0,67;0,25
"carlos";0,33;0,32
"procurar";0,5;0,34
"logo";0;0,27
"próximo";1,34;0,71
"realizar";0,33;0,59
"órgão";0,17;0,23
"acusar";0,83;0,36
"grave";0,67;0,23
"responder";1;0,62
"de";103,02;119,42
"sentido";0;0,25
"emenda";0,5;0,18
"termo";0;0,23
"com";14,53;13,63
"inteligência";0,17;0,21
"demais";0,17;0,3
"saída";0;0,48
"aberto";0,17;0,25
"assegurar";0,33;0,23
"declaração";0,67;0,64
"função";0;0,23
