"";"*gr_01";"*gr_02"
"china";7;34
"destruir";3;8
"área";0;17
"crítica";0;16
"fim";3;30
"necessário";3;14
"brasileiro";9;46
"exercício";2;16
"até";4;41
"gleisi";0;11
"ato";1;25
"deixar";5;48
"investigação";3;49
"este";3;17
"esta";3;10
"reportagem";0;10
"longo";0;14
"receber";9;33
"cúpula";3;15
"dois";8;69
"aliado";2;20
"opção";3;18
"irã";4;6
"comprar";6;17
"bashar";2;14
"vídeo";5;20
"preço";0;11
"medida";1;33
"discurso";2;28
"algum";8;27
"deputado";21;92
"destacar";5;15
"beneficiar";1;9
"esquema";1;11
"oposição";1;10
"muito";7;61
"maneira";1;10
"uma";73;412
"o";403;2779
"emilio";0;10
"sob";2;11
"novo";3;79
"lourar";4;28
"seguir";3;13
"cumprir";1;13
"condenar";1;17
"sanção";0;10
"eventual";0;15
"domingo";0;18
"intervenção";1;22
"apoio";2;27
"entrevista";6;40
"ver";5;65
"vez";6;40
"irmão";1;10
"querer";8;55
"g20";4;10
"mudança";0;17
"militar";10;39
"aprovação";0;15
"santo";0;16
"só";4;33
"eleito";0;14
"trazer";0;16
"colocar";3;18
"aproveitar";1;9
"justiça";4;57
"sr";6;7
"cármen";9;46
"se";58;322
"temer";3;13
"determinar";0;12
"convocar";5;10
"porcento";4;28
"brasil";18;94
"voto";5;18
"2";1;26
"futuro";2;12
"nota";1;42
"mônica";1;9
"disputa";0;14
"época";4;20
"entregar";5;17
"putin";4;28
"costa";3;8
"estatal";1;9
"processo";2;44
"rousseff";9;34
"solução";1;20
"interino";1;11
"hoje";15;32
"aí";7;15
"diretor";0;23
"rússia";7;38
"reeleição";0;13
"ao";41;332
"pedir";10;90
"inventar";1;9
"tv";5;11
"social";2;20
"vir";3;38
"reunião";5;39
"corte";2;31
"enfatizar";0;10
"6";3;11
"procurador";1;19
"ponto";0;18
"mendes";7;12
"não";76;497
"plano";1;14
"papel";2;9
"buscar";0;12
"bilhão";4;6
"fossar";3;7
"nossa";3;10
"nosso";3;22
"entender";4;8
"aprovar";2;35
"divulgar";1;35
"nome";5;29
"contra";16;128
"parlamentar";5;23
"obama";0;18
"tentar";2;35
"nação";1;10
"assumir";2;23
"seu";19;148
"ser";129;849
"sem";2;44
"ninguém";2;17
"comércio";0;12
"f";2;21
"dizer";62;352
"conjunto";2;10
"impedir";0;16
"prerrogativa";1;10
"campanha";5;35
"próprio";7;29
"segunda_feira";0;23
"conversar";0;17
"mandar";9;15
"ajudar";2;17
"tomar";5;22
"aquele";3;7
"escolher";3;8
"votar";4;15
"região";1;13
"um";87;454
"corrupção";7;43
"indicar";2;22
"imprensa";5;22
"pagamento";1;27
"ataque";11;61
"constituição";1;22
"fachin";2;28
"lei";5;31
"ler";1;20
"oficial";10;23
"agência";2;19
"período";0;13
"associação";2;11
"especial";3;16
"jong_un";3;15
"isso";7;79
"interlocutor";0;14
"econômico";3;53
"2018";0;15
"2015";1;12
"2014";2;21
"2017";1;20
"2010";0;12
"nada";7;15
"contrário";0;10
"além";1;27
"tempo";4;21
"calheiros";2;13
"legislativo";1;12
"guerra";5;10
"haver";17;158
"criminoso";6;30
"roberto";3;14
"exército";2;8
"documento";1;9
"principal";2;19
"impeachment";5;44
"nuclear";20;34
"posse";1;14
"tse";4;26
"equipa";2;14
"moreira";1;9
"eduardo";7;36
"procuradoria";0;13
"paulo";2;48
"setembro";1;14
"momento";1;34
"rcifrão";4;30
"nacional";5;56
"importante";4;25
"crise";6;54
"análise";0;10
"henrique";3;19
"banco";1;17
"obter";0;11
"dezembro";0;10
"decreto";1;9
"três";0;23
"tão";2;13
"coisa";4;19
"seul";4;6
"quarto";0;11
"prometer";2;13
"retirar";2;13
"afirmar";10;197
"hora";3;18
"interno";1;10
"jinping";10;17
"continuar";4;27
"míssil";12;24
"expressar";2;13
"bolsonaro";2;9
"delator";1;15
"ordem";2;24
"passado";0;35
"neto";1;12
"valor";1;12
"perguntar";4;11
"carlos";2;14
"procurar";3;15
"logo";0;12
"próximo";8;31
"realizar";2;26
"órgão";1;10
"acusar";5;16
"grave";4;10
"responder";6;27
"de";617;5240
"sentido";0;11
"emenda";3;8
"termo";0;10
"com";87;598
"inteligência";1;9
"demais";1;13
"saída";0;21
"aberto";1;11
"assegurar";2;10
"declaração";4;28
"função";0;10
"depois";2;51
"recurso";0;19
"desembargador";0;11
"antes";3;33
"passivo";3;15
"neve";2;21
"tucano";1;13
"josé";3;19
"al_assad";2;13
"questão";3;35
"reforçar";3;7
"conversa";4;57
"ganhar";3;11
"inclusive";5;6
"abertura";0;18
"global";2;11
"levar";1;33
"joão";4;16
"revista";3;15
"participar";1;28
"cargo";8;38
"mudar";4;14
"prova";5;16
"ministério";0;52
"diálogo";3;17
"tudo";10;11
"instituição";1;10
"você";4;28
"perder";9;16
"noite";3;16
"forma";2;40
"desde";2;41
"citar";3;19
"mulher";0;16
"afastado";4;19
"eu";10;98
