"";"X.gr_01";"X.gr_02"
"china";0,6649;-0,6649
"destruir";0,8636;-0,8636
"área";-0,9448;0,9448
"crítica";-0,8892;0,8892
"fim";-0,3682;0,3682
"necessário";0,475;-0,475
"brasileiro";0,6784;-0,6784
"exercício";-0,2004;0,2004
"até";-0,4461;0,4461
"gleisi";-0,6113;0,6113
"ato";-0,787;0,787
"deixar";-0,4253;0,4253
"investigação";-0,9406;0,9406
"este";0,3591;-0,3591
"esta";0,7015;-0,7015
"reportagem";-0,5557;0,5557
"longo";-0,7781;0,7781
"receber";1,2337;-1,2337
"cúpula";0,4323;-0,4323
"dois";-0,384;0,384
"aliado";-0,3031;0,3031
"opção";0,3276;-0,3276
"irã";1,6199;-1,6199
"comprar";1,3031;-1,3031
"bashar";0,2299;-0,2299
"vídeo";0,7599;-0,7599
"preço";-0,6113;0,6113
"medida";-1,1384;1,1384
"discurso";-0,5466;0,5466
"algum";1,2843;-1,2843
"deputado";1,561;-1,561
"destacar";1,0813;-1,0813
"beneficiar";-0,1819;0,1819
"esquema";-0,2456;0,2456
"oposição";-0,2131;0,2131
"muito";-0,3772;0,3772
"maneira";-0,2131;0,2131
"uma";1,5958;-1,5958
"o";0,8988;-0,8988
"emilio";-0,5557;0,5557
"sob";0,324;-0,324
"novo";-2,0825;2,0825
"lourar";0,2625;-0,2625
"seguir";0,5224;-0,5224
"cumprir";-0,3139;0,3139
"condenar";-0,4616;0,4616
"sanção";-0,5557;0,5557
"eventual";-0,8336;0,8336
"domingo";-1,0004;1,0004
"intervenção";-0,6613;0,6613
"apoio";-0,5139;0,5139
"entrevista";0,3178;-0,3178
"ver";-0,8543;0,8543
"vez";0,3178;-0,3178
"irmão";-0,2131;0,2131
"querer";0,3095;-0,3095
"g20";1,1105;-1,1105
"mudança";-0,9448;0,9448
"militar";1,1985;-1,1985
"aprovação";-0,8336;0,8336
"santo";-0,8892;0,8892
"só";-0,2697;0,2697
"eleito";-0,7781;0,7781
"trazer";-0,8892;0,8892
"colocar";0,3276;-0,3276
"aproveitar";-0,1819;0,1819
"justiça";-0,8903;0,8903
"sr";2,6165;-2,6165
"cármen";0,6784;-0,6784
"se";1,4781;-1,4781
"temer";0,5224;-0,5224
"determinar";-0,6669;0,6669
"convocar";1,5757;-1,5757
"porcento";0,2625;-0,2625
"brasil";0,9156;-0,9156
"voto";0,8735;-0,8735
"2";-0,8298;0,8298
"futuro";0,2885;-0,2885
"nota";-1,5532;1,5532
"mônica";-0,1819;0,1819
"disputa";-0,7781;0,7781
"época";0,4889;-0,4889
"entregar";0,9373;-0,9373
"putin";0,2625;-0,2625
"costa";0,8636;-0,8636
"estatal";-0,1819;0,1819
"processo";-1,1324;1,1324
"rousseff";1,1785;-1,1785
"solução";-0,5797;0,5797
"interino";-0,2456;0,2456
"hoje";3,5787;-3,5787
"aí";1,9244;-1,9244
"diretor";-1,2784;1,2784
"rússia";0,5337;-0,5337
"reeleição";-0,7225;0,7225
"ao";-0,517;0,517
"pedir";-0,4784;0,4784
"inventar";-0,1819;0,1819
"tv";1,4571;-1,4571
"social";-0,3031;0,3031
"vir";-0,5884;0,5884
"reunião";-0,2494;0,2494
"corte";-0,648;0,648
"enfatizar";-0,5557;0,5557
"6";0,6347;-0,6347
"procurador";-0,5397;0,5397
"ponto";-1,0004;1,0004
"mendes";2,3136;-2,3136
"não";0,715;-0,715
"plano";-0,3496;0,3496
"papel";0,4115;-0,4115
"buscar";-0,6669;0,6669
"bilhão";1,6199;-1,6199
"fossar";0,9631;-0,9631
"nossa";0,7015;-0,7015
"nosso";-0,1891;0,1891
"entender";1,3324;-1,3324
"aprovar";-0,7901;0,7901
"divulgar";-1,229;1,229
"nome";0,4109;-0,4109
"contra";-0,365;0,365
"parlamentar";0,6183;-0,6183
"obama";-1,0004;1,0004
"tentar";-0,7901;0,7901
"nação";-0,2131;0,2131
"assumir";-0,3892;0,3892
"seu";-0,3382;0,3382
"ser";0,8638;-0,8638
"sem";-1,1324;1,1324
"ninguém";-0,2246;0,2246
"comércio";-0,6669;0,6669
"f";-0,331;0,331
"dizer";1,3984;-1,3984
"conjunto";0,3646;-0,3646
"impedir";-0,8892;0,8892
"prerrogativa";-0,2131;0,2131
"campanha";0,2725;-0,2725
"próprio";0,874;-0,874
"segunda_feira";-1,2784;1,2784
"conversar";-0,9448;0,9448
"mandar";2,9069;-2,9069
"ajudar";-0,2246;0,2246
"tomar";0,6621;-0,6621
"aquele";0,9631;-0,9631
"escolher";0,8636;-0,8636
"votar";0,7281;-0,7281
"região";-0,3139;0,3139
"um";2,5384;-2,5384
"corrupção";0,4041;-0,4041
"indicar";-0,3597;0,3597
"imprensa";0,6621;-0,6621
"pagamento";-0,8729;0,8729
"ataque";0,6148;-0,6148
"constituição";-0,6613;0,6613
"fachin";-0,5466;0,5466
"lei";0,3585;-0,3585
"ler";-0,5797;0,5797
"oficial";2,3788;-2,3788
"agência";-0,276;0,276
"período";-0,7225;0,7225
"associação";0,324;-0,324
"especial";0,3938;-0,3938
"jong_un";0,4323;-0,4323
"isso";-0,7577;0,7577
"interlocutor";-0,7781;0,7781
"econômico";-1,0797;1,0797
"2018";-0,8336;0,8336
"2015";-0,2792;0,2792
"2014";-0,331;0,331
"2017";-0,5797;0,5797
"2010";-0,6669;0,6669
"nada";1,9244;-1,9244
"contrário";-0,5557;0,5557
"além";-0,8729;0,8729
"tempo";0,4521;-0,4521
"calheiros";0,2573;-0,2573
"legislativo";-0,2792;0,2792
"guerra";1,5757;-1,5757
"haver";-0,6799;0,6799
"criminoso";0,5858;-0,5858
"roberto";0,475;-0,475
"exército";0,4658;-0,4658
"documento";-0,1819;0,1819
"principal";-0,276;0,276
"impeachment";-0,342;0,342
"nuclear";5,6924;-5,6924
"posse";-0,3496;0,3496
"tse";0,3066;-0,3066
"equipa";0,2299;-0,2299
"moreira";-0,1819;0,1819
"eduardo";0,5958;-0,5958
"procuradoria";-0,7225;0,7225
"paulo";-1,2927;1,2927
"setembro";-0,3496;0,3496
"momento";-1,1836;1,1836
"rcifrão";-0,2134;0,2134
"nacional";-0,6132;0,6132
"importante";0,3313;-0,3313
"crise";-0,3892;0,3892
"análise";-0,5557;0,5557
"henrique";0,299;-0,299
"banco";-0,4616;0,4616
"obter";-0,6113;0,6113
"dezembro";-0,5557;0,5557
"decreto";-0,1819;0,1819
"três";-1,2784;1,2784
"tão";0,2573;-0,2573
"coisa";0,5289;-0,5289
"seul";1,6199;-1,6199
"quarto";-0,6113;0,6113
"prometer";0,2573;-0,2573
"retirar";0,2573;-0,2573
"afirmar";-3,4691;3,4691
"hora";0,3276;-0,3276
"interno";-0,2131;0,2131
"jinping";3,1256;-3,1256
"continuar";0,2837;-0,2837
"míssil";3,1625;-3,1625
"expressar";0,2573;-0,2573
"bolsonaro";0,4115;-0,4115
"delator";-0,3862;0,3862
"ordem";-0,4194;0,4194
"passado";-1,9456;1,9456
"neto";-0,2792;0,2792
"valor";-0,2792;0,2792
"perguntar";1,0174;-1,0174
"carlos";0,2299;-0,2299
"procurar";0,4323;-0,4323
"logo";-0,6669;0,6669
"próximo";1,0515;-1,0515
"realizar";-0,4817;0,4817
"órgão";-0,2131;0,2131
"acusar";1,0064;-1,0064
"grave";1,1105;-1,1105
"responder";0,7027;-0,7027
"de";-4,0224;4,0224
"sentido";-0,6113;0,6113
"emenda";0,8636;-0,8636
"termo";-0,5557;0,5557
"com";0,5164;-0,5164
"inteligência";-0,1819;0,1819
"demais";-0,3139;0,3139
"saída";-1,1672;1,1672
"aberto";-0,2456;0,2456
"assegurar";0,3646;-0,3646
"declaração";0,2625;-0,2625
"função";-0,5557;0,5557
"depois";-1,4156;1,4156
"recurso";-1,056;1,056
"desembargador";-0,6113;0,6113
"antes";-0,4465;0,4465
"passivo";0,4323;-0,4323
"neve";-0,331;0,331
"tucano";-0,3139;0,3139
"josé";0,299;-0,299
"al_assad";0,2573;-0,2573
"questão";-0,5017;0,5017
"reforçar";0,9631;-0,9631
"conversa";-0,8903;0,8903
"ganhar";0,6347;-0,6347
"inclusive";2,2105;-2,2105
"abertura";-1,0004;1,0004
"global";0,324;-0,324
"levar";-1,1384;1,1384
"joão";0,6715;-0,6715
"revista";0,4323;-0,4323
"participar";-0,9164;0,9164
"cargo";0,7417;-0,7417
"mudar";0,7901;-0,7901
"prova";1,0064;-1,0064
"ministério";-2,8911;2,8911
"diálogo";0,3591;-0,3591
"tudo";4,2083;-4,2083
"instituição";-0,2131;0,2131
"você";0,2625;-0,2625
"perder";2,7616;-2,7616
"noite";0,3938;-0,3938
"forma";-0,9768;0,9768
"desde";-1,0152;1,0152
"citar";0,299;-0,299
"mulher";-0,8892;0,8892
"afastado";0,5289;-0,5289
"eu";-0,6244;0,6244
"precisar";0,3127;-0,3127
"xi";4,1946;-4,1946
"comissão";-0,8336;0,8336
"coletivo";-0,1819;0,1819
"qual";-1,6015;1,6015
"ocasião";-0,7781;0,7781
"objectivo";0,7901;-0,7901
"renan";-0,4465;0,4465
"teori";-0,2456;0,2456
"internacional";-1,1116;1,1116
"telefone";0,4658;-0,4658
"confirmar";-1,2784;1,2784
"ressaltar";-0,1819;0,1819
"contar";0,2543;-0,2543
"3";0,8636;-0,8636
"estar";3,189;-3,189
