"";"X.gr_01";"X.gr_02"
"adv";0,3717;-0,3717
"nom";-3,9109;3,9109
"pre";-6,6136;6,6136
"ver";6,7794;-6,7794
"pro_pos";-0,3233;0,3233
"pro_per";0,8669;-0,8669
"ver_sup";2,3439;-2,3439
"nom_sup";-1,4471;1,4471
"art_def";0,4303;-0,4303
"adj_num";-4,0279;4,0279
"adv_sup";1,7589;-1,7589
"pro_int";0,2349;-0,2349
"num";-1,0752;1,0752
"pro_rel";0,393;-0,393
"adj ";1,8179;-1,8179
"nr";2,7149;-2,7149
"pro_ind";-0,9007;0,9007
"adj";2,1957;-2,1957
"pro_dem";0,4178;-0,4178
"conj";0,7458;-0,7458
"ono";2,8277;-2,8277
