"";"banalfreq";"X.gr_01";"X.gr_02"
"magistrado";17;-0,8694;0,8694
"presente";13;0,7736;-0,7736
"retirar";12;-0,2157;0,2157
"precisar";21;0,7021;-0,7021
"reforma";13;-0,6648;0,6648
"afirmar";63;-1,1551;1,1551
"decidir";18;0,4912;-0,4912
"acordo";65;0,3609;-0,3609
"tipo";11;-0,5625;0,5625
"sobre";63;0,2528;-0,2528
"meu";11;0,4564;-0,4564
"cidade";12;-0,2157;0,2157
"guarujá";10;0,513;-0,513
"lavagem";11;-0,1869;0,1869
"exigir";10;-0,1592;0,1592
"continuar";26;-1,33;1,33
"pouco";13;1,3212;-1,3212
"além";30;-0,2448;0,2448
"existir";13;1,9974;-1,9974
"política";20;0,4131;-0,4131
"político";47;0,8391;-0,8391
"abaixo";14;0,3269;-0,3269
"área";22;-0,5511;0,5511
"empreiteiro";11;-0,5625;0,5625
"atuação";10;-0,5113;0,5113
"delator";18;-0,4086;0,4086
"ordem";14;-0,716;0,716
"ilegal";11;-0,5625;0,5625
"valor";24;0,5631;-0,5631
"necessário";13;-0,6648;0,6648
"brasileiro";43;0,7097;-0,7097
"após";24;-0,6254;0,6254
"estadual";17;0,5364;-0,5364
"três";12;-0,2157;0,2157
"realizar";12;0,4073;-0,4073
"ato";31;-0,5012;0,5012
"deixar";17;0,2382;-0,2382
"movimento";12;-0,6136;0,6136
"gravação";13;-0,6648;0,6648
"segundo";61;-1,0893;1,0893
"dado";12;0,4073;-0,4073
"órgão";25;-0,3335;0,3335
"geral";11;-0,5625;0,5625
"investigação";45;-0,6044;0,6044
"esta";19;-0,9718;0,9718
"lula";88;1,4956;-1,4956
"receber";47;0,8391;-0,8391
"dois";27;-1,3812;1,3812
"acusar";23;1,9934;-1,9934
"grave";13;0,3645;-0,3645
"denunciar";22;-0,2583;0,2583
"responder";10;1,0436;-1,0436
"melhor";11;0,4564;-0,4564
"desembargador";10;-0,5113;0,5113
"caber";10;-0,5113;0,5113
"relator";15;0,642;-0,642
"10";20;-0,4788;0,4788
"12";11;-0,1869;0,1869
"policial";17;0,2382;-0,2382
"comprar";10;0,513;-0,513
"gestão";14;-0,2766;0,2766
"paraná";15;0,642;-0,642
"mês";11;-0,1869;0,1869
"triplex";10;-0,1592;0,1592
"falar";24;0,2945;-0,2945
"com";295;0,4378;-0,4378
"durante";25;1,2858;-1,2858
"judiciário";17;0,2382;-0,2382
"funcionário";11;1,579;-1,579
"secretário";11;-0,1869;0,1869
"medida";22;-0,5511;0,5511
"risco";12;-0,6136;0,6136
"jurídico";10;-0,5113;0,5113
"função";24;0,2945;-0,2945
"ir";256;1,087;-1,087
"defesa";40;-0,472;0,472
"empresário";22;-1,1253;1,1253
"depois";21;-0,2347;0,2347
"algum";19;1,8509;-1,8509
"deputado";17;0,9525;-0,9525
"acusação";21;0,3793;-0,3793
"antes";13;-0,6648;0,6648
"recurso";24;-0,6254;0,6254
"ela";26;-0,3599;0,3599
"ele";99;1,3478;-1,3478
"passivo";11;0,4564;-0,4564
