"";"X.gr_01";"X.gr_02"
"magistrado";0;0,84
"presente";1,19;0,49
"retirar";0,4;0,54
"precisar";1,58;0,84
"reforma";0;0,64
"afirmar";1,19;2,97
"decidir";1,19;0,74
"segurança";0,79;5,19
"acordo";3,17;2,82
"tipo";0;0,54
"sobre";2,77;2,77
"meu";0,79;0,45
"cidade";0,4;0,54
"guarujá";0,79;0,4
"lavagem";0,4;0,49
"exigir";0,4;0,45
"continuar";0;1,29
"pouco";1,58;0,45
"além";1,19;1,34
"existir";1,98;0,4
"política";1,19;0,84
"político";3,17;1,93
"abaixo";0,79;0,59
"área";0,4;1,04
"empreiteiro";0;0,54
"atuação";0;0,49
"delator";0,4;0,84
"ordem";0;0,69
"ilegal";0;0,54
"valor";1,58;0,99
"necessário";0;0,64
"brasileiro";2,77;1,78
"após";0,4;1,14
"estadual";1,19;0,69
"três";0,4;0,54
"realizar";0,79;0,49
"ato";0,79;1,43
"deixar";0,79;0,74
"movimento";0;0,59
"gravação";0;0,64
"segundo";1,19;2,87
"dado";0,79;0,49
"órgão";0,79;1,14
"geral";0;0,54
"investigação";1,19;2,08
"esta";0;0,94
"lula";6,34;3,56
"receber";3,17;1,93
"dois";0;1,34
"acusar";2,77;0,79
"grave";0,79;0,54
"denunciar";0,79;0,99
"responder";1,19;0,35
"melhor";0,79;0,45
"desembargador";0;0,49
"patrimônio";2,38;0,3
"caber";0;0,49
"relator";1,19;0,59
"10";0,4;0,94
"12";0,4;0,49
"policial";0,79;0,74
"comprar";0,79;0,4
"gestão";0,4;0,64
"paraná";1,19;0,59
"mês";0,4;0,49
"triplex";0,4;0,45
"falar";1,19;1,04
"com";13,86;12,86
"durante";2,38;0,94
"judiciário";0,79;0,74
"funcionário";1,58;0,35
"secretário";0,4;0,49
"medida";0,4;1,04
"risco";0;0,59
"jurídico";0;0,49
"função";1,19;1,04
"ir";14,26;10,88
"defesa";1,19;1,83
"empresário";0;1,09
"depois";0,79;0,94
"algum";2,38;0,64
"deputado";1,58;0,64
"acusação";1,19;0,89
"antes";0;0,64
"recurso";0,4;1,14
"ela";0,79;1,19
"ele";6,73;4,06
"passivo";0,79;0,45
"municipal";0;0,49
"negar";0,4;0,54
"apontar";0,79;0,74
"rio";0;2,57
"uma";8,71;8,41
"o";63,76;59,72
"sob";0,4;0,69
"civil";0;0,54
"questão";0,79;0,74
"novo";0,79;1,58
"conversa";0;0,69
"penal";0;0,79
"cofre";3,96;0,3
"condenar";2,77;0,69
"regime";0,4;0,45
"saber";0,79;1,29
"eventual";0;0,49
"esquema";0,4;0,54
"intervenção";0,4;1,24
"entrevista";0,4;0,49
"menos";0,79;0,74
"ver";0,4;1,34
"muito";0,4;1,58
"vez";0,4;0,84
"curitiba";0,4;0,69
"dia";2,77;1,88
"querer";2,38;1,09
"levar";0,79;0,69
"joão";0;0,49
"participar";0;0,49
"cargo";3,17;1,29
"mudança";0,4;0,49
"atuar";0;1,24
"militar";0;0,99
"instituto";0,4;0,59
"exemplo";0;0,54
"bom";1,19;0,59
"instituição";0,4;0,69
"você";1,58;0,49
"só";1,98;0,94
"relatar";1,98;0,25
"trazer";0;0,54
"1";0;0,69
"morte";0;0,64
"primeiro";0,79;1,43
"pmdb";0,79;0,4
"justiça";2,77;2,77
"se";9,9;5,79
"forma";0,79;1,09
"mais";4,75;3,22
"passar";0,4;1,04
"janeiro";0;1,39
"maior";0,4;0,74
"desde";0,79;1,78
"citar";0,4;0,45
"afastado";0,4;0,54
"eu";1,19;2,03
"agir";1,19;0,35
"fazer";4,36;5,1
"porcento";0,79;0,49
"brasil";2,77;1,98
"ministro";3,96;1,83
"não";19,01;11,97
"arma";1,19;0,35
"2";1,58;1,14
"qual";0,4;1,14
"caixa";0,4;0,49
"preocupação";0;0,49
"número";0,4;0,54
"17";0,4;0,45
"ano";1,19;2,08
"apresentado";0;0,54
"nota";0,4;0,99
"grande";0,4;0,59
"prestar";0,79;0,4
"qualquer";0,4;1,78
"crime";2,38;2,42
"ex_ministro";0,79;0,54
"estar";14,26;5,79
"administração";0,4;0,99
"delação";1,98;2,37
"já";2,38;2,18
"contar";1,19;0,94
"dinheiro";5,54;2,03
"federal";6,34;10,39
"população";0,4;0,74
"3";1,19;0,69
"proposta";0,79;0,54
"achar";0,4;0,69
"como";3,56;6,04
"por";14,65;20,09
"planalto";0,4;0,69
"entregar";0,79;1,04
"pessoa";0,79;2,13
"pena";0,4;0,74
"partido";1,19;0,64
"casa";0,4;0,54
"caso";1,19;1,93
"prisão";1,19;0,94
"processo";1,19;1,63
"4";0,79;0,4
"jbs";0,79;0,89
"lado";1,19;0,35
"até";3,56;1,19
"hoje";3,17;0,45
"chefe";0,4;0,79
"empresa";3,17;1,53
"protesto";0;0,49
"público";41,98;40,37
"cunha";0;0,69
"vantagem";0,4;0,49
"último";1,19;0,59
"ex_presidente";1,58;2,18
"responsabilidade";0;0,49
"agora";0,79;0,89
"batista";0;0,79
"análise";0;0,49
"interesse";0,4;1,04
"investigado";0,4;0,45
"previdência";0;0,49
"juiz";1,98;2,92
"pedir";2,77;1,88
"cidadão";1,19;0,64
"grupo";0,4;0,99
"fiscal";0,4;0,49
"apartamento";0,79;0,79
"dilma";2,77;0,79
"promotor";0,79;0,4
"claro";1,58;0,45
"inquérito";0,79;0,49
"sociedade";1,19;0,89
"mpf";4,36;2,37
"decisão";0,79;2,42
"odebrecht";0,79;1,29
"ter";7,13;9,5
"sua";0,79;2,33
"governador";0;0,59
"propina";3,17;1,63
"conta";0,79;1,24
"argumentar";0,4;0,45
"social";1,58;1,04
"texto";0,4;0,49
"vir";1,98;1,19
"corte";0;0,49
"prever";0,79;0,49
"procurador";0,79;1,14
"projeto";0,79;0,99
"possível";0,4;0,59
"palácio";0,4;0,64
"sistema";0,4;0,49
"a";57,43;63,03
"bilhão";4,75;0,45
"ficar";1,19;1,04
"polícia";3,17;2,82
"pedido";0;1,29
"cercar";0,4;0,49
"ilícito";0,4;0,45
"discussão";0;0,49
"nossa";1,19;0,45
"envolver";1,58;0,49
"operação";1,98;2,03
"todo";3,96;2,77
"nosso";0,79;0,84
"senado";0,4;0,64
"base";0;0,74
"secretaria";0;0,84
