"";"*gr_01";"*gr_02"
"magistrado";0;17
"presente";3;10
"retirar";1;11
"precisar";4;17
"reforma";0;13
"afirmar";3;60
"decidir";3;15
"segurança";2;105
"acordo";8;57
"tipo";0;11
"sobre";7;56
"meu";2;9
"cidade";1;11
"guarujá";2;8
"lavagem";1;10
"exigir";1;9
"continuar";0;26
"pouco";4;9
"além";3;27
"existir";5;8
"política";3;17
"político";8;39
"abaixo";2;12
"área";1;21
"empreiteiro";0;11
"atuação";0;10
"delator";1;17
"ordem";0;14
"ilegal";0;11
"valor";4;20
"necessário";0;13
"brasileiro";7;36
"após";1;23
"estadual";3;14
"três";1;11
"realizar";2;10
"ato";2;29
"deixar";2;15
"movimento";0;12
"gravação";0;13
"segundo";3;58
"dado";2;10
"órgão";2;23
"geral";0;11
"investigação";3;42
"esta";0;19
"lula";16;72
"receber";8;39
"dois";0;27
"acusar";7;16
"grave";2;11
"denunciar";2;20
"responder";3;7
"melhor";2;9
"desembargador";0;10
"patrimônio";6;6
"caber";0;10
"relator";3;12
"10";1;19
"12";1;10
"policial";2;15
"comprar";2;8
"gestão";1;13
"paraná";3;12
"mês";1;10
"triplex";1;9
"falar";3;21
"com";35;260
"durante";6;19
"judiciário";2;15
"funcionário";4;7
"secretário";1;10
"medida";1;21
"risco";0;12
"jurídico";0;10
"função";3;21
"ir";36;220
"defesa";3;37
"empresário";0;22
"depois";2;19
"algum";6;13
"deputado";4;13
"acusação";3;18
"antes";0;13
"recurso";1;23
"ela";2;24
"ele";17;82
"passivo";2;9
"municipal";0;10
"negar";1;11
"apontar";2;15
"rio";0;52
"uma";22;170
"o";161;1207
"sob";1;14
"civil";0;11
"questão";2;15
"novo";2;32
"conversa";0;14
"penal";0;16
"cofre";10;6
"condenar";7;14
"regime";1;9
"saber";2;26
"eventual";0;10
"esquema";1;11
"intervenção";1;25
"entrevista";1;10
"menos";2;15
"ver";1;27
"muito";1;32
"vez";1;17
"curitiba";1;14
"dia";7;38
"querer";6;22
"levar";2;14
"joão";0;10
"participar";0;10
"cargo";8;26
"mudança";1;10
"atuar";0;25
"militar";0;20
"instituto";1;12
"exemplo";0;11
"bom";3;12
"instituição";1;14
"você";4;10
"só";5;19
"relatar";5;5
"trazer";0;11
"1";0;14
"morte";0;13
"primeiro";2;29
"pmdb";2;8
"justiça";7;56
"se";25;117
"forma";2;22
"mais";12;65
"passar";1;21
"janeiro";0;28
"maior";1;15
"desde";2;36
"citar";1;9
"afastado";1;11
"eu";3;41
"agir";3;7
"fazer";11;103
"porcento";2;10
"brasil";7;40
"ministro";10;37
"não";48;242
"arma";3;7
"2";4;23
"qual";1;23
"caixa";1;10
"preocupação";0;10
"número";1;11
"17";1;9
"ano";3;42
"apresentado";0;11
"nota";1;20
"grande";1;12
"prestar";2;8
"qualquer";1;36
"crime";6;49
"ex_ministro";2;11
"estar";36;117
"administração";1;20
"delação";5;48
"já";6;44
"contar";3;19
"dinheiro";14;41
"federal";16;210
"população";1;15
"3";3;14
"proposta";2;11
"achar";1;14
"como";9;122
"por";37;406
"planalto";1;14
"entregar";2;21
"pessoa";2;43
"pena";1;15
"partido";3;13
"casa";1;11
"caso";3;39
"prisão";3;19
"processo";3;33
"4";2;8
"jbs";2;18
"lado";3;7
"até";9;24
"hoje";8;9
"chefe";1;16
"empresa";8;31
"protesto";0;10
"público";106;816
"cunha";0;14
"vantagem";1;10
"último";3;12
"ex_presidente";4;44
"responsabilidade";0;10
"agora";2;18
"batista";0;16
"análise";0;10
"interesse";1;21
"investigado";1;9
"previdência";0;10
"juiz";5;59
"pedir";7;38
"cidadão";3;13
"grupo";1;20
"fiscal";1;10
"apartamento";2;16
"dilma";7;16
"promotor";2;8
"claro";4;9
"inquérito";2;10
"sociedade";3;18
"mpf";11;48
"decisão";2;49
"odebrecht";2;26
"ter";18;192
"sua";2;47
"governador";0;12
"propina";8;33
"conta";2;25
"argumentar";1;9
"social";4;21
"texto";1;10
"vir";5;24
"corte";0;10
"prever";2;10
"procurador";2;23
"projeto";2;20
"possível";1;12
"palácio";1;13
"sistema";1;10
"a";145;1274
"bilhão";12;9
"ficar";3;21
"polícia";8;57
"pedido";0;26
"cercar";1;10
"ilícito";1;9
"discussão";0;10
"nossa";3;9
"envolver";4;10
"operação";5;41
"todo";10;56
"nosso";2;17
"senado";1;13
"base";0;15
"secretaria";0;17
"fato";4;26
"aprovar";0;16
"comando";1;13
"me";2;10
"nome";2;12
"contra";4;40
"país";12;43
"parlamentar";3;9
"stf";4;32
"brasília";2;14
"revelar";1;10
"para";43;284
"situação";1;16
"tentar";4;11
"essa";8;32
"então";0;15
"esse";5;28
"setor";4;30
"réu";2;10
"michel_temer";6;63
"quem";8;18
"meio";1;20
"assumir";0;14
"seu";10;52
"ser";74;495
"sem";2;42
"lava_jato";8;46
"ninguém";4;11
"pagar";5;13
"eleitoral";0;21
"parecer";2;10
"eleição";2;9
"considerar";1;11
"agente";0;26
"senador";1;20
"dizer";16;107
"pt";3;10
"chegar";6;10
"denúncia";2;34
"opinião";4;14
"relação";4;23
"direito";1;22
"premiar";0;22
"saúde";0;16
"nós";3;15
"campanha";0;15
"próprio";1;16
"autorizar";1;15
"apenas";3;13
"entre";7;59
"tanto";0;10
"apresentar";2;15
"ocorrer";0;13
"informar";4;14
"tomar";4;8
"trabalho";0;17
"rede";8;10
"semana";2;15
"aquele";3;8
"mostrar";2;9
"apoio";0;13
"autoridade";2;24
"presidente";8;74
"prova";1;25
"condenação";1;10
"acompanhar";0;12
"financeiro";0;10
"imagem";4;7
"ao";16;162
"ministério";27;318
"cabral";1;13
"exercer";0;16
"poder";17;94
"governo";4;67
"responsável";0;18
"um";39;199
"corrupção";15;49
"sérgio_moro";10;33
"diverso";1;14
"lembrar";0;10
"conselho";0;13
"pagamento";1;21
"problema";1;11
"manter";0;13
"nenhum";0;17
"garantir";0;15
"mil";5;20
"depoimento";3;26
"tribunal";2;18
"organização";0;11
"constituição";1;18
"informação";1;13
"defender";1;16
"capital";1;9
"fachin";3;16
"lei";4;47
"ler";3;9
"oficial";2;9
"anunciar";2;12
"_";0;61
"força";2;8
"chamado";1;10
"violência";0;15
"julgamento";0;16
"sim";4;12
"especial";0;11
"de";311;2876
"isso";4;25
"ainda";6;53
"joesley";1;25
"econômico";1;13
"criminal";0;10
"nada";3;11
"dever";4;31
"dar";8;30
"início";0;10
"constitucional";0;12
"cada";0;14
"prático";2;20
"tempo";1;13
"que";117;780
"junho";1;9
"intenção";3;7
"pgr";1;15
"próximo";0;10
"porque";3;27
"legislativo";0;10
"final";0;10
"haver";6;55
"quando";4;27
"petrobras";4;19
"criminoso";0;21
"bem";6;24
"procurador_geral";0;11
"milhão";3;24
"servidor";1;28
"documento";1;19
"serviço";4;21
"outro";8;45
"tornar";2;13
"petista";5;7
"principal";1;10
"tudo";4;7
"dodge";0;10
"trabalhar";4;18
"combater";3;7
"aqui";6;8
"2016";1;12
"república";3;39
"chamar";2;8
"homem";5;8
"rodrigo";1;11
"mesmo";3;40
"parte";6;27
