"";"X.gr_01";"X.gr_02"
"magistrado";-0,8694;0,8694
"presente";0,7736;-0,7736
"retirar";-0,2157;0,2157
"precisar";0,7021;-0,7021
"reforma";-0,6648;0,6648
"afirmar";-1,1551;1,1551
"decidir";0,4912;-0,4912
"segurança";-3,4675;3,4675
"acordo";0,3609;-0,3609
"tipo";-0,5625;0,5625
"sobre";0,2528;-0,2528
"meu";0,4564;-0,4564
"cidade";-0,2157;0,2157
"guarujá";0,513;-0,513
"lavagem";-0,1869;0,1869
"exigir";-0,1592;0,1592
"continuar";-1,33;1,33
"pouco";1,3212;-1,3212
"além";-0,2448;0,2448
"existir";1,9974;-1,9974
"política";0,4131;-0,4131
"político";0,8391;-0,8391
"abaixo";0,3269;-0,3269
"área";-0,5511;0,5511
"empreiteiro";-0,5625;0,5625
"atuação";-0,5113;0,5113
"delator";-0,4086;0,4086
"ordem";-0,716;0,716
"ilegal";-0,5625;0,5625
"valor";0,5631;-0,5631
"necessário";-0,6648;0,6648
"brasileiro";0,7097;-0,7097
"após";-0,6254;0,6254
"estadual";0,5364;-0,5364
"três";-0,2157;0,2157
"realizar";0,4073;-0,4073
"ato";-0,5012;0,5012
"deixar";0,2382;-0,2382
"movimento";-0,6136;0,6136
"gravação";-0,6648;0,6648
"segundo";-1,0893;1,0893
"dado";0,4073;-0,4073
"órgão";-0,3335;0,3335
"geral";-0,5625;0,5625
"investigação";-0,6044;0,6044
"esta";-0,9718;0,9718
"lula";1,4956;-1,4956
"receber";0,8391;-0,8391
"dois";-1,3812;1,3812
"acusar";1,9934;-1,9934
"grave";0,3645;-0,3645
"denunciar";-0,2583;0,2583
"responder";1,0436;-1,0436
"melhor";0,4564;-0,4564
"desembargador";-0,5113;0,5113
"patrimônio";3,022;-3,022
"caber";-0,5113;0,5113
"relator";0,642;-0,642
"10";-0,4788;0,4788
"12";-0,1869;0,1869
"policial";0,2382;-0,2382
"comprar";0,513;-0,513
"gestão";-0,2766;0,2766
"paraná";0,642;-0,642
"mês";-0,1869;0,1869
"triplex";-0,1592;0,1592
"falar";0,2945;-0,2945
"com";0,4378;-0,4378
"durante";1,2858;-1,2858
"judiciário";0,2382;-0,2382
"funcionário";1,579;-1,579
"secretário";-0,1869;0,1869
"medida";-0,5511;0,5511
"risco";-0,6136;0,6136
"jurídico";-0,5113;0,5113
"função";0,2945;-0,2945
"ir";1,087;-1,087
"defesa";-0,472;0,472
"empresário";-1,1253;1,1253
"depois";-0,2347;0,2347
"algum";1,8509;-1,8509
"deputado";0,9525;-0,9525
"acusação";0,3793;-0,3793
"antes";-0,6648;0,6648
"recurso";-0,6254;0,6254
"ela";-0,3599;0,3599
"ele";1,3478;-1,3478
"passivo";0,4564;-0,4564
"municipal";-0,5113;0,5113
"negar";-0,2157;0,2157
"apontar";0,2382;-0,2382
"rio";-2,6616;2,6616
"uma";0,3262;-0,3262
"o";0,6539;-0,6539
"sob";-0,3084;0,3084
"civil";-0,5625;0,5625
"questão";0,2382;-0,2382
"novo";-0,5924;0,5924
"conversa";-0,716;0,716
"penal";-0,8183;0,8183
"cofre";5,9237;-5,9237
"condenar";2,2313;-2,2313
"regime";-0,1592;0,1592
"saber";-0,4147;0,4147
"eventual";-0,5113;0,5113
"esquema";-0,2157;0,2157
"intervenção";-0,7014;0,7014
"entrevista";-0,1869;0,1869
"menos";0,2382;-0,2382
"ver";-0,7789;0,7789
"muito";-0,9783;0,9783
"vez";-0,4086;0,4086
"curitiba";-0,3084;0,3084
"dia";0,6417;-0,6417
"querer";1,0809;-1,0809
"levar";0,2643;-0,2643
"joão";-0,5113;0,5113
"participar";-0,5113;0,5113
"cargo";1,5275;-1,5275
"mudança";-0,1869;0,1869
"atuar";-1,2788;1,2788
"militar";-1,0229;1,0229
"instituto";-0,2457;0,2457
"exemplo";-0,5625;0,5625
"bom";0,642;-0,642
"instituição";-0,3084;0,3084
"você";1,2138;-1,2138
"só";0,921;-0,921
"relatar";2,5817;-2,5817
"trazer";-0,5625;0,5625
"1";-0,716;0,716
"morte";-0,6648;0,6648
"primeiro";-0,5012;0,5012
"pmdb";0,513;-0,513
"justiça";0,2528;-0,2528
"se";1,8763;-1,8763
"forma";-0,3077;0,3077
"mais";0,8459;-0,8459
"passar";-0,5511;0,5511
"janeiro";-1,4324;1,4324
"maior";-0,3411;0,3411
"desde";-0,72;0,72
"citar";-0,1592;0,1592
"afastado";-0,2157;0,2157
"eu";-0,577;0,577
"agir";1,0436;-1,0436
"fazer";-0,423;0,423
"porcento";0,4073;-0,4073
"brasil";0,58;-0,58
"ministro";1,506;-1,506
"não";2,5053;-2,5053
"arma";1,0436;-1,0436
"2";0,4533;-0,4533
"qual";-0,6254;0,6254
"caixa";-0,1869;0,1869
"preocupação";-0,5113;0,5113
"número";-0,2157;0,2157
"17";-0,1592;0,1592
"ano";-0,6044;0,6044
"apresentado";-0,5625;0,5625
"nota";-0,5147;0,5147
"grande";-0,2457;0,2457
"prestar";0,513;-0,513
"qualquer";-1,1426;1,1426
"crime";-0,2305;0,2305
"ex_ministro";0,3645;-0,3645
"estar";5,0316;-5,0316
"administração";-0,5147;0,5147
"delação";-0,3415;0,3415
"já";0,3136;-0,3136
"contar";0,3485;-0,3485
"dinheiro";2,6526;-2,6526
"federal";-1,5488;1,5488
"população";-0,3411;0,3411
"3";0,5364;-0,5364
"proposta";0,3645;-0,3645
"achar";-0,3084;0,3084
"como";-1,1356;1,1356
"por";-1,4771;1,4771
"planalto";-0,3084;0,3084
"entregar";-0,2826;0,2826
"pessoa";-0,9577;0,9577
"pena";-0,3411;0,3411
"partido";0,5864;-0,5864
"casa";-0,2157;0,2157
"caso";-0,5236;0,5236
"prisão";0,3485;-0,3485
"processo";-0,3745;0,3745
"4";0,513;-0,513
"jbs";-0,212;0,212
"lado";1,0436;-1,0436
"até";2,0872;-2,0872
"hoje";3,6569;-3,6569
"chefe";-0,3745;0,3745
"empresa";1,2112;-1,2112
"protesto";-0,5113;0,5113
"público";0,4372;-0,4372
"cunha";-0,716;0,716
"vantagem";-0,1869;0,1869
"último";0,642;-0,642
"ex_presidente";-0,4301;0,4301
"responsabilidade";-0,5113;0,5113
"agora";-0,212;0,212
"batista";-0,8183;0,8183
"análise";-0,5113;0,5113
"interesse";-0,5511;0,5511
"investigado";-0,1592;0,1592
"previdência";-0,5113;0,5113
"juiz";-0,5663;0,5663
"pedir";0,6417;-0,6417
"cidadão";0,5864;-0,5864
"grupo";-0,5147;0,5147
"fiscal";-0,1869;0,1869
"apartamento";0,2149;-0,2149
"dilma";1,9934;-1,9934
"promotor";0,513;-0,513
"claro";1,3212;-1,3212
"inquérito";0,4073;-0,4073
"sociedade";0,3793;-0,3793
"mpf";1,2362;-1,2362
"decisão";-1,173;1,173
"odebrecht";-0,4147;0,4147
"ter";-0,8461;0,8461
"sua";-1,1002;1,1002
"governador";-0,6136;0,6136
"propina";1,1048;-1,1048
"conta";-0,387;0,387
"argumentar";-0,1592;0,1592
"social";0,5237;-0,5237
"texto";-0,1869;0,1869
"vir";0,6691;-0,6691
"corte";-0,5113;0,5113
"prever";0,4073;-0,4073
"procurador";-0,3335;0,3335
"projeto";-0,2583;0,2583
"possível";-0,2457;0,2457
"palácio";-0,2766;0,2766
"sistema";-0,1869;0,1869
"a";-0,837;0,837
