"";"X.gr_01";"X.gr_02"
"adv";2,6699;-2,6699
"nom";-4,2508;4,2508
"pre";-4,5505;4,5505
"ver";6,1575;-6,1575
"pro_pos";0,4728;-0,4728
"pro_per";2,2628;-2,2628
"ver_sup";2,5155;-2,5155
"nom_sup";-0,4268;0,4268
"art_def";0,386;-0,386
"adj_num";-0,4175;0,4175
"pro_dem";0,5661;-0,5661
"pro_int";-0,2836;0,2836
"num";0,5514;-0,5514
"ono";-0,2079;0,2079
"pro_rel";1,2813;-1,2813
"adj_sup";0,672;-0,672
"nr";-0,3662;0,3662
"pro_ind";1,3532;-1,3532
"adj";-0,6266;0,6266
"conj";-0,516;0,516
"adv_sup";-0,1365;0,1365
