"";"";"";"";"cabeleireiro";""
"1";"cabeleireiro";"2.50907495043934";"-0.966951612287283";"1.38213709677419";"83"
"2";"vítima";"-0.143135486898723";"0.537874429391495";"1.02112903225806";"161"
"3";"ocorrer";"-0.159835460999578";"0.848573774618787";"1.01826612903226";"162"
"4";"sísmico";"-0.159835460999578";"0.848573774618787";"1.01826612903226";"163"
"5";"diretor";"-0.159835460999578";"0.848573774618787";"1.01826612903226";"164"
"6";"difícil";"-0.104635098089005";"0.704928569558838";"0.9925";"183"
"7";"apresentador";"-0.448541003541052";"1.11377555131005";"0.974193548387097";"186"
"8";"unido";"-0.340565641918321";"1.49508380027381";"0.974193548387097";"195"
"9";"sistema";"-0.409566095556537";"1.67464030659874";"0.974193548387097";"196"
"10";"seguro";"-0.340565641918321";"1.49508380027381";"0.974193548387097";"197"
"11";"pesquisa";"-0.409566095556537";"1.67464030659874";"0.974193548387097";"201"
"12";"colunista";"-0.409566095556537";"1.67464030659874";"0.974193548387097";"203"
"13";"começar";"-0.129809915345877";"0.108152513005153";"0.952943548387097";"211"
"14";"realizar";"-0.129809915345877";"0.108152513005153";"0.952943548387097";"213"
"15";"funcionário";"-0.129809915345877";"0.108152513005153";"0.952943548387097";"214"
"16";"produto";"-0.129809915345877";"0.108152513005153";"0.952943548387097";"215"
"17";"brasileiro";"-0.164310142164985";"0.197930766167622";"0.926048387096774";"230"
"18";"instituto";"-0.364383550326852";"1.51301280018499";"0.925846774193548";"232"
"19";"lado";"-0.551116302470991";"0.0520897812055903";"0.925846774193548";"233"
"20";"questão";"-0.670640460544182";"0.429198420569925";"0.925846774193548";"235"
"21";"aparelho";"-0.260882869869527";"1.24367804069758";"0.89366935483871";"244"
"22";"tirar";"-0.222340233013385";"0.580588214610428";"0.878387096774194";"246"
"23";"passar";"-0.0777361194731076";"0.36817797840731";"0.860362903225806";"253"
"24";"criança";"-0.522863951787754";"-0.00300186811845777";"0.8375";"259"
"25";"precisar";"-0.499479006997045";"0.333516985054761";"0.8375";"260"
"26";"tratar";"-0.313053649103411";"-0.018327761227163";"0.831290322580645";"261"
"27";"aparecer";"-0.289175459443464";"0.6109640321576";"0.826129032258065";"270"
"28";"interno";"-0.289175459443464";"0.6109640321576";"0.826129032258065";"271"
"29";"recurso";"-0.358175913081681";"0.790520538482537";"0.826129032258065";"275"
"30";"importar";"-0.198810368984093";"0.28770901933009";"0.826129032258065";"276"
"31";"hora";"-0.358175913081681";"0.790520538482537";"0.826129032258065";"277"
"32";"corrupto";"-0.358175913081681";"0.790520538482537";"0.826129032258065";"281"
"33";"certo";"-0.198810368984093";"0.28770901933009";"0.826129032258065";"283"
"34";"perder";"-0.25020055145895";"1.1718287874463";"0.812862903225806";"294"
"35";"corpo";"-0.25020055145895";"1.1718287874463";"0.812862903225806";"295"
"36";"educação";"-0.25020055145895";"1.1718287874463";"0.812862903225806";"296"
"37";"decidir";"-0.274090573242047";"0.715255594354131";"0.803790322580645";"298"
