"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;3;3;3
"2";2;0;0;0;0;0;0;3;3;3
"3";3;0;0;0;0;0;0;0;0;0
"4";4;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;0;0;4;4;4;4
"7";7;0;0;0;0;0;4;4;4;4
"8";8;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;0;0;0;3;3;3
"10";10;0;0;0;0;0;4;4;4;4
"11";11;0;0;0;0;0;0;0;2;2
"12";12;0;0;0;0;0;0;0;2;2
"13";13;0;0;0;0;0;0;0;2;2
"14";14;0;0;0;0;0;0;0;2;2
"15";15;0;0;0;0;5;5;5;5;5
"16";16;0;0;0;0;0;0;0;2;2
"17";17;0;0;0;0;0;0;0;2;2
"18";18;0;0;6;6;6;6;6;6;6
"19";19;0;0;0;0;0;0;0;2;2
"20";20;0;0;6;6;6;6;6;6;6
"21";21;0;0;0;0;0;0;3;3;3
"22";22;0;0;0;0;5;5;5;5;5
"23";23;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;5;5;5;5;5
"25";25;0;0;0;0;5;5;5;5;5
"26";26;0;0;0;0;5;5;5;5;5
"27";27;0;0;0;0;0;0;0;0;0
"28";28;0;0;0;0;5;5;5;5;5
"29";29;0;0;0;0;5;5;5;5;5
"30";30;0;0;0;0;0;0;0;2;2
"31";31;0;0;0;0;0;4;4;4;4
"32";32;0;0;0;0;0;0;0;2;2
"33";33;0;0;0;0;0;0;0;0;0
"34";34;0;0;0;0;0;0;0;0;0
"35";35;0;0;0;0;0;4;4;4;4
"36";36;0;0;0;0;0;0;0;0;0
"37";37;0;0;0;0;0;0;0;0;0
"38";38;0;0;0;0;0;0;0;0;0
"39";39;0;0;0;0;0;0;0;2;2
"40";40;0;0;0;0;0;4;4;4;4
"41";41;0;0;0;0;0;0;0;0;0
"42";42;0;0;0;0;0;0;0;0;0
"43";43;0;0;0;0;5;5;5;5;5
"44";44;0;0;0;0;0;0;0;2;2
"45";45;0;0;0;0;0;0;0;2;2
"46";46;0;0;0;0;0;0;0;0;1
"47";47;0;0;0;0;0;0;0;0;1
"48";48;0;0;0;0;0;0;0;0;1
"49";49;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;1
"51";51;0;0;0;0;0;0;0;0;1
"52";52;0;0;0;0;0;0;0;0;1
"53";53;0;0;0;0;0;0;0;0;1
"54";54;0;0;0;0;0;0;0;0;1
"55";55;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;3;3;3
"58";58;0;0;0;0;0;0;3;3;3
"59";59;0;0;0;0;5;5;5;5;5
"60";60;0;0;0;0;5;5;5;5;5
"61";61;0;0;0;0;0;0;3;3;3
"62";62;0;0;0;0;0;0;0;0;0
"63";63;0;0;0;0;5;5;5;5;5
"64";64;0;0;0;0;0;0;0;0;0
"65";65;0;0;0;0;0;0;0;0;0
"66";66;0;0;0;0;0;4;4;4;4
"67";67;0;0;0;0;0;0;0;0;0
"68";68;0;0;0;0;0;4;4;4;4
"69";69;0;0;0;0;0;0;0;2;2
"70";70;0;0;0;0;0;4;4;4;4
"71";71;0;0;0;0;0;4;4;4;4
"72";72;0;0;0;0;0;0;3;3;3
"73";73;0;0;0;0;0;0;3;3;3
"74";74;0;0;0;0;0;0;3;3;3
"75";75;0;0;0;0;0;0;3;3;3
"76";76;0;0;0;0;0;0;3;3;3
"77";77;0;0;0;0;0;0;3;3;3
"78";78;0;0;0;0;0;0;3;3;3
"79";79;0;0;0;0;0;0;3;3;3
"80";80;0;0;0;0;0;0;0;0;0
"81";81;0;0;0;0;0;0;0;2;2
"82";82;0;0;0;0;0;0;0;2;2
"83";83;0;0;0;0;0;0;0;0;0
"84";84;0;0;0;0;5;5;5;5;5
"85";85;0;0;0;0;0;0;0;2;2
"86";86;0;0;0;0;0;4;4;4;4
"87";87;0;0;0;0;0;0;0;0;1
"88";88;0;0;0;0;0;0;0;0;1
"89";89;0;0;0;0;0;0;0;0;1
"90";90;0;0;0;0;0;0;3;3;3
"91";91;0;0;0;0;0;0;0;0;0
"92";92;0;0;0;0;0;0;0;0;0
"93";93;0;0;0;0;0;0;0;0;0
"94";94;0;0;0;0;0;0;0;0;0
"95";95;0;0;0;0;0;0;0;0;0
"96";96;0;0;0;0;0;4;4;4;4
"97";97;0;0;0;0;0;0;0;0;0
"98";98;0;0;0;0;0;4;4;4;4
"99";99;0;0;0;0;5;5;5;5;5
"100";100;0;0;0;0;0;4;4;4;4
"101";101;0;0;0;0;0;0;3;3;3
"102";102;0;0;0;0;0;0;0;0;0
"103";103;0;0;0;0;0;0;0;2;2
"104";104;0;0;0;0;0;0;0;0;1
"105";105;0;0;0;0;0;0;0;0;1
"106";106;0;0;0;0;0;0;3;3;3
"107";107;0;0;0;0;0;0;3;3;3
"108";108;0;0;0;0;0;0;3;3;3
"109";109;0;0;0;0;0;0;3;3;3
"110";110;0;0;0;0;0;4;4;4;4
"111";111;0;0;0;0;0;4;4;4;4
"112";112;0;0;0;0;0;4;4;4;4
"113";113;0;0;0;0;0;4;4;4;4
"114";114;0;0;0;0;0;0;0;0;1
"115";115;0;0;0;0;0;0;0;0;1
"116";116;0;0;0;0;0;0;0;0;1
"117";117;0;0;0;0;0;0;0;0;1
"118";118;0;0;0;0;0;0;0;0;0
"119";119;0;0;0;0;0;0;0;0;0
"120";120;0;0;0;0;0;0;0;0;0
"121";121;0;0;0;0;0;0;0;0;0
"122";122;0;0;0;0;0;0;0;0;0
"123";123;0;0;0;0;0;0;0;0;0
"124";124;0;0;0;0;0;0;0;0;0
"125";125;0;0;0;0;0;0;0;0;0
"126";126;0;0;0;0;0;0;0;0;0
"127";127;0;0;0;0;0;0;0;0;0
"128";128;0;0;0;0;0;0;0;0;1
"129";129;0;0;0;0;0;0;0;0;0
"130";130;0;0;0;0;0;4;4;4;4
"131";131;0;0;0;0;0;4;4;4;4
"132";132;0;0;0;0;5;5;5;5;5
"133";133;0;0;6;6;6;6;6;6;6
"134";134;0;0;0;0;0;4;4;4;4
"135";135;0;0;0;0;0;4;4;4;4
"136";136;0;0;0;0;0;0;3;3;3
"137";137;0;0;0;0;0;0;3;3;3
"138";138;0;0;0;0;0;4;4;4;4
"139";139;0;0;0;0;0;0;0;0;0
"140";140;0;0;0;0;0;0;0;2;2
"141";141;0;0;0;0;0;0;0;0;0
"142";142;0;0;6;6;6;6;6;6;6
"143";143;0;0;0;0;0;4;4;4;4
"144";144;0;0;6;6;6;6;6;6;6
"145";145;0;0;0;0;0;0;0;0;0
"146";146;0;0;0;0;0;0;0;0;0
"147";147;0;0;0;0;0;4;4;4;4
"148";148;0;0;0;0;0;0;0;0;0
"149";149;0;0;0;0;0;0;0;2;2
"150";150;0;0;0;0;0;0;0;2;2
"151";151;0;0;0;0;0;0;0;2;2
"152";152;0;0;0;0;0;0;0;0;0
"153";153;0;0;6;6;6;6;6;6;6
"154";154;0;0;6;6;6;6;6;6;6
"155";155;0;0;6;6;6;6;6;6;6
"156";156;0;0;6;6;6;6;6;6;6
"157";157;0;0;6;6;6;6;6;6;6
"158";158;0;0;6;6;6;6;6;6;6
"159";159;0;0;6;6;6;6;6;6;6
"160";160;0;0;6;6;6;6;6;6;6
"161";161;0;0;0;0;0;0;3;3;3
"162";162;0;0;6;6;6;6;6;6;6
"163";163;0;0;6;6;6;6;6;6;6
"164";164;0;0;6;6;6;6;6;6;6
"165";165;0;0;6;6;6;6;6;6;6
"166";166;0;0;6;6;6;6;6;6;6
"167";167;0;0;6;6;6;6;6;6;6
"168";168;0;0;0;0;0;0;0;0;1
"169";169;0;0;0;0;5;5;5;5;5
"170";170;0;0;6;6;6;6;6;6;6
"171";171;0;0;6;6;6;6;6;6;6
"172";172;0;0;6;6;6;6;6;6;6
"173";173;0;0;0;0;5;5;5;5;5
"174";174;0;0;6;6;6;6;6;6;6
"175";175;0;0;6;6;6;6;6;6;6
"176";176;0;0;6;6;6;6;6;6;6
"177";177;0;0;6;6;6;6;6;6;6
"178";178;0;0;0;0;0;0;3;3;3
"179";179;0;0;6;6;6;6;6;6;6
"180";180;0;0;0;0;0;0;3;3;3
"181";181;0;0;0;0;0;0;0;2;2
"182";182;0;0;0;0;0;0;3;3;3
"183";183;0;0;0;0;0;0;3;3;3
"184";184;0;0;0;0;5;5;5;5;5
"185";185;0;0;6;6;6;6;6;6;6
"186";186;0;0;0;0;0;0;0;0;0
"187";187;0;0;0;0;0;0;3;3;3
"188";188;0;0;0;0;0;0;3;3;3
"189";189;0;0;0;0;0;0;3;3;3
"190";190;0;0;0;0;0;0;3;3;3
