"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"ano";-0,211781664078238;0,188216848210989;0,548961697533269;0,311436037936575;-0,729048991592576;-0,210715940940137;0,187269707432811;0,546199224277904;0,309868836200238;-0,725380286926705;0,0636710111722099;0,0406071399568414;0,3338337272624;0,0947125430640604;0,467175578544504;0,000687378900226019;0,000542920796175916;0,00461852789821622;0,00148647365096753;0,00814578440064601;0,0153256704980843;0,629345527739124;0,00607012710015687
"dizer";-0,308569200956892;-0,491397022312468;-0,273627052015651;0,744560449448604;0,743153450862852;-0,250430579315416;-0,398811159992515;-0,2220720050483;0,604275164574215;0,603133263600842;0,0888283650403095;0,181899679015745;0,0545061704207804;0,355755133151599;0,31901065237156;0,00206724671806638;0,00524266611767373;0,001625568302824;0,0120361359757507;0,0119906894968062;0,0217113665389527;0,776333646490435;0,0130853088396466
"pessoa";-0,0189569710177101;0,455297159123356;-0,395511889525446;0,739659996292766;0,812710988356976;-0,0151212189506745;0,363172366740051;-0,315484044023804;0,589997249167553;0,648267109080032;0,000334265696321223;0,155691238532394;0,113541360640839;0,350044220759623;0,380388914370824;6,42545913451881e-06;0,00370643300572309;0,00279695423573925;0,00978206480411419;0,0118096910706851;0,0178799489144317;0,777489815113446;0,0108082576966436
"ficar";-0,324429229042549;-0,863892459036276;-1,1996694741145;1,0124820767519;-1,08362110122473;-0,153105471216734;-0,407690337925703;-0,566151085340537;0,47781313020741;-0,511385240513114;0,0322557692131603;0,184674611919333;0,344169008373913;0,216096072728124;0,222804537765468;0,00114260761122058;0,00810170694333055;0,01562357369162;0,0111283775527747;0,012747119889739;0,0108556832694764;1,35452785477859;0,0199174183009634
"médico";-0,411960463623477;0,372254265392535;0,701870235840968;0,820061615815862;1,27435180997212;-0,234076754789282;0,211515613981814;0,398804063972024;0,465960641147537;0,7240892330162;0,079523605269012;0,0524305875812393;0,180127377381865;0,216761768613018;0,471156661154868;0,00151721579198224;0,00123884120909394;0,00440402655902452;0,00601214224283736;0,0145182729872983;0,00893997445721584;1,09541623985505;0,0107274037928061
"homem";-0,103411245911831;1,39972371476343;0,543920037145965;-0,665669862737811;-1,07305760919778;-0,0526326314616969;0,712409388144821;0,276835876091701;-0,338802189759027;-0,546148005316844;0,00376374764621086;0,556788134981499;0,0812523931642198;0,107277212097749;0,250918512110321;6,82879040934684e-05;0,0125110247616293;0,00188920183147425;0,00282960642501517;0,00735282651760693;0,00638569604086845;1,26394794911713;0,0102015607795491
"brasil";-0,485710145786919;1,00023613977115;0,182695030499343;-0,240253175631012;-0,658381783277627;-0,366018786901432;0,753752462594471;0,137674318760526;-0,181048669986519;-0,496139732150039;0,171214287765209;0,5862881440263;0,018902541980457;0,0288156658063924;0,194779360421641;0,00165712503379556;0,00702758345360621;0,000234452245121785;0,000405451770375892;0,00304478435381233;0,0070242656449553;0,88019488608636;0,00544200090192744
"social";0,254093856610322;-0,938284349784124;0,0199676028636921;-1,10186532848632;0,239830821928323;0,170653285734266;-0,630165992124958;0,013410544758474;-0,740029457033395;0,16107401543826;0,0392126524422035;0,431744893966823;0,00018896041794722;0,507223840153336;0,0216296530196899;0,000123685225990626;0,00168654697519122;7,63802996402536e-07;0,00232587586613079;0,000110189316373209;0,00191570881226054;0,962172017556451;0,00177351530913535
"dar";-0,233217638183057;-0,331757236165498;-1,09146104051785;-0,464435490832722;-0,359966720089385;-0,178816289510113;-0,254370117335124;-0,836862147009037;-0,35609927205561;-0,275999335792028;0,04179168918422;0,0682854731580736;0,714273776572169;0,114004677795055;0,0616443832904814;0,000382053087073127;0,000773110792611668;0,00836791777308525;0,00151513638352193;0,000910176523174331;0,0070242656449553;0,855437131776882;0,00514016574115533
"filho";-1,11612027914028;-1,10774592940497;0,194634956353659;0,482639541731019;-0,21827777130714;-0,66804878251994;-0,663036353080545;0,116497879357625;0,288881731006398;-0,130649180109174;0,507247445890048;0,403458223018306;0,0120370660850593;0,0652451753979778;0,0120120896086079;0,00715933607763322;0,0070523048512258;0,000217717047326383;0,00133874096116281;0,000273822904866736;0,00574712643678161;1,17509433337657;0,00793590053065361
