"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"ano";-0,003;-0,031;9,63;-6,796;-1,213;0,836
"dizer";-0,811;1,66;-9,275;-3,182;7,974;4,571
"pessoa";-0,926;0,485;-0,388;-0,662;12,91;-3,177
"ficar";-0,369;24,256;-1,966;-2,309;-3,557;1,174
"médico";-1,047;-2,377;0,083;-3,757;12,787;0,555
"homem";-0,371;-1,663;18,438;0;-2,017;-1,802
"brasil";-2,393;-0,206;9,981;-0,024;-0,423;-0,286
"social";0,569;-0,482;-0,693;0,338;-0,584;0,852
"dar";-0,523;1,827;-0,687;1,945;-2,23;0,117
"filho";-1,938;0,585;-0,344;-2,353;-0,173;12,618
"vida";-1,047;-2,377;-0,18;4,907;-2,883;5,345
"passar";-0,001;-2,016;1,848;-0,089;0,003;0,042
"local";22,142;0,098;-2,9;-3,187;0,003;-2,185
"cidade";-0,123;-1,317;-0,201;-2,081;21,385;-1,427
"publicar";0,353;-2,196;1,375;5,934;-2,663;-2,379
"mulher";-0,028;-2,196;-3,158;28,109;-2,663;-0,535
"jornal";3,688;-0,541;1,002;0,69;-2,883;-2,576
"conseguir";-2,858;47,108;-3,158;-1,314;-0,726;-0,535
"vídeo";0,031;-0,811;-1,166;11,531;-0,983;-0,879
"câncer";-2,393;-1,839;51,083;-2,906;-2,23;-1,993
"casa";-1,492;45,814;-1,649;-1,812;-1,391;-1,242
"receber";-0,84;4,569;-0,928;-1,02;3,472;-0,699
"polícia";25,429;-0,206;-0,687;-2,906;-2,23;-0,286
"hospital";4,733;-0,978;-0,014;0,687;-1,186;-1,06
"dia";-2,393;5,081;2,446;-0,024;-2,23;-0,286
"brasileiro";-1,273;2,029;-1,406;3,477;0,001;-1,06
"mundo";-1,938;-1,489;-0,344;3,515;0,261;0,434
"mesmo";2,38;-2,016;-0,879;3,74;-2,445;0,042
"informar";12,134;-1,317;0,23;-2,081;-0,08;-1,427
"chegar";1,839;-2,196;1,375;-3,47;5,14;-2,379
"caso";-0,001;-0,978;9,482;-1,545;0,001;-1,06
"vaticano";39,49;-1,663;-0,507;-2,628;-2,017;-1,802
"morrer";-0,04;-1,146;2,839;-0,148;0,835;-1,242
"grande";-2,164;-1,663;-0,507;-0,657;31,785;-1,802
"doença";-2,624;-2,016;45,142;-3,187;-0,569;-2,185
"comer";-1,938;-1,489;-2,142;-2,353;-1,806;54,911
"alto";-2,393;-0,206;-0,687;8,67;1,075;-1,993
"vez";-2,393;-0,206;2,446;-2,906;-2,23;14,821
"próprio";0,369;-1,317;0,23;1,593;-0,08;-1,427
"mês";-0,001;0,047;0,896;-1,545;-1,186;1,73
"morte";3,055;-1,839;0,587;-2,906;3,535;-1,993
"momento";3,403;0,002;-1,649;-0,148;0,835;-1,242
"maior";0,01;-1,839;5,577;1,945;-2,23;-1,993
"carro";0,569;0,999;-0,693;0,338;-0,584;-0,522
"acordo";2,453;-0,009;0,23;0,13;-1,597;-1,427
"problema";-1,938;-1,489;4,184;-0,465;-0,173;2,635
"novo";-1,273;-0,978;4,052;3,477;-1,186;-1,06
"mãe";-0,627;0,999;-0,693;0,338;-0,584;0,852
"igreja";14,334;-0,811;-1,166;0;-0,983;-0,879
"encontrar";-2,164;-0,119;11,969;-2,628;0,119;-0,181
"criança";-1,055;0,175;0,007;1,281;-0,983;0,118
"coisa";-1,938;-1,489;-2,142;0,029;-1,806;30,043
"viver";-1,492;-1,146;-1,649;-1,812;0,835;18,713
"tratar";-0,04;-1,146;0,483;-0,148;-0,018;1,127
"tentar";0,677;11,621;-1,649;-1,812;-0,018;-1,242
"suicídio";3,403;-1,146;-0,087;-0,148;0,835;-1,242
"saúde";-1,938;-1,489;8,543;-2,353;-1,806;6,696
"querer";-1,714;-0,009;-1,894;9,398;-1,597;0,716
"pedir";0,031;-0,811;-1,166;11,531;-0,983;-0,879
"mostrar";-1,714;-1,317;-0,201;15,739;-1,597;-0,03
"jovem";8,219;-1,146;-1,649;-0,148;-1,391;1,127
"imagem";-0,123;-0,009;-1,894;15,739;-1,597;-1,427
"grupo";-0,001;-0,978;9,482;-0,043;-1,186;-1,06
"falar";-0,04;20,51;-1,649;-0,148;-1,391;-1,242
"empresa";-1,492;0,002;-1,649;-0,148;-0,018;10,483
"diverso";1,903;-0,811;1,564;-1,281;0,058;-0,879
"dinheiro";-1,273;6,922;-1,406;0,687;-1,186;0,02
"contar";0,677;-1,146;-1,649;6,249;-1,391;-0,001
"começar";-0,627;0,999;-0,693;4,144;-0,584;-0,522
"cardeal";35,202;-1,146;-1,649;-1,812;-1,391;-1,242
