ano;4;3;10;0;2;5
dizer;4;7;0;3;11;9
pessoa;3;5;4;4;11;1
ficar;2;9;1;1;0;4
médico;1;0;3;0;7;3
homem;1;0;7;2;0;0
brasil;0;1;6;2;1;1
social;1;0;0;1;0;1
dar;1;3;1;4;0;2
filho;0;2;1;0;1;5
vida;1;0;2;6;0;5
passar;2;0;4;2;2;2
local;8;2;0;0;2;0
cidade;1;0;1;0;6;0
publicar;3;0;4;6;0;0
mulher;2;0;0;10;0;1
jornal;5;1;4;4;0;0
conseguir;0;10;0;1;1;1
vídeo;1;0;0;4;0;0
câncer;0;0;11;0;0;0
casa;0;7;0;0;0;0
receber;0;2;0;0;2;0
polícia;8;1;1;0;0;1
hospital;3;0;1;2;0;0
dia;0;4;4;2;0;1
brasileiro;0;2;0;3;1;0
mundo;0;0;1;4;2;2
mesmo;4;0;1;5;0;2
informar;5;0;2;0;1;0
chegar;4;0;4;0;5;0
caso;1;0;4;0;1;0
vaticano;9;0;1;0;0;0
morrer;1;0;3;1;2;0
grande;0;0;1;1;8;0
doença;0;0;11;0;1;0
comer;0;0;0;0;0;9
alto;0;1;1;6;3;0
vez;0;1;4;0;0;6
próprio;2;0;2;3;1;0
mês;1;1;2;0;0;2
morte;4;0;3;0;4;0
momento;3;1;0;1;2;0
maior;2;0;5;4;0;0
carro;1;1;0;1;0;0
acordo;3;1;2;2;0;0
problema;0;0;4;1;1;3
novo;0;0;3;3;0;0
mãe;0;1;0;1;0;1
igreja;4;0;0;1;0;0
encontrar;0;1;6;0;2;1
criança;0;1;1;2;0;1
coisa;0;0;0;2;0;7
viver;0;0;0;0;2;5
tratar;1;0;2;1;1;2
tentar;2;4;0;0;1;0
suicídio;3;0;1;1;2;0
saúde;0;0;5;0;0;4
querer;0;1;0;5;0;2
pedir;1;0;0;4;0;0
mostrar;0;0;1;6;0;1
jovem;4;0;0;1;0;2
imagem;1;1;0;6;0;0
grupo;1;0;4;1;0;0
falar;1;5;0;1;0;0
empresa;0;1;0;1;1;4
diverso;2;0;2;0;1;0
dinheiro;0;3;0;2;0;1
contar;2;0;0;4;0;1
começar;0;1;0;2;0;0
cardeal;7;0;0;0;0;0
acontecer;0;1;0;1;4;1
trabalhar;0;5;1;0;1;1
só;0;1;1;3;1;2
semana;0;1;1;1;1;2
risco;0;0;5;0;2;1
relatar;1;2;1;0;1;1
matar;0;0;1;1;4;0
existir;0;1;1;0;3;3
deus;0;1;0;2;0;0
comida;0;0;0;0;0;6
apartamento;5;0;0;0;2;0
afirmar;2;0;0;0;1;3
água;0;0;1;0;3;1
vítima;1;0;3;0;0;1
vizinho;1;1;0;1;0;0
testemunha;6;0;0;0;0;0
site;0;0;4;0;0;0
sentir;0;1;0;0;0;4
saudável;0;0;2;0;0;5
próstata;0;0;6;0;0;0
país;0;0;5;0;0;0
passageiro;0;0;0;0;0;6
papa;6;0;0;0;0;0
ocorrer;0;0;0;1;2;0
menor;0;0;3;0;2;1
ler;0;0;1;3;2;0
internet;0;0;2;1;0;0
informação;5;0;0;2;0;0
humano;0;1;1;0;1;4
globo;0;0;4;0;0;0
eua;0;0;2;1;1;0
dever;0;2;0;0;1;2
decidir;0;1;1;1;1;0
confirmar;2;0;1;0;1;2
cercar;4;1;0;0;1;0
cardíaco;0;0;5;1;0;0
camila;0;0;0;0;0;7
bom;0;2;0;0;1;1
alimento;0;0;0;0;0;6
alimentar;0;1;2;0;0;3
voltar;0;3;0;0;1;0
tratamento;0;0;2;0;1;0
tirar;0;1;1;2;0;0
tempo;0;1;0;4;1;0
sul;0;0;4;0;0;0
servir;2;0;0;0;0;3
santo;3;0;1;0;0;0
salvar;0;0;2;3;0;0
sair;1;1;1;0;0;1
revelar;0;0;4;0;0;1
respiração;0;0;0;0;0;6
qualidade;0;0;1;4;0;0
processo;0;0;1;1;0;3
parte;1;0;1;1;2;0
joana;4;0;0;0;1;0
gravidez;1;0;0;0;0;4
estudo;1;0;3;1;1;0
divulgar;1;0;0;2;0;0
conhecer;0;0;0;4;0;1
compressão;0;0;0;4;0;0
carne;0;0;0;4;0;0
assistir;0;1;0;5;0;0
apresentador;0;1;2;0;0;0
aparecer;0;1;1;1;0;0
acusar;5;0;0;0;0;0
área;1;0;1;0;3;0
tsunami;0;0;0;0;5;0
serviço;0;0;3;0;1;0
rua;3;0;0;1;0;0
roma;5;0;0;0;0;0
responsável;0;1;2;0;0;0
