"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"35";"205";"17.07";"****";""
"9";"10";" 90.00";"39.49";"vaticano";"3.297815e-10"
"7";" 7";"100.00";"35.20";"cardeal";"2.972151e-09"
"6";" 6";"100.00";"30.02";"testemunha";"4.272744e-08"
"6";" 6";"100.00";"30.02";"papa";"4.272744e-08"
"8";"11";" 72.73";"25.43";"polícia";"4.589575e-07"
"5";" 5";"100.00";"24.89";"acusar";"6.060657e-07"
"5";" 5";"100.00";"24.89";"roma";"6.060657e-07"
"5";" 5";"100.00";"24.89";"relato";"6.060657e-07"
"8";"12";" 66.67";"22.14";"local";"2.532012e-06"
"4";" 4";"100.00";"19.82";"italiano";"8.530120e-06"
"4";" 4";"100.00";"19.82";"tiro";"8.530120e-06"
"4";" 4";"100.00";"19.82";"segurança";"8.530120e-06"
"4";" 4";"100.00";"19.82";"fogo";"8.530120e-06"
"5";" 7";" 71.43";"15.12";"apartamento";"1.006823e-04"
"5";" 7";" 71.43";"15.12";"informação";"1.006823e-04"
"3";" 3";"100.00";"14.79";"budeikin";"1.203091e-04"
"3";" 3";"100.00";"14.79";"bertone";"1.203091e-04"
"3";" 3";"100.00";"14.79";"alvorada";"1.203091e-04"
"3";" 3";"100.00";"14.79";"veículo";"1.203091e-04"
"3";" 3";"100.00";"14.79";"palácio";"1.203091e-04"
"3";" 3";"100.00";"14.79";"oficial";"1.203091e-04"
"3";" 3";"100.00";"14.79";"localizar";"1.203091e-04"
"3";" 3";"100.00";"14.79";"imóvel";"1.203091e-04"
"3";" 3";"100.00";"14.79";"imprensa";"1.203091e-04"
"3";" 3";"100.00";"14.79";"deter";"1.203091e-04"
"3";" 3";"100.00";"14.79";"desviar";"1.203091e-04"
"3";" 3";"100.00";"14.79";"cabeleireiro";"1.203091e-04"
"4";" 5";" 80.00";"14.33";"igreja";"1.531048e-04"
"4";" 5";" 80.00";"14.33";"joana";"1.531048e-04"
"4";" 5";" 80.00";"14.33";"chamado";"1.531048e-04"
"5";" 8";" 62.50";"12.13";"informar";"4.951879e-04"
"4";" 6";" 66.67";"10.74";"cercar";"1.050014e-03"
"3";" 4";" 75.00";" 9.67";"santo";"1.874339e-03"
"3";" 4";" 75.00";" 9.67";"rua";"1.874339e-03"
"3";" 4";" 75.00";" 9.67";"gay";"1.874339e-03"
"4";" 7";" 57.14";" 8.22";"jovem";"4.145820e-03"
"3";" 5";" 60.00";" 6.67";"acusação";"9.803532e-03"
"2";" 3";" 66.67";" 5.29";"cometer";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"resgatar";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"presença";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"presente";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"planalto";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"novembro";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"história";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"forte";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"federal";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"fechado";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"exército";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"autoridade";"2.146198e-02"
"2";" 3";" 66.67";" 5.29";"arma";"2.146198e-02"
"3";" 6";" 50.00";" 4.73";"hospital";"2.958809e-02"
"5";"14";" 35.71";" 3.69";"jornal";"5.480749e-02"
"3";" 7";" 42.86";" 3.40";"momento";"6.507327e-02"
"3";" 7";" 42.86";" 3.40";"suicídio";"6.507327e-02"
"2";" 4";" 50.00";" 3.12";"atingir";"7.714809e-02"
"4";"11";" 36.36";" 3.06";"morte";"8.048559e-02"
"3";" 8";" 37.50";" 2.45";"acordo";"1.172698e-01"
"4";"12";" 33.33";" 2.38";"mesmo";"1.228797e-01"
"*****";"*";"*";"*";"*";"*"
"22";"73";"30.14";"13.67";"ir";"0.0002184011"
" 5";" 9";"55.56";" 9.85";"algum";"0.0017021155"
" 3";" 4";"75.00";" 9.67";"2013";"0.0018743394"
" 6";"14";"42.86";" 7.06";"ainda";"0.0079014270"
" 2";" 3";"66.67";" 5.29";"15";"0.0214619832"
" 2";" 3";"66.67";" 5.29";"4";"0.0214619832"
" 2";" 3";"66.67";" 5.29";"18";"0.0214619832"
" 4";" 9";"44.44";" 4.98";"até";"0.0256263963"
" 3";" 6";"50.00";" 4.73";"vário";"0.0295880862"
" 6";"18";"33.33";" 3.68";"haver";"0.0549073819"
" 2";" 4";"50.00";" 3.12";"dentro";"0.0771480940"
" 3";" 8";"37.50";" 2.45";"último";"0.1172697930"
"*";"*";"*";"*";"*";"*"
"8";" 8";"100.00";"40.44";"*txt_1021";"2.032568e-10"
"7";"10";" 70.00";"20.80";"*txt_1262";"5.098497e-06"
"4";" 4";"100.00";"19.82";"*txt_1078";"8.530120e-06"
"3";" 3";"100.00";"14.79";"*txt_1160";"1.203091e-04"
"2";" 2";"100.00";" 9.81";"*txt_1170";"1.735662e-03"
"3";" 4";" 75.00";" 9.67";"*txt_1056";"1.874339e-03"
"2";" 3";" 66.67";" 5.29";"*txt_1076";"2.146198e-02"
"1";" 1";"100.00";" 4.88";"*txt_1085";"2.715463e-02"
"**";"classe";"2";"**";"";""
"****";"28";"205";"13.66";"****";""
"10";"13";" 76.92";"47.11";"conseguir";"6.718666e-12"
" 7";" 7";"100.00";"45.81";"casa";"1.300048e-11"
" 4";" 4";"100.00";"25.79";"harley";"3.808701e-07"
" 4";" 4";"100.00";"25.79";"ganhar";"3.808701e-07"
" 4";" 4";"100.00";"25.79";"assunto";"3.808701e-07"
" 9";"17";" 52.94";"24.26";"ficar";"8.433536e-07"
" 5";" 7";" 71.43";"20.51";"falar";"5.931653e-06"
" 3";" 3";"100.00";"19.25";"moto";"1.149149e-05"
" 3";" 3";"100.00";"19.25";"sonho";"1.149149e-05"
" 5";" 8";" 62.50";"16.84";"trabalhar";"4.067594e-05"
" 3";" 4";" 75.00";"13.02";"voltar";"3.087175e-04"
" 4";" 7";" 57.14";"11.62";"tentar";"6.522539e-04"
" 3";" 5";" 60.00";" 9.33";"conferir";"2.250939e-03"
" 2";" 3";" 66.67";" 7.25";"postagem";"7.073826e-03"
" 2";" 3";" 66.67";" 7.25";"perceber";"7.073826e-03"
" 2";" 3";" 66.67";" 7.25";"achar";"7.073826e-03"
" 2";" 3";" 66.67";" 7.25";"população";"7.073826e-03"
" 2";" 3";" 66.67";" 7.25";"cara";"7.073826e-03"
" 3";" 6";" 50.00";" 6.92";"dinheiro";"8.514042e-03"
" 4";"11";" 36.36";" 5.08";"dia";"2.418633e-02"
" 2";" 4";" 50.00";" 4.57";"receber";"3.255999e-02"
" 2";" 4";" 50.00";" 4.57";"bom";"3.255999e-02"
" 2";" 4";" 50.00";" 4.57";"manter";"3.255999e-02"
" 2";" 4";" 50.00";" 4.57";"manhã";"3.255999e-02"
" 2";" 5";" 40.00";" 3.02";"dever";"8.247528e-02"
" 2";" 5";" 40.00";" 3.02";"governo";"8.247528e-02"
" 2";" 6";" 33.33";" 2.03";"brasileiro";"1.543378e-01"
" 2";" 6";" 33.33";" 2.03";"relatar";"1.543378e-01"
"*****";"*";"*";"*";"*";"*"
" 4";" 5";"80.00";"19.13";"pouco";"1.223207e-05"
" 5";" 8";"62.50";"16.84";"nunca";"4.067594e-05"
