de;34;25;38;32;33;28
a;24;20;33;31;28;24
o;25;20;31;27;27;17
em;26;19;25;25;24;19
que;25;18;19;24;19;22
ser;12;16;20;25;18;13
um;14;8;18;11;11;8
uma;11;7;9;14;7;8
ir;22;8;13;13;13;4
para;7;11;12;12;10;9
não;6;14;9;15;12;12
por;10;9;11;8;6;7
com;9;3;12;12;9;7
se;8;7;5;13;4;7
ter;9;8;5;13;8;4
ele;7;13;5;8;8;4
estar;7;5;5;8;8;8
fazer;0;2;6;7;4;4
sua;2;6;3;2;0;8
seu;2;4;1;6;4;4
poder;0;2;4;3;7;7
mais;2;6;5;6;4;4
durante;2;4;3;4;0;12
como;5;4;3;4;9;1
ao;3;3;7;3;3;2
todo;1;3;5;3;4;4
também;3;3;3;2;5;3
ela;1;4;1;3;1;7
haver;6;1;0;4;6;1
você;0;2;2;6;0;3
quando;0;1;3;3;3;3
outro;2;3;1;3;2;4
muito;0;4;3;0;3;2
isso;0;4;2;2;4;2
ainda;6;1;3;1;2;1
saber;2;2;0;3;2;3
eu;0;3;0;2;1;4
entre;3;2;2;4;3;0
já;1;2;2;3;1;1
até;4;1;1;0;1;2
apenas;0;1;1;1;3;4
sobre;1;2;3;1;2;1
me;0;1;0;2;0;1
algum;5;1;0;1;0;2
tudo;0;3;0;4;1;0
ver;2;2;0;1;0;3
sem;0;1;0;0;0;7
através;2;0;4;0;0;2
após;2;1;1;0;1;1
tipo;0;0;3;1;1;1
nada;1;0;0;2;3;4
último;3;0;1;1;3;0
primeiro;1;0;0;2;1;4
nunca;0;5;0;1;0;2
meu;0;0;0;1;0;4
essa;0;0;1;5;0;1
dois;1;1;1;0;0;4
contra;2;0;2;1;1;0
vário;3;0;0;0;2;1
trabalho;0;2;0;1;0;2
quem;1;2;1;2;0;0
quase;0;3;0;0;1;1
mil;0;1;3;0;1;0
esse;0;0;2;2;0;2
alguma;2;0;1;1;3;0
quanto;0;1;0;3;2;0
pouco;0;4;0;0;0;1
porque;1;1;0;2;0;1
nosso;0;2;1;2;0;0
menos;0;0;3;0;1;2
depois;2;0;1;1;0;1
dentro;2;0;0;0;0;2
agora;0;1;0;2;0;2
3;1;0;2;0;0;3
pro;0;0;0;2;0;1
principalmente;0;0;1;1;2;0
então;0;3;0;0;0;3
assim;1;1;1;0;2;0
algo;0;2;2;0;2;0
5;1;2;0;1;0;1
21;1;0;3;0;2;0
2008;2;0;1;0;0;2
20;1;0;2;0;0;0
segundo;0;0;2;2;0;1
qualquer;1;0;0;0;2;1
ontem;1;0;1;0;1;0
nenhum;0;2;2;0;1;0
minha;0;0;1;2;0;0
hoje;0;2;0;0;1;1
estado;2;0;2;1;0;0
desde;0;1;0;0;0;2
cinco;2;1;0;0;1;1
bem;0;1;0;2;0;1
além;0;1;0;0;1;1
2016;1;0;1;1;0;0
2015;0;0;1;1;2;0
2;0;0;2;1;0;0
15;2;1;0;0;0;0
tão;0;1;2;0;1;0
três;1;0;0;0;0;3
somente;0;1;2;0;0;0
sim;1;0;0;0;2;0
lá;0;1;0;1;1;0
alguém;0;0;1;1;1;0
acima;1;1;0;1;0;1
abaixo;0;0;2;1;0;0
2017;0;0;1;0;2;0
2013;3;0;0;1;0;0
17;0;1;2;0;1;0
10;0;0;1;0;3;0
000;1;0;0;0;2;0
trás;0;0;0;2;1;0
tanto;0;0;0;1;2;0
sob;1;1;1;0;0;0
sempre;0;1;2;0;0;0
povo;0;1;0;0;2;0
infelizmente;0;1;0;0;1;1
aquele;0;0;1;1;0;1
7;0;1;0;1;1;0
4;2;0;1;0;0;0
18;2;0;1;0;0;0
