"";"x"
"1";3
"2";3
"3";0
"4";0
"5";0
"6";4
"7";4
"8";0
"9";3
"10";4
"11";2
"12";2
"13";2
"14";2
"15";5
"16";2
"17";2
"18";6
"19";2
"20";6
"21";3
"22";5
"23";0
"24";5
"25";5
"26";5
"27";0
"28";5
"29";5
"30";2
"31";4
"32";2
"33";0
"34";0
"35";4
"36";0
"37";0
"38";0
"39";2
"40";4
"41";0
"42";0
"43";5
"44";2
"45";2
"46";1
"47";1
"48";1
"49";0
"50";1
"51";1
"52";1
"53";1
"54";1
"55";0
"56";0
"57";3
"58";3
"59";5
"60";5
"61";3
"62";0
"63";5
"64";0
"65";0
"66";4
"67";0
"68";4
"69";2
"70";4
"71";4
"72";3
"73";3
"74";3
"75";3
"76";3
"77";3
"78";3
"79";3
"80";0
"81";2
"82";2
"83";0
"84";5
"85";2
"86";4
"87";1
"88";1
"89";1
"90";3
"91";0
"92";0
"93";0
"94";0
"95";0
"96";4
"97";0
"98";4
"99";5
"100";4
"101";3
"102";0
"103";2
"104";1
"105";1
"106";3
"107";3
"108";3
"109";3
"110";4
"111";4
"112";4
"113";4
"114";1
"115";1
"116";1
"117";1
"118";0
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";0
"128";1
"129";0
"130";4
"131";4
"132";5
"133";6
"134";4
"135";4
"136";3
"137";3
"138";4
"139";0
"140";2
"141";0
"142";6
"143";4
"144";6
"145";0
"146";0
"147";4
"148";0
"149";2
"150";2
"151";2
"152";0
"153";6
"154";6
"155";6
"156";6
"157";6
"158";6
"159";6
"160";6
"161";3
"162";6
"163";6
"164";6
"165";6
"166";6
"167";6
"168";1
"169";5
"170";6
"171";6
"172";6
"173";5
"174";6
"175";6
"176";6
"177";6
"178";3
"179";6
"180";3
"181";2
"182";3
"183";3
"184";5
"185";6
"186";0
"187";3
"188";3
"189";3
"190";3
"191";5
"192";5
"193";5
"194";3
"195";3
"196";5
"197";0
"198";1
"199";1
"200";1
"201";0
"202";1
"203";5
"204";4
"205";3
"206";3
"207";0
"208";5
"209";0
"210";1
"211";1
"212";0
"213";0
"214";0
"215";6
"216";5
"217";4
"218";0
"219";0
"220";4
"221";0
"222";4
"223";0
"224";0
"225";4
"226";0
"227";4
"228";0
"229";6
"230";1
"231";0
"232";4
"233";0
"234";0
"235";2
"236";5
"237";5
"238";5
"239";5
"240";5
"241";5
"242";5
"243";5
"244";4
"245";1
"246";1
"247";4
"248";1
"249";1
"250";1
"251";1
"252";1
"253";5
"254";4
"255";2
"256";0
"257";0
"258";2
"259";2
"260";2
"261";2
"262";0
"263";4
"264";0
"265";4
"266";0
"267";0
"268";1
"269";4
"270";1
"271";0
"272";3
"273";3
"274";4
"275";4
"276";0
"277";0
"278";4
