"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"ano";0,115882565749123;0,329817854927276;0,198363335065356;0,288307374424243;0,82056277557902;0,493513514695042;0,106916291324011;0,710154612714674;0,182929095961288;0,000139405780607261;0,00112925729176044;0,000408476786466877;0,0103811287649868;0,224384811681305;0,000522674715416866
"dizer";0,217973800453424;-0,10474345433634;-0,0784530648180703;0,857349995514078;-0,411984375730417;-0,308577152987754;0,790525099064259;0,149677927487295;0,0597969734484157;0,000437658503864734;0,000101060295436807;5,66952411880708e-05;0,00921142411541086;0,155218599995189;0,000221929125902337
"novo";-0,40895924138643;0,6764488156622;0,663082096119861;-0,396374269019974;0,655632341082557;0,642676957876573;0,209272207128106;0,469481289548583;0,321246503323327;0,000717311345070283;0,00196253553068281;0,00188574189614652;0,00428891704844527;0,566006666563575;0,00137401267668916
"brasil";-1,02578699282799;0,0984274065768121;-0,367545673238477;-0,937577286062123;0,0899634148001868;-0,335939602693512;0,923774911581563;0,00697398128661365;0,0692511071318198;0,00584634178919388;5,38272150141255e-05;0,000750572165828105;0,00555609708548591;0,675727203989734;0,00253695423433781
"mesmo";-0,402097693141956;0,0728582249470006;-0,435722158631785;-0,673119188595695;0,121966054755588;-0,72940718356185;0,583914197556657;0,0157195442351927;0,400366258208147;0,000764363379399456;2,50953860715221e-05;0,000897544524500731;0,00472755629203626;0,333161156739928;0,000524741522904174
"dia";0,807099171476372;-0,0459063052059622;-0,121256566609864;0,987341271358291;-0,0561581418334331;-0,14833569017067;0,984414256983371;0,00261135356378999;0,0129743894528352;0,00276209130110209;8,93570672661452e-06;6,23440140512266e-05;0,00424017935471294;0,515033230779642;0,00112474670563586
"família";0,0952007804107424;-0,409653745415893;-0,0362213359937946;0,225526292946086;-0,970450979461731;-0,0858066876867048;0,0614731913235045;0,933330607265065;0,00519620141142961;4,24050153386384e-05;0,000785181516170866;6,13854066638242e-06;0,00467881859830393;0,243105579236252;0,00027651968880769
"dar";-0,182536558069287;0,952761924318437;-0,0733287286863604;-0,187629259536785;0,979343624452779;-0,0753745726977778;0,0426742260801847;0,953304473170515;0,00402130074929958;0,000139657138743214;0,00380480331713927;2,25378112274674e-05;0,0041914416609806;0,559453928184036;0,00131187386720963
"ficar";0,393120451907348;0,144868234064493;0,998875183469761;0,362931288749287;0,133743270371117;0,922167889962137;0,204867853877161;0,0228121269162165;0,772320019206618;0,000640228756465844;8,69421213316119e-05;0,00413338964484349;0,00414270396724827;0,549902921087338;0,00125272560301847
"samba";-0,148836301599032;2,15502453383354;-2,42105125684661;-0,0458712559013958;0,664177225604399;-0,746166496748864;0,00305429258753291;0,525042237172717;0,471903470239751;7,34161535144799e-05;0,015391407077535;0,0194259316114115;0,00331416317379862;1,70510390089138;0,00963552945086171
"país";-0,321249708696096;0,464923621973322;1,09983291391425;-0,259800949609181;0,375992865408866;0,889456481084824;0,104585290829217;0,179616096577487;0,715798612593294;0,000407413558939636;0,00085332254195205;0,00477533032073585;0,00394775319231894;0,628933511059464;0,00156156283594992
"vida";-0,112719757087577;0,786528260008481;0,371197052199758;-0,128529576566408;0,896844943853641;0,42326031544644;0,0211615538158146;0,844837209524578;0,134001236659604;5,26361345754946e-05;0,00256278730004471;0,000570811793681263;0,00414270396724827;0,490595505134105;0,000997082353100299
"passar";0,181907752950191;0,361136160280629;-0,131526482018021;0,427800433496764;0,849299732495253;-0,309316591025234;0,220409734793206;0,712306998972718;0,0672832662340687;0,000129020101699533;0,000508506974411681;6,74499092388603e-05;0,00389901549858661;0,245320092883618;0,000234650347879626
"querer";-0,164464600965422;0,966024778539853;1,42960553523162;-0,0948900560335017;0,557360944709738;0,824830076184318;0,0136220928757569;0,385365120310104;0,601012786814136;9,22800637464709e-05;0,00318375431780427;0,0069726113191121;0,00341163856126328;0,892170408418507;0,00271555525080588
"vez";-0,143825393761455;0,417072903031924;-0,10976584617325;-0,316360349590263;0,917399396289127;-0,241442491901222;0,121427715028127;0,837273864382334;0,041298420589539;7,76295096782875e-05;0,000652799254125533;4,52157937387646e-05;0,00375280241738961;0,261320787084956;0,000256273449640705
"grande";-0,242950622359127;0,648376888172375;-0,0265934469982839;-0,35062343797444;0,935729785034758;-0,0383793452496132;0,146048561672656;0,852929645561427;0,00102179276591633;0,000195618497588397;0,00139324963738641;2,34381405502663e-06;0,00331416317379862;0,402500728771888;0,000536917091968481
"empresa";-0,980287670447919;-0,407853570266888;0,131063189497533;-0,916322384580774;-0,38124049432956;0,12251111377976;0,867772594897221;0,123169815913617;0,00905758918915345;0,00290378023411623;0,00050264943738794;5,19060677336241e-05;0,00302173701140462;0,666266338771994;0,00134138179740713
"contar";0,180182834596457;0,184219429199577;0,180966510702042;0,572220885182448;0,585040218067811;0,574709667401013;0,408809417927951;0,350398172850257;0,240792409221782;0,000123420245778862;0,000129012099199737;0,000124496173294787;0,00380154011112194;0,178422765278457;0,000121020824994137
"filho";0,920612953036272;-0,423602066523757;0,143590502737638;0,899461158401815;-0,413869481414791;0,14029139987867;0,841886241333124;0,146154535061975;0,011959223604901;0,00313929934236576;0,0006646525985965;7,63712675801745e-05;0,00370406472365728;0,635254386185426;0,00149476841177281
"polícia";0,883074683500552;-1,23988399634935;-0,0526520737982225;0,579778746068553;-0,814040309506217;-0,03456848429131;0,381893253155979;0,617314007552817;0,000792739291204815;0,00258445369780158;0,00509490389216398;9,18765861766429e-06;0,00331416317379862;0,904739889771995;0,00271282241124065
"conseguir";-0,387868901347609;-0,0392026807824371;-0,312350375555936;-0,77644952448722;-0,0784772967010011;-0,625273899843958;0,720953888857833;0,00603901358937234;0,273007097552789;0,000469261439540231;4,79376213831263e-06;0,000304318961645179;0,00311921239886929;0,289220127273232;0,000260916758420726
"casa";0,989170108588788;-0,383507474628364;-0,0957120339394947;0,928605322305977;-0,360026125933078;-0,0898517892455778;0,885958235493269;0,109198293813724;0,00484347069300635;0,00324276782597416;0,000487440435252758;3,03603642643912e-05;0,00331416317379862;0,665367611430102;0,00146722662867402
"coisa";-0,0322130373558361;1,57567121124731;0,272350695352834;-0,0201412050758297;0,985188594519895;0,170287301599408;0,000498856458338446;0,978679187384157;0,0208219561575001;3,43904009878241e-06;0,00822820470244868;0,000245827726173298;0,00331416317379862;0,913148003552814;0,00276347942268687
"bom";-0,226933853797928;1,49273988008758;1,00112954957573;-0,125264469292015;0,823972561787536;0,55261019729487;0,0209018345488168;0,741568042415792;0,237530123035387;0,000128007002338364;0,00553864362168814;0,00249124081912072;0,00248562238034896;0,99381233497183;0,00245495715051419
"gente";-0,0064129647781572;1,42829332198792;-0,552390230418555;-0,00418763774608043;0,932669246524372;-0,360708386758288;2,22187112236621e-05;0,903717874361086;0,0962599069276888;1,18259134297066e-07;0,00586613154325381;0,000877422898579296;0,00287552393020762;0,861383839525443;0,00213358733895799
"falar";0,0707767650341903;0,854271670822808;0,108690213013501;0,0819116818487992;0,988669505862229;0,125789842812671;0,00820796170554763;0,980489211088778;0,0113028272056691;1,39162187696746e-05;0,00202736450879776;3,28186498235917e-05;0,00277804854274296;0,494618487532244;0,00067964248698192
"trabalho";-0,19820164806088;0,735563802851278;-0,351964147526717;-0,236185962509104;0,876530777937439;-0,419416244847569;0,0707478738470556;0,798981041920821;0,130271084232124;0,000107217956158824;0,00147670484704366;0,000338103646752884;0,00272931084901062;0,471789055808159;0,00060750341836923
"só";-0,181023706326603;0,357604921437774;-0,0929532394566553;-0,439965176670007;0,869133196038827;-0,225916203183974;0,229682534426837;0,73495533444005;0,0353621311331147;8,94383763585302e-05;0,000349027764443167;2,35820774260275e-05;0,00272931084901062;0,239149107210203;0,000156095552531849
"saber";0,381854486407799;0,825528003450519;0,461782003364639;0,374339808103974;0,80928208361051;0,452694397155202;0,175861516449209;0,673962207793228;0,150176275757554;0,000390862008160494;0,0018268011817163;0,000571612439064737;0,00268057315527829;0,576513906764989;0,000890937501615103
"mundo";-0,078788604112591;0,600530274297103;1,10053952758579;-0,0627199309087764;0,478054126440903;0,876088159068266;0,00615134163783121;0,293028426851423;0,700820231510742;1,81527755278602e-05;0,00105459579982655;0,00354182839978192;0,00292426162393996;0,636027332809183;0,00118295380080036
"história";-0,02363227723413;1,17836473851091;-1,26051765059291;-0,0136943914641013;0,682836776870431;-0,730442605408275;0,000270202541041081;0,550851663591453;0,448878133867506;1,27930464868538e-06;0,00318069706976297;0,00363965898871452;0,00229067160541963;0,910244693089253;0,00189792542455239
