"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"509";"1630";"31.23";"****";""
" 6";"114";" 5.26";"-38.48";"brasil";"5.544912e-10"
" 1";" 68";" 1.47";"-29.26";"samba";"6.339024e-08"
" 0";" 37";" 0.00";"-17.19";"sistema";"3.381426e-05"
" 3";" 51";" 5.88";"-15.75";"bom";"7.240000e-05"
" 0";" 33";" 0.00";"-15.29";"carne";"9.202937e-05"
" 0";" 33";" 0.00";"-15.29";"blockchain";"9.202937e-05"
"11";" 88";"12.50";"-15.19";"novo";"9.718793e-05"
" 7";" 68";"10.29";"-14.48";"coisa";"1.417646e-04"
" 4";" 52";" 7.69";"-13.85";"bbc";"1.976515e-04"
" 0";" 27";" 0.00";"-12.47";"bloco";"4.144082e-04"
" 0";" 27";" 0.00";"-12.47";"bitcoin";"4.144082e-04"
" 0";" 26";" 0.00";"-12.00";"política";"5.328934e-04"
" 0";" 25";" 0.00";"-11.53";"porcento";"6.854518e-04"
" 3";" 41";" 7.32";"-11.20";"escola";"8.198210e-04"
" 3";" 41";" 7.32";"-11.20";"criar";"8.198210e-04"
"13";" 86";"15.12";"-10.97";"dar";"9.245551e-04"
" 1";" 29";" 3.45";"-10.61";"brasileiro";"1.125444e-03"
" 0";" 23";" 0.00";"-10.59";"programa";"1.135275e-03"
" 0";" 23";" 0.00";"-10.59";"tecnologia";"1.135275e-03"
" 0";" 22";" 0.00";"-10.13";"econômico";"1.461951e-03"
" 0";" 22";" 0.00";"-10.13";"banco";"1.461951e-03"
" 8";" 62";"12.90";"-10.08";"empresa";"1.501630e-03"
"10";" 70";"14.29";" -9.77";"querer";"1.769256e-03"
" 0";" 21";" 0.00";" -9.66";"reforma";"1.883558e-03"
" 0";" 21";" 0.00";" -9.66";"produzir";"1.883558e-03"
" 2";" 32";" 6.25";" -9.48";"mudar";"2.075149e-03"
" 2";" 32";" 6.25";" -9.48";"usar";"2.075149e-03"
" 0";" 20";" 0.00";" -9.19";"produto";"2.428114e-03"
" 2";" 31";" 6.45";" -9.03";"fato";"2.652657e-03"
" 8";" 59";"13.56";" -8.90";"gente";"2.855425e-03"
" 8";" 59";"13.56";" -8.90";"achar";"2.855425e-03"
" 0";" 19";" 0.00";" -8.73";"carnaval";"3.132112e-03"
" 0";" 19";" 0.00";" -8.73";"ratton";"3.132112e-03"
" 2";" 30";" 6.67";" -8.58";"lugar";"3.390586e-03"
" 7";" 53";"13.21";" -8.28";"viver";"4.002685e-03"
" 0";" 18";" 0.00";" -8.26";"psicopata";"4.043175e-03"
" 0";" 18";" 0.00";" -8.26";"trazer";"4.043175e-03"
" 0";" 18";" 0.00";" -8.26";"novela";"4.043175e-03"
" 0";" 18";" 0.00";" -8.26";"maílson";"4.043175e-03"
" 8";" 57";"14.04";" -8.13";"público";"4.356435e-03"
" 5";" 43";"11.63";" -7.90";"forma";"4.944696e-03"
" 5";" 43";"11.63";" -7.90";"problema";"4.944696e-03"
" 1";" 23";" 4.35";" -7.85";"processo";"5.086475e-03"
" 1";" 23";" 4.35";" -7.85";"ganhar";"5.086475e-03"
" 0";" 17";" 0.00";" -7.80";"mudança";"5.223599e-03"
" 0";" 17";" 0.00";" -7.80";"internet";"5.223599e-03"
" 0";" 17";" 0.00";" -7.80";"construir";"5.223599e-03"
" 0";" 17";" 0.00";" -7.80";"compromisso";"5.223599e-03"
" 0";" 17";" 0.00";" -7.80";"município";"5.223599e-03"
"14";" 81";"17.28";" -7.72";"país";"5.473571e-03"
" 2";" 28";" 7.14";" -7.69";"ideia";"5.538027e-03"
" 1";" 22";" 4.55";" -7.39";"verdade";"6.549237e-03"
" 0";" 16";" 0.00";" -7.34";"jornalismo";"6.755093e-03"
" 0";" 16";" 0.00";" -7.34";"mineiro";"6.755093e-03"
" 0";" 16";" 0.00";" -7.34";"transação";"6.755093e-03"
" 2";" 27";" 7.41";" -7.25";"permitir";"7.076922e-03"
" 1";" 21";" 4.76";" -6.94";"milhão";"8.437204e-03"
" 1";" 21";" 4.76";" -6.94";"dado";"8.437204e-03"
" 6";" 45";"13.33";" -6.90";"maior";"8.621723e-03"
" 0";" 15";" 0.00";" -6.87";"futebol";"8.745173e-03"
" 0";" 15";" 0.00";" -6.87";"cultura";"8.745173e-03"
" 0";" 15";" 0.00";" -6.87";"crescimento";"8.745173e-03"
" 3";" 31";" 9.68";" -6.83";"maneira";"8.947415e-03"
" 4";" 35";"11.43";" -6.53";"exemplo";"1.061643e-02"
"16";" 85";"18.82";" -6.42";"vida";"1.125786e-02"
" 3";" 30";"10.00";" -6.41";"importante";"1.133289e-02"
" 3";" 30";"10.00";" -6.41";"mercado";"1.133289e-02"
" 0";" 14";" 0.00";" -6.41";"servidor";"1.133583e-02"
" 0";" 14";" 0.00";" -6.41";"prefeito";"1.133583e-02"
" 0";" 14";" 0.00";" -6.41";"futuro";"1.133583e-02"
" 0";" 14";" 0.00";" -6.41";"governador";"1.133583e-02"
" 0";" 14";" 0.00";" -6.41";"dan";"1.133583e-02"
" 0";" 14";" 0.00";" -6.41";"correto";"1.133583e-02"
" 6";" 43";"13.95";" -6.14";"social";"1.324497e-02"
"12";" 68";"17.65";" -6.09";"grande";"1.356845e-02"
" 1";" 19";" 5.26";" -6.03";"preciso";"1.402960e-02"
" 0";" 13";" 0.00";" -5.95";"previdência";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"padrão";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"espécie";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"depender";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"determinado";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"stulbach";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"lançar";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"habitante";"1.471544e-02"
" 0";" 13";" 0.00";" -5.95";"broadcast";"1.471544e-02"
" 4";" 33";"12.12";" -5.73";"longo";"1.672471e-02"
" 4";" 33";"12.12";" -5.73";"pequeno";"1.672471e-02"
" 1";" 18";" 5.56";" -5.59";"música";"1.811173e-02"
" 1";" 18";" 5.56";" -5.59";"personagem";"1.811173e-02"
" 1";" 18";" 5.56";" -5.59";"dinheiro";"1.811173e-02"
" 0";" 12";" 0.00";" -5.49";"solução";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"proposta";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"criatividade";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"ator";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"up";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"stand";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"rádio";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"regra";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"investimento";"1.913520e-02"
" 0";" 12";" 0.00";" -5.49";"gerar";"1.913520e-02"
" 7";" 45";"15.56";" -5.29";"vir";"2.142052e-02"
" 3";" 27";"11.11";" -5.17";"relação";"2.293972e-02"
" 3";" 27";"11.11";" -5.17";"único";"2.293972e-02"
" 5";" 36";"13.89";" -5.15";"diferente";"2.320677e-02"
" 2";" 22";" 9.09";" -5.09";"mínimo";"2.408699e-02"
" 0";" 11";" 0.00";" -5.03";"carreira";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"italiano";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"euro";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"aprender";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"razão";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"fóssil";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"estudo";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"energia";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"prioridade";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"geração";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"financeiro";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"economia";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"característica";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"bitcoins";"2.493229e-02"
" 0";" 11";" 0.00";" -5.03";"aluguel";"2.493229e-02"
"10";" 56";"17.86";" -4.83";"trabalho";"2.801760e-02"
" 1";" 16";" 6.25";" -4.69";"estudar";"3.026942e-02"
" 1";" 16";" 6.25";" -4.69";"capacidade";"3.026942e-02"
" 1";" 16";" 6.25";" -4.69";"sociedade";"3.026942e-02"
" 2";" 21";" 9.52";" -4.67";"nacional";"3.076457e-02"
" 2";" 21";" 9.52";" -4.67";"difícil";"3.076457e-02"
" 2";" 21";" 9.52";" -4.67";"certo";"3.076457e-02"
" 7";" 43";"16.28";" -4.60";"melhor";"3.206392e-02"
" 0";" 10";" 0.00";" -4.57";"aberto";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"teatro";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"qualidade";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"papelão";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"gosto";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"quantidade";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"mudo";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"crescer";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"século";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"processamento";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"lacovara";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"fácil";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"fator";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"enigma";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"significativo";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"reduzir";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"livros_razões";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"felício";"3.256284e-02"
" 0";" 10";" 0.00";" -4.57";"digno";"3.256284e-02"
" 8";" 47";"17.02";" -4.55";"história";"3.296483e-02"
"21";" 97";"21.65";" -4.41";"mesmo";"3.582770e-02"
" 3";" 25";"12.00";" -4.37";"pensar";"3.656712e-02"
" 2";" 20";"10.00";" -4.25";"vender";"3.928843e-02"
" 2";" 20";"10.00";" -4.25";"entrevista";"3.928843e-02"
" 2";" 20";"10.00";" -4.25";"colocar";"3.928843e-02"
" 1";" 15";" 6.67";" -4.25";"comprar";"3.919663e-02"
" 1";" 15";" 6.67";" -4.25";"taxa";"3.919663e-02"
" 0";"  9";" 0.00";" -4.11";"moderno";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"função";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"sucesso";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"período";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"pernambuco";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"compra";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"contexto";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"ácido";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"sambalanço";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"putin";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"preço";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"pedreira";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"livro_razão";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"distribuir";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"mineração";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"mensal";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"instituição";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"império";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"fama";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"eliminar";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"capaz";"4.265006e-02"
" 0";"  9";" 0.00";" -4.11";"camada";"4.265006e-02"
" 2";" 19";"10.53";" -3.84";"ambiente";"5.016622e-02"
" 2";" 19";"10.53";" -3.84";"show";"5.016622e-02"
" 1";" 14";" 7.14";" -3.81";"dificuldade";"5.082392e-02"
" 1";" 14";" 7.14";" -3.81";"alimento";"5.082392e-02"
" 0";"  8";" 0.00";" -3.65";"conteúdo";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"prêmio";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"russo";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"crédito";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"texto";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"referência";"5.605618e-02"
" 0";"  8";" 0.00";" -3.65";"preconceito";"5.605618e-02"
