"";"classe 1";"classe 2";"classe 3";"classe 4"
"ano";-0,007;-0,137;6,665;-3,277
"dizer";7,117;-0,94;-1,76;-0,509
"novo";-15,191;-0,353;18,521;0,633
"brasil";-38,475;3,175;-2,633;37,6
"mesmo";-4,405;2,363;-2,865;4,962
"dia";22,239;-0,292;-0,471;-13,94
"família";4,195;-3,165;-3,682;1,32
"dar";-10,973;7,817;7,614;-2,22
"ficar";3,214;-13,944;13,558;-2,794
"samba";-29,257;172,54;-0,813;-29,27
"país";-7,716;-7,525;23,626;1,187
"vida";-6,424;0,446;13,558;-1,396
"passar";0,063;0,96;0,304;-2,573
"querer";-9,775;-5,082;50,512;-0,855
"vez";-2,319;1,384;0,534;-0,016
"grande";-6,093;2,285;2,657;-0,055
"empresa";-10,077;-2,374;-1,51;32,098
"contar";0,438;-0,371;0,935;-0,93
"filho";34,792;-6,388;-1,017;-8,365
"polícia";55,089;-15,957;-16,532;-0,256
"conseguir";-1,882;0,31;-1,778;4,204
"casa";33,853;-2,395;-2,355;-10,437
"coisa";-14,479;9,247;29,455;-12,271
"bom";-15,747;0,262;39,819;-3,4
"gente";-8,898;23,493;5,387;-10,726
"falar";-1,95;1,97;6,2;-3,883
"trabalho";-4,827;6,211;0,706;-0,495
"só";-1,734;0,661;0,243;0,037
"saber";-0,003;0,045;11,333;-9,213
"mundo";-2,651;-4,328;21,076;-0,194
"história";-4,548;31,201;-0,111;-6,324
"chegar";3,778;-1,04;-0,131;-0,579
"levar";0,544;2,205;1,41;-9,588
"encontrar";5,906;-0,547;-1,283;-0,71
"acontecer";-0,015;-0,518;8,991;-3,301
"achar";-8,898;23,493;3,929;-8,901
"momento";-0,118;4,521;-1,83;-0,144
"deixar";12,951;-2,897;-0,003;-4,446
"público";-8,129;-6,718;-7,163;56,528
"afirmar";8,109;-5,756;-8,174;2,877
"precisar";0,042;-4,142;-0,418;4,666
"local";19,622;-4,593;-2,32;-1,676
"mulher";22,745;0,892;-5,597;-13,432
"começar";1,565;-1,55;9,238;-7,743
"cidade";-0,414;-8,04;13,815;0
"viver";-8,283;0;6,209;0,6
"projeto";-0,098;-6,275;0,121;5,062
"meio";-0,309;-4,438;7,596;0,005
"paulo";-0,311;-0,459;4,527;-0,436
"possível";-0,06;-1,366;0,072;1,122
"melhor";-4,595;-3,483;25,836;-0,28
"vir";-5,292;1,904;10,766;-2,922
"forma";-7,9;5,437;-1,522;3,423
"escola";-11,196;36,762;0,01;-4,317
"mostrar";-1,527;7,717;-0,502;-0,366
"grupo";0,724;4,111;-3,214;-1,275
"existir";-0,448;6,248;-0,934;-0,507
"bbc";-13,853;4,73;-3,019;11,238
"voltar";1,377;-1,681;7,796;-5,978
"caso";7,768;-4,142;-0,07;-0,641
"próprio";-0,665;0,054;-0,602;1,671
"jornal";0,025;3,248;-0,88;-0,919
"governo";-3,585;-8,218;-7,001;45,712
"sair";20,109;-2,644;-0,321;-6,937
"rede";-0,004;0,141;-0,962;0,33
"pai";32,397;-4,142;-0,418;-11,778
"maior";-6,9;0,068;-0,038;6,827
"último";-0,915;-0,035;-0,498;3,058
"problema";-7,9;-0,115;-0,704;15,128
"rio";-0,003;-1,345;9,45;-2,44
"violência";-1,031;2,821;-9,065;4,541
"social";-6,136;33,251;-5,847;-0,28
"globo";-3,38;25,28;-1,073;-2,933
"receber";3,622;-10,688;0,997;0,013
"g1";-0,094;-5,635;49,738;-13,286
"exemplo";-6,528;2,522;3,666;-0,211
"criar";-11,196;-0,936;8,588;3,058
"trabalhar";0,002;4,346;-0,245;-2,187
"policial";43,332;-7,991;-9,309;-2,448
"brasileiro";-10,609;0;16,63;-0,037
"acabar";-0,311;3,191;0,728;-3,088
"vítima";63,708;-5,888;-6,954;-13,714
"entrar";7,483;-4,106;-3,272;0,33
"diferente";-5,153;3,597;0,007;0,304
"carne";-15,294;-6,394;-5,532;68,275
"arte";-2,277;4,729;0,004;-0,205
"sistema";-17,19;-7,456;-6,478;78,305
"região";8,856;-4,881;-1,301;-0,007
"mês";4,053;-4,633;-2,299;1,37
"seguir";16,306;-2,33;0,28;-10,314
"longo";-5,725;0,261;-0,011;4,303
"rua";5,015;4,766;-0,617;-12,606
"jovem";25,051;-6,659;-0,398;-5,107
"criança";14,606;-0,936;-1,232;-4,317
"questão";-3,354;42,686;-3,193;-5,827
"mudar";-9,482;0,372;16,674;-0,848
"usar";-9,482;0,029;0;9,035
"santo";14,181;-3,538;1,021;-9,199
"morrer";42,264;-9,05;-3,837;-5,107
"direito";-0,048;0;-5,675;5,096
"crime";21,642;-2,443;-6,716;-1,25
"segurança";-0,506;-3,195;-8,333;23,063
"ponto";-2,074;8,71;-0,158;-0,67
"política";-11,997;7,539;-3,905;7,761
"pequeno";-5,725;-0,627;0,118;8,111
"importante";-6,412;12,59;-1,578;0,252
"ideia";-7,695;0,325;7,729;-0,005
"ocorrer";7,883;-0,212;-2,774;-1,035
"morto";48,13;-6,13;-7,605;-6,207
"maneira";-6,833;14,798;0,004;-0,67
"lugar";-8,584;4,766;0,024;0,824
"filme";-0,617;0,831;14,033;-10,473
"bloco";-12,466;-1,531;-6,396;47,308
"blockchain";-15,294;-6,394;-7,847;74,817
"nacional";-4,666;6,383;-2,773;1,919
"movimento";-0,003;7,539;-0,213;-3,987
"lado";0,063;6,96;-1,578;-2,323
"homem";23,322;0;-4,597;-9,472
"área";-2,074;-5,867;-0,158;15,738
"relação";-5,173;16,272;-4,135;0,227
"rcifrão";-0,617;-4,305;-5,915;22,493
"cercar";3,392;-5,604;-2,982;2,952
"ataque";56,396;-7,425;-6,637;-9,053
"apresentar";0,031;-0,498;4,4;-1,844
"único";-5,173;-1,531;-1,086;18,639
"situação";-0,001;0,216;-1,409;0,398
"próximo";-0,545;-0,53;7,97;-1,061
"porcento";-11,528;-2,487;-1,967;36,875
"passado";-0,589;1,105;1,814;-1,725
"conhecer";-1,188;-1,407;5,885;0,006
"cinema";-0,023;0,267;0,429;-0,757
"time";-2,277;-0,001;12,219;-2,069
"morte";3,392;-0,299;-1,578;-0,095
"mercado";-6,412;4,766;-2,982;4,509
"tornar";-3,088;0,629;4,26;-0,48
"nome";0,91;-0,338;1,373;-2,141
"nada";0,862;-1,723;0,693;-0,243
"livro";0,498;1,778;0,937;-7,508
"investigação";3,772;-2,292;-1,898;0,308
"fato";-9,032;0,507;0,985;2,478
"entender";0,141;1,642;0,002;-2,44
"sofrer";1,929;1,986;-0,788;-3,634
"partir";0,004;0,057;1,021;-1,31
"ouvir";-0,003;3,131;0,301;-3,987
"civil";39,208;-6,08;-5,435;-4,745
"centro";3,997;-0,993;0,06;-1,851
"viagem";0,446;-6,349;24,721;-7,385
"tomar";6,95;2,831;-5,435;-4,745
"programa";-10,593;-0,828;3,842;5,954
"político";-2,405;2,38;-1,773;1,83
"permitir";-7,253;-7,156;-0,003;26,738
"noite";23,47;-7,156;-0,298;-4,346
"menina";52,638;-5,342;-4,597;-12,179
"futebol";-6,874;6,236;11,716;-6,245
"escrever";-0,046;0,005;5,29;-3,324
"bitcoin";-12,466;-7,156;-6,396;66,561
"bairro";14,181;-0,085;-1,399;-6,558
"avenida";-0,44;21,063;-0,079;-10,047
"acreditar";-0,048;-0,239;-3,448;5,096
"acordo";6,623;-5,082;-0,395;-0,005
"vídeo";7,07;-1,123;0,294;-4,986
"terrorista";58,189;-6,886;-6,156;-10,898
"serviço";2,993;-6,08;-5,435;5,954
"processo";-7,848;7,397;0,123;0,017
