"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;2;2;2
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;2;2;2
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;0
"13";0;0;0;0;0;0;0;0;0
"14";0;0;4;4;4;4;4;4;4
"15";0;0;0;0;0;0;2;2;2
"16";0;0;4;4;4;4;4;4;4
"17";0;0;0;0;0;0;2;2;2
"18";0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;0;2;2;2
"20";0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;0
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0
"27";0;0;0;0;0;0;0;0;0
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;0;0;0;0;0
"30";0;0;0;0;0;0;0;0;0
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;0
"33";0;0;0;0;0;0;2;2;2
"34";0;0;0;0;0;0;0;0;0
"35";0;0;0;0;0;0;0;0;0
"36";0;0;0;0;0;0;0;0;0
"37";0;0;0;0;0;0;0;0;0
"38";0;0;4;4;4;4;4;4;4
"39";0;0;4;4;4;4;4;4;4
"40";0;0;4;4;4;4;4;4;4
"41";0;0;4;4;4;4;4;4;4
"42";0;0;4;4;4;4;4;4;4
"43";0;0;4;4;4;4;4;4;4
"44";0;0;4;4;4;4;4;4;4
"45";0;0;4;4;4;4;4;4;4
"46";0;0;4;4;4;4;4;4;4
"47";0;0;4;4;4;4;4;4;4
"48";0;0;4;4;4;4;4;4;4
"49";0;0;4;4;4;4;4;4;4
"50";0;0;4;4;4;4;4;4;4
"51";0;0;4;4;4;4;4;4;4
"52";0;0;0;0;0;0;0;0;0
"53";0;0;0;0;0;0;2;2;2
"54";0;0;0;0;0;0;2;2;2
"55";0;0;0;0;0;0;2;2;2
