"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"509";"1630";"31.23";"****";""
"35";" 39";" 89.74";"63.71";"vítima";"1.443191e-15"
"26";" 26";"100.00";"58.19";"terrorista";"2.380496e-14"
"27";" 28";" 96.43";"56.40";"ataque";"5.923966e-14"
"49";" 68";" 72.06";"55.09";"polícia";"1.151931e-13"
"27";" 29";" 93.10";"52.64";"menina";"4.011146e-13"
"28";" 32";" 87.50";"48.13";"morto";"3.989446e-12"
"24";" 26";" 92.31";"45.90";"preso";"1.244211e-11"
"31";" 39";" 79.49";"43.33";"policial";"4.618937e-11"
"21";" 22";" 95.45";"42.84";"atentado";"5.949693e-11"
"28";" 34";" 82.35";"42.26";"morrer";"7.975666e-11"
"18";" 18";"100.00";"40.09";"isabella";"2.431373e-10"
"21";" 23";" 91.30";"39.21";"civil";"3.810063e-10"
"47";" 76";" 61.84";"34.79";"filho";"3.669641e-09"
"43";" 68";" 63.24";"33.85";"casa";"5.944841e-09"
"32";" 46";" 69.57";"32.40";"pai";"1.256743e-08"
"16";" 17";" 94.12";"31.64";"londres";"1.856393e-08"
"15";" 16";" 93.75";"29.41";"prisão";"5.849167e-08"
"15";" 16";" 93.75";"29.41";"março";"5.849167e-08"
"15";" 16";" 93.75";"29.41";"avô";"5.849167e-08"
"19";" 23";" 82.61";"28.68";"matar";"8.541243e-08"
"12";" 12";"100.00";"26.62";"bruno";"2.471163e-07"
"18";" 22";" 81.82";"26.58";"justiça";"2.530815e-07"
"19";" 24";" 79.17";"26.07";"casal";"3.297294e-07"
"24";" 34";" 70.59";"25.05";"jovem";"5.583721e-07"
"11";" 11";"100.00";"24.39";"tso";"7.865431e-07"
"11";" 11";"100.00";"24.39";"london";"7.865431e-07"
"20";" 27";" 74.07";"23.47";"noite";"1.268803e-06"
"21";" 29";" 72.41";"23.32";"homem";"1.370376e-06"
"31";" 50";" 62.00";"22.75";"mulher";"1.849534e-06"
"47";" 87";" 54.02";"22.24";"dia";"2.407688e-06"
"10";" 10";"100.00";"22.16";"alexandre";"2.509082e-06"
"10";" 10";"100.00";"22.16";"testemunha";"2.509082e-06"
"10";" 10";"100.00";"22.16";"altitude";"2.509082e-06"
"10";" 10";"100.00";"22.16";"leh";"2.509082e-06"
"10";" 10";"100.00";"22.16";"ferido";"2.509082e-06"
"10";" 10";"100.00";"22.16";"delegacia";"2.509082e-06"
"25";" 38";" 65.79";"21.64";"crime";"3.286429e-06"
"11";" 12";" 91.67";"20.56";"bridge";"5.770078e-06"
"15";" 19";" 78.95";"20.38";"antonio";"6.333283e-06"
"25";" 39";" 64.10";"20.11";"sair";"7.316942e-06"
" 9";"  9";"100.00";"19.93";"ato";"8.027661e-06"
" 9";"  9";"100.00";"19.93";"reintegração";"8.027661e-06"
" 9";"  9";"100.00";"19.93";"incidente";"8.027661e-06"
" 9";"  9";"100.00";"19.93";"hospital";"8.027661e-06"
"17";" 23";" 73.91";"19.79";"quarto";"8.627411e-06"
"29";" 48";" 60.42";"19.62";"local";"9.439997e-06"
"13";" 16";" 81.25";"18.83";"médico";"1.430800e-05"
"10";" 11";" 90.91";"18.37";"lincoln";"1.820439e-05"
" 8";"  8";"100.00";"17.71";"manhattan";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"van";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"king";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"reino";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"ponte";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"jatobá";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"gritar";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"suspeita";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"ferida";"2.578447e-05"
" 8";"  8";"100.00";"17.71";"débora";"2.578447e-05"
"11";" 13";" 84.62";"17.39";"militar";"3.039951e-05"
"11";" 13";" 84.62";"17.39";"relatar";"3.039951e-05"
"11";" 13";" 84.62";"17.39";"conselho";"3.039951e-05"
"12";" 15";" 80.00";"16.77";"alegar";"4.220878e-05"
"20";" 31";" 64.52";"16.31";"seguir";"5.388211e-05"
" 9";" 10";" 90.00";"16.18";"oficial";"5.748394e-05"
" 9";" 10";" 90.00";"16.18";"marido";"5.748394e-05"
" 9";" 10";" 90.00";"16.18";"sábado";"5.748394e-05"
" 9";" 10";" 90.00";"16.18";"atacar";"5.748394e-05"
" 9";" 10";" 90.00";"16.18";"reginaldo";"5.748394e-05"
" 7";"  7";"100.00";"15.48";"warmbier";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"interior";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"amar";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"tutelar";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"tio";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"modesto";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"madrugada";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"favela";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"bruxelas";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"borges";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"aeroporto";"8.325088e-05"
" 7";"  7";"100.00";"15.48";"abrigo";"8.325088e-05"
"10";" 12";" 83.33";"15.28";"negro";"9.252037e-05"
"10";" 12";" 83.33";"15.28";"estudante";"9.252037e-05"
"11";" 14";" 78.57";"14.74";"moto";"1.234748e-04"
"24";" 41";" 58.54";"14.61";"criança";"1.324956e-04"
"12";" 16";" 75.00";"14.42";"medo";"1.464903e-04"
"15";" 22";" 68.18";"14.18";"santo";"1.660056e-04"
"15";" 22";" 68.18";"14.18";"bairro";"1.660056e-04"
"14";" 20";" 70.00";"14.17";"volta";"1.666285e-04"
" 8";"  9";" 88.89";"14.01";"enfrentar";"1.817206e-04"
" 8";"  9";" 88.89";"14.01";"comunicado";"1.817206e-04"
" 8";"  9";" 88.89";"14.01";"psicológico";"1.817206e-04"
" 8";"  9";" 88.89";"14.01";"montanha";"1.817206e-04"
" 8";"  9";" 88.89";"14.01";"manhã";"1.817206e-04"
" 8";"  9";" 88.89";"14.01";"posse";"1.817206e-04"
" 6";"  6";"100.00";"13.26";"passagem";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"direção";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"acre";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"ônibus";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"triste";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"tiro";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"pescoço";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"itapetininga";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"islâmico";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"esfaquear";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"domingo";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"declarar";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"perguntar";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"pedestre";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"indiano";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"faca";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"espancar";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"determinar";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"atropelar";"2.707010e-04"
" 6";"  6";"100.00";"13.26";"atendente";"2.707010e-04"
" 9";" 11";" 81.82";"13.20";"informar";"2.801259e-04"
" 9";" 11";" 81.82";"13.20";"silva";"2.801259e-04"
"31";" 59";" 52.54";"12.95";"deixar";"3.197605e-04"
"10";" 13";" 76.92";"12.74";"alexandra";"3.575739e-04"
"10";" 13";" 76.92";"12.74";"carro";"3.575739e-04"
"11";" 15";" 73.33";"12.50";"estrada";"4.073088e-04"
"12";" 17";" 70.59";"12.39";"velho";"4.308469e-04"
"12";" 17";" 70.59";"12.39";"tarde";"4.308469e-04"
"13";" 19";" 68.42";"12.38";"norte";"4.331364e-04"
" 7";"  8";" 87.50";"11.85";"irmão";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"david";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"dano";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"supermercado";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"burger";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"suspeito";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"descartar";"5.752593e-04"
" 7";"  8";" 87.50";"11.85";"china";"5.752593e-04"
" 8";" 10";" 80.00";"11.15";"otto";"8.425453e-04"
" 8";" 10";" 80.00";"11.15";"metrô";"8.425453e-04"
" 8";" 10";" 80.00";"11.15";"localizar";"8.425453e-04"
" 8";" 10";" 80.00";"11.15";"grave";"8.425453e-04"
" 8";" 10";" 80.00";"11.15";"esposo";"8.425453e-04"
" 5";"  5";"100.00";"11.05";"willie";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"pertencer";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"parede";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"depoimento";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"apurar";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"túnel";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"sobreiro";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"pós_traumático";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"pm";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"pangong";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"nora";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"madrasta";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"le";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"ladakh";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"judicial";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"himalaia";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"facada";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"estresse";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"emanuelly";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"duração";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"desaparecimento";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"depressão";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"cama";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"borough";"8.889456e-04"
" 5";"  5";"100.00";"11.05";"banho";"8.889456e-04"
" 9";" 12";" 75.00";"10.79";"correr";"1.022782e-03"
" 9";" 12";" 75.00";"10.79";"regime";"1.022782e-03"
" 9";" 12";" 75.00";"10.79";"condenar";"1.022782e-03"
"15";" 25";" 60.00";" 9.79";"mãe";"1.756955e-03"
" 6";"  7";" 85.71";" 9.72";"market";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"racial";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"lamentar";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"greve";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"estação";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"defesa";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"ocorrência";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"cadeia";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"belga";"1.823998e-03"
" 6";"  7";" 85.71";" 9.72";"agredir";"1.823998e-03"
" 7";"  9";" 77.78";" 9.13";"advogado";"2.512145e-03"
" 7";"  9";" 77.78";" 9.13";"nardoni";"2.512145e-03"
" 7";"  9";" 77.78";" 9.13";"menino";"2.512145e-03"
" 7";"  9";" 77.78";" 9.13";"diário";"2.512145e-03"
" 7";"  9";" 77.78";" 9.13";"retirar";"2.512145e-03"
" 7";"  9";" 77.78";" 9.13";"alegre";"2.512145e-03"
"11";" 17";" 64.71";" 8.97";"minuto";"2.750585e-03"
" 8";" 11";" 72.73";" 8.88";"luta";"2.880717e-03"
" 8";" 11";" 72.73";" 8.88";"lago";"2.880717e-03"
"19";" 35";" 54.29";" 8.86";"região";"2.921937e-03"
"10";" 15";" 66.67";" 8.85";"cabeça";"2.924537e-03"
" 4";"  4";"100.00";" 8.83";"org";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"brasília";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"reserva";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"acesso";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"primo";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"indenização";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"forçar";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"retornar";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"ferimento";"2.961396e-03"
" 4";"  4";"100.00";" 8.83";"conselheiro";"2.961396e-03"
