de;484;314;282;463
a;410;254;231;386
o;389;245;210;366
em;377;233;206;340
que;314;229;197;326
ser;211;210;174;288
para;180;94;133;201
um;171;127;118;174
por;195;89;97;159
com;159;111;92;149
não;129;108;88;143
uma;140;105;103;151
ir;181;77;90;88
ter;121;95;99;97
se;104;77;63;88
estar;97;76;78;52
como;46;69;45;93
mais;71;50;54;74
ele;82;58;54;40
_;43;49;35;66
fazer;61;49;80;66
ao;78;43;33;50
poder;35;50;43;71
sua;49;40;35;34
eu;34;49;64;13
outro;43;40;25;56
isso;29;46;38;49
seu;44;23;34;34
todo;36;26;30;45
ela;63;25;25;28
haver;41;26;28;56
pessoa;64;32;36;21
muito;23;36;41;30
também;45;24;23;39
já;37;22;27;24
esse;8;50;20;37
você;14;37;45;11
sobre;25;27;20;21
quando;38;22;22;20
ver;32;29;21;12
até;31;15;18;26
essa;15;38;11;26
ainda;40;9;16;18
segundo;44;5;10;24
dois;24;11;18;22
primeiro;14;21;21;13
estado;23;13;3;34
entre;25;8;12;16
porque;14;16;27;18
tudo;11;24;14;10
algum;17;15;17;20
sem;16;10;11;33
bem;13;15;22;14
me;17;11;34;3
tempo;10;13;14;20
minha;17;17;23;4
hoje;9;13;12;29
meu;16;14;25;5
sempre;17;11;18;13
depois;26;15;12;7
parte;17;9;8;21
além;16;9;6;19
quem;8;10;15;16
dever;10;6;4;32
qual;5;15;11;19
então;12;10;8;15
nunca;16;12;10;8
assim;9;9;10;16
contra;8;12;4;12
muita;10;13;14;9
tentar;14;12;6;5
nosso;11;12;3;9
após;31;1;3;3
três;22;5;6;7
apenas;15;2;7;15
pouco;7;6;17;8
antes;17;7;8;8
tipo;8;13;6;12
desde;16;3;9;8
menos;13;6;8;11
qualquer;8;4;5;14
aí;6;13;10;8
cada;8;8;5;10
nós;9;7;5;10
nossa;12;12;4;6
durante;21;2;1;8
algo;6;11;9;7
lá;8;9;12;8
este;5;2;0;18
tanto;7;6;9;5
quase;6;5;2;19
mil;6;3;2;19
hora;15;3;7;5
1;8;2;6;12
alguma;6;12;5;8
20;15;6;3;6
quanto;3;6;5;8
5;11;3;2;10
sim;3;7;3;6
dez;5;1;6;2
vário;8;3;6;9
aqui;4;4;10;5
aquele;3;8;9;1
nenhum;12;3;0;6
agora;2;6;4;8
tão;4;6;4;6
dentro;6;4;4;5
ali;4;6;5;4
3;13;2;4;5
10;9;5;2;6
quatro;4;1;5;4
maioria;3;7;4;4
fim;4;3;4;9
30;8;6;2;2
pro;5;4;5;6
atrás;2;5;7;5
2017;13;1;0;3
aquela;6;1;4;2
15;14;2;0;2
talvez;1;5;5;2
mim;3;5;5;0
logo;10;3;1;1
2;6;2;2;10
2016;6;0;2;6
2015;7;1;5;4
sob;4;2;3;1
si;2;2;2;10
perto;8;1;4;3
cinco;9;0;2;3
através;5;3;4;3
aquilo;3;5;5;3
abaixo;4;2;0;6
ninguém;2;3;7;3
entanto;6;4;3;3
diante;6;2;0;3
22;8;0;2;2
2012;5;2;1;4
12;10;2;1;1
mal;2;4;2;4
50;4;4;1;1
inclusive;2;2;2;4
11;6;1;3;2
embora;2;4;3;2
7;5;2;2;3
14;10;0;0;3
principalmente;3;2;2;4
4;4;1;1;3
tal;1;1;2;6
esta;2;2;1;4
apesar;2;2;3;5
8;2;1;4;2
24;8;0;2;2
23;3;0;1;4
21;3;0;1;3
100;2;2;1;5
sete;5;0;1;4
seis;1;0;2;5
realmente;2;1;5;2
oito;5;1;1;2
extremamente;6;1;0;2
alguém;1;2;5;3
80;5;2;1;2
200;2;0;1;6
19;5;3;1;0
16;6;0;1;4
somente;1;2;1;4
quê;2;1;1;3
lhe;1;1;3;3
6;4;3;0;1
40;3;0;1;4
trás;4;1;1;3
te;0;4;4;0
politicamente;0;8;0;1
corrente;0;2;0;6
comigo;3;0;5;0
