"";"x"
"1";0
"2";0
"3";0
"4";0
"5";0
"6";2
"7";0
"8";2
"9";0
"10";0
"11";0
"12";0
"13";0
"14";4
"15";2
"16";4
"17";2
"18";0
"19";2
"20";0
"21";0
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";2
"34";0
"35";0
"36";0
"37";0
"38";4
"39";4
"40";4
"41";4
"42";4
"43";4
"44";4
"45";4
"46";4
"47";4
"48";4
"49";4
"50";4
"51";4
"52";0
"53";2
"54";2
"55";2
"56";0
"57";2
"58";2
"59";3
"60";3
"61";4
"62";0
"63";2
"64";3
"65";4
"66";2
"67";0
"68";2
"69";2
"70";1
"71";4
"72";0
"73";2
"74";0
"75";0
"76";0
"77";2
"78";0
"79";0
"80";0
"81";2
"82";0
"83";0
"84";3
"85";0
"86";0
"87";0
"88";0
"89";3
"90";1
"91";0
"92";3
"93";3
"94";3
"95";0
"96";1
"97";0
"98";4
"99";1
"100";4
"101";4
"102";2
"103";0
"104";2
"105";3
"106";0
"107";0
"108";0
"109";1
"110";1
"111";4
"112";0
"113";1
"114";2
"115";1
"116";1
"117";1
"118";0
"119";1
"120";1
"121";2
"122";1
"123";1
"124";0
"125";2
"126";2
"127";1
"128";0
"129";2
"130";1
"131";2
"132";3
"133";2
"134";0
"135";0
"136";1
"137";1
"138";1
"139";1
"140";1
"141";1
"142";0
"143";1
"144";1
"145";1
"146";1
"147";1
"148";0
"149";2
"150";2
"151";2
"152";2
"153";2
"154";2
"155";2
"156";2
"157";2
"158";1
"159";2
"160";3
"161";2
"162";2
"163";3
"164";3
"165";3
"166";2
"167";3
"168";2
"169";2
"170";2
"171";2
"172";2
"173";3
"174";2
"175";2
"176";2
"177";2
"178";2
"179";2
"180";2
"181";2
"182";2
"183";2
"184";3
"185";2
"186";2
"187";3
"188";2
"189";2
"190";2
"191";2
"192";2
"193";2
"194";2
"195";2
"196";2
"197";2
"198";2
"199";3
"200";3
"201";3
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";3
"213";0
"214";2
"215";3
"216";2
"217";3
"218";2
"219";3
"220";2
"221";0
"222";2
"223";0
"224";3
