"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;0
"2";2;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;0;0;0
"4";4;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;3;3;3;3
"6";6;0;0;0;0;0;3;3;3;3
"7";7;0;0;0;0;0;3;3;3;3
"8";8;0;0;0;0;0;0;0;0;1
"9";9;0;0;0;0;0;3;3;3;3
"10";10;0;0;0;0;0;0;0;0;0
"11";11;0;0;0;0;0;0;0;2;2
"12";12;0;0;0;0;0;0;0;0;1
"13";13;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;3;3;3;3
"16";16;0;0;0;0;0;0;0;0;1
"17";17;0;0;0;0;0;0;0;0;0
"18";18;0;0;0;0;0;0;0;0;0
"19";19;0;0;0;0;0;3;3;3;3
"20";20;0;0;0;0;0;3;3;3;3
"21";21;0;0;0;0;0;3;3;3;3
"22";22;0;0;0;0;0;3;3;3;3
"23";23;0;0;0;0;0;0;0;2;2
"24";24;0;0;0;0;0;0;0;0;1
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;0;0;0
"27";27;0;0;0;0;0;3;3;3;3
"28";28;0;0;0;0;0;0;0;2;2
"29";29;0;0;0;0;0;3;3;3;3
"30";30;0;0;0;0;0;0;0;0;0
"31";31;0;0;0;0;0;0;0;0;0
"32";32;0;0;0;0;0;0;0;0;1
"33";33;0;0;0;0;0;3;3;3;3
"34";34;0;0;0;0;0;0;0;0;1
"35";35;0;0;0;0;0;3;3;3;3
"36";36;0;0;0;0;0;3;3;3;3
"37";37;0;0;0;0;0;3;3;3;3
"38";38;0;4;4;4;4;4;4;4;4
"39";39;0;4;4;4;4;4;4;4;4
"40";40;0;4;4;4;4;4;4;4;4
"41";41;0;4;4;4;4;4;4;4;4
"42";42;0;4;4;4;4;4;4;4;4
"43";43;0;4;4;4;4;4;4;4;4
"44";44;0;4;4;4;4;4;4;4;4
"45";45;0;4;4;4;4;4;4;4;4
"46";46;0;4;4;4;4;4;4;4;4
"47";47;0;0;0;0;0;0;0;0;0
"48";48;0;4;4;4;4;4;4;4;4
"49";49;0;4;4;4;4;4;4;4;4
"50";50;0;4;4;4;4;4;4;4;4
"51";51;0;4;4;4;4;4;4;4;4
"52";52;0;4;4;4;4;4;4;4;4
"53";53;0;4;4;4;4;4;4;4;4
"54";54;0;4;4;4;4;4;4;4;4
"55";55;0;4;4;4;4;4;4;4;4
"56";56;0;4;4;4;4;4;4;4;4
"57";57;0;0;0;0;0;3;3;3;3
"58";58;0;0;0;0;0;3;3;3;3
"59";59;0;0;0;0;0;3;3;3;3
"60";60;0;0;0;0;0;0;0;0;0
"61";61;0;0;0;0;0;0;0;0;0
"62";62;0;0;0;0;0;0;0;2;2
"63";63;0;0;0;0;0;0;0;0;0
"64";64;0;4;4;4;4;4;4;4;4
"65";65;0;4;4;4;4;4;4;4;4
"66";66;0;4;4;4;4;4;4;4;4
"67";67;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;1
"69";69;0;0;0;0;0;3;3;3;3
"70";70;0;0;0;0;0;3;3;3;3
"71";71;0;4;4;4;4;4;4;4;4
"72";72;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;0;0;0;0;1
"74";74;0;0;0;0;0;3;3;3;3
"75";75;0;0;0;0;0;3;3;3;3
"76";76;0;0;0;0;0;3;3;3;3
"77";77;0;0;0;0;0;3;3;3;3
"78";78;0;0;0;0;0;3;3;3;3
"79";79;0;0;0;0;0;3;3;3;3
"80";80;0;0;0;0;0;3;3;3;3
"81";81;0;0;0;0;0;3;3;3;3
"82";82;0;4;4;4;4;4;4;4;4
"83";83;0;0;0;0;0;3;3;3;3
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;4;4;4;4;4;4;4;4
"86";86;0;4;4;4;4;4;4;4;4
"87";87;0;0;0;0;0;0;0;0;0
"88";88;0;0;0;0;0;0;0;0;1
"89";89;0;4;4;4;4;4;4;4;4
"90";90;0;4;4;4;4;4;4;4;4
"91";91;0;4;4;4;4;4;4;4;4
"92";92;0;4;4;4;4;4;4;4;4
"93";93;0;0;0;0;0;3;3;3;3
"94";94;0;0;0;0;0;3;3;3;3
"95";95;0;0;0;0;0;3;3;3;3
"96";96;0;0;0;0;0;3;3;3;3
"97";97;0;0;0;0;0;3;3;3;3
"98";98;0;4;4;4;4;4;4;4;4
"99";99;0;4;4;4;4;4;4;4;4
"100";100;0;4;4;4;4;4;4;4;4
"101";101;0;0;0;0;0;3;3;3;3
"102";102;0;0;0;0;0;0;0;0;0
"103";103;0;0;0;0;0;0;0;0;1
"104";104;0;0;0;0;0;0;0;0;0
"105";105;0;0;0;0;0;3;3;3;3
"106";106;0;4;4;4;4;4;4;4;4
"107";107;0;4;4;4;4;4;4;4;4
"108";108;0;0;0;0;0;3;3;3;3
"109";109;0;0;0;0;0;3;3;3;3
"110";110;0;0;0;0;0;3;3;3;3
"111";111;0;0;0;0;0;3;3;3;3
"112";112;0;0;0;0;0;3;3;3;3
"113";113;0;0;0;0;0;3;3;3;3
"114";114;0;0;0;0;0;3;3;3;3
"115";115;0;0;0;0;0;3;3;3;3
"116";116;0;4;4;4;4;4;4;4;4
"117";117;0;4;4;4;4;4;4;4;4
"118";118;0;4;4;4;4;4;4;4;4
"119";119;0;4;4;4;4;4;4;4;4
"120";120;0;0;0;0;0;3;3;3;3
"121";121;0;0;0;0;0;3;3;3;3
"122";122;0;0;0;0;0;3;3;3;3
"123";123;0;0;0;0;0;3;3;3;3
"124";124;0;0;0;0;0;3;3;3;3
"125";125;0;4;4;4;4;4;4;4;4
"126";126;0;4;4;4;4;4;4;4;4
"127";127;0;0;0;0;0;3;3;3;3
"128";128;0;4;4;4;4;4;4;4;4
"129";129;0;4;4;4;4;4;4;4;4
"130";130;0;4;4;4;4;4;4;4;4
"131";131;0;0;0;0;0;0;0;2;2
"132";132;0;4;4;4;4;4;4;4;4
"133";133;0;0;0;0;0;0;0;2;2
"134";134;0;0;0;0;0;3;3;3;3
"135";135;0;0;0;0;0;0;0;2;2
"136";136;0;0;0;0;0;3;3;3;3
"137";137;0;0;0;0;0;0;0;0;1
"138";138;0;0;0;0;0;0;0;0;0
"139";139;0;0;0;0;0;3;3;3;3
"140";140;0;0;0;0;0;3;3;3;3
"141";141;0;0;0;0;0;0;0;0;1
"142";142;0;0;0;0;0;3;3;3;3
"143";143;0;0;0;0;0;3;3;3;3
"144";144;0;0;0;0;0;0;0;0;0
"145";145;0;0;0;0;0;0;0;0;0
"146";146;0;0;0;0;0;3;3;3;3
"147";147;0;4;4;4;4;4;4;4;4
"148";148;0;4;4;4;4;4;4;4;4
"149";149;0;0;0;0;0;3;3;3;3
"150";150;0;0;0;0;0;3;3;3;3
"151";151;0;0;0;0;0;0;0;0;1
"152";152;0;0;0;0;0;0;0;0;0
"153";153;0;0;0;0;0;3;3;3;3
"154";154;0;4;4;4;4;4;4;4;4
"155";155;0;0;0;0;0;3;3;3;3
"156";156;0;0;0;0;0;3;3;3;3
"157";157;0;0;0;0;0;3;3;3;3
"158";158;0;0;0;0;0;3;3;3;3
"159";159;0;0;0;0;0;3;3;3;3
"160";160;0;0;0;0;0;3;3;3;3
"161";161;0;0;0;0;0;3;3;3;3
"162";162;0;0;0;0;0;3;3;3;3
"163";163;0;0;0;0;0;3;3;3;3
"164";164;0;0;0;0;0;3;3;3;3
"165";165;0;0;0;0;0;3;3;3;3
"166";166;0;0;0;0;0;3;3;3;3
"167";167;0;0;0;0;0;3;3;3;3
"168";168;0;0;0;0;0;3;3;3;3
"169";169;0;0;0;0;0;3;3;3;3
"170";170;0;4;4;4;4;4;4;4;4
"171";171;0;4;4;4;4;4;4;4;4
"172";172;0;0;0;0;0;3;3;3;3
"173";173;0;0;0;0;0;3;3;3;3
"174";174;0;0;0;0;0;3;3;3;3
"175";175;0;0;0;0;0;0;0;2;2
"176";176;0;0;0;0;0;3;3;3;3
"177";177;0;0;0;0;0;3;3;3;3
"178";178;0;0;0;0;0;3;3;3;3
"179";179;0;0;0;0;0;3;3;3;3
"180";180;0;0;0;0;0;3;3;3;3
"181";181;0;0;0;0;0;3;3;3;3
"182";182;0;0;0;0;0;3;3;3;3
"183";183;0;0;0;0;0;3;3;3;3
"184";184;0;0;0;0;0;3;3;3;3
"185";185;0;0;0;0;0;3;3;3;3
"186";186;0;0;0;0;0;3;3;3;3
"187";187;0;0;0;0;0;3;3;3;3
"188";188;0;0;0;0;0;3;3;3;3
"189";189;0;0;0;0;0;3;3;3;3
"190";190;0;0;0;0;0;3;3;3;3
"191";191;0;0;0;0;0;0;0;2;2
"192";192;0;4;4;4;4;4;4;4;4
"193";193;0;0;0;0;0;0;0;0;1
"194";194;0;4;4;4;4;4;4;4;4
"195";195;0;4;4;4;4;4;4;4;4
"196";196;0;0;0;0;0;3;3;3;3
"197";197;0;0;0;0;0;0;0;2;2
"198";198;0;4;4;4;4;4;4;4;4
"199";199;0;4;4;4;4;4;4;4;4
"200";200;0;4;4;4;4;4;4;4;4
"201";201;0;0;0;0;0;3;3;3;3
"202";202;0;4;4;4;4;4;4;4;4
"203";203;0;4;4;4;4;4;4;4;4
"204";204;0;4;4;4;4;4;4;4;4
"205";205;0;0;0;0;0;0;0;0;0
"206";206;0;4;4;4;4;4;4;4;4
"207";207;0;0;0;0;0;0;0;0;0
"208";208;0;0;0;0;0;0;0;0;0
"209";209;0;0;0;0;0;3;3;3;3
"210";210;0;0;0;0;0;0;0;0;0
"211";211;0;4;4;4;4;4;4;4;4
"212";212;0;4;4;4;4;4;4;4;4
"213";213;0;4;4;4;4;4;4;4;4
"214";214;0;4;4;4;4;4;4;4;4
"215";215;0;0;0;0;0;3;3;3;3
"216";216;0;4;4;4;4;4;4;4;4
"217";217;0;0;0;0;0;3;3;3;3
"218";218;0;4;4;4;4;4;4;4;4
"219";219;0;4;4;4;4;4;4;4;4
"220";220;0;0;0;0;0;3;3;3;3
"221";221;0;0;0;0;0;3;3;3;3
"222";222;0;0;0;0;0;3;3;3;3
"223";223;0;0;0;0;0;3;3;3;3
"224";224;0;0;0;0;0;3;3;3;3
"225";225;0;0;0;0;0;0;0;0;0
"226";226;0;0;0;0;0;0;0;0;0
"227";227;0;0;0;0;0;3;3;3;3
"228";228;0;0;0;0;0;0;0;0;0
"229";229;0;0;0;0;0;3;3;3;3
"230";230;0;0;0;0;0;0;0;0;1
"231";231;0;0;0;0;0;3;3;3;3
"232";232;0;4;4;4;4;4;4;4;4
"233";233;0;0;0;0;0;3;3;3;3
"234";234;0;0;0;0;0;0;0;0;1
"235";235;0;0;0;0;0;3;3;3;3
"236";236;0;0;0;0;0;0;0;0;1
"237";237;0;4;4;4;4;4;4;4;4
"238";238;0;0;0;0;0;0;0;0;0
"239";239;0;0;0;0;0;3;3;3;3
"240";240;0;0;0;0;0;0;0;0;0
"241";241;0;0;0;0;0;3;3;3;3
"242";242;0;0;0;0;0;3;3;3;3
"243";243;0;0;0;0;0;0;0;0;0
"244";244;0;0;0;0;0;0;0;2;2
"245";245;0;0;0;0;0;3;3;3;3
"246";246;0;0;0;0;0;3;3;3;3
"247";247;0;0;0;0;0;3;3;3;3
"248";248;0;0;0;0;0;3;3;3;3
"249";249;0;0;0;0;0;3;3;3;3
"250";250;0;0;0;0;0;3;3;3;3
"251";251;0;0;0;0;0;3;3;3;3
"252";252;0;0;0;0;0;0;0;0;0
"253";253;0;0;0;0;0;3;3;3;3
"254";254;0;0;0;0;0;3;3;3;3
"255";255;0;4;4;4;4;4;4;4;4
"256";256;0;0;0;0;0;3;3;3;3
"257";257;0;0;0;0;0;0;0;0;0
"258";258;0;0;0;0;0;3;3;3;3
"259";259;0;0;0;0;0;0;0;0;0
"260";260;0;0;0;0;0;0;0;0;0
"261";261;0;0;0;0;0;0;0;0;0
"262";262;0;0;0;0;0;3;3;3;3
"263";263;0;0;0;0;0;0;0;0;0
"264";264;0;0;0;0;0;3;3;3;3
"265";265;0;0;0;0;0;3;3;3;3
"266";266;0;0;0;0;0;3;3;3;3
"267";267;0;0;0;0;0;3;3;3;3
"268";268;0;4;4;4;4;4;4;4;4
"269";269;0;0;0;0;0;3;3;3;3
"270";270;0;4;4;4;4;4;4;4;4
"271";271;0;0;0;0;0;3;3;3;3
"272";272;0;4;4;4;4;4;4;4;4
