"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"ano";-0,188735183016204;0,400544209225111;-0,110516515884495;-0,413560405250385;0,877680689104003;-0,242166057041566;0,207482482714209;0,752311050134006;0,0402064671519472;0,000426169541815818;0,00191945347224738;0,000146127193857789;0,0119640074398029;0,272902284525386;0,00089102731322594
"dizer";-0,55179576848671;-0,276371723700859;-0,232534684409209;-0,836695715986117;-0,419066347453835;-0,35259562572752;0,767861025809927;0,155072193804727;0,0770667803852303;0,00286218733285124;0,000718006768545659;0,000508296132195513;0,00940029155984517;0,414745875724541;0,0016169830818633
"brasil";0,637174623178653;0,372234179302439;-0,0516047268036012;0,861351340872178;0,503197079414622;-0,06976078301091;0,78219339346038;0,21490698037557;0,00289962616410718;0,00120411695194031;0,000410945496919351;7,89824671391871e-06;0,00296586739053939;0,474511149839746;0,000667797167245364
"novo";0,606296211471889;0,595978861842691;0,36398754808961;0,655590294204908;0,644434106600833;0,393581056955119;0,504650314267986;0,392557586790578;0,102792098941429;0,00127502446222875;0,00123199947014871;0,00045953845706207;0,0034685567787664;0,562127203745128;0,00109601882723229
"mesmo";-0,0214069326902271;0,309913166107736;-0,740630374936626;-0,0266539677314838;0,385875718325994;-0,922165655406103;0,00118172898289765;0,199392985912467;0,799425285104636;2,23449989537926e-06;0,000468329489826137;0,00267469638420753;0,00487608706580204;0,410147928717527;0,000820261819375356
"dia";-0,499247960971043;0,384315831678624;-0,713449821766756;-0,524520308059533;0,403770218774954;-0,749565245234568;0,380055413126579;0,18130579975176;0,438638787121662;0,000952238878829968;0,000564273766872331;0,0019446443101395;0,00382043935052531;0,533381392947041;0,00108689860684671
"ficar";-0,36731564403431;0,482976392679502;0,16406265988342;-0,584364692654256;0,768370081294592;0,261008283681648;0,399265080809535;0,555718824435487;0,045016094754984;0,000651103157182156;0,00112570023651674;0,000129894405636666;0,00482581812697934;0,38287215576867;0,000707421928097473
"dar";-0,176867752945527;1,07168412707667;-0,35703561501214;-0,154691727864199;0,93731427341186;-0,312269790707947;0,0304323525284417;0,899482316097198;0,0700853313743678;0,000138382032816368;0,00508061149168407;0,000563904382147716;0,00442366661639773;0,667768483463079;0,00197257818230428
"água";2,1266121169103;-0,44254091368316;0,439729523747454;0,959562113287963;-0,199681686647754;0,198413141600667;0,944264377074855;0,0329188547326279;0,0228167681925148;0,0245527442992654;0,00106323760672703;0,00104977136872053;0,00542904539285176;1,44140659157036;0,0112796722424988
"grande";0,746627390568871;-0,107869716513125;0,160347561415342;0,968096291467002;-0,139866650804744;0,20791077519095;0,958891849515444;0,0161131959521453;0,0249949545324085;0,00229784857731412;4,79636963118184e-05;0,00010598350761833;0,00412205298346152;0,502185452096796;0,00103954148295423
"família";-0,404897209243958;-0,125447348893536;-1,22869085759179;-0,311518382033432;-0,0965162373696478;-0,945325824030677;0,159195915954426;0,0123022954813448;0,828501788564225;0,000906529558432112;8,70192584268749e-05;0,00834790803741329;0,00552958327049716;0,668380614205905;0,00247024536264459
"país";0,675428993485416;-0,00597574091083998;-0,00589441116226146;0,999922791829007;-0,00884664352943999;-0,00872624083716329;0,999893954611341;6,30084631103757e-05;4,3036925546016e-05;0,00149063897555155;1,1668004640711e-07;1,13525631716509e-07;0,00326748102347559;0,444884987250253;0,000646708509136017
"passar";-0,181883200501071;0,443762317739935;-0,234411595861545;-0,340725177233822;0,831308190888915;-0,439127595762302;0,148567589259165;0,711968151145703;0,139464259595139;0,000103104253492173;0,000613751051528025;0,000171257496054396;0,00311667420700749;0,310796108403168;0,000301052717132175
"empresa";0,178379335823884;-0,281128118805015;0,0856322884137016;0,518875526901848;-0,817754478668411;0,249089943996311;0,319506245803574;0,638880545074781;0,0416132091216522;0,000126361826193567;0,000313859574495797;2,91207066153131e-05;0,00397124616699342;0,207849933119388;0,00017156416735138
"estado";0,768557742758188;-0,616111962109622;0,495118703939977;0,69712998382135;-0,55885211778129;0,449103658533986;0,570808500977609;0,295309578030729;0,133881920991665;0,00228635385836346;0,00146929744828843;0,000948875226779402;0,00387070828934801;0,670002323342752;0,00173757300170516
"vida";-0,567339755594366;1,08825514350359;-0,580730274384189;-0,417860111446562;0,801527499285333;-0,427722567970485;0,219576617924561;0,650402103442101;0,130021278633345;0,0013267833237212;0,00488174428712037;0,00139015268838684;0,00412205298346152;0,797434818160153;0,00262122292844506
