"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"325";"1664";"19.53";"****";""
" 3";"108";" 2.78";"-20.63";"água";"5.582600e-06"
" 5";"110";" 4.55";"-16.83";"família";"4.087089e-05"
" 2";" 73";" 2.74";"-13.70";"polícia";"2.147848e-04"
" 0";" 53";" 0.00";"-13.29";"sistema";"2.672114e-04"
" 2";" 68";" 2.94";"-12.42";"cidade";"4.257559e-04"
" 0";" 46";" 0.00";"-11.48";"afirmar";"7.025560e-04"
" 5";" 84";" 5.95";"-10.38";"filho";"1.274733e-03"
" 0";" 39";" 0.00";" -9.69";"ação";"1.849508e-03"
" 1";" 47";" 2.13";" -9.32";"área";"2.265448e-03"
" 1";" 47";" 2.13";" -9.32";"uso";"2.265448e-03"
" 0";" 37";" 0.00";" -9.18";"recurso";"2.440316e-03"
" 0";" 35";" 0.00";" -8.68";"apontar";"3.221328e-03"
" 0";" 33";" 0.00";" -8.17";"justiça";"4.254739e-03"
" 0";" 32";" 0.00";" -7.92";"rcifrão";"4.891062e-03"
" 0";" 32";" 0.00";" -7.92";"blockchain";"4.891062e-03"
" 2";" 49";" 4.08";" -7.67";"governo";"5.622362e-03"
" 0";" 31";" 0.00";" -7.67";"condição";"5.623650e-03"
" 0";" 30";" 0.00";" -7.42";"saúde";"6.467363e-03"
" 0";" 30";" 0.00";" -7.42";"tratamento";"6.467363e-03"
" 0";" 29";" 0.00";" -7.16";"civil";"7.439430e-03"
" 6";" 77";" 7.79";" -7.08";"estado";"7.799022e-03"
" 3";" 54";" 5.56";" -6.94";"público";"8.447660e-03"
" 2";" 46";" 4.35";" -6.94";"mês";"8.432277e-03"
" 0";" 28";" 0.00";" -6.91";"ataque";"8.559851e-03"
" 0";" 28";" 0.00";" -6.91";"risco";"8.559851e-03"
" 0";" 27";" 0.00";" -6.66";"informar";"9.851867e-03"
" 0";" 27";" 0.00";" -6.66";"bitcoin";"9.851867e-03"
" 0";" 26";" 0.00";" -6.41";"realizar";"1.134252e-02"
" 0";" 26";" 0.00";" -6.41";"principal";"1.134252e-02"
" 0";" 26";" 0.00";" -6.41";"terrorista";"1.134252e-02"
" 1";" 35";" 2.86";" -6.32";"ocorrer";"1.190791e-02"
" 1";" 35";" 2.86";" -6.32";"policial";"1.190791e-02"
" 1";" 35";" 2.86";" -6.32";"acordo";"1.190791e-02"
" 2";" 43";" 4.65";" -6.22";"vítima";"1.264152e-02"
" 0";" 25";" 0.00";" -6.16";"utilizar";"1.306330e-02"
" 0";" 25";" 0.00";" -6.16";"mínimo";"1.306330e-02"
" 1";" 34";" 2.94";" -6.08";"crime";"1.368504e-02"
" 1";" 34";" 2.94";" -6.08";"morto";"1.368504e-02"
" 1";" 34";" 2.94";" -6.08";"menina";"1.368504e-02"
" 0";" 24";" 0.00";" -5.91";"dado";"1.505098e-02"
" 0";" 24";" 0.00";" -5.91";"piloto";"1.505098e-02"
" 4";" 57";" 7.02";" -5.88";"local";"1.530798e-02"
" 0";" 23";" 0.00";" -5.66";"reforma";"1.734852e-02"
" 0";" 23";" 0.00";" -5.66";"município";"1.734852e-02"
" 0";" 23";" 0.00";" -5.66";"hídrico";"1.734852e-02"
" 0";" 23";" 0.00";" -5.66";"córrego";"1.734852e-02"
" 2";" 40";" 5.00";" -5.51";"porcento";"1.894588e-02"
" 0";" 22";" 0.00";" -5.41";"usado";"2.000624e-02"
" 0";" 22";" 0.00";" -5.41";"isabella";"2.000624e-02"
" 0";" 21";" 0.00";" -5.16";"produto";"2.308316e-02"
" 0";" 21";" 0.00";" -5.16";"qualidade";"2.308316e-02"
" 0";" 21";" 0.00";" -5.16";"hospital";"2.308316e-02"
" 0";" 21";" 0.00";" -5.16";"advogado";"2.308316e-02"
" 0";" 21";" 0.00";" -5.16";"responsável";"2.308316e-02"
" 0";" 21";" 0.00";" -5.16";"identificar";"2.308316e-02"
" 1";" 30";" 3.33";" -5.10";"serviço";"2.392368e-02"
"25";"187";"13.37";" -5.09";"dizer";"2.406090e-02"
" 0";" 20";" 0.00";" -4.91";"tratar";"2.664876e-02"
" 0";" 20";" 0.00";" -4.91";"ocupação";"2.664876e-02"
" 0";" 20";" 0.00";" -4.91";"esgoto";"2.664876e-02"
" 0";" 20";" 0.00";" -4.91";"alegar";"2.664876e-02"
" 1";" 29";" 3.45";" -4.86";"médico";"2.752688e-02"
" 1";" 29";" 3.45";" -4.86";"sul";"2.752688e-02"
" 1";" 29";" 3.45";" -4.86";"preso";"2.752688e-02"
" 0";" 19";" 0.00";" -4.66";"humano";"3.078493e-02"
" 0";" 19";" 0.00";" -4.66";"velho";"3.078493e-02"
" 0";" 19";" 0.00";" -4.66";"londres";"3.078493e-02"
" 0";" 19";" 0.00";" -4.66";"atentado";"3.078493e-02"
" 0";" 19";" 0.00";" -4.66";"estação";"3.078493e-02"
" 0";" 19";" 0.00";" -4.66";"prisão";"3.078493e-02"
" 1";" 28";" 3.57";" -4.62";"matar";"3.168267e-02"
" 1";" 28";" 3.57";" -4.62";"guariroba";"3.168267e-02"
" 6";" 65";" 9.23";" -4.57";"rede";"3.260462e-02"
" 4";" 51";" 7.84";" -4.57";"receber";"3.247576e-02"
" 0";" 18";" 0.00";" -4.42";"divulgar";"3.558861e-02"
" 0";" 18";" 0.00";" -4.42";"atividade";"3.558861e-02"
" 0";" 18";" 0.00";" -4.42";"bacia";"3.558861e-02"
" 0";" 18";" 0.00";" -4.42";"avô";"3.558861e-02"
" 0";" 18";" 0.00";" -4.42";"maílson";"3.558861e-02"
" 0";" 17";" 0.00";" -4.17";"óleo";"4.117487e-02"
" 0";" 17";" 0.00";" -4.17";"menor";"4.117487e-02"
" 0";" 17";" 0.00";" -4.17";"irmão";"4.117487e-02"
" 0";" 17";" 0.00";" -4.17";"habitante";"4.117487e-02"
" 0";" 17";" 0.00";" -4.17";"testemunha";"4.117487e-02"
" 0";" 17";" 0.00";" -4.17";"salário";"4.117487e-02"
" 8";" 76";"10.53";" -4.11";"casa";"4.265938e-02"
" 0";" 16";" 0.00";" -3.92";"número";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"ministério";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"estadual";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"companhia";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"oficial";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"confirmar";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"investimento";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"transação";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"reduzir";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"helicóptero";"4.768086e-02"
" 0";" 16";" 0.00";" -3.92";"distribuir";"4.768086e-02"
" 0";" 15";" 0.00";" -3.67";"produzir";"5.527089e-02"
" 0";" 15";" 0.00";" -3.67";"agência";"5.527089e-02"
" 0";" 15";" 0.00";" -3.67";"mineiro";"5.527089e-02"
" 0";" 15";" 0.00";" -3.67";"estudante";"5.527089e-02"
" 0";" 15";" 0.00";" -3.67";"doença";"5.527089e-02"
" 2";" 32";" 6.25";" -3.66";"segurança";"5.567088e-02"
" 1";" 24";" 4.17";" -3.66";"federal";"5.581150e-02"
" 2";" 31";" 6.45";" -3.44";"capital";"6.369536e-02"
" 0";" 14";" 0.00";" -3.43";"operação";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"funcionário";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"cliente";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"servir";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"servidor";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"ambiental";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"equipamento";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"setor";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"possuir";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"iniciativa";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"regime";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"prefeito";"6.414277e-02"
" 0";" 14";" 0.00";" -3.43";"coleta";"6.414277e-02"
" 1";" 23";" 4.35";" -3.42";"explicar";"6.437150e-02"
" 1";" 23";" 4.35";" -3.42";"investigação";"6.437150e-02"
" 1";" 23";" 4.35";" -3.42";"voo";"6.437150e-02"
" 1";" 23";" 4.35";" -3.42";"imóvel";"6.437150e-02"
" 6";" 59";"10.17";" -3.41";"chegar";"6.476129e-02"
" 6";" 58";"10.34";" -3.23";"caso";"7.244236e-02"
" 1";" 22";" 4.55";" -3.19";"norte";"7.428508e-02"
" 0";" 13";" 0.00";" -3.18";"bbc";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"futuro";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"localizar";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"médio";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"euro";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"construir";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"tributário";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"militar";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"litro";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"alexandra";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"proteção";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"manancial";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"técnica";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"proprietário";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"pagamento";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"grosso";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"delegacia";"7.453629e-02"
" 0";" 13";" 0.00";" -3.18";"broadcast";"7.453629e-02"
" 5";" 51";" 9.80";" -3.17";"criança";"7.511655e-02"
" 2";" 29";" 6.90";" -3.00";"região";"8.337647e-02"
" 2";" 29";" 6.90";" -3.00";"milhão";"8.337647e-02"
" 2";" 29";" 6.90";" -3.00";"diverso";"8.337647e-02"
" 1";" 21";" 4.76";" -2.95";"tecnologia";"8.577716e-02"
" 1";" 21";" 4.76";" -2.95";"pagar";"8.577716e-02"
" 1";" 21";" 4.76";" -2.95";"banco";"8.577716e-02"
" 0";" 12";" 0.00";" -2.93";"fundamental";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"previdência";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"idade";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"vivo";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"noivo";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"câncer";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"reserva";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"propriedade";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"condenar";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"via";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"rural";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"defesa";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"básico";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"atender";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"unidade";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"enfrentar";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"mato";"8.674426e-02"
" 0";" 12";" 0.00";" -2.93";"london";"8.674426e-02"
" 3";" 35";" 8.57";" -2.73";"morrer";"9.832922e-02"
" 1";" 20";" 5.00";" -2.72";"política";"9.911308e-02"
" 1";" 20";" 5.00";" -2.72";"registrar";"9.911308e-02"
" 1";" 20";" 5.00";" -2.72";"decidir";"9.911308e-02"
" 0";" 11";" 0.00";" -2.69";"comprar";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"razão";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"operar";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"atingir";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"utilização";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"preservação";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"permanecer";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"menino";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"instituto";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"causar";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"necessidade";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"morador";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"governador";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"cobrir";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"solo";"1.011276e-01"
" 0";" 11";" 0.00";" -2.69";"marido";"1.011276e-01"
