"";"classe 1";"classe 2";"classe 3";"classe 4"
"ano";4,887;-6,264;3,71;-1,831
"dizer";-5,09;-19,668;2,177;25,966
"brasil";0,025;9,337;-0,011;-9,994
"novo";4,094;9,969;-1,928;-13,441
"mesmo";-1,084;-0,603;14,123;-4,06
"dia";0,002;-12,269;14,49;-0,065
"ficar";7,39;-6,678;0,06;-0,003
"dar";12,532;-5,696;10,697;-16,081
"água";-20,626;257,562;-35,049;-41,134
"grande";-2,053;25,066;-3,588;-3,761
"família";-16,831;-10,826;37,898;0,85
"país";-1,391;14,802;-0,706;-4,133
"passar";0,891;-1,657;2,061;-0,932
"empresa";-2,493;2,977;-1,434;0,726
"estado";-7,079;33,447;-15,994;0,222
"vida";11,722;-23,147;20,787;-7,351
"cidade";-12,416;29,799;-3,57;-0,273
"vez";-0,001;-7,506;24,926;-4,633
"querer";36,688;-6,25;-0,491;-4,85
"filho";-10,379;-34,72;44,509;5,174
"casa";-4,109;-12,269;7,486;7,178
"samba";141,314;-11,735;-12,943;-13,105
"conseguir";-0,09;-3,224;13;-2,214
"polícia";-13,697;-29,965;-16,736;169,246
"contar";-0,542;-11,55;31,613;-2,156
"saber";5,074;-10,492;7,913;-2,317
"rede";-4,566;7,411;-0,305;-0,095
"chegar";-3,411;-2,751;2,911;2,75
"coisa";45,622;-7,376;0,003;-11,288
"bom";38,19;-1,531;-0,871;-11,369
"mundo";10,496;-4,726;6,913;-11,007
"meio";-1,267;17,971;-0,231;-8,072
"local";-5,881;-3,302;-0,317;21,193
"falar";56,048;-14,12;-0,419;-5,097
"projeto";-0,09;26,659;-12,462;-2,214
"levar";15,423;-3,16;-3,976;0,071
"encontrar";-2,019;-4,061;-2,919;25,441
"só";8,158;-5,228;1,329;-1,918
"público";-6,936;36,996;-2,537;-5,097
"momento";0,213;-6,661;0,01;4,508
"mulher";2,738;-23,164;21,71;-1,478
"gente";76,325;-16,935;-0,168;-10,592
"acontecer";14,06;-7,692;-0,063;-0,085
"maior";-2,182;12,62;0,023;-6,009
"começar";36,899;-4,48;-3,21;-2,317
"social";3,595;-2,642;2,666;-2,803
"história";2,882;-4,295;4,193;-2,109
"caso";-3,227;-4,764;-6,077;39,788
"afirmar";-11,482;-1,737;-1,024;29,259
"receber";-4,573;0,039;-0,542;6,043
"deixar";-1,003;-8,422;0,105;12,579
"achar";88,058;-18,705;-3,396;-4,818
"viver";0,655;-12,535;47,188;-15,669
"jornal";0,85;-6,155;0,389;1,175
"voltar";0,462;-0,007;-0,172;-0,013
"precisar";-2,369;0,067;7,668;-2,684
"porcento";-5,507;54,363;-5,465;-9,568
"sistema";-13,287;98,975;-7,825;-16,796
"último";0,099;1,207;-3,083;0,119
"vir";14,708;0;-1,352;-5,283
"mostrar";-0,346;-4,338;0,173;5,041
"existir";7,726;-0,372;0,004;-3,767
"próprio";-0,745;-0,184;4,679;-0,883
"grupo";0,23;-8,664;5,781;0,032
"forma";-1,005;11,482;0,002;-6,775
"exemplo";-0,411;20,905;-2,067;-7,095
"brasileiro";2,511;0,182;-0,054;-2,666
"área";-9,321;42,206;-5,946;-2,133
"problema";2,033;0,332;3,786;-14,548
"melhor";-0,03;-0,067;9,205;-6,775
"possível";-1,409;0,798;-0,312;0,509
"paulo";0,187;-9,722;0,638;4,007
"pai";-0,077;-17,462;0,957;12,579
"mês";-6,939;-0,103;4,223;0,425
"escola";38,19;-0,32;-0,871;-16,472
"rio";7,071;0,002;-5,273;-0,023
"uso";-9,321;71,741;-17,013;-3,228
"governo";-7,668;46,643;-10,385;-1,625
"sair";1,781;-8,127;0;2,971
"globo";1,651;-0,977;2,401;-2,863
"homem";-1,595;-16,911;18,488;1,113
"trabalhar";0,23;-6,696;0,047;3,994
"bbc";-3,18;0,684;0,153;0,137
"acabar";1,592;-0,646;1,022;-1,749
"criar";4,341;6,659;-1,443;-11,007
"criança";-3,168;-12,929;17,025;1,359
"usar";-0,233;-0,088;10,747;-6,402
"vítima";-6,219;-17,324;0,98;30,415
"região";-2,998;2,538;0,385;-0,473
"morrer";-2,732;-14,032;-0,002;28,736
"seguir";-0,013;-2,543;-0,896;7,159
"jovem";-0,618;-11,583;2,175;7,386
"carne";0,153;-0,977;2,401;-0,786
"violência";-0,508;-0,081;7,668;-3,341
"ponto";-0,766;21,882;-2,313;-6,139
"entrar";-1,332;-0,99;-3,665;15,726
"longo";-0,766;8,121;0,676;-8,673
"questão";6,766;-1,862;0,052;-1,38
"programa";0,475;20,905;-5,013;-9,383
"ocorrer";-6,325;-3,412;0,121;14,499
"nacional";0,003;7,191;-2,699;-1,326
"importante";1,158;12,692;-4,282;-6,496
"diferente";5,487;-0,05;0,723;-7,444
"rua";0,85;-8,75;1,239;1,175
"recurso";-9,185;82,451;-10,689;-10,846
"rcifrão";-7,919;5,631;0,463;-0,324
"processo";-2,532;8,161;0,004;-2,394
"policial";-6,325;-6,795;-12,576;71,678
"g1";60,005;-16,085;-11,779;0,296
"cercar";-0,745;-1,389;-0,02;4,509
"acordo";-6,325;-0,108;-0,002;6,986
"santo";-0,018;-5,854;-4,94;23,137
"ação";-9,693;15,718;-6,97;1,915
"vídeo";-1,176;-13,214;-2,067;37,536
"segurança";-3,662;1,399;-3,099;5,153
"pequeno";-0,001;13,933;-4,383;-2,911
"morte";-2,335;-13,214;4,705;8,586
"política";-2,72;13,555;-0,381;-2,764
"direito";-0,766;1,044;-1,107;0,629
"nada";0,061;-8,142;14,229;-1,135
"mudar";27,595;-6,155;0,018;-5,43
"lado";1,764;-2,642;0,236;0
"crime";-6,078;-10,928;-2,309;50,632
"serviço";-5,1;5,155;-2,555;1,708
"produto";-5,162;29,257;-1,522;-5,077
"morto";-6,078;-13,622;-9,605;82,527
"milhão";-2,998;20,322;-0,436;-5,716
"maneira";6,483;0,737;-1,777;-3,395
"ideia";-0,821;1,03;5,435;-6,481
"conhecer";-0,026;-0,009;4,374;-3,395
"apresentar";0,105;-0,169;0,153;-0,069
"relação";2,578;1,032;-1,522;-1,575
"médico";-4,857;-8,923;0,385;19,541
"mãe";-2,335;-13,214;6,605;6,404
"centro";0,918;-1,046;-1,552;2,03
"situação";0,026;-4,741;1,667;0,629
"próximo";-0,821;-4,604;11,639;-0,153
"partir";3,082;-0,101;-0,011;-1,326
"ambiente";-1,943;10,935;-0,013;-4,042
"sul";-4,857;2,538;0,385;-0,069
"lugar";4,339;-1,193;0,029;-0,865
"imagem";-0,916;-9,961;-0,478;22,833
"filme";27,334;-4,346;-0,354;-3,944
"federal";-3,658;5,725;-3,958;1,588
"condição";-7,667;0,259;4,156;-0,003
"alto";2,142;-4,016;4,374;-1,835
"único";-0,372;6,152;-1,522;-0,572
"realizar";-6,411;2,603;-0,633;2,03
"passado";2,578;-0,201;-3,007;0,549
"menina";-6,078;-13,622;0,004;35,217
"justiça";-8,172;-0,259;-6,969;32,8
"fato";-2,147;-0,22;1,313;0,432
"bloco";-2,147;51,065;-8,928;-9,04
"blockchain";-7,919;76,056;-8,886;-11,62
"ataque";-6,912;-11,177;-7,456;72,405
"principal";-6,411;11,361;0,011;-1,614
"noite";-0,002;-3,616;-0,119;5,397
"movimento";7,186;-2,621;-2,102;0,47
"escrever";12,198;-6,741;0,103;-0,658
"corpo";9,859;-4,295;-0,986;0,078
"capital";-3,438;0,831;-2,824;5,826
"político";-0,508;1,934;-1,534;0,208
"matar";-4,616;-6,23;-0,986;30,001
"explicar";-3,421;4,445;0,236;-0,948
"diverso";-2,998;0,118;0,385;0,347
"considerar";-0,201;-0,22;-4,282;8,682
"apontar";-8,678;12,033;-2,558;0,493
"usado";-5,411;17,62;-5,342;0,012
"tornar";4,888;0,001;0,048;-5,028
"sofrer";-0,264;-1,739;0,166;1,973
"saúde";-7,415;-0,035;11,838;-0,619
"ouvir";17,993;-1,348;-2,614;-1,046
"informação";0,004;3,136;-8,928;1,243
"civil";-7,164;-3,02;-10,382;54,767
"campo";-1,943;26,367;-1,107;-8,673
"bairro";-0,039;-2,288;-0,626;6,313
"ajudar";2,882;-0,642;-0,312;-0,023
"tomar";-0,026;-4,016;4,374;0,012
"tirar";-0,171;-2,961;13,769;-2,458
"preso";-4,857;-11,583;-7,812;68,094
"pedir";-0,051;-8,524;6,161;0,509
"nome";7,363;-3,659;0,072;-0,572
"mercado";0,787;0,238;-0,827;-0,153
"ganhar";27,562;-0,482;-0,803;-9,775
