"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;3;3;3;3
"6";0;0;0;0;0;3;3;3;3
"7";0;0;0;0;0;3;3;3;3
"8";0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;3;3;3;3
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;2;2
"12";0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;3;3;3;3
"16";0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;3;3;3;3
"20";0;0;0;0;0;3;3;3;3
"21";0;0;0;0;0;3;3;3;3
"22";0;0;0;0;0;3;3;3;3
"23";0;0;0;0;0;0;0;2;2
"24";0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0
"27";0;0;0;0;0;3;3;3;3
"28";0;0;0;0;0;0;0;2;2
"29";0;0;0;0;0;3;3;3;3
"30";0;0;0;0;0;0;0;0;0
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;1
"33";0;0;0;0;0;3;3;3;3
"34";0;0;0;0;0;0;0;0;1
"35";0;0;0;0;0;3;3;3;3
"36";0;0;0;0;0;3;3;3;3
"37";0;0;0;0;0;3;3;3;3
"38";0;4;4;4;4;4;4;4;4
"39";0;4;4;4;4;4;4;4;4
"40";0;4;4;4;4;4;4;4;4
"41";0;4;4;4;4;4;4;4;4
"42";0;4;4;4;4;4;4;4;4
"43";0;4;4;4;4;4;4;4;4
"44";0;4;4;4;4;4;4;4;4
"45";0;4;4;4;4;4;4;4;4
"46";0;4;4;4;4;4;4;4;4
"47";0;0;0;0;0;0;0;0;0
"48";0;4;4;4;4;4;4;4;4
"49";0;4;4;4;4;4;4;4;4
"50";0;4;4;4;4;4;4;4;4
"51";0;4;4;4;4;4;4;4;4
"52";0;4;4;4;4;4;4;4;4
"53";0;4;4;4;4;4;4;4;4
"54";0;4;4;4;4;4;4;4;4
"55";0;4;4;4;4;4;4;4;4
