"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"325";"1664";"19.53";"****";""
"35";" 36";" 97.22";"141.31";"samba";"1.373656e-32"
"37";" 53";" 69.81";" 88.06";"achar";"6.356761e-21"
"20";" 21";" 95.24";" 77.56";"música";"1.286320e-18"
"36";" 55";" 65.45";" 76.33";"gente";"2.405766e-18"
"18";" 18";"100.00";" 74.97";"carnaval";"4.776830e-18"
"27";" 40";" 67.50";" 60.00";"g1";"9.462098e-15"
"14";" 14";"100.00";" 58.17";"dan";"2.404901e-14"
"32";" 54";" 59.26";" 56.05";"falar";"7.073519e-14"
"13";" 13";"100.00";" 53.98";"stulbach";"2.023623e-13"
"14";" 15";" 93.33";" 52.46";"novela";"4.397612e-13"
"12";" 12";"100.00";" 49.80";"up";"1.703196e-12"
"12";" 12";"100.00";" 49.80";"stand";"1.703196e-12"
"31";" 57";" 54.39";" 45.62";"coisa";"1.433928e-11"
"11";" 11";"100.00";" 45.62";"carreira";"1.434520e-11"
"15";" 19";" 78.95";" 43.17";"show";"5.015820e-11"
"11";" 12";" 91.67";" 40.02";"cantor";"2.515273e-10"
"25";" 45";" 55.56";" 38.19";"bom";"6.417104e-10"
"25";" 45";" 55.56";" 38.19";"escola";"6.417104e-10"
" 9";"  9";"100.00";" 37.28";"sambalanço";"1.022425e-09"
"29";" 57";" 50.88";" 36.90";"começar";"1.243930e-09"
"31";" 63";" 49.21";" 36.69";"querer";"1.385967e-09"
"10";" 11";" 90.91";" 35.90";"personagem";"2.081654e-09"
"10";" 11";" 90.91";" 35.90";"teatro";"2.081654e-09"
" 8";"  8";"100.00";" 33.12";"discurso";"8.667736e-09"
" 8";"  8";"100.00";" 33.12";"império";"8.667736e-09"
"13";" 18";" 72.22";" 32.14";"ator";"1.430970e-08"
" 9";" 10";" 90.00";" 31.79";"rádio";"1.720137e-08"
" 7";"  7";"100.00";" 28.96";"prêmio";"7.381844e-08"
" 7";"  7";"100.00";" 28.96";"humor";"7.381844e-08"
" 7";"  7";"100.00";" 28.96";"fama";"7.381844e-08"
" 7";"  7";"100.00";" 28.96";"compositor";"7.381844e-08"
"12";" 17";" 70.59";" 28.49";"avenida";"9.428190e-08"
" 8";"  9";" 88.89";" 27.70";"bonito";"1.418994e-07"
"14";" 22";" 63.64";" 27.59";"mudar";"1.495990e-07"
"16";" 27";" 59.26";" 27.56";"ganhar";"1.521685e-07"
" 9";" 11";" 81.82";" 27.33";"filme";"1.711385e-07"
" 9";" 11";" 81.82";" 27.33";"texto";"1.711385e-07"
" 6";"  6";"100.00";" 24.81";"bossa";"6.328621e-07"
" 6";"  6";"100.00";" 24.81";"piada";"6.328621e-07"
" 6";"  6";"100.00";" 24.81";"diversão";"6.328621e-07"
"13";" 21";" 61.90";" 24.30";"participar";"8.253393e-07"
" 7";"  8";" 87.50";" 23.63";"palavra";"1.168174e-06"
" 7";"  8";" 87.50";" 23.63";"fantasia";"1.168174e-06"
" 7";"  8";" 87.50";" 23.63";"adorar";"1.168174e-06"
" 7";"  8";" 87.50";" 23.63";"som";"1.168174e-06"
" 7";"  8";" 87.50";" 23.63";"importar";"1.168174e-06"
" 5";"  5";"100.00";" 20.66";"vontade";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"divertir";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"bateria";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"riso";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"sabiá";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"nerd";"5.479025e-06"
" 5";"  5";"100.00";" 20.66";"assédio";"5.479025e-06"
" 6";"  7";" 85.71";" 19.59";"artista";"9.590113e-06"
" 6";"  7";" 85.71";" 19.59";"interpretar";"9.590113e-06"
" 6";"  7";" 85.71";" 19.59";"rir";"9.590113e-06"
" 7";"  9";" 77.78";" 19.53";"legal";"9.884956e-06"
" 7";"  9";" 77.78";" 19.53";"cara";"9.884956e-06"
" 9";" 14";" 64.29";" 17.99";"ouvir";"2.216741e-05"
" 9";" 14";" 64.29";" 17.99";"aprender";"2.216741e-05"
" 4";"  4";"100.00";" 16.52";"manifestação";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"sambar";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"musical";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"misturar";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"edição";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"mr";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"marcha";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"teste";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"salão";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"ostentar";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"letra";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"gafieira";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"eterno";"4.814695e-05"
" 4";"  4";"100.00";" 16.52";"amador";"4.814695e-05"
" 7";" 10";" 70.00";" 16.30";"mandar";"5.393771e-05"
" 6";"  8";" 75.00";" 15.74";"antigo";"7.278573e-05"
" 6";"  8";" 75.00";" 15.74";"gosto";"7.278573e-05"
" 6";"  8";" 75.00";" 15.74";"televisão";"7.278573e-05"
" 6";"  8";" 75.00";" 15.74";"prioridade";"7.278573e-05"
" 5";"  6";" 83.33";" 15.60";"cantar";"7.839165e-05"
" 5";"  6";" 83.33";" 15.60";"preconceito";"7.839165e-05"
" 5";"  6";" 83.33";" 15.60";"machista";"7.839165e-05"
" 5";"  6";" 83.33";" 15.60";"sapato";"7.839165e-05"
"25";" 65";" 38.46";" 15.42";"levar";"8.592542e-05"
"17";" 39";" 43.59";" 14.71";"vir";"1.255341e-04"
"21";" 53";" 39.62";" 14.06";"acontecer";"1.770361e-04"
" 9";" 16";" 56.25";" 13.86";"procurar";"1.970418e-04"
" 7";" 11";" 63.64";" 13.71";"famoso";"2.138314e-04"
" 7";" 11";" 63.64";" 13.71";"aluno";"2.138314e-04"
" 7";" 11";" 63.64";" 13.71";"tocar";"2.138314e-04"
" 8";" 14";" 57.14";" 12.71";"entrevista";"3.640565e-04"
" 8";" 14";" 57.14";" 12.71";"gostar";"3.640565e-04"
" 8";" 14";" 57.14";" 12.71";"correto";"3.640565e-04"
" 8";" 14";" 57.14";" 12.71";"fácil";"3.640565e-04"
"30";" 88";" 34.09";" 12.53";"dar";"4.000135e-04"
" 3";"  3";"100.00";" 12.38";"futebol";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"emocionar";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"espetáculo";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"conversa";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"herói";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"recife";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"ismael";"4.334174e-04"
" 3";"  3";"100.00";" 12.38";"brilhar";"4.334174e-04"
" 9";" 17";" 52.94";" 12.20";"escrever";"4.783087e-04"
" 5";"  7";" 71.43";" 12.05";"conteúdo";"5.188928e-04"
" 5";"  7";" 71.43";" 12.05";"incrível";"5.188928e-04"
" 5";"  7";" 71.43";" 12.05";"beleza";"5.188928e-04"
" 5";"  7";" 71.43";" 12.05";"turma";"5.188928e-04"
"28";" 82";" 34.15";" 11.72";"vida";"6.176127e-04"
" 4";"  5";" 80.00";" 11.67";"virar";"6.359791e-04"
" 4";"  5";" 80.00";" 11.67";"começo";"6.359791e-04"
" 4";"  5";" 80.00";" 11.67";"origem";"6.359791e-04"
" 4";"  5";" 80.00";" 11.67";"tradicional";"6.359791e-04"
" 4";"  5";" 80.00";" 11.67";"inglês";"6.359791e-04"
" 4";"  5";" 80.00";" 11.67";"mágico";"6.359791e-04"
" 7";" 12";" 58.33";" 11.58";"criatividade";"6.669481e-04"
" 7";" 12";" 58.33";" 11.58";"assistir";"6.669481e-04"
"17";" 44";" 38.64";" 10.50";"mundo";"1.196190e-03"
"12";" 28";" 42.86";"  9.86";"corpo";"1.689728e-03"
" 7";" 13";" 53.85";"  9.82";"minuto";"1.729506e-03"
" 7";" 13";" 53.85";"  9.82";"comunidade";"1.729506e-03"
" 8";" 16";" 50.00";"  9.54";"pegar";"2.007539e-03"
" 5";"  8";" 62.50";"  9.44";"referência";"2.119034e-03"
" 5";"  8";" 62.50";"  9.44";"século";"2.119034e-03"
" 5";"  8";" 62.50";"  9.44";"certeza";"2.119034e-03"
"10";" 23";" 43.48";"  8.51";"esperar";"3.532444e-03"
" 4";"  6";" 66.67";"  8.51";"verde";"3.527139e-03"
" 4";"  6";" 66.67";"  8.51";"maria";"3.527139e-03"
" 4";"  6";" 66.67";"  8.51";"desfilar";"3.527139e-03"
" 4";"  6";" 66.67";"  8.51";"entrevistar";"3.527139e-03"
" 4";"  6";" 66.67";"  8.51";"alves";"3.527139e-03"
" 7";" 14";" 50.00";"  8.34";"depender";"3.878843e-03"
" 8";" 17";" 47.06";"  8.28";"difícil";"4.006020e-03"
"19";" 55";" 34.55";"  8.16";"só";"4.286113e-03"
" 3";"  4";" 75.00";"  7.85";"faixa";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"belo";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"voz";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"terra";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"onda";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"homenagem";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"roda";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"protesto";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"pintar";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"motivar";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"experimentar";"5.083339e-03"
" 3";"  4";" 75.00";"  7.85";"desfile";"5.083339e-03"
"13";" 34";" 38.24";"  7.73";"existir";"5.442923e-03"
" 5";"  9";" 55.56";"  7.47";"respeito";"6.266895e-03"
" 5";"  9";" 55.56";"  7.47";"mudo";"6.266895e-03"
" 5";"  9";" 55.56";"  7.47";"gravar";"6.266895e-03"
"29";" 96";" 30.21";"  7.39";"ficar";"6.559864e-03"
" 9";" 21";" 42.86";"  7.36";"nome";"6.657992e-03"
" 8";" 18";" 44.44";"  7.19";"movimento";"7.346760e-03"
" 8";" 18";" 44.44";"  7.19";"lembrar";"7.346760e-03"
" 6";" 12";" 50.00";"  7.14";"frente";"7.539816e-03"
" 7";" 15";" 46.67";"  7.09";"verdade";"7.744933e-03"
" 7";" 15";" 46.67";"  7.09";"parar";"7.744933e-03"
" 7";" 15";" 46.67";"  7.09";"nascer";"7.744933e-03"
" 7";" 15";" 46.67";"  7.09";"atuar";"7.744933e-03"
" 7";" 15";" 46.67";"  7.09";"pessoal";"7.744933e-03"
"11";" 28";" 39.29";"  7.07";"rio";"7.832697e-03"
"10";" 25";" 40.00";"  6.77";"questão";"9.290457e-03"
" 9";" 22";" 40.91";"  6.48";"maneira";"1.089136e-02"
" 4";"  7";" 57.14";"  6.33";"formação";"1.188962e-02"
" 4";"  7";" 57.14";"  6.33";"atitude";"1.188962e-02"
" 4";"  7";" 57.14";"  6.33";"jeito";"1.188962e-02"
" 4";"  7";" 57.14";"  6.33";"opinião";"1.188962e-02"
" 4";"  7";" 57.14";"  6.33";"garoto";"1.188962e-02"
" 4";"  7";" 57.14";"  6.33";"aula";"1.188962e-02"
" 8";" 19";" 42.11";"  6.23";"aparecer";"1.254886e-02"
" 7";" 16";" 43.75";"  6.03";"chamar";"1.407083e-02"
" 5";" 10";" 50.00";"  5.94";"vender";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"preciso";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"tender";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"palestra";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"graça";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"imaginar";"1.477997e-02"
" 5";" 10";" 50.00";"  5.94";"pé";"1.477997e-02"
"12";" 34";" 35.29";"  5.49";"diferente";"1.915523e-02"
" 3";"  5";" 60.00";"  5.23";"compromisso";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"popular";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"pressão";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"resposta";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"absurdo";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"sugerir";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"sequência";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"relembrar";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"reforçar";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"estreito";"2.225322e-02"
" 3";"  5";" 60.00";"  5.23";"valorizar";"2.225322e-02"
