"";"classe 1";"classe 2";"classe 3";"classe 4"
"ano";0,027;0,012;0,054;0,176
"dizer";0,024;0;0,14;0
"brasil";0,873;0,002;0,915;0,002
"novo";0,043;0,002;0,165;0
"mesmo";0,298;0,437;0;0,044
"dia";0,963;0;0;0,798
"ficar";0,007;0,01;0,807;0,96
"dar";0;0,017;0,001;0
"água";0;0;0;0
"grande";0,152;0;0,058;0,052
"família";0;0,001;0;0,357
"país";0,238;0;0,401;0,042
"passar";0,345;0,198;0,151;0,334
"empresa";0,114;0,084;0,231;0,394
"estado";0,008;0;0;0,637
"vida";0,001;0;0;0,007
"cidade";0;0;0,059;0,601
"vez";0,978;0,006;0;0,031
"querer";0;0,012;0,483;0,028
"filho";0,001;0;0;0,023
"casa";0,043;0;0,006;0,007
"samba";0;0,001;0;0
"conseguir";0,764;0,073;0;0,137
"polícia";0;0;0;0
"contar";0,462;0,001;0;0,142
"saber";0,024;0,001;0,005;0,128
"rede";0,033;0,006;0,581;0,758
"chegar";0,065;0,097;0,088;0,097
"coisa";0;0,007;0,959;0,001
"bom";0;0,216;0,351;0,001
"mundo";0,001;0,03;0,009;0,001
"meio";0,26;0;0,631;0,004
"local";0,015;0,069;0,574;0
"falar";0;0;0,518;0,024
"projeto";0,764;0;0;0,137
"levar";0;0,075;0,046;0,789
"encontrar";0,155;0,044;0,088;0
"só";0,004;0,022;0,249;0,166
"público";0,008;0;0,111;0,024
"momento";0,644;0,01;0,92;0,034
"mulher";0,098;0;0;0,224
"gente";0;0;0,682;0,001
"acontecer";0;0,006;0,801;0,771
"maior";0,14;0;0,88;0,014
"começar";0;0,034;0,073;0,128
"social";0,058;0,104;0,102;0,094
"história";0,09;0,038;0,041;0,146
"caso";0,072;0,029;0,014;0
"afirmar";0,001;0,188;0,311;0
"receber";0,032;0,843;0,462;0,014
"deixar";0,316;0,004;0,746;0
"achar";0;0;0,065;0,028
"viver";0,418;0;0;0
"jornal";0,357;0,013;0,533;0,278
"voltar";0,497;0,935;0,678;0,908
"precisar";0,124;0,796;0,006;0,101
"porcento";0,019;0;0,019;0,002
"sistema";0;0;0,005;0
"último";0,753;0,272;0,079;0,73
"vir";0;0,998;0,245;0,022
"mostrar";0,556;0,037;0,678;0,025
"existir";0,005;0,542;0,952;0,052
"próprio";0,388;0,668;0,031;0,347
"grupo";0,632;0,003;0,016;0,857
"forma";0,316;0,001;0,967;0,009
"exemplo";0,522;0;0,151;0,008
"brasileiro";0,113;0,669;0,816;0,103
"área";0,002;0;0,015;0,144
"problema";0,154;0,564;0,052;0
"melhor";0,861;0,796;0,002;0,009
"possível";0,235;0,372;0,576;0,476
"paulo";0,666;0,002;0,424;0,045
"pai";0,782;0;0,328;0
"mês";0,008;0,748;0,04;0,514
"escola";0;0,572;0,351;0
"rio";0,008;0,963;0,022;0,878
"uso";0,002;0;0;0,072
"governo";0,006;0;0,001;0,202
"sair";0,182;0,004;0,991;0,085
"globo";0,199;0,323;0,121;0,091
"homem";0,207;0;0;0,292
"trabalhar";0,632;0,01;0,829;0,046
"bbc";0,075;0,408;0,695;0,711
"acabar";0,207;0,421;0,312;0,186
"criar";0,037;0,01;0,23;0,001
"criança";0,075;0;0;0,244
"usar";0,63;0,766;0,001;0,011
"vítima";0,013;0;0,322;0
"região";0,083;0,111;0,535;0,491
"morrer";0,098;0;0,967;0
"seguir";0,91;0,111;0,344;0,007
"jovem";0,432;0,001;0,14;0,007
"carne";0,696;0,323;0,121;0,375
"violência";0,476;0,776;0,006;0,068
"ponto";0,381;0;0,128;0,013
"entrar";0,248;0,32;0,056;0
"longo";0,381;0,004;0,411;0,003
"questão";0,009;0,172;0,82;0,24
"programa";0,49;0;0,025;0,002
"ocorrer";0,012;0,065;0,728;0
"nacional";0,958;0,007;0,1;0,25
"importante";0,282;0;0,039;0,011
"diferente";0,019;0,822;0,395;0,006
"rua";0,357;0,003;0,266;0,278
"recurso";0,002;0;0,001;0,001
"rcifrão";0,005;0,018;0,496;0,569
"processo";0,112;0,004;0,952;0,122
"policial";0,012;0,009;0;0
