de;296;456;397;416
a;244;390;344;344
o;219;358;310;339
em;216;332;282;335
que;202;295;303;272
ser;185;268;228;174
para;122;193;178;137
um;123;148;170;137
por;85;166;135;169
com;93;140;139;124
uma;100;119;146;99
não;107;81;136;117
ir;111;96;98;188
ter;90;89;118;105
se;75;68;107;83
estar;82;69;70;101
ele;63;41;71;86
como;42;88;63;44
mais;50;61;67;39
fazer;79;59;81;34
_;29;25;27;13
ao;36;44;54;53
poder;34;62;63;27
sua;32;35;66;31
outro;23;58;46;28
eu;82;6;39;22
todo;28;46;35;31
seu;25;27;52;34
pessoa;32;19;40;58
isso;46;40;40;23
ela;24;24;53;49
também;22;45;29;36
haver;27;37;36;41
muito;58;26;22;14
já;35;33;24;30
sobre;17;28;21;24
esse;30;36;25;8
você;53;6;22;4
quando;27;17;33;26
até;20;27;29;24
ainda;19;33;20;42
ver;30;13;21;18
entre;13;25;17;22
essa;26;25;18;7
segundo;9;29;11;39
dois;12;21;22;21
primeiro;14;14;19;11
algum;21;17;14;16
tudo;19;9;17;5
porque;26;15;19;11
sem;10;23;27;3
bem;23;11;14;5
me;32;0;21;10
trabalho;15;17;22;8
tempo;12;12;17;13
depois;16;10;15;17
além;10;29;14;9
minha;28;2;24;10
meu;25;1;24;11
parte;7;18;8;9
hoje;12;10;24;7
dever;4;16;13;12
sempre;20;6;10;15
quem;15;12;13;6
durante;4;7;35;12
então;11;11;10;6
assim;8;14;15;13
qual;7;13;6;5
apenas;3;14;17;14
nunca;15;4;15;11
mil;3;32;7;5
contra;5;2;10;16
após;2;4;10;34
desde;7;14;7;15
tentar;6;5;11;15
tipo;12;11;16;5
três;5;7;16;14
nosso;6;3;10;6
cada;8;15;14;0
pouco;17;5;12;3
muita;13;3;13;3
menos;5;8;14;6
antes;11;4;11;8
1;1;16;2;10
qualquer;6;7;7;7
alguma;10;7;8;8
quase;3;11;9;3
este;3;10;6;8
algo;7;3;7;4
20;5;5;9;10
quanto;6;11;4;4
lá;13;6;7;4
nossa;7;3;7;5
5;4;12;5;5
3;2;12;9;10
hora;5;2;6;7
aí;18;4;3;1
vário;4;11;7;6
tanto;5;2;5;5
nós;6;8;2;5
dentro;8;5;8;5
agora;9;5;5;5
sim;6;4;5;4
nenhum;2;1;6;10
dez;2;5;3;4
aqui;7;3;8;3
aquele;7;2;4;2
10;6;8;4;6
tão;3;6;7;4
2015;2;11;3;9
cinco;2;7;1;12
2;0;14;5;6
fim;6;8;6;0
através;1;4;12;7
2017;4;5;1;10
pro;9;3;5;2
ali;7;2;5;1
quatro;3;2;6;8
30;5;3;4;5
15;1;2;4;14
2016;3;5;2;11
maioria;3;3;8;0
100;3;10;1;2
logo;2;0;5;6
atrás;4;2;3;3
abaixo;0;5;3;6
talvez;3;2;4;0
sob;4;2;4;7
mim;8;0;5;2
aquela;3;3;1;1
entanto;2;5;8;3
22;0;5;2;8
si;3;3;4;1
principalmente;2;1;5;1
perto;4;1;4;5
mal;3;3;4;0
2012;4;4;1;4
12;1;1;2;11
somente;2;10;3;2
ninguém;6;1;4;3
aquilo;5;0;4;2
apesar;3;9;3;2
50;3;2;5;2
11;2;4;3;2
7;2;4;2;3
4;1;4;2;7
21;3;2;7;2
tal;1;3;6;1
diante;3;5;1;4
200;0;8;2;3
inclusive;0;5;2;2
9;3;2;3;1
8;1;2;5;1
14;1;5;2;4
13;2;5;2;4
alguém;3;3;6;0
40;1;4;3;1
24;2;2;1;8
19;2;3;2;6
sete;0;2;5;6
seis;1;6;1;2
oito;1;3;2;6
embora;1;2;2;0
60;4;3;1;1
te;6;0;2;0
esta;0;4;3;1
acima;1;2;3;3
80;3;3;1;2
23;0;3;1;3
2013;2;2;1;3
trás;3;3;2;3
lhe;3;1;4;1
atualmente;2;5;0;0
6;2;2;2;1
16;2;2;2;4
realmente;2;0;1;2
quê;1;2;1;1
extremamente;0;2;2;0
bilhão;0;8;0;0
ambos;0;2;3;3
17;1;3;1;3
recentemente;1;3;2;1
povo;5;1;0;0
comigo;5;0;3;1
300;1;3;1;3
2010;0;2;3;3
2008;0;1;3;4
18;0;2;3;2
000;0;1;1;2
totalmente;0;0;2;2
politicamente;4;2;0;0
ontem;0;0;3;2
normalmente;1;2;1;2
infelizmente;3;0;2;2
corrente;1;5;0;0
bastante;1;0;1;1
29;0;1;2;3
27;1;4;2;1
25;1;2;2;1
2018;7;1;0;0
150;3;5;0;0
provavelmente;1;1;1;3
necessariamente;1;0;2;0
cuja;1;3;3;0
cima;2;0;0;2
aproximadamente;0;4;1;0
31;0;1;1;3
2014;1;0;0;2
quinto;0;0;1;4
diretamente;1;5;0;0
cujo;1;2;2;1
consigo;2;2;2;0
completamente;2;0;4;0
2004;5;0;0;0
0;0;2;0;1
novamente;0;1;1;2
longe;1;1;2;1
justamente;1;0;2;0
constantemente;1;1;1;2
cedo;3;0;1;2
aliás;2;0;1;0
absurdamente;0;2;3;0
800;0;3;0;1
70;1;3;0;1
51;0;2;1;1
33;0;3;0;1
32;0;2;1;3
26;0;2;0;3
2011;0;3;1;0
2009;0;4;0;1
2005;1;1;1;1
praticamente;1;1;1;1
isto;0;0;2;1
dificilmente;0;1;2;0
diariamente;0;2;2;0
certamente;2;1;0;0
aparentemente;1;0;1;3
amanhã;1;0;2;1
48;0;1;0;3
45;0;4;0;1
36;0;2;3;0
34;1;1;3;0
2003;1;2;0;0
simplesmente;0;1;2;0
jamais;2;1;1;0
facilmente;0;1;3;0
demais;0;0;0;3
debaixo;0;0;3;0
cá;1;2;0;1
claramente;0;1;0;2
anualmente;1;3;0;0
