"";"x"
"1";0
"2";0
"3";0
"4";0
"5";3
"6";3
"7";3
"8";1
"9";3
"10";0
"11";2
"12";1
"13";1
"14";1
"15";3
"16";1
"17";0
"18";0
"19";3
"20";3
"21";3
"22";3
"23";2
"24";1
"25";0
"26";0
"27";3
"28";2
"29";3
"30";0
"31";0
"32";1
"33";3
"34";1
"35";3
"36";3
"37";3
"38";4
"39";4
"40";4
"41";4
"42";4
"43";4
"44";4
"45";4
"46";4
"47";0
"48";4
"49";4
"50";4
"51";4
"52";4
"53";4
"54";4
"55";4
"56";4
"57";3
"58";3
"59";3
"60";0
"61";0
"62";2
"63";0
"64";4
"65";4
"66";4
"67";1
"68";1
"69";3
"70";3
"71";4
"72";1
"73";1
"74";3
"75";3
"76";3
"77";3
"78";3
"79";3
"80";3
"81";3
"82";4
"83";3
"84";1
"85";4
"86";4
"87";0
"88";1
"89";4
"90";4
"91";4
"92";4
"93";3
"94";3
"95";3
"96";3
"97";3
"98";4
"99";4
"100";4
"101";3
"102";0
"103";1
"104";0
"105";3
"106";4
"107";4
"108";3
"109";3
"110";3
"111";3
"112";3
"113";3
"114";3
"115";3
"116";4
"117";4
"118";4
"119";4
"120";3
"121";3
"122";3
"123";3
"124";3
"125";4
"126";4
"127";3
"128";4
"129";4
"130";4
"131";2
"132";4
"133";2
"134";3
"135";2
"136";3
"137";1
"138";0
"139";3
"140";3
"141";1
"142";3
"143";3
"144";0
"145";0
"146";3
"147";4
"148";4
"149";3
"150";3
"151";1
"152";0
"153";3
"154";4
"155";3
"156";3
"157";3
"158";3
"159";3
"160";3
"161";3
"162";3
"163";3
"164";3
"165";3
"166";3
"167";3
"168";3
"169";3
"170";4
"171";4
"172";3
"173";3
"174";3
"175";2
"176";3
"177";3
"178";3
"179";3
"180";3
"181";3
"182";3
"183";3
"184";3
"185";3
"186";3
"187";3
"188";3
"189";3
"190";3
"191";2
"192";4
"193";1
"194";4
"195";4
"196";3
"197";2
"198";4
"199";4
"200";4
"201";3
"202";4
"203";4
"204";4
"205";0
"206";4
"207";0
"208";0
"209";3
"210";0
"211";4
"212";4
"213";4
"214";4
"215";3
"216";4
"217";3
"218";4
"219";4
"220";3
"221";3
"222";3
"223";3
"224";3
